run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_epoch,config_chpt_path,config_use_brainiac_preprocessing,config_dinov2_model_name,config_slice_aggregation
7247461528.27514-114ca909-ac23,brainiac_multimodal_pretrained_multi_t1_t1gd_t2_flair_2025-07-15_00-24-45,failed,2025-07-15T00:25:12Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247461528.27514-114ca909-ac23,,68ed3153-4da7-4d5a-8e34-d596f75880d1,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/BrainIAC/checkpoint_final.pth,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,cls_token,0.0,731.0,0,1752539822.7857025,4.761904761904762e-06,0,,,,,,,,,,,,,,,
7247460825.39671-1c96a705-dca7,brainiac_multimodal_pretrained_multi_t1_t1gd_t2_flair_2025-07-15_00-36-55,failed,2025-07-15T00:37:25Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247460825.39671-1c96a705-dca7,,816c3f44-a1bf-4d6f-a965-fead710dfa6f,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/BrainIAC/checkpoint_final.pth,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,cls_token,0.0,888.0,0,1752540687.2762606,4.761904761904762e-06,0,,,,,,,,,,,,,,,
7247458615.81224-bf74f40b-1007,brainiac_multimodal_scratch_multi_t1_t1gd_t2_flair_2025-07-15_01-16-08,finished,2025-07-15T01:16:38Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247458615.81224-bf74f40b-1007,,d6b9e9fb-c4d1-4c15-9e8b-ed12ddfe22fd,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/BrainIAC/checkpoint_final.pth,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,cls_token,0.0,58869.0,1799,1752601068.46619,3.147162264971471e-09,106199,0.7659320831298828,0.7646578550338745,0.6839956641197205,0.6843221187591553,0.620751678943634,0.550795316696167,0.5351368188858032,0.510883092880249,0.47150737047195435,0.7370255589485168,299.0,,,,
7247456555.21260-e5cbc560-58e6,brainmvp_multimodal_pretrained_multi_t1_t1gd_t2_flair_2025-07-15_01-58-52,finished,2025-07-15T01:59:12Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247456555.21260-e5cbc560-58e6,,c0b280d6-226e-405f-b6b5-14d53cd52418,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/BrainMVP/checkpoint_final.pth,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,cls_token,0.0,4565.0,1799,1752549319.5589342,3.147162264971471e-09,599,1.0,1.0,1.0,1.0,0.3380621373653412,0.5887566208839417,0.5,0.5,0.375,1.0102636814117432,299.0,,,,
7247455310.52879-6b10c4e5-9558,brainiac_multimodal_pretrained_multi_t1_t1gd_t2_flair_2025-07-15_02-09-35,failed,2025-07-15T02:10:09Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247455310.52879-6b10c4e5-9558,,095f81fe-b847-4a1b-b873-5c0ecf399b0e,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,cls_token,0.0,791.0,0,1752546192.6037984,4.761904761904762e-06,0,,,,,,,,,,,,,,,
7247454453.20081-90a0f1f2-420c,brainmvp_multimodal_pretrained_multi_t1_t1gd_t2_flair_2025-07-15_02-23-13,failed,2025-07-15T02:23:37Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247454453.20081-90a0f1f2-420c,,b4853685-e36a-4ff8-9eca-a2c4b8f7c57a,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,12,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/BrainMVP/checkpoint_final.pth,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,cls_token,0.0,808.0,0,1752546992.4825718,4.761904761904762e-06,0,,,,,,,,,,,,,,,
7247452776.62351-eed01acb-d51a,brainiac_multimodal_pretrained_multi_t1_t1gd_t2_flair_2025-07-15_02-51-16,finished,2025-07-15T02:51:50Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247452776.62351-eed01acb-d51a,,668c820c-1616-470e-a69f-926f269a385a,t-jiachentu,0.0001,False,0,Classification,200,False,brainiac,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,cls_token,0.0,39690.0,1199,1752587601.531859,7.615242180436517e-09,70799,0.734721839427948,0.7304588556289673,0.669666051864624,0.6699459552764893,0.6378793716430664,0.6718950271606445,0.64909827709198,0.601057231426239,0.582425594329834,0.6599868535995483,199.0,,,,
7247452508.25102-42ccdafa-bd56,brainmvp_multimodal_pretrained_multi_t1_t1gd_t2_flair_2025-07-15_02-55-29,finished,2025-07-15T02:55:50Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247452508.25102-42ccdafa-bd56,,02314141-b182-4a05-a5dd-8a313c071ae8,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/BrainMVP/checkpoint_final.pth,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,cls_token,0.0,21320.0,1799,1752569471.8854103,3.147162264971471e-09,13499,0.9076908230781556,0.9100675582885742,0.840981125831604,0.8411945700645447,0.5144257545471191,0.6505924463272095,0.6702425479888916,0.6214240789413452,0.6150335073471069,0.760195791721344,299.0,,,,
7247449952.36673-b593076a-b2f0,brainmvp_multimodal_pretrained_multi_t1_t1gd_t2_flair_2025-07-15_03-34-46,finished,2025-07-15T03:35:08Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247449952.36673-b593076a-b2f0,,4df058cf-3b59-4b07-8f36-6e065a611433,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/BrainMVP/checkpoint_final.pth,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,cls_token,0.0,20800.0,1799,1752571309.3250558,3.147162264971471e-09,13499,0.9076908230781556,0.9100675582885742,0.840981125831604,0.8411945700645447,0.5144257545471191,0.6505924463272095,0.6702425479888916,0.6214240789413452,0.6150335073471069,0.760195791721344,299.0,,,,
7247449311.44338-1e506b76-118d,2025-07-15_03-43-26_survival_1year,failed,2025-07-15T03:43:51Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_+survival_1year/runs/7247449311.44338-1e506b76-118d,,024c85c9-1c96-4054-8839-efebeba3ac32,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,,4,False,0,True,False,full,,0.2,,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,,0.2,519.0,0,1752551430.2146575,4.761904761904763e-07,0,,,,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,
