run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,config_pretrained_path,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_epoch,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss
7246918471.52292-49e8ed09-c44a,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_07-11-03,failed,2025-07-21T07:11:30Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246918471.52292-49e8ed09-c44a,,fe012d3c-1bad-4cfb-aef2-3614a21522b5,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,False,False,1,epochwise,cls_token,True,0.0,447.0,0.0,1753082305.6197186,4.761904761904762e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7246918500.78043-cba9a68b-d6e5,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_07-16-58,crashed,2025-07-21T07:17:25Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246918500.78043-cba9a68b-d6e5,,4e0a6f9d-6d5f-4552-be79-f0f9b82b3544,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,False,False,1,epochwise,cls_token,True,0.0,,,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,,,,,,,,,,,
7246917978.30658-75930405-8f8c,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_07-19-26,crashed,2025-07-21T07:19:48Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246917978.30658-75930405-8f8c,,945a2bd5-1e7f-425c-9371-51da58112375,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,False,False,1,epochwise,cls_token,True,0.0,39158.608063988,1320.0,1753121547.2295814,1.8825509907063337e-05,38940.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.688169538974762,0.701483964920044,0.568871796131134,0.5538169741630554,0.6224130988121033,0.6012084484100342,0.58699631690979,0.563034176826477,0.48829925060272217,0.8064615726470947,219.0,,,,,,,,,,,,
7246911618.05272-c249e9e6-2094,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_09-05-15,failed,2025-07-21T09:05:42Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246911618.05272-c249e9e6-2094,,afc6b2f3-a38c-4618-b2fb-0afd814dd270,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,False,False,1,epochwise,cls_token,True,0.0,3818.0,56.0,1753092400.5803788,4.761904761904763e-05,9.0,,0.5334309935569763,0.5474879741668701,0.5,0.39898133277893066,0.6590861678123474,0.5134973526000977,0.5133546590805054,0.5,0.35393258929252625,4.402796268463135,8.0,,,,,,,,,,,,
7246911648.07551-0d5cde7c-eda7,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-05-46,crashed,2025-07-21T09:06:12Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246911648.07551-0d5cde7c-eda7,,fbe62248-3410-44fc-90c1-c28c5f8f6b0a,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,False,False,1,epochwise,cls_token,True,0.0,32574.894831252,588.0,1753121349.7256105,7.706665667180088e-08,34692.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,0.5148453712463379,0.5020382404327393,0.5,0.39898133277893066,0.6587981581687927,0.5253291130065918,0.5059523582458496,0.5,0.35393258929252625,0.7071998119354248,97.0,,,,,,,,,,,,
7246910991.75935-d8736f9d-480e,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-16-03,finished,2025-07-21T09:16:24Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246910991.75935-d8736f9d-480e,,793382f1-a855-4b75-a3fe-272c6e2e1d9b,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,False,False,1,epochwise,cls_token,True,0.0,18338.0,599.0,1753107719.4118702,3.854818796385494e-08,35399.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.5638697147369385,0.5770426988601685,0.5,0.39898133277893066,0.6538036465644836,0.4925304055213928,0.46581196784973145,0.5,0.35393258929252625,0.7269130349159241,99.0,,,,,,,,,,,,
7246910196.05119-4d7f189a-7fa1,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-21_09-28-57,crashed,2025-07-21T09:29:17Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246910196.05119-4d7f189a-7fa1,,e331fba4-4bed-494e-802a-43fb79b37b55,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4,False,0,True,False,full,True,0.2,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,False,False,1,epochwise,mean,True,0.5,31321.168364691,522.0,1753121479.602692,6.375199646360155e-05,30798.0,,0.6436433792114258,0.6633827686309814,0.5865188837051392,0.5868644118309021,0.9545587301254272,0.5139991044998169,0.5094627141952515,0.5,0.35393258929252625,1.0577185153961182,86.0,facebook/dinov2-base,mean,,,,,,,,,,
7246910164.87345-620c84f6-130f,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-29-19,failed,2025-07-21T09:29:50Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246910164.87345-620c84f6-130f,,fbcbb74c-76e5-4f4c-b3d1-5815297cf353,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,False,False,1,epochwise,mean,True,0.5,494.0,0.0,1753090655.2849264,4.761904761904762e-06,0.0,,,,,,,,,,,,,facebook/dinov2-base,mean,,,,,,,,,,
7246909220.26887-4126b518-b47c,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-44-28,finished,2025-07-21T09:45:00Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246909220.26887-4126b518-b47c,,b552dc75-33e8-4cc7-9131-3ed225290ce0,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,False,False,1,epochwise,,,0.2,21872.0,599.0,1753112974.0821102,3.854818796385494e-08,35399.0,,0.48281458020210266,0.4548185467720032,0.5,0.39898133277893066,0.6591505408287048,0.5515052676200867,0.5279303789138794,0.5,0.35393258929252625,0.7082473039627075,99.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,
7246909188.98015-3b6d4b3d-0fc4,resenc_scratch_multi_t1_t1gd_t2_flair_2025-07-21_09-45-06,finished,2025-07-21T09:45:26Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246909188.98015-3b6d4b3d-0fc4,,41d541de-98db-4c70-9c09-d84b7dce30e2,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,False,False,1,epochwise,,,0.2,21124.0,599.0,1753112251.4962678,3.854818796385494e-08,35399.0,,0.6643738746643066,0.686626136302948,0.550312876701355,0.5067431926727295,0.6298776865005493,0.5740841031074524,0.5792124271392822,0.4829059839248657,0.3988214135169983,0.7038000226020813,99.0,,,,,,,,,,,,
