run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric__runtime,config_pretrained_path,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss
7246918422.27893-a4a591e8-9d6b,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_07-12-06,crashed,2025-07-21T07:12:36Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246918422.27893-a4a591e8-9d6b,,bd02bb9f-349b-4e86-af6c-f3f840fb9979,t-jiachentu,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,300.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10.0,False,False,idh1_status,False,False,1.0,epochwise,cls_token,True,0.0,399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246918446.48173-43d2192e-aafe,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_07-12-10,crashed,2025-07-21T07:12:36Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246918446.48173-43d2192e-aafe,,f1f66dad-5cd8-4168-a397-5891ff294b2c,t-jiachentu,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10.0,False,False,idh1_status,False,False,1.0,epochwise,cls_token,True,0.0,398.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246917954.54706-ebed01ad-01b9,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_07-19-54,crashed,2025-07-21T07:20:14Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246917954.54706-ebed01ad-01b9,,33691ac1-8f69-4cde-ba36-cb92de8d4cda,t-jiachentu,False,0,Classification,300.0,False,brainmvp,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10.0,False,False,idh1_status,False,False,1.0,epochwise,cls_token,True,0.0,39188.6416862,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.8130953311920166,0.8375787734985352,0.7341850996017456,0.7439273595809937,0.5355379581451416,0.5496441721916199,0.921052634716034,0.4868420958518982,0.491150438785553,0.3809813857078552,1416.0,1753121603.403394,235.0,1.2346426699819468e-05,41772.0,,,,,,,,,,,,
7246911588.16270-f3c5bedc-3e58,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-05-52,crashed,2025-07-21T09:06:20Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246911588.16270-f3c5bedc-3e58,,36b84959-8b9c-4041-99c0-1361ec35ce70,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10.0,False,False,idh1_status,False,False,1.0,epochwise,cls_token,True,0.0,32540.77530061,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,0.576880156993866,0.6017289161682129,0.5,0.42062193155288696,0.6225443482398987,0.5229763984680176,0.8245614171028137,0.5,0.4978165924549103,0.4629416763782501,588.0,1753121323.7527127,97.0,7.706665667180088e-08,34692.0,,,,,,,,,,,,
7246911556.73011-76f10f8e-4a1d,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_09-06-03,crashed,2025-07-21T09:06:30Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246911556.73011-76f10f8e-4a1d,,addf5281-5bc5-4738-8b35-a464b9181c8e,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10.0,False,False,idh1_status,False,False,1.0,epochwise,cls_token,True,0.0,32567.403993124,,0.5809675455093384,0.6114364862442017,0.5,0.42062193155288696,0.6209827661514282,0.5351905226707458,0.8859648704528809,0.5,0.4978165924549103,3.578666925430298,594.0,1753121360.4357038,98.0,3.854818796385494e-08,35046.0,,,,,,,,,,,,
7246910960.87193-905c71ae-7bd2,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-17-04,finished,2025-07-21T09:17:25Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246910960.87193-905c71ae-7bd2,,75e98e6f-2350-4b47-a86b-5aff4ae5cdcb,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10.0,False,False,idh1_status,False,False,1.0,epochwise,cls_token,True,0.0,17988.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.6996270418167114,0.7419872283935547,0.5610734224319458,0.5502651333808899,0.5823612213134766,0.5998454093933105,0.9649122953414916,0.9736841917037964,0.6114864945411682,0.4187556505203247,599.0,1753107431.1708543,99.0,3.854818796385494e-08,35399.0,,,,,,,,,,,,
7246910134.19688-28563612-7c57,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-21_09-29-52,crashed,2025-07-21T09:30:12Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246910134.19688-28563612-7c57,,558f5c70-27b9-4676-ac14-a2e5d0de9053,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4.0,False,0.0,True,False,full,True,0.2,False,batchgenerators.get_training_transforms,10.0,False,False,idh1_status,False,False,1.0,epochwise,mean,True,0.5,31169.316243334,,0.6563966870307922,0.7116410732269287,0.6681374907493591,0.6625816822052002,0.963155210018158,0.5351905822753906,0.8859648704528809,0.8508771657943726,0.4401489198207855,0.6942296624183655,516.0,1753121383.381283,85.0,7.367991782295395e-05,30444.0,facebook/dinov2-base,mean,,,,,,,,,,
7246910104.29602-282525ce-4394,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-31-08,failed,2025-07-21T09:31:28Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246910104.29602-282525ce-4394,,4332caf6-f49d-4e7a-be08-1fde543aa96b,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10.0,False,False,idh1_status,False,False,1.0,epochwise,mean,True,0.5,505.0,,,,,,,,,,,,0.0,1753090762.7019627,,4.761904761904762e-06,0.0,facebook/dinov2-base,mean,,,,,,,,,,
7246909127.41404-96e334d2-af46,resenc_scratch_multi_t1_t1gd_t2_flair_2025-07-21_09-49-08,finished,2025-07-21T09:49:31Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246909127.41404-96e334d2-af46,,3e82c133-fe28-4d63-9834-7dd9a586077c,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10.0,False,False,idh1_status,False,False,1.0,epochwise,,,0.2,24920.0,,0.5226532220840454,0.5398532152175903,0.5,0.42062193155288696,0.6256548762321472,0.5831392407417297,0.956140398979187,0.5,0.4978165924549103,0.4543777704238891,599.0,1753116289.7441738,99.0,3.854818796385494e-08,35399.0,,,,,,,,,,,,
7246909158.02874-91859336-b155,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-49-31,finished,2025-07-21T09:50:25Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246909158.02874-91859336-b155,,d28f469c-889a-426d-9d5c-4f4d25571886,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,10.0,False,False,idh1_status,False,False,1.0,epochwise,,,0.2,24203.0,,0.7046235799789429,0.7787917852401733,0.5,0.42062193155288696,0.5769643187522888,0.5450573563575745,0.9122806787490844,0.5,0.4978165924549103,0.4239743649959564,599.0,1753115626.1404064,99.0,3.854818796385494e-08,35399.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,
