run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_learning_rate,config_freeze_backbone,config_pretrained_path,config_token_aggregation_method,config_use_brainiac_preprocessing,config_dinov2_model_name,config_slice_aggregation,config_temperature,config_fusion_method,config_expert_dropout,config_freeze_expert_3d,config_freeze_expert_2d5,config_dinov2_freeze_backbone,config_resenc_finetune_method,config_dinov2_slice_aggregation,config_use_expert_regularization,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss
7247005321.55892-d1fb475e-939d,resenc_pretrained_2025-07-20_07-13-41,finished,2025-07-20T07:14:19Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7247005321.55892-d1fb475e-939d,,740029ec-ad0a-4634-a147-dc7b180b5ea7,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.2,0.9838544130325316,0.9840532541275024,0.9453552961349488,0.9460586309432985,0.4058654606342316,0.6553088426589966,0.6542288064956665,0.6170709133148193,0.6166963577270508,0.8508212566375732,23145.0,1799.0,1753018804.9540143,299.0,3.1471622649714703e-10,13499.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7246911458.97841-528f4840-30bf,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-08-01,crashed,2025-07-21T09:08:25Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246911458.97841-528f4840-30bf,,a07c357f-2bdf-4539-bce7-1c434a22bffe,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.0,0.636228084564209,0.6497166156768799,0.6085048913955688,0.6052217483520508,0.6719011068344116,0.6588314175605774,0.6662002801895142,0.5,0.3681318759918213,0.673250675201416,32923.0,588.0,1753121514.2409468,97.0,7.706665667180088e-08,34692.0,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,True,,,,,,,,,,,,,,,,,,,,
7246911427.55024-1338b40c-c09e,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_09-08-05,failed,2025-07-21T09:08:29Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246911427.55024-1338b40c-c09e,,c5a226cd-2e38-480b-8c83-8d47cc231c56,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.0,0.5039063096046448,0.4969099164009094,0.4788017272949219,0.4435086250305176,0.6942469477653503,0.44187960028648376,0.3748445510864258,0.5,0.3681318759918213,0.8306630253791809,9957.0,170.0,1753098708.0423207,27.0,9.755282581475769e-05,28.0,0.2,0.0001,False,,cls_token,True,,,,,,,,,,,,,,,,,,,,
7246910892.57971-5be1f248-4512,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-17-08,finished,2025-07-21T09:17:27Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246910892.57971-5be1f248-4512,,8abe3add-9a1d-4f66-b47a-3d9cead59224,t-jiachentu,,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.0,0.6944257020950317,0.7011111974716187,0.6644304990768433,0.6640630960464478,0.6506158709526062,0.5808271765708923,0.5693408250808716,0.5329601764678955,0.4187588095664978,0.8031315803527832,18580.0,599.0,1753108027.0304017,99.0,3.854818796385494e-08,35399.0,0.2,0.0001,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,cls_token,True,,,,,,,,,,,,,,,,,,,,
7246909997.27358-903a414c-cabf,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-21_09-35-04,crashed,2025-07-21T09:35:27Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246909997.27358-903a414c-cabf,,36632f25-f8ef-4c2c-a063-1d625e4f74b8,t-jiachentu,,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.5,0.6404322981834412,0.6571775674819946,0.6175830364227295,0.6175422668457031,1.0563722848892212,0.7263598442077637,0.7369402647018433,0.5222325921058655,0.4518811404705048,0.7633683681488037,30859.113406468,576.0,1753121388.783975,95.0,6.155829702431175e-06,33984.0,,0.001,True,,mean,True,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,
7246909966.68906-2f8bf813-83bd,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-35-11,failed,2025-07-21T09:35:34Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246909966.68906-2f8bf813-83bd,,47810ac1-90e2-4a53-9053-9fb49aed25e0,t-jiachentu,,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.5,,,,,,,,,,,619.0,0.0,1753091092.681915,,4.761904761904762e-06,0.0,,0.0001,False,,mean,True,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,
7246908992.89594-99a1225d-1cf2,resenc_scratch_multi_t1_t1gd_t2_flair_2025-07-21_09-48-33,finished,2025-07-21T09:48:51Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246908992.89594-99a1225d-1cf2,,8f3e7fd6-afe7-4611-b9e0-35e00cd8b82e,t-jiachentu,,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.2,0.6146989464759827,0.6449294090270996,0.6242114901542664,0.623786449432373,0.6691412925720215,0.6209902167320251,0.6277984976768494,0.5617226362228394,0.5477918982505798,0.6774606704711914,22108.0,599.0,1753113440.6871426,99.0,3.854818796385494e-08,35399.0,,0.0001,False,,,,,,,,,,,,,,,,,,,,,,,
7246909023.87338-ab7284a4-b3cd,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-51-02,finished,2025-07-21T09:51:57Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246909023.87338-ab7284a4-b3cd,,176e3e06-02b6-4bc4-bf50-efecbf097904,t-jiachentu,,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.2,0.5626220703125,0.5429088473320007,0.5,0.3456561863422394,0.691368818283081,0.5868844389915466,0.6071206331253052,0.5,0.3681318759918213,0.6870520114898682,25351.0,599.0,1753116868.0787275,99.0,3.854818796385494e-08,35399.0,,0.0001,False,,,,,,,,,,,,,,,,,,,,,,,
7246841302.02760-aa75da43-07b7,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-22_04-45-48,finished,2025-07-22T04:46:16Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246841302.02760-aa75da43-07b7,,7daa3c5e-25dd-4878-b8a3-e1241fa5d8fb,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.0,0.6819205284118652,0.6902398467063904,0.6427198648452759,0.6425542235374451,0.6585302948951721,0.5079057812690735,0.4863184094429016,0.47279229760169983,0.4568151235580444,0.691127359867096,18638.0,599.0,1753178215.2138164,99.0,3.854818796385494e-08,35399.0,0.2,0.0001,False,,cls_token,True,,,,,,,,,,,,,,,,,,,,
7246841333.14033-e4f6388b-2144,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-22_04-53-16,finished,2025-07-22T04:53:43Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246841333.14033-e4f6388b-2144,,a7fa629c-8d7a-424d-ab5a-8ca4baba199c,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.0,0.6944065690040588,0.6990137100219727,0.6401581764221191,0.6381582021713257,0.6503674983978271,0.596590518951416,0.5786691904067993,0.5088618993759155,0.4191919267177582,0.7389123439788818,18834.0,599.0,1753178855.962416,99.0,1.927409398192747e-08,35399.0,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,True,,,,,,,,,,,,,,,,,,,,
