run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_use_metadata,config_weight_decay,config_data_root_dir,config_deterministic,config_fusion_method,config_load_metadata,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_epoch
u1l8wjjw,2025-07-08_08-32-51_survival_1year,failed,2025-07-08T08:32:57Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_shared_metadata_multi_mod_0_1_2_3_average_scratch/runs/u1l8wjjw,,7c639b36-9183-403b-bc30-7c540e0c95c9,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoderSharedMetadata_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,0,False,True,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,average,True,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.2,200.902448075,0.0,1751963777.1328063,4.761904761904762e-06,0.0,,,,,,,,,,,
sqfgjdeb,2025-07-08_08-40-47_survival_1year,finished,2025-07-08T08:40:53Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_shared_metadata_multi_mod_0_1_2_3_average_scratch/runs/sqfgjdeb,,b5951cf2-f03b-42ee-934e-d8f7147c8061,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoderSharedMetadata_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,0,False,True,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,average,True,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.2,,,,,,,,,,,,,,,,
16q9tw56,2025-07-08_08-41-32_survival_1year,failed,2025-07-08T08:41:37Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_shared_metadata_multi_mod_0_1_2_3_average_scratch/runs/16q9tw56,,0eef1fea-5c22-4dee-b4ff-3bbf6bc35138,t-jiachentu,0.0001,False,0,Classification,5,False,ResEncoderSharedMetadata_Classifier,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,1,False,5,False,True,0,gpu,0.2,2,16,val,False,0,False,True,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,average,True,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.2,8.437822105,0.0,1751964105.16368,4.761904761904762e-06,0.0,,,,,,,,,,,
waolpoga,2025-07-08_08-44-40_survival_1year,failed,2025-07-08T08:44:45Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_shared_metadata_multi_mod_0_1_2_3_average_scratch/runs/waolpoga,,2e280054-91d9-4234-af26-a1bae84e32c6,t-jiachentu,0.0001,False,0,Classification,5,False,ResEncoderSharedMetadata_Classifier,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,1,False,5,False,True,0,gpu,0.2,2,16,val,False,0,False,True,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,average,True,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.2,11.24687342,0.0,1751964296.0594046,4.761904761904762e-06,0.0,,,,,,,,,,,
6hewcns1,2025-07-08_08-48-51_survival_1year,failed,2025-07-08T08:48:57Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_shared_metadata_multi_mod_0_1_2_3_average_scratch/runs/6hewcns1,,32acabe2-7b6d-4987-b9e4-2bbef588038c,t-jiachentu,0.0001,False,0,Classification,5,False,ResEncoderSharedMetadata_Classifier,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,1,False,5,False,True,0,gpu,0.2,2,16,val,False,0,False,True,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,average,True,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.2,11.553997246,0.0,1751964548.4335866,4.761904761904762e-06,0.0,,,,,,,,,,,
11c1fjou,2025-07-08_08-53-03_survival_1year,failed,2025-07-08T08:53:09Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_shared_metadata_multi_mod_0_1_2_3_average_scratch/runs/11c1fjou,,e6603b88-ec71-4491-917c-d0ee6b30d158,t-jiachentu,0.0001,False,0,Classification,5,False,ResEncoderSharedMetadata_Classifier,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,1,False,5,False,True,0,gpu,0.2,2,16,val,False,0,False,True,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,average,True,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.2,11.378556474,0.0,1751964799.8637908,4.761904761904762e-06,0.0,,,,,,,,,,,
sayo70uo,2025-07-08_08-56-00_survival_1year,crashed,2025-07-08T08:56:06Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_shared_metadata_multi_mod_0_1_2_3_average_scratch/runs/sayo70uo,,f7c3ad37-d068-4007-a1e0-0c53b11c4ba3,t-jiachentu,0.0001,False,0,Classification,5,False,ResEncoderSharedMetadata_Classifier,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,1,False,5,False,True,0,gpu,0.2,2,16,val,False,0,False,True,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,average,True,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.2,11.719750638,0.0,1751964977.0707717,4.761904761904762e-06,0.0,,,,,,,,,,,
po3gylq0,2025-07-08_09-00-46_survival_1year,failed,2025-07-08T09:00:52Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_shared_metadata_multi_mod_0_1_2_3_average_scratch/runs/po3gylq0,,bc1a5928-4754-46b0-a6ca-857aea336c59,t-jiachentu,0.0001,False,0,Classification,5,False,ResEncoderSharedMetadata_Classifier,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,1,False,5,False,True,0,gpu,0.2,2,16,val,False,0,False,True,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,average,True,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.2,11.428972551,0.0,1751965262.956824,4.761904761904762e-06,0.0,,,,,,,,,,,
2u5w1nlx,2025-07-08_09-04-09_survival_1year,failed,2025-07-08T09:04:15Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_shared_metadata_multi_mod_0_1_2_3_average_scratch/runs/2u5w1nlx,,7e445241-20d1-459e-b764-29e0b9f099ae,t-jiachentu,0.0001,False,0,Classification,5,False,ResEncoderSharedMetadata_Classifier,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,1,False,5,False,True,0,gpu,0.2,2,16,val,False,0,False,True,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,average,True,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.2,11.332445794,0.0,1751965466.0599551,4.761904761904762e-06,0.0,,,,,,,,,,,
0c32sdum,2025-07-08_09-07-10_survival_1year,finished,2025-07-08T09:07:13Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year_shared_metadata_multi_mod_0_1_2_3_average_scratch/runs/0c32sdum,,b469dfb0-2602-44ed-927d-180ea6216772,t-jiachentu,0.0001,False,0,Classification,5,False,ResEncoderSharedMetadata_Classifier,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,1,False,5,False,True,0,gpu,0.2,2,16,val,False,0,False,True,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,average,True,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,False,False,1,epochwise,0.2,100.215531546,29.0,1751965733.6089776,2.3809523809523817e-05,49.0,0.5073909163475037,0.375,0.5,0.4444444477558136,0.6059619188308716,0.6921296119689941,0.6666666269302368,0.5,0.375,0.68412846326828,4.0
