run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_train_acc_step,metric_train_loss_step,metric_trainer/global_step,config_use_brainiac_preprocessing,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_val_acc,metric_val_loss,metric_Val/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,config_final_batch_size,config_limit_val_batches,config_limit_test_batches,config_limit_train_batches,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,config_pretrained_checkpoint_path
k83ida3w,2025-07-14_06-50-36_lgg_vs_hgg,failed,2025-07-14T06:50:42Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_brain_tumor_classification/runs/k83ida3w,,5a2ab857-efd0-4c4c-b4ca-43f9336e3917,t-jiachentu,0.0001,False,0,Classification,5,False,brainmvp,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,8,False,5,True,False,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,cls_token,0.0,7.826972017,2.0,1752475848.8578022,0.0,4.761904761904762e-06,0.5,0.6711426377296448,1.0,,,,,,,,,,,,,,,,,,,,,
m8rouhje,2025-07-14_06-51-32_lgg_vs_hgg,crashed,2025-07-14T06:51:37Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_brain_tumor_classification/runs/m8rouhje,,b40cea18-a3e7-42c4-9276-9d8a06a195ae,t-jiachentu,0.0001,False,0,Classification,5,False,brainiac,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,32,False,5,True,False,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,cls_token,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
qqu2218h,2025-07-14_06-53-37_lgg_vs_hgg,failed,2025-07-14T06:53:42Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_brain_tumor_classification/runs/qqu2218h,,7d3d80d9-658e-4bb1-b127-b234e7673eaa,t-jiachentu,0.0001,False,0,Classification,5,False,brainmvp,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,8,False,5,True,False,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,cls_token,0.0,7.944793167,2.0,1752476029.7535355,0.0,4.761904761904762e-06,0.5,0.6711426377296448,1.0,,,,,,,,,,,,,,,,,,,,,
yoe9nivq,2025-07-14_06-58-11_lgg_vs_hgg,failed,2025-07-14T06:58:17Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_brain_tumor_classification/runs/yoe9nivq,,752b3676-eb57-4df1-b605-f915c3105e22,t-jiachentu,0.0001,False,0,Classification,5,False,brainmvp,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,8,False,5,True,False,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,cls_token,0.0,8.035938553,2.0,1752476303.951428,0.0,4.761904761904762e-06,0.5,0.6711426377296448,1.0,,,,,,,,,,,,,,,,,,,,,
0yvqkuj2,2025-07-14_07-02-35_lgg_vs_hgg,crashed,2025-07-14T07:02:40Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_brain_tumor_classification/runs/0yvqkuj2,,7d77b67a-8cec-4d80-8207-a5e6aae7d428,t-jiachentu,0.0001,False,0,Classification,5,False,brainmvp,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,8,False,5,True,False,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,cls_token,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7247523367.48157-7c7b93c2-629b,2025-07-14_07-09-51_lgg_vs_hgg,failed,2025-07-14T07:10:06Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_brain_tumor_classification/runs/7247523367.48157-7c7b93c2-629b,,95b23ee9-6fa8-4ca6-85ef-6e92ceffcd06,t-jiachentu,0.0001,False,0,Classification,5,False,brainmvp,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,8,False,5,True,False,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,cls_token,0.0,32.0,5.0,1752477039.4476583,0.0,4.761904761904762e-06,0.5,0.7565796375274658,1.0,,1.0,0.0,0.5,1.0,1.0,0.5706787109375,,,,,,,,,,,,,,
mgub3fb5,2025-07-14_07-15-54_lgg_vs_hgg,crashed,2025-07-14T07:16:00Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_brain_tumor_classification/runs/mgub3fb5,,1010e1fa-0499-4ad0-bb8e-5c20408b0404,t-jiachentu,0.0001,False,0,Classification,5,False,brainmvp,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,8,False,5,True,False,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,cls_token,0.0,3.876632487,0.0,1752477362.7190723,,4.761904761904762e-06,,,0.0,,,,,,,,,,,,,,,,,,,,,
3458t6uu,2025-07-14_07-18-03_lgg_vs_hgg,crashed,2025-07-14T07:18:09Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_brain_tumor_classification/runs/3458t6uu,,4920b703-e01e-4776-b301-2b6d0831537d,t-jiachentu,0.0001,False,0,Classification,5,False,brainmvp,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,8,False,5,True,False,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,cls_token,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7247522473.81570-b5597f44-4a6d,2025-07-14_07-23-53_lgg_vs_hgg,failed,2025-07-14T07:24:08Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_brain_tumor_classification/runs/7247522473.81570-b5597f44-4a6d,,b4668564-0171-4eab-9706-e39823a1de1f,t-jiachentu,0.0001,False,0,Classification,5,False,brainmvp,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,8,False,5,True,False,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,cls_token,0.0,39.0,3.0,1752477888.6653712,0.0,4.761904761904762e-06,,,1.0,,1.0,0.0,0.5,1.0,,,0.5706787109375,,,,,,,,,,,,,
7247521911.08730-addffde7-a3c1,2025-07-14_07-37-32_lgg_vs_hgg,finished,2025-07-14T07:37:47Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_brain_tumor_classification/runs/7247521911.08730-addffde7-a3c1,,14f5fe6e-f997-4835-aae4-2b0498c4c0fd,t-jiachentu,0.0001,False,0,Classification,5,False,brainmvp,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,8,False,5,True,False,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,cls_token,0.0,95.0,24.0,1752478763.80276,4.0,2.3809523809523817e-05,,,9.0,,1.0,0.0,0.0,0.0,,,0.9535083770751952,0.8019841909408569,0.7599999904632568,0.5,0.3333333432674408,0.7320898771286011,,,,,,,,
