run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_pretrained_path
7247515988.74734-8d9212b1-27e5,2025-07-14_09-12-13_gli_vs_men,finished,2025-07-14T09:12:27Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men/runs/7247515988.74734-8d9212b1-27e5,,fbd8bc6f-3b19-4f10-ac5c-4817cfdd4982,t-jiachentu,0.0001,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,32.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,gli_vs_men,True,False,1.0,epochwise,cls_token,True,0.0,0.9934840202331544,0.9934837818145752,0.9751868844032288,0.9789814949035645,0.33789002895355225,0.7131040096282959,0.7861206531524658,0.6471245288848877,0.680471658706665,0.47002437710762024,32482.0,1799.0,1752516827.0035326,299.0,3.147162264971471e-09,8699.0,,,
7247515978.41498-b4e9ffb6-9477,BrainIAC_scratch_2025-07-14_09-12-21_gli_vs_men,finished,2025-07-14T09:12:36Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men/runs/7247515978.41498-b4e9ffb6-9477,,0086f16b-2dd8-479b-8dbc-0246c4dcd615,t-jiachentu,0.0001,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,16.0,False,300.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,gli_vs_men,True,False,1.0,epochwise,cls_token,True,0.0,0.9997483491897584,0.9999310970306396,0.9901999235153198,0.9921494722366332,0.3294229805469513,0.7426475286483765,0.8804613351821899,0.6103434562683105,0.6423909664154053,0.4498171806335449,32522.0,1799.0,1752516874.9540265,299.0,3.147162264971471e-09,17099.0,,,
7247515078.79871-d9321225-4bad,2025-07-14_09-33-06_gli_vs_men,crashed,2025-07-14T09:33:16Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men/runs/7247515078.79871-d9321225-4bad,,b45be989-7c73-4026-a269-a3003b9e609f,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7247514019.23008-bf85d70a-202f,dinov2_tunable_t1n_2025-07-14_09-50-42,finished,2025-07-14T09:51:01Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men/runs/7247514019.23008-bf85d70a-202f,,339ae227-189e-4ab9-9112-d6bcd4b8b278,t-jiachentu,0.0001,False,0,Classification,50.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,gli_vs_men,True,False,4.0,epochwise,mean,,0.5,0.5727158188819885,0.6664638519287109,0.5,0.46807265281677246,0.4872579574584961,0.5152034163475037,0.5341901779174805,0.5,0.46748682856559753,0.5184972286224365,87983.0,1799.0,1752574637.8409128,299.0,2.06107373853779e-05,68099.0,facebook/dinov2-base,mean,
7247514061.00199-c0a3dc45-fe87,2025-07-14_09-50-52_gli_vs_men,finished,2025-07-14T09:51:02Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men/runs/7247514061.00199-c0a3dc45-fe87,,5face4bd-ab2d-4518-9f4b-bf728beca378,t-jiachentu,0.0001,False,0,Classification,300.0,False,brainmvp,300.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,6.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,gli_vs_men,True,False,1.0,epochwise,cls_token,,0.0,0.7992546558380127,0.899409830570221,0.6701381206512451,0.7153477668762207,0.4341695308685303,0.5297377705574036,0.5912415981292725,0.5085856318473816,0.5061835050582886,0.5809555053710938,44308.0,1799.0,1752530970.4183228,299.0,3.147162264971471e-09,45599.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt
jw2ygfce,2025-07-14_10-13-48_gli_vs_men,failed,2025-07-14T10:13:55Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men/runs/jw2ygfce,,6ac3f79d-c800-4a93-913d-878a92058640,t-jiachentu,0.0001,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,16.0,False,300.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,gli_vs_men,True,False,1.0,epochwise,cls_token,True,0.0,,,,,,,,,,,21.213143193,0.0,1752488056.085117,,4.761904761904762e-06,0.0,,,
poqn2bp8,2025-07-14_10-14-09_gli_vs_men,failed,2025-07-14T10:14:16Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men/runs/poqn2bp8,,a6e776cb-8874-4d73-8a80-f64fa5375e00,t-jiachentu,0.0001,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,32.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,gli_vs_men,True,False,1.0,epochwise,cls_token,True,0.0,,,,,,,,,,,6.874795598,0.0,1752488061.7515228,,4.761904761904762e-06,0.0,,,
py0re9dy,2025-07-14_10-15-32_gli_vs_men,crashed,2025-07-14T10:15:38Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men/runs/py0re9dy,,7b32b6f0-e7e1-4cfd-8156-407b6b3bf0f5,t-jiachentu,0.0001,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,4.0,False,300.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,gli_vs_men,True,False,1.0,epochwise,cls_token,True,0.0,,,,,,,,,,,10.047412211,0.0,1752488147.258814,,4.761904761904762e-06,0.0,,,
ze5pb0bh,2025-07-14_10-15-37_gli_vs_men,finished,2025-07-14T10:15:43Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men/runs/ze5pb0bh,,2133f2a6-6a6a-4841-82b3-55e060b27cd9,t-jiachentu,0.0001,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,4.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,gli_vs_men,True,False,1.0,epochwise,cls_token,True,0.0,,,,,,,,,,,8.86933575,0.0,1752488151.1097438,,4.761904761904762e-06,0.0,,,
7247473489.36855-7a534bf9-9d25,2025-07-14_21-02-22_gli_vs_men,finished,2025-07-14T21:02:45Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men/runs/7247473489.36855-7a534bf9-9d25,,19698947-f9a3-4c38-85ca-90745f8224ee,t-jiachentu,0.0001,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,4.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,gli_vs_men,True,False,1.0,epochwise,cls_token,True,0.0,0.9701735973358154,0.9904180765151978,0.900540828704834,0.9275890588760376,0.3693011999130249,0.9026837348937988,0.9178012609481812,0.7297297120094299,0.7966988682746887,0.4137594699859619,36893.0,1799.0,1752563859.7100132,299.0,3.147162264971471e-09,68099.0,,,
