run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_chpt_path,config_pretrained_path,config_dinov2_model_name,config_slice_aggregation
u885t9yk,brainiac_scratch_20250719_001814,crashed,2025-07-19T00:18:27Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_single_t1n/runs/u885t9yk,,6ea9c4e4-2b91-4601-908a-960b62d69dc7,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,gli_vs_men,True,False,1,epochwise,cls_token,True,0.0,,,,,,,,,,,,,,,,,,,,
7247100122.30773-6efde148-df2c,brainiac_scratch_20250719_044316,finished,2025-07-19T04:43:43Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_single_t1n/runs/7247100122.30773-6efde148-df2c,,092486db-b5e1-4c0c-9f32-dc27e81fa644,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,gli_vs_men,True,False,1,epochwise,cls_token,True,0.0,0.9161502718925476,0.9700542688369752,0.8081718683242798,0.8571940660476685,0.3963990211486816,0.6772717237472534,0.7713879346847534,0.6163381338119507,0.6417409777641296,0.5210830569267273,65750.0,1799.0,1752965976.1238546,299.0,3.147162264971471e-09,68099.0,,,,
7247099689.72233-f95bff3f-48ab,brainiac_pretrained_20250719_045023,finished,2025-07-19T04:50:49Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_single_t1n/runs/7247099689.72233-f95bff3f-48ab,,d99ee940-9a91-4e84-8627-ebb07a6b364b,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,gli_vs_men,True,False,1,epochwise,cls_token,True,0.0,0.7892928719520569,0.8846608400344849,0.6582540273666382,0.7054679989814758,0.43933162093162537,0.6578062772750854,0.731812596321106,0.5135135054588318,0.49462562799453735,0.6614142060279846,68722.0,1799.0,1752969374.7818992,299.0,3.147162264971471e-09,136199.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,
7247099663.58611-9ef5e404-4bf6,brainiac_scratch_20250719_045107,finished,2025-07-19T04:51:35Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_single_t1n/runs/7247099663.58611-9ef5e404-4bf6,,e4b9865e-7b93-478d-aaaf-b033eae7e21e,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,gli_vs_men,True,False,1,epochwise,cls_token,True,0.0,0.9294986128807068,0.966305375099182,0.8304818868637085,0.8730288743972778,0.3950988948345184,0.7154693603515625,0.8403272032737732,0.674507200717926,0.6895577907562256,0.47356870770454407,66024.0,1799.0,1752966723.5864618,299.0,3.147162264971471e-09,68099.0,,,,
7247099397.88240-d720c3ec-8ba3,brainmvp_pretrained_20250719_045744,finished,2025-07-19T04:58:02Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_single_t1n/runs/7247099397.88240-d720c3ec-8ba3,,7dbddcd4-a935-4300-af9a-ef06571e3103,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,6,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,1,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,gli_vs_men,True,False,1,epochwise,cls_token,,0.0,0.800503134727478,0.89240562915802,0.6628412008285522,0.7106537222862244,0.4343695044517517,0.5676895380020142,0.6604856848716736,0.5,0.46748682856559753,0.4961833357810974,44949.0,1799.0,1752946025.8263395,299.0,3.147162264971471e-09,45599.0,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,,
7247099209.89358-a99b2f38-c435,dinov2_pretrained_20250719_050344,finished,2025-07-19T05:04:02Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_single_t1n/runs/7247099209.89358-a99b2f38-c435,,d8b5c96a-6569-40c8-82da-ab77b8f3ec5a,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.001,1,False,0,True,False,full,True,0.2,False,batchgenerators.get_training_transforms,1,False,False,gli_vs_men,True,False,1,epochwise,mean,,0.5,0.8354420065879822,0.9075908660888672,0.6989126205444336,0.748054027557373,0.43164950609207153,0.933655858039856,0.9751066565513612,0.7548770904541016,0.8160291910171509,0.4436219036579132,54713.0,1799.0,1752956152.510165,299.0,2.06107373853779e-05,68099.0,,,facebook/dinov2-base,mean
7247099183.76948-ca71c444-3b07,dinov2_finetuned_20250719_050405,finished,2025-07-19T05:04:25Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_single_t1n/runs/7247099183.76948-ca71c444-3b07,,a83ffbc4-e38e-4272-ab1b-c91a3ab11e63,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,1,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,gli_vs_men,True,False,4,epochwise,mean,,0.5,0.5357096195220947,0.586633563041687,0.5,0.46807265281677246,0.49394845962524414,0.4990962743759155,0.4591546654701233,0.5,0.46748682856559753,0.5128848552703857,89322.0,1799.0,1752990786.759739,299.0,2.06107373853779e-05,68099.0,,,facebook/dinov2-base,mean
7247079741.34194-d3068015-1149,brainiac_pretrained_20250719_102321,finished,2025-07-19T10:23:48Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_single_t1n/runs/7247079741.34194-d3068015-1149,,79b76c01-bfd1-4fca-abb7-84a847591105,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,gli_vs_men,True,False,1,epochwise,cls_token,True,0.0,0.876242995262146,0.9365720748901368,0.7472873330116272,0.800911009311676,0.41572633385658264,0.5914814472198486,0.674964427947998,0.49624061584472656,0.46560847759246826,0.7320259809494019,67711.0,1799.0,1752988341.1222525,299.0,3.147162264971471e-09,136199.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,
7247079712.26807-cf60642a-022b,brainiac_scratch_20250719_102345,finished,2025-07-19T10:24:14Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_single_t1n/runs/7247079712.26807-cf60642a-022b,,70b6a357-cc03-446a-aaaa-d36f6bb7d636,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,gli_vs_men,True,False,1,epochwise,cls_token,True,0.0,0.887365460395813,0.942405104637146,0.7610487937927246,0.8134517073631287,0.41246920824050903,0.5974841117858887,0.63716721534729,0.5465352535247803,0.5559120774269104,0.5776476860046387,65312.0,1799.0,1752985966.0080492,299.0,3.147162264971471e-09,68099.0,,,,
7247079429.70431-ac559977-7d4b,brainmvp_pretrained_20250719_102931,finished,2025-07-19T10:29:52Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_men_single_t1n/runs/7247079429.70431-ac559977-7d4b,,18a12a61-185c-4327-b9b1-d5502b7b7538,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,6,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,1,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,gli_vs_men,True,False,1,epochwise,cls_token,,0.0,0.7582101821899414,0.8491233587265015,0.6465765237808228,0.6880487203598022,0.445605605840683,0.5119686126708984,0.531141996383667,0.5,0.46748682856559753,0.5199698209762573,44985.0,1799.0,1752965973.505226,299.0,3.147162264971471e-09,45599.0,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,,
