run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_epoch,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss
7246918911.06550-474e096f-8a2f,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_07-11-01,failed,2025-07-21T07:11:28Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246918911.06550-474e096f-8a2f,,d9ec0064-31ea-4a12-a9be-279fb4058c67,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,False,False,1,epochwise,cls_token,True,0.0,79.0,0,1753081933.6838915,2.380952380952381e-06,0,,,,,,,,,,,,,,,,,,,,,,,
7246918885.77032-05c31155-311b,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-07-21_07-11-13,failed,2025-07-21T07:11:40Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246918885.77032-05c31155-311b,,f95c0b38-50a1-4258-a6e3-ab9985abee18,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,False,False,1,epochwise,cls_token,True,0.0,81.0,0,1753081946.3464603,4.761904761904762e-06,0,,,,,,,,,,,,,,,,,,,,,,,
7246918183.46985-9b091e87-17a5,brainmvp_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_07-20-29,crashed,2025-07-21T07:20:51Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246918183.46985-9b091e87-17a5,,090d840d-a689-451b-93ef-86d4507493c7,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,False,False,1,epochwise,cls_token,True,0.0,39043.515694152,840,1753121498.727044,6.112604669781575e-05,64120,0.9784067273139954,0.988077998161316,0.932142734527588,0.9467993974685668,0.3553200960159302,0.7296314239501953,0.8087044954299927,0.7181415557861328,0.682064414024353,0.515620768070221,139.0,,,,,,,,,,,,
7246912979.22295-9b93cf9b-6598,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_08-42-42,crashed,2025-07-21T08:43:09Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246912979.22295-9b93cf9b-6598,,4ea01af2-6781-4010-ac30-79fc24717d76,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,False,False,1,epochwise,cls_token,True,0.0,33491.733005115,246,1753120882.1418602,4.197001863832355e-05,37556,0.9783040285110474,0.9906185865402222,0.9327685236930848,0.9491382241249084,0.3611423671245575,0.7289824485778809,0.8256698846817017,0.7366011142730713,0.701857328414917,0.5849111080169678,40.0,,,,,,,,,,,,
7246912947.21454-8dd7f79c-3e43,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-07-21_08-43-14,crashed,2025-07-21T08:43:42Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246912947.21454-8dd7f79c-3e43,,10cae1f7-544c-4d71-9d9b-982cfcd0947f,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,False,False,1,epochwise,cls_token,True,0.0,34002.648541919,252,1753121425.7753654,8.247240241650919e-05,38472,0.93421733379364,0.9642234444618224,0.8356225490570068,0.8720118999481201,0.38994473218917847,0.8046510219573975,0.8804703950881958,0.5128205418586731,0.49166667461395264,0.46260830760002136,41.0,,,,,,,,,,,,
7246912165.12976-3c813b9f-9d2f,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_08-56-58,crashed,2025-07-21T08:57:24Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246912165.12976-3c813b9f-9d2f,,7977363f-ccf3-4a47-902c-e0074cfd3144,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,False,False,1,epochwise,cls_token,True,0.0,33408.253524748,246,1753121657.212664,4.197001863832355e-05,37556,0.9799556732177734,0.9870511293411256,0.9260988235473632,0.9507313370704652,0.3604954481124878,0.6875188946723938,0.8000770807266235,0.7179969549179077,0.6053027510643005,0.7116456627845764,40.0,,,,,,,,,,,,
7246912134.06555-b27a91d9-2f5c,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-07-21_08-57-05,crashed,2025-07-21T08:57:34Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246912134.06555-b27a91d9-2f5c,,0fdd435c-0f49-4c5e-a55c-6685f4e646e5,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,False,False,1,epochwise,cls_token,True,0.0,34009.26156232,252,1753122265.6631527,8.247240241650919e-05,38472,0.9362201690673828,0.9680370092391968,0.8435437679290771,0.8762961626052856,0.3884367346763611,0.5801681280136108,0.5596684217453003,0.5,0.4658493995666504,0.5386578440666199,41.0,,,,,,,,,,,,
7246911245.15187-ed5baa00-9d9d,brainmvp_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_09-12-57,crashed,2025-07-21T09:13:20Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246911245.15187-ed5baa00-9d9d,,148b8802-8987-4f50-b93f-ee4588ba0ca5,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,False,False,1,epochwise,cls_token,True,0.0,33471.308260202,462,1753122672.8785846,1.904530253450832e-05,70532,0.9465563297271729,0.9734283685684204,0.8673074245452881,0.8884972333908081,0.38079625368118286,0.6734724044799805,0.771496057510376,0.6059861183166504,0.638392984867096,0.48613202571868896,76.0,,,,,,,,,,,,
7246910708.10195-066da490-b053,dinov2_frozen_multi_t1n_t1c_t2w_t2f_2025-07-21_09-21-01,crashed,2025-07-21T09:21:20Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246910708.10195-066da490-b053,,a361d2ac-e081-4a05-b443-e4b630b6e268,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.001,4,False,0,True,False,full,True,0.2,,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,False,False,1,epochwise,mean,True,0.5,31485.888578213,240,1753121168.4180226,0.0008535533905932737,36640,0.7628742456436157,0.8728939890861511,0.7854529619216919,0.7313101291656494,1.2185273170471191,0.8667207956314087,0.9114131927490234,0.7792076468467712,0.5951470732688904,0.7517111301422119,39.0,facebook/dinov2-base,mean,,,,,,,,,,
7246910667.81893-e992102a-b858,dinov2_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_09-21-20,failed,2025-07-21T09:21:39Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246910667.81893-e992102a-b858,,241f7f61-34aa-4ac0-905f-b00bc67b780c,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,False,False,1,epochwise,mean,True,0.5,74.0,0,1753089747.53206,4.761904761904762e-06,0,,,,,,,,,,,,facebook/dinov2-base,mean,,,,,,,,,,
