run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch,config_dinov2_model_variant
7246052495.91761-775fc090-56dc,brainiac_pretrained_t2f_2025-07-31_07-44-07,finished,2025-07-31T07:44:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t2f/runs/7246052495.91761-775fc090-56dc,,98fbb17d-8c7c-4588-9936-d6dddefb8282,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.7823913097381592,0.8620306253433228,0.8440124988555908,0.7410370111465454,0.5667747855186462,0.9296897649765016,0.960242748260498,0.8454949259757996,0.8883149027824402,0.38977786898612976,0.8188076019287109,0.8726376891136169,0.7518289089202881,0.7489265203475952,0.47584977746009827,23288.0,500,1753971167.9897115,100,7.709637592770997e-09,22700,,,,,,,,,,,,,,,,,,,,,,,,,,
7246052427.37586-f2143415-021c,brainiac_scratch_t2f_2025-07-31_07-46-20,finished,2025-07-31T07:46:56Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t2f/runs/7246052427.37586-f2143415-021c,,ff43df0b-2651-4597-b959-db79da594e2b,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,,True,0.0,0.7397756576538086,0.8164794445037842,0.735246479511261,0.6324306726455688,0.6101682782173157,0.8812043070793152,0.9310261011123656,0.7558358907699585,0.8071280717849731,0.4096323549747467,0.7379719614982605,0.7796180248260498,0.7179943323135376,0.6760988235473633,0.5462716221809387,22830.0,500,1753970844.6853552,100,7.709637592770997e-09,22700,,,,,,,,,,,,,,,,,,,,,,,,,,
7246052322.18211-9654d6c0-0188,brainmvp_pretrained_t2f_2025-07-31_07-47-09,finished,2025-07-31T07:47:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t2f/runs/7246052322.18211-9654d6c0-0188,,d4eddef4-1bd4-48c4-af5f-f4fcd388a384,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.6690127849578857,0.7869217395782471,0.643840491771698,0.6561370491981506,0.48975855112075806,0.8769676685333252,0.9288904666900636,0.7445775270462036,0.8032246828079224,0.4095887839794159,0.6187245845794678,0.7707782983779907,0.6954379081726074,0.6371257305145264,0.606789231300354,15553.0,500,1753963614.453669,100,7.709637592770997e-09,22700,,,,,,,,,,,,,,,,,,,,,,,,,,
7246052172.92232-abcfc9a5-13c5,dinov2_pretrained_t2f_2025-07-31_07-49-11,finished,2025-07-31T07:49:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t2f/runs/7246052172.92232-abcfc9a5-13c5,,a58cd3d4-a20f-4dc7-9811-9ce63db30261,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,mean,,True,0.5,0.960722267627716,0.9791983366012572,0.9035327434539796,0.9337691068649292,0.3806239068508148,0.8648087978363037,0.9286837577819824,0.7637585997581482,0.8109773397445679,0.41542288661003113,0.7125368714332581,0.8513513803482056,0.6182178258895874,0.6458441615104675,0.4598145484924317,33028.0,500,1753981203.791191,100,7.709637592770997e-09,45400,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,,
7246052106.39920-3a57b595-77c5,mri_core_frozen_t2f_2025-07-31_07-51-07,finished,2025-07-31T07:51:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t2f/runs/7246052106.39920-3a57b595-77c5,,bbc300e0-4f9a-49aa-8c9b-e74f4874c5bc,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.5414405465126038,0.6333130598068237,0.5,0.4676007032394409,0.4967081546783447,0.5006725788116455,0.4983982443809509,0.5,0.46807265281677246,0.49534374475479126,0.5934935212135315,0.7722516059875488,0.5,0.46748682856559753,0.4970061182975769,21548.0,500,1753969847.3262894,100,7.709637592770997e-09,22700,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,,,,,,,,,,,,,,
7246051971.59918-58351757-a0e1,resenc_pretrained_t2f_2025-07-31_07-52-33,finished,2025-07-31T07:53:07Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t2f/runs/7246051971.59918-58351757-a0e1,,c117a821-0ad3-44e5-a626-085df3200790,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.9287551045417786,0.939923107624054,0.8806559443473816,0.8897180557250977,0.3889133930206299,0.9731255769729614,0.9815537929534912,0.922850787639618,0.9402745962142944,0.35878250002861023,0.9501033425331116,0.9761227369308472,0.8960069417953491,0.9054306745529176,0.3739939033985138,24868.0,500,1753973254.7809167,100,7.709637592770997e-09,11400,,,,,,,,,,,,,,,,,,,,,,,,,,
7246052250.65201-886a0efd-b3f3,dinov2_frozen_t2f_2025-07-31_07-53-41,finished,2025-07-31T07:54:03Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t2f/runs/7246052250.65201-886a0efd-b3f3,,5dc86e22-7aad-483e-80f2-d1a15319fe07,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,True,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,,True,0.5,0.7482393980026245,0.8566656112670898,0.5576475262641907,0.24338829517364505,0.8895530700683594,0.8272082805633545,0.9000470638275146,0.7449908256530762,0.7822890281677246,0.4361874759197235,0.8044012188911438,0.8838142156600952,0.6146616339683533,0.3191608190536499,0.8246191143989563,16342.0,500,1753964782.8572245,100,7.709637592770997e-09,22700,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,,
7246052037.67652-aebf00f4-fff2,mri_core_pretrained_t2f_2025-07-31_07-53-30,finished,2025-07-31T07:54:04Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t2f/runs/7246052037.67652-aebf00f4-fff2,,956e4a7a-7502-4b9a-b305-3e4724f9ce3e,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.5981274843215942,0.6990586519241333,0.5,0.4676007032394409,0.4864729344844818,0.7609284520149231,0.8718122243881226,0.6223891973495483,0.6578974723815918,0.4429647624492645,0.6756957173347473,0.806695818901062,0.5,0.46748682856559753,0.4754470884799957,43355.0,500,1753991797.9663217,100,7.709637592770997e-09,45400,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,,,,,,,,,,,,,,,,
7246051831.96291-3e7e64e1-c770,resenc_multimodal_mm_mdae_pretrained_pretrained_t2f_2025-07-31_07-54-36,finished,2025-07-31T07:55:03Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t2f/runs/7246051831.96291-3e7e64e1-c770,,51a39aad-37a7-4259-8dcd-8c746609b5b6,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.8038836717605591,0.8371798992156982,0.7669298648834229,0.7903274893760681,0.43315571546554565,0.9445734024047852,0.9573262929916382,0.8763535022735596,0.9068813323974608,0.3768760561943054,0.7555906176567078,0.8520625829696655,0.740550696849823,0.7221164107322693,0.5078191757202148,24702.0,500,1753973202.039146,100,7.709637592770997e-09,11400,,,,,,,,,,,,,,,,,,,,,,,,,,
7246051900.44735-9f6fb661-94ad,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-07-31_07-54-32,finished,2025-07-31T07:55:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t2f/runs/7246051900.44735-9f6fb661-94ad,,09a2aca7-4740-410c-8862-139a720edd5c,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.8171281814575195,0.8697236776351929,0.8177952766418457,0.6923699378967285,0.563644528388977,0.9971431493759156,0.9991847276687622,0.979773998260498,0.981682062149048,0.3405384421348572,0.7472063302993774,0.8648648262023926,0.7638183236122131,0.7331602573394775,0.5089312791824341,48212.0,1000,1753996719.109946,200,1.5230484360873043e-09,22800,,,,,,,,,,,,,,,,,,,,,,,,,,
