run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_slice_aggregation,config_pretrained_checkpoint_path,config_dinov2_model_name,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch,config_dinov2_model_variant
7246051636.97167-80386075-e314,brainiac_scratch_t2w_2025-07-31_08-04-54,finished,2025-07-31T08:05:19Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2w/runs/7246051636.97167-80386075-e314,,5a2139c7-5493-454f-b147-972eb0526762,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6880471706390381,0.6722972989082336,0.5489864945411682,0.4420289993286133,0.8380950093269348,0.9115469455718994,0.9077079892158508,0.7958911657333374,0.7960609197616577,0.5143886208534241,0.7754114866256714,0.7803187370300293,0.601871132850647,0.5331880450248718,0.8100368976593018,8110,500.0,1753957229.3734477,100.0,7.709637592770997e-09,5700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246051305.46570-34d8c0ec-6df4,mri_core_frozen_t2w_2025-07-31_08-04-50,finished,2025-07-31T08:05:23Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2w/runs/7246051305.46570-34d8c0ec-6df4,,2c533489-7642-4f15-9c41-035cbde119dc,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,mean,,0.5,0.6082959175109863,0.6425675749778748,0.5,0.34188035130500793,0.6926369667053223,0.5362994074821472,0.524543285369873,0.4884341061115265,0.3646586239337921,0.6923031806945801,0.6991209983825684,0.7186417579650879,0.5,0.3391304314136505,0.6928293704986572,6881,500.0,1753956004.3925884,100.0,7.709637592770997e-09,5700.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,,,,,,,,,,,,,,,,
7246051571.34513-c9b00f67-32a2,brainmvp_pretrained_t2w_2025-07-31_08-05-29,finished,2025-07-31T08:05:55Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2w/runs/7246051571.34513-c9b00f67-32a2,,7b58ccc9-c786-4f04-be6b-7830de0547c6,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5886996984481812,0.5989865064620972,0.5,0.3245614171028137,0.7786450386047363,0.7692387104034424,0.7609189748764038,0.6940327882766724,0.6903610229492188,0.6134861707687378,0.6936773061752319,0.6763686537742615,0.5984060764312744,0.5706214904785156,0.7637410163879395,5774,500.0,1753954929.2562473,100.0,7.709637592770997e-09,5700.0,,,,,,,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,,,,,,,,,,,
7246051166.07711-54a57026-7489,resenc_pretrained_t2w_2025-07-31_08-05-38,finished,2025-07-31T08:06:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2w/runs/7246051166.07711-54a57026-7489,,231c90c2-0217-4311-ae25-6ae8ca66cb48,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,,0.2,0.6103050112724304,0.5608108043670654,0.6000000238418579,0.5157232880592346,0.6901953816413879,0.9986457824707032,0.9985885620117188,0.995412826538086,0.9955682158470154,0.33475106954574585,1.0,1.0,1.0,1.0,0.32791411876678467,8529,500.0,1753957705.4255536,100.0,7.709637592770997e-09,2900.0,,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,,,,,,
7246051096.67140-4fe40325-42d0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-31_10-54-45,finished,2025-07-31T08:07:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2w/runs/7246051096.67140-4fe40325-42d0,,9fff59b1-e1a0-45cb-9fb4-d85b94c3326f,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,,0.2,0.9597154855728148,0.958783745765686,0.512499988079071,0.3518238663673401,0.6339720487594604,0.9996908903121948,0.999686360359192,0.995412826538086,0.9955682158470154,0.3403950035572052,1.0,1.0,0.9864864945411682,0.9868215322494508,0.34300193190574646,23801,1544.0,1753973751.9077775,200.0,1.5230484360873043e-09,5800.0,,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,,
7246051491.10369-9a360f35-b517,dinov2_frozen_t2w_2025-07-31_08-07-21,finished,2025-07-31T08:07:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2w/runs/7246051491.10369-9a360f35-b517,,a4142cbc-13cf-407c-a726-bdce5782b05a,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,True,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,mean,True,0.5,0.5927299857139587,0.5695945620536804,0.5249999761581421,0.3779761791229248,0.7180961966514587,0.7659027576446533,0.765349268913269,0.6905041933059692,0.6901684403419495,0.6266674995422363,0.9530770778656006,0.9535689353942872,0.7179487347602844,0.6889880895614624,0.6194714903831482,7413,500.0,1753956679.3297546,100.0,7.709637592770997e-09,5700.0,,,,,,,,,mean,,facebook/dinov2-base,,,,,,,,,,,,,,,,
7246051029.64417-0b936bd1-1a20,resenc_multimodal_mm_mdae_pretrained_pretrained_t2w_2025-07-31_08-07-57,finished,2025-07-31T08:08:23Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2w/runs/7246051029.64417-0b936bd1-1a20,,d05598f5-2c97-4af4-a4d2-a84a237100d2,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,,0.2,0.9366117715835572,0.9378378391265868,0.5,0.34188035130500793,0.6610697507858276,0.9704873561859132,0.9803183674812316,0.9819650650024414,0.9822661876678468,0.3814810812473297,0.996033787727356,0.9958419799804688,0.9743589758872986,0.9736841917037964,0.3683306574821472,8650,500.0,1753957953.2724628,100.0,7.709637592770997e-09,2900.0,,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,,
7246051406.25380-f4d335e6-6e22,dinov2_pretrained_t2w_2025-07-31_08-09-12,finished,2025-07-31T08:09:38Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2w/runs/7246051406.25380-f4d335e6-6e22,,b497b750-0da9-45d1-9131-6aacad0a466b,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,mean,True,0.5,0.60698401927948,0.570270299911499,0.5,0.3245614171028137,1.09030020236969,1.0,1.0,1.0,1.0,0.3277343809604645,1.0,1.0,1.0,1.0,0.3504934012889862,10046,500.0,1753959423.7056558,100.0,7.709637592770997e-09,11300.0,,,,,,,,,mean,,facebook/dinov2-base,,,,,,,,,,,,,,,,
7246050923.55087-2abee0eb-ace7,resenc_time_conditioned_pretrained_t2w_2025-07-31_08-10-44,finished,2025-07-31T08:11:30Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2w/runs/7246050923.55087-2abee0eb-ace7,,44d8c898-d30b-46db-be99-6545a3c093c9,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.6705350279808044,0.6527026891708374,0.550000011920929,0.4272727370262146,1.1038953065872192,0.9996908903121948,0.999686360359192,0.995412826538086,0.9955682158470154,0.335735559463501,0.938257098197937,0.9334719181060792,0.8461538553237915,0.8393234610557556,0.550782322883606,17121,1000.0,1753966593.5368333,200.0,1.5230484360873043e-09,22600.0,,,,,,,,False,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,256.0,0.5,64.0,,,,,,,,,,,,,
7246051233.42213-f1c20a33-d047,mri_core_pretrained_t2w_2025-07-31_08-11-36,finished,2025-07-31T08:12:09Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2w/runs/7246051233.42213-f1c20a33-d047,,17069650-eef5-427b-89ff-1d60d96f6015,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,mean,,0.5,0.6762418746948242,0.6736487150192261,0.5,0.34188035130500793,0.6926775574684143,0.6099827289581299,0.6343605518341064,0.5862542390823364,0.5855664014816284,0.6780731081962585,0.7419666051864624,0.7217602133750916,0.5128205418586731,0.3553571403026581,0.6984140276908875,12623,500.0,1753962151.4017217,100.0,7.709637592770997e-09,11300.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,,,,,,,,,,,,,,,,
