run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_token_aggregation_method,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7246004269.97936-2ded619f-2eeb,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-31_21-13-14,finished,2025-07-31T21:13:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246004269.97936-2ded619f-2eeb,,7d262fc5-14fe-4754-98da-c44a257dfd56,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,10.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,False,0.2,0.8187500238418579,0.75,0.5,0.25,0.6965816617012024,1.0,1.0,1.0,1.0,0.4430118203163147,0.550000011920929,0.375,0.25,0.25,0.7038518786430359,4511,500.0,1754000938.4972334,100.0,1.927409398192747e-08,200.0,,,,,,,,,,,,,,,
7245191612.68481-1970dae5-5013,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_06-55-24,failed,2025-08-10T06:55:45Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245191612.68481-1970dae5-5013,,17c98162-f0fe-4af5-8f43-011f85237649,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,
7245191561.83277-fe6e50d4-65dd,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-08-10_06-56-39,failed,2025-08-10T06:56:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245191561.83277-fe6e50d4-65dd,,87dda50c-1324-4be5-b82e-587ad9efe148,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,
7245190979.60266-a9cda0b2-d2cb,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-04-47,finished,2025-08-10T07:05:09Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245190979.60266-a9cda0b2-d2cb,,096f4501-3604-4e19-82c3-57ca24220724,t-jiachentu,False,0,Classification,200.0,False,brainmvp,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,6e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,60.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.3958333134651184,0.0,0.5,0.4000000059604645,0.6902129054069519,1.0,1.0,1.0,1.0,0.20067042112350464,0.6729166507720947,0.5,0.5,0.485714316368103,1.0466545820236206,4106,1000.0,1754813615.3960016,200.0,4.5691453082619125e-09,400.0,0.2,cls_token,,,,,,,,,,,,,
7245190439.29626-5845ba73-5f79,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-14-31,finished,2025-08-10T07:14:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245190439.29626-5845ba73-5f79,,280744b5-22f8-4d2c-b435-b8a17219bf4d,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,4.0,False,0.0,True,False,full,True,0.1,16.0,False,batchgenerators.get_training_transforms,1.0,60.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,,True,0.5,0.6104166507720947,0.5,0.5,0.4000000059604645,0.769818127155304,0.8346468210220337,0.8181818723678589,0.7545454502105713,0.7681159377098083,0.5101827383041382,0.8916666507720947,0.875,0.75,0.7777777910232544,0.5083221197128296,7859,500.0,1754817949.9551113,100.0,3.854818796385494e-08,100.0,,mean,facebook/dinov2-base,mean,,,,,,,,,,,
7245190389.30292-425267f6-7a80,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-18-04,failed,2025-08-10T07:18:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245190389.30292-425267f6-7a80,,a43d8fda-18ae-4a2d-a97a-2b02b82837db,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,
7245189631.06316-01483296-05d5,mri_core_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-21-56,failed,2025-08-10T07:23:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245189631.06316-01483296-05d5,,df3a97a6-1085-42c8-91e3-1be3314d1f5e,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,4.0,False,0.0,True,False,full,,0.1,16.0,False,batchgenerators.get_training_transforms,1.0,60.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,False,0.5,,,,,,,,,,,,,,,,465,0.0,1754811013.3501143,,4.761904761904762e-06,0.0,,mean,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,
7245189580.17228-56c0863c-732d,mri_core_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-22-28,failed,2025-08-10T07:23:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245189580.17228-56c0863c-732d,,3144704b-855d-4351-84eb-9fb87729ea37,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,
7245188987.07054-bec09508-d58c,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-39-05,finished,2025-08-10T07:39:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245188987.07054-bec09508-d58c,,4bc4debd-3643-43b8-95b9-eb40b649b286,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,7e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,60.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,False,0.2,1.0,1.0,0.875,0.8285714387893677,0.6115843653678894,0.9285930395126344,0.9454545974731444,0.9545454978942872,0.9307359457015992,0.3612874746322632,0.8916666507720947,0.875,0.5,0.4000000059604645,0.7171366214752197,6773,900.0,1754818353.750285,180.0,6.746583127731344e-09,360.0,,,,,,,,,,,,,,,
7245188595.07921-e0051c65-54a9,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-39-37,finished,2025-08-10T07:40:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245188595.07921-e0051c65-54a9,,69a0c41b-a718-40a2-b5c0-473d054a5431,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,7e-05,4.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,60.0,False,False,dss_1year,False,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.2,0.8187500238418579,0.75,0.625,0.485714316368103,0.6957623362541199,1.0,1.0,1.0,1.0,0.22173330187797544,0.6166666746139526,0.5,0.25,0.25,1.772525191307068,6949,900.0,1754818559.9678204,180.0,6.746583127731344e-09,360.0,,,,,,,,,,,,,,,
