run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric__runtime,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7246073628.57759-b100364f-7601,brainiac_pretrained_flair_2025-07-31_01-53-10,failed,2025-07-31T01:53:31Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246073628.57759-b100364f-7601,,06e08004-df35-42f8-80dd-473dc5ae4209,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246073177.35444-f162764f-79d9,dinov2_frozen_flair_2025-07-31_01-58-50,failed,2025-07-31T01:59:11Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246073177.35444-f162764f-79d9,,9d7e9864-e796-4f2d-876e-74ff6c0f287a,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,True,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,mean,,True,0.5,1.0,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246072863.21992-a3bcc085-3fb6,mri_core_frozen_flair_2025-07-31_02-04-19,failed,2025-07-31T02:04:58Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246072863.21992-a3bcc085-3fb6,,20120572-4c5b-4070-bfe4-7323304b24c5,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,8,False,100,False,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,1.0,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246073015.18418-bb6a1480-a554,dinov2_pretrained_flair_2025-07-31_02-05-11,failed,2025-07-31T02:05:33Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246073015.18418-bb6a1480-a554,,6c3c281a-4176-4b1e-922b-abb722ca49b5,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,mean,,True,0.5,1.0,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246073473.53997-d9971fe4-d2a6,brainiac_scratch_flair_2025-07-31_02-05-11,failed,2025-07-31T02:05:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246073473.53997-d9971fe4-d2a6,,53024942-10df-4c01-ab75-33e616b97b13,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,,True,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246072709.67607-1986efed-13a5,mri_core_pretrained_flair_2025-07-31_02-07-11,failed,2025-07-31T02:07:45Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246072709.67607-1986efed-13a5,,9552493d-b98d-4945-b945-3fd9abfe69ee,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,2.0,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246072566.73982-817464e9-e53b,resenc_pretrained_flair_2025-07-31_02-09-28,failed,2025-07-31T02:10:04Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246072566.73982-817464e9-e53b,,4c885038-ee79-4d33-a934-b9240a1711e8,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246072402.24028-709b0f1d-278f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-31_02-12-39,failed,2025-07-31T02:13:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246072402.24028-709b0f1d-278f,,2e901fd6-9091-4647-b27d-0cf7ad633003,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246072254.16203-2a75561b-c9c4,resenc_multimodal_mm_mdae_pretrained_pretrained_flair_2025-07-31_02-14-25,failed,2025-07-31T02:14:50Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246072254.16203-2a75561b-c9c4,,624e16eb-db91-4c4e-98a9-5e94f59e6955,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246072108.64132-ab921349-b20d,resenc_time_conditioned_pretrained_flair_2025-07-31_02-16-52,failed,2025-07-31T02:17:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_flair/runs/7246072108.64132-ab921349-b20d,,c6239997-3a55-4210-8e59-58743903a37f,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,2.0,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
