run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim
7245191461.84673-2ba1b196-93b1,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_06-54-22,finished,2025-08-10T06:54:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7245191461.84673-2ba1b196-93b1,,888f2e6c-971a-44e9-8eb7-f60576b083b4,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,age_group,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.632564902305603,0.6464120149612427,0.5723379850387573,0.4954070448875427,1.0363012552261353,0.9642889499664308,0.9617798328399658,0.8929146528244019,0.8934498429298401,0.4537539780139923,0.6776365637779236,0.684303343296051,0.5886243581771851,0.572857141494751,0.8380872011184692,122700.0,1000.0,1754931580.3980267,200.0,4.5691453082619125e-09,70000.0,,,,
7245191282.58271-702c4f04-0dd8,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-08-10_07-00-44,finished,2025-08-10T07:01:07Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7245191282.58271-702c4f04-0dd8,,e383d232-d979-496d-8085-fdc9781ed43a,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,age_group,False,power,3.0,False,1.0,True,epochwise,cls_token,,True,0.0,0.528356671333313,0.4782986044883728,0.5,0.35164836049079895,0.6943418979644775,0.8847834467887878,0.8871307373046875,0.7845640778541565,0.7844314575195312,0.5359194278717041,0.46355071663856506,0.4135802388191223,0.5185185074806213,0.38964688777923584,0.871228814125061,122791.0,1000.0,1754932053.467659,200.0,4.5691453082619125e-09,70000.0,,,,
7245190901.59203-cbafeb68-9b77,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-02-34,finished,2025-08-10T07:02:56Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7245190901.59203-cbafeb68-9b77,,f9c96e80-ebbe-45ca-846a-397a113828c9,t-jiachentu,False,0,Classification,200.0,False,brainmvp,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,age_group,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.79242342710495,0.7850115895271301,0.6837384700775146,0.6654307842254639,0.7574984431266785,0.912931740283966,0.9147852659225464,0.8327582478523254,0.8330591917037964,0.508018434047699,0.7430061101913452,0.7476484775543213,0.7050265073776245,0.6884615421295166,0.7991970181465149,31351.0,1000.0,1754840726.2289364,200.0,4.5691453082619125e-09,17600.0,,,,
7245190287.60083-af8d2ff1-8bd2,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-15-42,crashed,2025-08-10T07:16:02Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7245190287.60083-af8d2ff1-8bd2,,caf94fc8-a4bc-4d38-af97-f007eca7c11d,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245190110.71127-23f67997-da3b,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-20-18,failed,2025-08-10T07:20:39Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7245190110.71127-23f67997-da3b,,7e486204-7792-4cdf-83e9-b35fecac0ff9,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111.0,,,,,,,,,
7245189477.85824-d6e5ad8a-5ca9,mri_core_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-24-15,crashed,2025-08-10T07:24:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7245189477.85824-d6e5ad8a-5ca9,,5a70a3a8-af69-490f-abd7-d15157fb92cb,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245189295.79901-eb46f3fa-2a75,mri_core_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-27-20,failed,2025-08-10T07:27:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7245189295.79901-eb46f3fa-2a75,,e43fc914-7a9c-4e47-8069-d39a001b8b34,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.0,,,,,,,,,
7245188909.83517-5b4e0a38-03fb,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-33-54,finished,2025-08-10T07:34:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7245188909.83517-5b4e0a38-03fb,,b8a4e9b0-4c07-4e08-99cd-b719fff2313c,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,age_group,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.8680611848831177,0.8744213581085205,0.7809606790542603,0.7790898680686951,0.569008469581604,0.8802919983863831,0.8829077482223511,0.8066482543945312,0.8070578575134277,0.5562615394592285,0.7915102243423462,0.7923280000686646,0.7208994626998901,0.7178663015365601,0.6140544414520264,36258.0,900.0,1754847522.761836,180.0,6.746583127731344e-09,7920.0,,,,
7245188456.52450-2fbb158e-ab11,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-42-08,finished,2025-08-10T07:42:44Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7245188456.52450-2fbb158e-ab11,,7cd0bc43-f94a-4294-8a9a-b54762139c69,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,age_group,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.8791496157646179,0.8842592239379883,0.8043981790542603,0.8039442300796509,0.5415699481964111,0.9425411224365234,0.9408458471298218,0.8605935573577881,0.8615506291389465,0.4777830839157105,0.7426920533180237,0.7574955821037292,0.6759259700775146,0.6746194362640381,0.6763537526130676,38776.0,900.0,1754850539.0630298,180.0,6.746583127731344e-09,7920.0,,,,
7245188042.37272-87dc0b66-ab8e,resenc_time_conditioned_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-48-14,finished,2025-08-10T07:49:44Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7245188042.37272-87dc0b66-ab8e,,594b9940-d37a-490e-94f8-0fddaf55eb92,t-jiachentu,False,0,Classification,180.0,False,ResEncTimeConditioned,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,age_group,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.6091709136962891,0.6190682649612427,0.5,0.35164836049079895,0.6863816976547241,0.661963701248169,0.6890137195587158,0.6151368618011475,0.6101915836334229,0.6637658476829529,0.6631410121917725,0.6860669851303101,0.6441799402236938,0.6444823741912842,0.6686803102493286,35677.0,900.0,1754847860.510806,180.0,6.746583127731344e-09,15840.0,256.0,0.5,False,64.0
