run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim
7245191357.26988-1d702ef9-2cda,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_06-59-29,finished,2025-08-10T06:59:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_multi_t1_t1gd_t2_flair/runs/7245191357.26988-1d702ef9-2cda,,7b9d2d82-8256-492e-bebb-b387fbc71991,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,survival_18month,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.4920940399169922,0.47160011529922485,0.5,0.4010152220726013,0.6573335528373718,0.6101714968681335,0.6233672499656677,0.5,0.4017094075679779,0.646803617477417,0.4815097153186798,0.42405062913894653,0.5,0.4030612111091614,0.8267414569854736,122622.0,1000.0,1754931806.50756,200.0,4.5691453082619125e-09,70000.0,,,,
7245191180.12317-ef2f98b3-f13c,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-08-10_07-02-11,finished,2025-08-10T07:02:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_multi_t1_t1gd_t2_flair/runs/7245191180.12317-ef2f98b3-f13c,,436d8dd9-dd41-4265-8df1-e8783a50edba,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,survival_18month,False,power,3.0,False,1.0,True,epochwise,cls_token,,True,0.0,0.5214457511901855,0.49853944778442383,0.5,0.4010152220726013,0.6579785943031311,0.6641650199890137,0.6750971078872681,0.5632747411727905,0.5326133370399475,0.6296406984329224,0.47429704666137695,0.4450366497039795,0.4873417615890503,0.3969072103500366,0.6664563417434692,122005.0,1000.0,1754931356.631436,200.0,4.5691453082619125e-09,70000.0,,,,
7245190770.09591-e05796dc-40f0,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-02-46,finished,2025-08-10T07:03:09Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_multi_t1_t1gd_t2_flair/runs/7245190770.09591-e05796dc-40f0,,b15fdbee-9f3b-4731-b9c6-acb14181d0ee,t-jiachentu,False,0,Classification,200.0,False,brainmvp,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,survival_18month,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.4739832580089569,0.4384939968585968,0.4871794879436493,0.24358974397182465,0.7171311378479004,0.7904379367828369,0.8252358436584473,0.7430157661437988,0.7451550960540771,0.5643147230148315,0.5970329642295837,0.5686209201812744,0.5526315569877625,0.5066964626312256,0.7427433133125305,28265.0,1000.0,1754837654.2034209,200.0,4.5691453082619125e-09,17600.0,,,,
7245190185.70683-c953d3f7-c497,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-18-02,crashed,2025-08-10T07:18:20Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_multi_t1_t1gd_t2_flair/runs/7245190185.70683-c953d3f7-c497,,3db3da18-91db-4b53-9af0-b1830043a637,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245189977.14244-ce1b01e2-ab0b,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-22-54,failed,2025-08-10T07:23:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_multi_t1_t1gd_t2_flair/runs/7245189977.14244-ce1b01e2-ab0b,,0f78eaed-f052-4709-aea6-1ad9bc78fb72,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120.0,,,,,,,,,
7245189193.50990-01513f3f-81d2,mri_core_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-29-10,failed,2025-08-10T07:30:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_multi_t1_t1gd_t2_flair/runs/7245189193.50990-01513f3f-81d2,,838fb2a3-87fc-4998-b2cd-bb8ba532795c,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.0,,,,,,,,,
7245189375.70899-75d223d2-f6b6,mri_core_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-32-50,crashed,2025-08-10T07:34:11Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_multi_t1_t1gd_t2_flair/runs/7245189375.70899-75d223d2-f6b6,,fb1f98a2-299f-4c26-a8bc-0404cce3937c,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245188806.04294-28f76da6-923e,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-42-24,finished,2025-08-10T07:43:02Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_multi_t1_t1gd_t2_flair/runs/7245188806.04294-28f76da6-923e,,dc9e64ba-c3b6-42d9-85e5-90aff3fb0cbe,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,survival_18month,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.529758095741272,0.5426809787750244,0.5,0.4010152220726013,0.6559134125709534,0.8248744606971741,0.8451803922653198,0.7600370049476624,0.7668354511260986,0.5545617341995239,0.5762023329734802,0.5679546594619751,0.504996657371521,0.5024805068969727,0.6920355558395386,30463.0,900.0,1754842246.4233336,180.0,6.746583127731344e-09,7920.0,,,,
7245188322.35672-ac8f8b13-6313,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-43-35,finished,2025-08-10T07:44:09Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_multi_t1_t1gd_t2_flair/runs/7245188322.35672-ac8f8b13-6313,,3fa696e3-68b0-467f-906f-848403cbb42b,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,survival_18month,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.5656330585479736,0.5410580635070801,0.5,0.4010152220726013,0.7319728136062622,0.826275646686554,0.852247953414917,0.7186864018440247,0.7290570735931396,0.5480248332023621,0.6034334301948547,0.616755485534668,0.5619586706161499,0.5580629706382751,0.6829091906547546,33128.0,900.0,1754844976.0331054,180.0,6.746583127731344e-09,7920.0,,,,
7245187941.91278-d0555be0-96d8,resenc_time_conditioned_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-49-56,finished,2025-08-10T07:51:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_multi_t1_t1gd_t2_flair/runs/7245187941.91278-d0555be0-96d8,,1a330df5-da57-4049-b741-f678434c0d92,t-jiachentu,False,0,Classification,180.0,False,ResEncTimeConditioned,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,survival_18month,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.5374464392662048,0.5606945753097534,0.5,0.4010152220726013,0.6559665203094482,0.7440283298492432,0.764421820640564,0.6445883512496948,0.6534799337387085,0.5986117720603943,0.5910422801971436,0.5646235942840576,0.5809460282325745,0.5774478316307068,0.6653319597244263,32955.0,900.0,1754845229.4462557,180.0,6.746583127731344e-09,15840.0,256.0,0.5,False,64.0
