run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_token_aggregation_method,config_dropout_prob,config_use_brainiac_preprocessing,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_slice_aggregation,config_dinov2_model_name,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245977075.40912-ac9c949a-42a7,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_06-25-49,finished,2025-08-01T04:44:27Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t1/runs/7245977075.40912-ac9c949a-42a7,,67b78369-2d84-43ad-841c-ee207b9bc1ce,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5203036069869995,0.49719929695129395,0.471255898475647,0.4626454114913941,0.70583575963974,0.8362033367156982,0.8475170135498047,0.7897995710372925,0.7914438247680664,0.5687149167060852,0.6070045232772827,0.6325176954269409,0.630011796951294,0.6297740936279297,0.7282308340072632,26425,1201,1754050419.3758135,200,1.5230484360873043e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245976260.59495-3809b8f9-7b4e,resenc_time_conditioned_pretrained_t1_2025-08-01_06-12-53,finished,2025-08-01T04:55:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t1/runs/7245976260.59495-3809b8f9-7b4e,,a46abf94-f0c5-4f02-9a9f-cec2b27a72eb,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5315966606140137,0.5101709961891174,0.5,0.3535911738872528,0.7039836645126343,0.8443899154663086,0.8502358198165894,0.7891607284545898,0.7920424938201904,0.557315468788147,0.6049466133117676,0.590949296951294,0.5655955076217651,0.5655080080032349,0.7743808031082153,25824,1156,1754050544.3648005,200,1.5230484360873043e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245974479.13057-f2acbebb-fab9,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_05-29-01,finished,2025-08-01T05:29:39Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t1/runs/7245974479.13057-f2acbebb-fab9,,56d963f8-641e-412e-83fb-0fd4bd4f3107,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5347570180892944,0.5313974022865295,0.5225530862808228,0.4935820698738098,0.6933276057243347,0.7311158180236816,0.7378308773040771,0.6752653121948242,0.6760942935943604,0.6305106282234192,0.5858879089355469,0.5881485939025879,0.5688384771347046,0.5688384771347046,0.7117421627044678,22016,1000,1754048189.1009855,200,1.5230484360873043e-09,70200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245973625.71453-659e2087-2eab,resenc_time_conditioned_pretrained_t1_2025-08-01_05-38-00,finished,2025-08-01T05:39:22Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t1/runs/7245973625.71453-659e2087-2eab,,54b5559b-c82b-4e36-8c98-1f2be5d3385b,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5672119855880737,0.5610259771347046,0.5371462106704712,0.4555519819259643,0.6937121748924255,0.6524379253387451,0.6788358688354492,0.6553164720535278,0.6552034020423889,0.6562989950180054,0.6604045629501343,0.6454893350601196,0.5717865228652954,0.5710437297821045,0.6836250424385071,24576,1000,1754051331.8416483,200,1.5230484360873043e-09,70200,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245972768.39088-a24245cc-3f35,brainiac_pretrained_t1_2025-08-01_06-03-44,finished,2025-08-01T06:04:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t1/runs/7245972768.39088-a24245cc-3f35,,98503c46-94c6-4792-919e-bc64b22d0057,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,0.0,0.5847081542015076,0.5598467588424683,0.5393573045730591,0.4447457790374756,0.6850583553314209,0.6736505031585693,0.6898912191390991,0.6379716992378235,0.6357929706573486,0.6603745818138123,0.5740898251533508,0.580925703048706,0.5588148832321167,0.5425676107406616,0.7033792734146118,10398,500,1754038643.0844128,100,3.854818796385494e-08,35100,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245971937.17177-84fc9f79-7207,mri_core_pretrained_t1_2025-08-01_06-19-49,finished,2025-08-01T06:20:22Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t1/runs/7245971937.17177-84fc9f79-7207,,3316939e-ce15-49a6-8839-5675733a1578,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.5344637632369995,0.557193398475647,0.5,0.3535911738872528,0.6901868581771851,0.5375017523765564,0.5378013849258423,0.49715015292167664,0.4138072431087494,0.6888478398323059,0.5122687816619873,0.5098761320114136,0.5,0.3535911738872528,0.6902181506156921,19318,500,1754048538.096052,100,3.854818796385494e-08,17600,,,False,,mean,,,12.0,768.0,4.0,12.0,512.0,224.0,16.0,mean,,,,,,,,,,,,,
7245971127.39371-0e9c16da-fc7c,brainmvp_pretrained_t1_2025-08-01_06-27-21,finished,2025-08-01T06:27:45Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t1/runs/7245971127.39371-0e9c16da-fc7c,,1faa21c9-1e24-45b8-af6b-fbfd2fddde91,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.47505924105644226,0.4311615824699402,0.47715210914611816,0.442307710647583,0.6954485177993774,0.5576789379119873,0.5578649044036865,0.5247641801834106,0.49983763694763184,0.686564028263092,0.4463445544242859,0.38929834961891174,0.5,0.3535911738872528,0.69952791929245,8477,500,1754038142.1893404,100,3.854818796385494e-08,8800,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245970333.73685-84364a3a-3cfe,resenc_time_conditioned_pretrained_t1_2025-08-01_06-35-32,finished,2025-08-01T06:36:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t1/runs/7245970333.73685-84364a3a-3cfe,,614317eb-60df-4bfd-a9ec-7e57c0140cb5,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.49966755509376526,0.47523581981658936,0.5,0.3535911738872528,0.6913161873817444,0.6359786987304688,0.64948570728302,0.6031348705291748,0.6027826070785522,0.6684172749519348,0.5666680335998535,0.5704598426818848,0.559699296951294,0.5555230975151062,0.6870186924934387,26009,1000,1754056184.841634,200,7.615242180436517e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245969490.55717-f418387f-78a0,dinov2_pretrained_t1_2025-08-01_06-53-33,finished,2025-08-01T06:53:56Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t1/runs/7245969490.55717-f418387f-78a0,,f78d7b52-13b3-4d15-99a6-48d0c1c4b6b5,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,,0.5,0.6224695444107056,0.6036261320114136,0.5,0.3535911738872528,0.6902761459350586,0.5333288311958313,0.5112683773040771,0.49724841117858887,0.4300594031810761,0.6899842023849487,0.5830768346786499,0.5737028121948242,0.5,0.3535911738872528,0.6902926564216614,15323,500,1754046556.8570297,100,3.854818796385494e-08,17600,,,,,mean,,True,,,,,,,,mean,facebook/dinov2-base,,,,,,,,,,,,
7245968676.25335-bf3a6d3d-c64b,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_08-25-46,finished,2025-08-01T08:26:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t1/runs/7245968676.25335-bf3a6d3d-c64b,,6003c471-4c5e-4b2b-97fe-3bc2718b9ccd,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5359393358230591,0.518425703048706,0.4768573045730591,0.4039681851863861,0.6927692890167236,0.7683568000793457,0.779088020324707,0.7014052867889404,0.7026214599609375,0.6145176887512207,0.5889493823051453,0.6070165634155273,0.5734080076217651,0.5732152462005615,0.7329592704772949,18848,1000,1754055668.678049,200,7.615242180436517e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
