run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_image_size,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246474974.56856-1acb847f-92c8,brainmvp_pretrained_t2_2025-07-26_10-27-57,finished,2025-07-26T10:28:16Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t2/runs/7246474974.56856-1acb847f-92c8,,6f4d407f-95b1-4134-8f10-8a3c449f3326,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.4719378352165222,0.4214285612106323,0.5,0.42424243688583374,0.6501343250274658,0.831088125705719,0.8850088119506836,0.7388888597488403,0.763157844543457,0.5144082903862,0.6108725070953369,0.5825396776199341,0.5595238208770752,0.5606490969657898,0.6521835923194885,3667,500,1753529364.3703866,100,3.854818796385494e-08,4300,,,,,,,,,
7246389195.53917-eab4ff09-c476,dinov2_pretrained_t2_2025-07-27_11-22-54,finished,2025-07-27T11:23:30Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t2/runs/7246389195.53917-eab4ff09-c476,,2537922e-e5ad-4d56-92dd-cfedaf039b06,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,mean,True,0.5,0.6345820426940918,0.6936507821083069,0.6499999761581421,0.5681818127632141,0.6972801685333252,1.0,1.0,1.0,1.0,0.32745668292045593,0.7544324398040771,0.7841269969940186,0.7023809552192688,0.6752136945724487,0.5932475328445435,15045,1500,1753630454.323536,300,3.1471622649714703e-10,51300,facebook/dinov2-base,mean,,,,,,,
7246388476.31872-09ac6301-c0ff,brainiac_pretrained_t2_2025-07-27_19-00-38,finished,2025-07-27T11:26:04Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t2/runs/7246388476.31872-09ac6301-c0ff,,4b623d00-fb3b-44fd-9a2d-499331c4fabd,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6265890598297119,0.6650793552398682,0.5047619342803955,0.501748263835907,0.8930120468139648,0.9716253280639648,0.9772486686706544,0.8992063403129578,0.9138933420181274,0.4156434237957001,0.6833516955375671,0.6777777671813965,0.5809524059295654,0.5012500286102295,1.250616431236267,28247,3426,1753653752.0846915,300,3.1471622649714703e-10,12900,,,,,,,,,
7246388831.48327-bd210576-3a43,brainmvp_pretrained_t2_2025-07-27_12-50-01,finished,2025-07-27T11:26:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t2/runs/7246388831.48327-bd210576-3a43,,c4c70891-f5f9-4e84-8953-bc7340eca593,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5680872201919556,0.6031745672225952,0.5285714268684387,0.5249999761581421,0.693697988986969,0.942042589187622,0.9634920358657836,0.8531745672225952,0.8557090163230896,0.4331375360488891,0.7389459609985352,0.7468253970146179,0.6904761791229248,0.6598806381225586,0.635094165802002,9656,2135,1753626817.68006,300,3.1471622649714703e-10,6600,,,,,,,,,
7246388106.48145-c8d10f27-96c1,brainiac_scratch_t2_2025-07-27_18-59-52,finished,2025-07-27T11:40:36Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t2/runs/7246388106.48145-c8d10f27-96c1,,72814431-ccf7-408e-ace3-d11e7a0a120e,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6920793652534485,0.7190476655960083,0.6261904835700989,0.6233968138694763,0.603209912776947,0.9344111680984496,0.9469135999679564,0.8730158805847168,0.8895348310470581,0.45637762546539307,0.5851253867149353,0.5460317134857178,0.5142857432365417,0.4602272808551788,0.9429250955581664,27567,3702,1753654426.8505552,300,3.1471622649714703e-10,12900,,,,,,,,,
7246387385.47813-2e0b45df-34e7,resenc_pretrained_t2_2025-07-27_12-44-00,finished,2025-07-27T12:27:01Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t2/runs/7246387385.47813-2e0b45df-34e7,,b69c0260-c03a-41fa-ad8b-6e0dc71bdde9,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,,,0.2,0.6122201681137085,0.6523809432983398,0.6142857074737549,0.6089938879013062,0.6524859070777893,1.0,1.0,1.0,1.0,0.3326127231121063,0.60113126039505,0.6484127044677734,0.6619048118591309,0.583677351474762,0.8329122066497803,11645,1516,1753631630.7702074,300,3.1471622649714703e-10,6600,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,
7246387748.40142-e65b259e-19f6,mri_core_pretrained_t2_2025-07-27_13-18-58,finished,2025-07-27T12:34:04Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t2/runs/7246387748.40142-e65b259e-19f6,,e20b9e5b-02da-4eb9-9bd7-83ba6829752b,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,mean,,0.5,0.6917669773101807,0.699999988079071,0.6238095760345459,0.6083182692527771,0.6769527792930603,1.0,1.0,1.0,1.0,0.32885876297950745,0.7203880548477173,0.7698413133621216,0.711904764175415,0.6687179803848267,0.6603671908378601,37141,1500,1753659500.6939993,300,3.1471622649714703e-10,51300,,mean,,224.0,,,,,
7246386664.98325-45c7ccd0-1a0d,resenc_tc_time_conditioned_pretrained_t2_2025-07-27_12-40-56,finished,2025-07-27T12:41:26Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t2/runs/7246386664.98325-45c7ccd0-1a0d,,84363baa-b54e-42a1-9561-173158283cb6,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,,,0.2,0.5960281491279602,0.6174603700637817,0.5880952477455139,0.5657894611358643,0.7678050398826599,1.0,1.0,0.9888888597488404,0.9924057722091676,0.33654382824897766,0.5277794599533081,0.5047619342803955,0.49047619104385376,0.4300000071525574,1.1884453296661377,11812,1500,1753631898.6163664,300,3.1471622649714703e-10,6600,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,256.0,64.0,,,
7246387026.29420-6983be8e-afcf,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-27_16-05-25,finished,2025-07-27T12:54:47Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t2/runs/7246387026.29420-6983be8e-afcf,,da5cc9d0-03e3-4207-9ed1-680fae0dcc57,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,,,0.2,0.5644940137863159,0.5809524059295654,0.5142857432365417,0.5144016146659851,0.6510858535766602,1.0,1.0,1.0,1.0,0.3387320935726166,0.4969649612903595,0.4920634627342224,0.5261905193328857,0.4750714600086212,1.1994057893753052,16473,2543,1753641264.3269596,300,3.1471622649714703e-10,6600,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,
7246222019.66490-8830b982-72d0,resenc_time_conditioned_pretrained_t2_2025-07-29_08-38-43,finished,2025-07-29T08:39:28Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t2/runs/7246222019.66490-8830b982-72d0,,ab8b1e55-a2e9-4985-a5c4-536ffc4938d2,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.6041014194488525,0.6095237731933594,0.5976190567016602,0.5619779825210571,0.7156140804290771,1.0,1.0,0.9777777791023254,0.9846993684768676,0.3394135534763336,0.51910400390625,0.5047619342803955,0.5047619342803955,0.46763283014297485,1.102724313735962,18079,1500,1753796447.1389625,300,3.1471622649714703e-10,12900,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
