run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_pretrained_path,config_chpt_path,config_dinov2_model_name,config_slice_aggregation,config_image_size,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size,config_freeze_encoder,config_pretrained_encoder_path
7246597344.19198-22c53c85-7aa9,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-07-25_00-28-53,finished,2025-07-25T00:29:15Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246597344.19198-22c53c85-7aa9,,c7e63b87-5f36-4773-9c8d-40b046d3ba31,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gli_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.8290776610374451,0.8875468373298645,0.5,0.4651567935943603,0.4967660307884216,0.981406569480896,0.9863504767417908,0.9504883289337158,0.962287425994873,0.3532247841358185,0.8503632545471191,0.9271255135536194,0.8089454174041748,0.6247128844261169,0.6041971445083618,86078.0,500.0,1753489429.4714243,100.0,3.854818796385494e-08,91600.0,,,,,,,,,,,,,
7246597358.02145-9c52ff6f-c4f3,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-25_00-28-56,finished,2025-07-25T00:29:18Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246597358.02145-9c52ff6f-c4f3,,a62a1abe-322e-4d01-9d74-81ac11f17223,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gli_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.8869751691818237,0.9606741666793824,0.7050093412399292,0.7542762160301208,0.5398885011672974,0.9998209476470948,0.9999464750289916,0.9914529919624328,0.995064616203308,0.3311779499053955,0.637762188911438,0.6759687662124634,0.5,0.4658493995666504,6.131293296813965,86780.0,500.0,1753490135.6119726,100.0,1.927409398192747e-08,91600.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,
7246597276.79892-eb914bbd-942f,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-25_00-36-23,finished,2025-07-25T00:36:56Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246597276.79892-eb914bbd-942f,,edeefc45-72a1-4b5b-889c-a5195549e398,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,gli_vs_met,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.8191923499107361,0.9501404762268066,0.5031366944313049,0.4830067455768585,0.4259088933467865,0.9984297752380372,0.9995025396347046,0.9700855016708374,0.9824007749557496,0.3368273377418518,0.9135016202926636,0.9670811891555786,0.8733372092247009,0.8859813213348389,0.395113080739975,24625.0,500.0,1753428438.684831,100.0,3.854818796385494e-08,11500.0,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,
7246597289.67634-1bf574f7-501e,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-25_00-36-35,finished,2025-07-25T00:37:40Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246597289.67634-1bf574f7-501e,,22b78b89-2ed6-439a-a44a-bc1f17027817,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,gli_vs_met,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.8452754616737366,0.8783239126205444,0.5,0.4651567935943603,0.579193651676178,0.9968547224998474,0.9988553524017334,0.977380871772766,0.9826623797416688,0.338096022605896,0.8449018001556396,0.9336321353912354,0.8582996129989624,0.8396241664886475,0.4223158955574035,24144.0,500.0,1753428000.7082746,100.0,3.854818796385494e-08,11500.0,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,
7246597315.81599-c03e8605-6e2a,dinov2_frozen_multi_t1n_t1c_t2w_t2f_2025-07-25_00-37-14,crashed,2025-07-25T00:37:41Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246597315.81599-c03e8605-6e2a,,03c7a15d-6dfe-4997-8525-e36753eeef3e,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246597303.07607-9051ef9d-2d7c,resenc_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-25_00-37-15,finished,2025-07-25T00:38:17Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246597303.07607-9051ef9d-2d7c,,0a1b21da-5a5f-493c-85c0-6bbfe1dc8cad,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,gli_vs_met,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.6378968358039856,0.7270599603652954,0.5637640357017517,0.5797974467277527,0.5083314776420593,0.9980941414833068,0.9990800619125366,0.9871795177459716,0.9925695657730104,0.3291391134262085,0.9511153697967528,0.9816849827766418,0.8805186152458191,0.8763974905014038,0.3956122100353241,24995.0,500.0,1753428889.7185109,100.0,3.854818796385494e-08,11500.0,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,
7246593998.20277-7977d565-429a,dinov2_frozen_multi_t1n_t1c_t2w_t2f_2025-07-25_01-20-25,finished,2025-07-25T01:20:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246593998.20277-7977d565-429a,,7d24bf39-6c02-4df8-9352-efd9d99a6971,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.001,4.0,False,0.0,True,False,full,True,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gli_vs_met,False,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.7719733119010925,0.9213951230049132,0.5,0.4651567935943603,1.0887057781219482,0.9716244339942932,0.9866231679916382,0.9422461986541748,0.9207192659378052,0.40995723009109497,0.9278503656387328,0.9681897163391112,0.7892327308654785,0.8364149332046509,0.4368695914745331,65836.0,500.0,1753472281.6101708,100.0,3.854818796385499e-07,91600.0,,,facebook/dinov2-base,mean,,,,,,,,,
7246580640.34985-99617dd1-64b2,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-25_05-12-36,finished,2025-07-25T05:13:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246580640.34985-99617dd1-64b2,,051fc8e0-4d86-43f5-a240-6a8645db8ba6,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,gli_vs_met,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.5913482904434204,0.7241573333740234,0.49751871824264526,0.4788152277469635,0.5380289554595947,0.9976173639297484,0.9987376928329468,0.98655366897583,0.9901293516159058,0.3328358232975006,0.9455046057701112,0.9765760898590088,0.8770965933799744,0.8988546133041382,0.3875208497047424,14080.0,500.0,1753434462.36829,100.0,3.854818796385494e-08,11500.0,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,
7246476433.68176-dea0e1cc-61a5,mri_core_frozen_multi_t1n_t1c_t2w_t2f_2025-07-26_10-02-37,crashed,2025-07-26T10:02:59Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246476433.68176-dea0e1cc-61a5,,87a795ee-44a8-453a-9380-d73dc18bf2d8,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246475959.05873-daa36ac6-85b4,mri_core_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-26_10-10-51,failed,2025-07-26T10:11:19Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246475959.05873-daa36ac6-85b4,,571e8f79-2713-4760-b08f-850a6444e52a,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.0,,,,,,,,,,,,,,,,,,
7246326370.33646-b6dbaabb-d26d,mri_core_frozen_multi_t1n_t1c_t2w_t2f_2025-07-28_03-43-00,finished,2025-07-28T03:43:18Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246326370.33646-b6dbaabb-d26d,,b54ebc1b-522d-4e1c-b37e-911d806ea459,t-jiachentu,False,0,Classification,300.0,False,mri_core_frozen,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,4.0,False,0.0,True,False,linear_probing,True,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,gli_vs_met,False,power,3.0,False,1.0,False,epochwise,mean,,0.5,0.5739679932594299,0.6485018730163574,0.5,0.4651567935943603,0.5018330216407776,0.8541355133056641,0.9376410245895386,0.7110651135444641,0.7616251707077026,0.42814111709594727,0.860578179359436,0.9263543486595154,0.6025640964508057,0.6426816582679749,0.4376488924026489,364721.0,1500.0,1754038916.6826108,300.0,3.1471622649714703e-10,68700.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,,mean,224.0,,,,,,,,
