run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_time_dim,config_chpt_path,config_learned_sinusoidal_dim,config_image_size,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246474763.98146-ea909118-644f,brainmvp_pretrained_t2f_2025-07-26_10-37-06,finished,2025-07-26T10:37:34Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t2f/runs/7246474763.98146-ea909118-644f,,51546f9b-39f3-4b75-bca4-e69213410f32,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.49819493293762207,0.49241572618484497,0.48689138889312744,0.4585537910461426,0.550409197807312,0.9076697826385498,0.9625332355499268,0.7915289402008057,0.8229951858520508,0.40121525526046753,0.7288687229156494,0.7489878535270691,0.5097358822822571,0.1578143835067749,1.2940738201141355,15796,500,1753542050.3281748,100,3.854818796385494e-08,22900,,,,,,,,,
7246389437.30952-b54cce32-d80d,dinov2_pretrained_t2f_2025-07-29_03-30-12,finished,2025-07-27T10:12:58Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t2f/runs/7246389437.30952-b54cce32-d80d,,996cc849-3491-40cd-9b2a-959d7a7957c7,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,False,epochwise,mean,True,0.5,0.9055615663528442,0.9393258094787598,0.5249999761581421,0.5144022703170776,0.46600037813186646,1.0,1.0,0.9993742108345032,0.9975593090057372,0.33017516136169434,0.9423139095306396,0.9397050142288208,0.7179487347602844,0.7837158441543579,0.40989547967910767,183688,4672,1753819868.1045597,300,3.1471622649714703e-10,274800,facebook/dinov2-base,mean,,,,,,,
7246388358.50859-06ace7e5-01ec,brainiac_scratch_t2f_2025-07-27_19-08-06,finished,2025-07-27T10:56:37Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t2f/runs/7246388358.50859-06ace7e5-01ec,,7fc052e9-1664-4db0-bfc9-f95b016bf5fb,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.7710118889808655,0.8234550952911377,0.7225187420845032,0.7570738792419434,0.4512434899806976,0.9999629855155944,0.9999892711639404,0.995726466178894,0.9975414276123048,0.33093494176864624,0.8190697431564331,0.8804703950881958,0.7470117807388306,0.7905219793319702,0.43802690505981445,63370,2308,1753683315.5968287,300,3.1471622649714703e-10,68700,,,,,,,,,
7246388713.76811-f465bf41-73f1,brainiac_pretrained_t2f_2025-07-27_19-00-38,finished,2025-07-27T11:25:58Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t2f/runs/7246388713.76811-f465bf41-73f1,,33e0764e-5603-46fa-8795-4c73136684c8,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.8391597270965576,0.9044475555419922,0.5856273174285889,0.6157979965209961,0.4595702588558197,1.0,1.0,0.995726466178894,0.9975414276123048,0.3329775631427765,0.9283143877983092,0.9340659379959106,0.8442741632461548,0.891014575958252,0.38797807693481445,62756,2289,1753683282.9056942,300,3.1471622649714703e-10,68700,,,,,,,,,
7246389075.59434-c16dd1ff-e923,brainmvp_pretrained_t2f_2025-07-27_14-10-28,finished,2025-07-27T11:28:30Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t2f/runs/7246389075.59434-c16dd1ff-e923,,60da771b-eeca-4769-9588-f298cd539f03,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.7211690545082092,0.8541198968887329,0.7388108968734741,0.7174745798110962,0.47939741611480713,0.9954789280891418,0.99759840965271,0.977380871772766,0.9826623797416688,0.3392840623855591,0.6264251470565796,0.7334201335906982,0.65187007188797,0.5073449611663818,0.9224194884300232,36265,1901,1753653753.5618994,300,3.1471622649714703e-10,34500,,,,,,,,,
7246386905.56826-66c2c568-8a5f,resenc_tc_time_conditioned_pretrained_t2f_2025-07-28_02-05-17,finished,2025-07-27T12:20:58Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t2f/runs/7246386905.56826-66c2c568-8a5f,,2dffab14-8d33-4a16-a0ff-27fc48337059,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,,,0.2,0.8137867450714111,0.8717228174209595,0.6481273174285889,0.700568437576294,0.48381468653678894,1.0,1.0,1.0,1.0,0.32680264115333557,0.9581771492958068,0.9835646748542786,0.8989782333374023,0.90338933467865,0.38028237223625183,80681,3396,1753704345.9150956,300,3.1471622649714703e-10,34500,,,256.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,64.0,,,,
7246387984.09842-7e1290dd-ea5f,mri_core_pretrained_t2f_2025-07-29_07-59-59,finished,2025-07-27T12:23:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t2f/runs/7246387984.09842-7e1290dd-ea5f,,2ad9a239-9d46-4345-84a2-3a38c33e230a,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,False,epochwise,mean,,0.5,0.7764776945114136,0.8161048889160156,0.550000011920929,0.5593301057815552,0.4875541925430298,1.0,1.0,1.0,1.0,0.32644057273864746,0.9856961965560912,0.9962406158447266,0.8827357292175293,0.9193121790885924,0.36060288548469543,309941,2362,1753975976.0271046,300,3.1471622649714703e-10,274800,,mean,,,,224.0,,,
7246387628.01007-f7aea284-3efa,resenc_pretrained_t2f_2025-07-27_19-08-50,finished,2025-07-27T12:23:22Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t2f/runs/7246387628.01007-f7aea284-3efa,,7f36fa62-46fb-48ba-a2cd-819f1e05ecd7,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,,,0.2,0.8285911679267883,0.8046348094940186,0.637499988079071,0.6899313926696777,0.4818287193775177,1.0,1.0,1.0,1.0,0.32552629709243774,0.9665093421936036,0.971226155757904,0.934017777442932,0.9538624286651612,0.35761600732803345,56008,2494,1753677075.991276,300,3.1471622649714703e-10,34500,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
7246387267.05200-505a31ce-8458,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-07-29_08-24-13,finished,2025-07-27T12:34:11Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t2f/runs/7246387267.05200-505a31ce-8458,,e5b9f193-f07f-4600-a143-50e7e1128482,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,,,0.2,0.7998427152633667,0.8830056190490723,0.6800093650817871,0.7281111478805542,0.466444194316864,1.0,1.0,0.995726466178894,0.9975414276123048,0.3283572494983673,0.9404548406600952,0.962502419948578,0.851455569267273,0.8804515600204468,0.3866481482982635,138795,6061,1753810647.794718,300,3.1471622649714703e-10,34500,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246221898.01420-ee832cd2-571e,resenc_time_conditioned_pretrained_t2f_2025-07-29_08-40-59,finished,2025-07-29T08:41:25Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t2f/runs/7246221898.01420-ee832cd2-571e,,86373bb7-a0bb-4fdf-ab0e-25746756f5c0,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.7312242984771729,0.7939138412475586,0.6281366944313049,0.6659625768661499,0.4943258762359619,0.9966318011283876,0.996790885925293,0.9914529919624328,0.995064616203308,0.3298187255859375,0.93502539396286,0.9545016288757324,0.9117987155914308,0.9117987155914308,0.3884925842285156,72937,1500,1753851422.091421,300,3.1471622649714703e-10,68700,,,256.0,,64.0,,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
