run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_learned_sinusoidal_dim,config_dropout_prob,config_pretrained_path,config_token_aggregation_method,config_use_brainiac_preprocessing,config_image_size,config_slice_aggregation,config_dinov2_model_name,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size
7246422043.51608-5626446f-99e4,resenc_pretrained_t1n_2025-07-27_01-04-07,finished,2025-07-27T01:05:09Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t1n/runs/7246422043.51608-5626446f-99e4,,1c51327c-c414-494a-82d5-4816e948c452,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,0.2,0.6357181072235107,0.6081081628799438,0.6229729652404785,0.5722222328186035,0.6801522970199585,1.0,1.0,1.0,1.0,0.32567286491394043,1.0,1.0,0.9871795177459716,0.9868398308753968,0.3379838764667511,21358,1500.0,1753599665.3157637,300.0,3.1471622649714703e-10,8700.0,,,,,,,,,,,,,,,,,,
7246421839.12076-0a9f7908-81ed,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-07-27_01-07-14,finished,2025-07-27T01:08:18Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t1n/runs/7246421839.12076-0a9f7908-81ed,,c39dd143-e28e-448b-b6b9-ad92836d01eb,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,0.2,0.9445770382881165,0.9445946216583252,0.8844594955444336,0.8831169009208679,0.6459530591964722,1.0,1.0,1.0,1.0,0.3359698951244354,0.9555460214614868,0.9622313976287842,0.8839223980903625,0.8810641765594482,0.4980485439300537,21285,1500.0,1753599782.841264,300.0,3.1471622649714703e-10,8700.0,,,,,,,,,,,,,,,,,,
7246421386.54512-0a9e2397-f730,resenc_tc_time_conditioned_pretrained_t1n_2025-07-27_01-19-59,finished,2025-07-27T01:20:21Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t1n/runs/7246421386.54512-0a9e2397-f730,,207ce240-8fb3-4a83-bc59-605d4813feaf,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,0.2,0.6409750580787659,0.6023648977279663,0.5449324250221252,0.4866666793823242,1.158769965171814,1.0,0.9999999403953552,1.0,1.0,0.32987773418426514,0.9760500192642212,0.9757449626922609,0.9216909408569336,0.921052634716034,0.4255631566047669,25311,1500.0,1753604531.5904217,300.0,3.1471622649714703e-10,8700.0,256.0,64.0,,,,,,,,,,,,,,,,
7246421598.25597-acbb61c6-482e,resenc_multimodal_mm_mdae_pretrained_pretrained_t1n_2025-07-27_01-20-44,finished,2025-07-27T01:21:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t1n/runs/7246421598.25597-acbb61c6-482e,,48c2dffb-cc92-4718-9a60-bc9576558761,t-jiachentu,False,0,Classification,300,False,ResEncoderMultiModal_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,0.2,0.9418463706970216,0.9425675868988036,0.8304054141044617,0.8307119607925415,0.6463879942893982,1.0,1.0,1.0,1.0,0.336135596036911,0.9336283206939696,0.9306999444961548,0.8704088926315308,0.8680555820465088,0.5147210359573364,21528,1500.0,1753600800.8234851,300.0,3.1471622649714703e-10,8700.0,,,,,,,,,,,,,,,,,,
7246407933.63769-9d78417d-0d4c,brainmvp_pretrained_t1n_2025-07-27_05-04-30,finished,2025-07-27T05:04:51Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t1n/runs/7246407933.63769-9d78417d-0d4c,,5fdbacc4-41aa-421c-a55d-11a452b61eff,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,0.0,0.4588595032691955,0.3841215968132019,0.5,0.3245614171028137,1.2354131937026978,0.9094802141189576,0.9081000089645386,0.8435270190238953,0.8442515134811401,0.5080944299697876,0.749777615070343,0.7248786687850952,0.5492030382156372,0.4729542136192322,0.7139154672622681,17495,1500.0,1753610186.0097668,300.0,3.1471622649714703e-10,17100.0,,,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,cls_token,True,,,,,,,,,,,,
7246407576.92674-5ba5f527-50e4,mri_core_pretrained_t1n_2025-07-27_05-04-33,finished,2025-07-27T05:04:53Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t1n/runs/7246407576.92674-5ba5f527-50e4,,4526b7fd-eb3e-470f-9282-ecd5a1d9c20d,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,0.5,0.6899664402008057,0.6668919324874878,0.6229729652404785,0.5722222328186035,0.8882108330726624,1.0,1.0,1.0,1.0,0.3270528018474579,1.0,1.0,1.0,1.0,0.3287084996700287,68312,1500.0,1753661002.9892871,300.0,3.1471622649714703e-10,67800.0,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,,224.0,mean,,,,,,,,,,
7246407757.65110-0b7827b0-4279,mri_core_frozen_t1n_2025-07-27_05-08-00,finished,2025-07-27T05:08:20Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t1n/runs/7246407757.65110-0b7827b0-4279,,e57e44cd-9fd3-4420-b6ab-7ff90e266a33,t-jiachentu,False,0,Classification,300,False,mri_core_frozen,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,linear_probing,True,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,0.5,0.7183154225349426,0.7084459066390991,0.6273648738861084,0.6210758686065674,0.6744276881217957,0.6146767139434814,0.6215400695800781,0.5826079845428467,0.582468569278717,0.6844509243965149,0.7703852653503418,0.7553707361221313,0.747401237487793,0.7464442253112793,0.6633095145225525,39674,1500.0,1753632574.104868,300.0,3.1471622649714703e-10,8700.0,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,,224.0,mean,,,,,,,,,,
7246407236.93084-16fddf48-861b,brainiac_pretrained_t1n_2025-07-27_05-09-50,finished,2025-07-27T05:10:09Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t1n/runs/7246407236.93084-16fddf48-861b,,9a3d8117-1215-49c9-8aab-2ef3b5061a49,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,0.0,0.6487170457839966,0.6594594717025757,0.5739864706993103,0.4854559898376465,1.0683302879333496,0.9900128841400146,0.9897670745849608,0.9435034990310668,0.942476749420166,0.4054173529148102,0.9646176695823668,0.9681220054626464,0.8461538553237915,0.8393234610557556,0.49386340379714966,38704,1500.0,1753631713.4037654,300.0,3.1471622649714703e-10,17100.0,,,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,True,,,,,,,,,,,,
7246407051.32357-833a3606-5b8d,brainiac_scratch_t1n_2025-07-27_05-19-47,finished,2025-07-27T05:20:07Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t1n/runs/7246407051.32357-833a3606-5b8d,,f21cd696-5395-4cfb-a43d-5cdb00ad2e32,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,0.0,0.5157726407051086,0.4648648500442505,0.5074324607849121,0.42832666635513306,1.07978093624115,0.9813836216926576,0.9803183078765868,0.9199404120445251,0.9201977252960204,0.4283314049243927,0.8571280241012573,0.8697158098220825,0.8049203157424927,0.8017736077308655,0.6645604372024536,38546,1500.0,1753632151.0856702,300.0,3.1471622649714703e-10,17100.0,,,0.2,,cls_token,True,,,,,,,,,,,,
7246393490.26011-5d0d0869-245e,dinov2_pretrained_t1n_2025-07-27_08-59-55,finished,2025-07-27T09:00:32Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t1n/runs/7246393490.26011-5d0d0869-245e,,dcfed452-1242-473e-b4cd-4f346b091f1b,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,0.5,0.6134042739868164,0.5523648262023926,0.5,0.3245614171028137,1.0905872583389282,1.0,1.0,1.0,1.0,0.3265177011489868,1.0,1.0,1.0,1.0,0.34404730796813965,33587,1500.0,1753640415.0701654,300.0,3.1471622649714703e-10,67800.0,,,,,mean,True,,mean,facebook/dinov2-base,,,,,,,,,
