run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_learned_sinusoidal_dim,config_image_size,config_pretrained_path,config_slice_aggregation,config_token_aggregation_method,config_dropout_prob,config_dinov2_model_name,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246479028.46523-d4b0ea7a-e1cd,resenc_pretrained_t1_2025-07-26_09-16-48,finished,2025-07-26T09:17:13Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_t1/runs/7246479028.46523-d4b0ea7a-e1cd,,e7459a0c-2254-4f29-b576-45f8a5b54cc2,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,32,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,False,0.2,0.515670657157898,0.4675324559211731,0.5,0.3793103396892547,0.6799539923667908,0.7540640830993652,0.7050691843032837,0.5,0.3734939694404602,0.6475874781608582,0.4757112264633178,0.3246753215789795,0.5,0.3793103396892547,0.6910905241966248,2098,500,1753523531.4804337,100,3.854818796385494e-08,700,,,,,,,,,,,
7246478890.88935-8474e3ae-2d17,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-26_09-43-39,finished,2025-07-26T09:17:19Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_t1/runs/7246478890.88935-8474e3ae-2d17,,a9d62b98-60ab-4641-a2da-ad6f0bccd500,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,32,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,False,0.2,0.6292780041694641,0.6103895902633667,0.5194805264472961,0.4155844449996948,0.7952970266342163,0.8291504383087158,0.8172042369842529,0.7288786172866821,0.7333333492279053,0.5429120659828186,0.6621653437614441,0.6623376607894897,0.5064935088157654,0.5,0.6705090403556824,3426,646,1753525758.4149303,100,3.854818796385494e-08,700,,,,,,,,,,,
7246478749.47390-483daee9-2204,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-07-26_09-23-45,finished,2025-07-26T09:24:11Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_t1/runs/7246478749.47390-483daee9-2204,,fa4d0b8d-a39d-4324-80b6-4f5b68a52795,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,32,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,False,0.2,0.6292780041694641,0.6103895902633667,0.5194805264472961,0.4155844449996948,0.7952970266342163,0.8291504383087158,0.8172042369842529,0.7288786172866821,0.7333333492279053,0.5429120659828186,0.6621653437614441,0.6623376607894897,0.5064935088157654,0.5,0.6705090403556824,2762,500,1753524612.99238,100,3.854818796385494e-08,700,,,,,,,,,,,
7246478608.02356-b54f87c4-6712,resenc_tc_time_conditioned_pretrained_t1_2025-07-26_12-34-03,finished,2025-07-26T09:33:20Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_t1/runs/7246478608.02356-b54f87c4-6712,,eea05014-02df-4735-9cb0-5f98fab094c7,t-jiachentu,False,0,Classification,100,False,TimeConditionedResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,32,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,False,0.2,0.5984513759613037,0.4935064911842346,0.5974026322364807,0.5846154093742371,0.6768918633460999,0.9293591380119324,0.9339478015899658,0.7296466827392578,0.7378151416778564,0.4518686830997467,0.4898779690265655,0.3896103799343109,0.3701298832893371,0.37142857909202576,0.9115059971809388,9146,1334,1753535330.659345,100,3.854818796385494e-08,700,256.0,64.0,,,,,,,,,
7246422011.87382-95555b41-1ea1,resenc_pretrained_t1_2025-07-27_01-03-41,finished,2025-07-27T01:04:13Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_t1/runs/7246422011.87382-95555b41-1ea1,,7bd9a3c0-ac51-485b-816f-19247c44e17c,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,False,0.2,0.8389304876327515,0.8181818723678589,0.649350643157959,0.649350643157959,0.6371569633483887,1.0,1.0,0.976190447807312,0.9798684120178224,0.3416057229042053,0.4430212080478668,0.33766233921051025,0.350649356842041,0.3333333432674408,1.0107460021972656,16889,1500,1753595141.3294132,300,3.1471622649714703e-10,2100,,,,,,,,,,,
7246421781.97629-108a59c9-9e58,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-27_01-08-13,finished,2025-07-27T01:09:17Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_t1/runs/7246421781.97629-108a59c9-9e58,,467d16f4-5243-4543-b10a-9ff2de8fbe69,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,False,0.2,0.609256386756897,0.5714285373687744,0.6038961410522461,0.6000000238418579,0.9567337036132812,1.0,1.0,0.9838709831237792,0.9801753759384156,0.22620972990989685,0.6771612167358398,0.6103895902633667,0.6038961410522461,0.6000000238418579,1.1272624731063845,16938,1500,1753595494.5589192,300,3.1471622649714703e-10,2100,,,,,,,,,,,
7246421564.20306-6e3a9301-f0ff,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-07-27_01-12-26,finished,2025-07-27T01:12:50Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_t1/runs/7246421564.20306-6e3a9301-f0ff,,b4ebee5b-3fc9-40e4-927a-8fe74a3d4605,t-jiachentu,False,0,Classification,300,False,ResEncoderMultiModal_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,False,0.2,0.5002776384353638,0.4155844151973725,0.4545454680919647,0.3571428656578064,0.7618319988250732,1.0,1.0,1.0,1.0,0.2119002640247345,0.6874688863754272,0.6103895902633667,0.6038961410522461,0.6000000238418579,1.0931843519210815,15788,1500,1753594557.2479477,300,3.1471622649714703e-10,2100,,,,,,,,,,,
7246407611.81241-b47ff21d-b4f3,mri_core_frozen_t1_2025-07-27_05-04-33,finished,2025-07-27T05:04:53Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_t1/runs/7246407611.81241-b47ff21d-b4f3,,0be732dd-5509-47a4-a26b-9c6f70543bdd,t-jiachentu,False,0,Classification,300,False,mri_core_frozen,50,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,linear_probing,True,0.1,8,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,False,epochwise,False,0.5,0.4914062023162842,0.4285714626312256,0.4675324857234955,0.4444444477558136,0.7057879567146301,0.4954094886779785,0.45775729417800903,0.42473119497299194,0.42508578300476074,0.7339674830436707,0.4603947401046753,0.3636363744735718,0.5,0.3793103396892547,0.693187952041626,18391,1500,1753611085.2708623,300,3.1471622649714703e-10,1200,,,224.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,mean,,,,,
7246407793.67821-7a769e1f-d929,brainmvp_pretrained_t1_2025-07-27_05-07-56,finished,2025-07-27T05:08:17Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_t1/runs/7246407793.67821-7a769e1f-d929,,c40961b6-7307-4e54-bbc5-87954e2b949f,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,True,epochwise,True,0.0,0.5281004905700684,0.4285714030265808,0.5,0.3793103396892547,0.6852275133132935,0.7406297922134399,0.7357910871505737,0.6006144285202026,0.6006144285202026,0.6094573736190796,0.5297254323959351,0.45454543828964233,0.5,0.3793103396892547,1.6820930242538452,12418,1500,1753605315.5227945,300,3.1471622649714703e-10,2100,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,cls_token,0.2,,,,
7246407441.94271-ebe858a4-c050,mri_core_pretrained_t1_2025-07-27_05-12-10,finished,2025-07-27T05:12:28Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_t1/runs/7246407441.94271-ebe858a4-c050,,7b51d26d-57e9-46ba-a0ae-6f51dd3b262b,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,power,3,False,2,False,epochwise,False,0.5,0.6710303425788879,0.6623376607894897,0.6038961410522461,0.6000000238418579,0.8227401971817017,1.0,1.0,1.0,1.0,0.21037724614143372,0.6943903565406799,0.649350643157959,0.5064935088157654,0.5,0.6998770236968994,36957,1500,1753630103.6570897,300,3.1471622649714703e-10,7800,,,224.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,mean,,,,,
