run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_learned_sinusoidal_dim,config_dropout_prob,config_pretrained_path,config_token_aggregation_method,config_image_size,config_slice_aggregation,config_dinov2_model_name,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246421998.70371-cfa7cfbc-f09f,resenc_pretrained_t1_2025-07-27_01-03-41,finished,2025-07-27T01:04:09Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1/runs/7246421998.70371-cfa7cfbc-f09f,,5dc0af99-969e-4928-9b5f-cdc56da4b190,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,True,epochwise,False,0.2,0.4842449128627777,0.3846153616905213,0.3461538553237915,0.3333333432674408,0.6863903403282166,1.0,1.0,1.0,1.0,0.32538115978240967,0.5373485088348389,0.4615384340286255,0.4846153855323791,0.4814814627170563,0.7205050587654114,16983,1500,1753595231.8039706,300,3.1471622649714703e-10,2100,,,,,,,,,,,
7246421551.25717-98b37f79-9e43,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-07-27_01-11-51,finished,2025-07-27T01:12:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1/runs/7246421551.25717-98b37f79-9e43,,edd7c1ee-9c41-4472-a23b-d83bde0b86d4,t-jiachentu,False,0,Classification,300,False,ResEncoderMultiModal_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,True,epochwise,False,0.2,0.5988149642944336,0.4923076629638672,0.6000000238418579,0.6000000238418579,0.8606568574905396,1.0,1.0,0.9666666984558104,0.9760919809341432,0.2398742139339447,0.5756185054779053,0.5538461208343506,0.446153849363327,0.446153849363327,1.190472960472107,19980,1500,1753598712.44459,300,3.1471622649714703e-10,2100,,,,,,,,,,,
7246421768.37004-d22eadc3-950a,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-27_01-18-32,finished,2025-07-27T01:19:35Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1/runs/7246421768.37004-d22eadc3-950a,,f2c2ec86-a34d-4f66-a66c-a9b3b892ba4d,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,True,epochwise,False,0.2,0.6552139520645142,0.6769230365753174,0.4615384638309479,0.4000000059604645,0.8284822702407837,0.9852582216262816,0.9855855703353882,0.9666666984558104,0.9760919809341432,0.2537502348423004,0.5712655782699585,0.5384615659713745,0.3461538553237915,0.3333333432674408,1.3706879615783691,17085,1500,1753596259.5463543,300,3.1471622649714703e-10,2100,,,,,,,,,,,
7246421352.75218-80fa08a5-73cc,resenc_tc_time_conditioned_pretrained_t1_2025-07-27_01-22-13,finished,2025-07-27T01:22:36Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1/runs/7246421352.75218-80fa08a5-73cc,,d1ed53e6-0371-4147-ba26-fb78d1dc1ead,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,True,epochwise,False,0.2,0.45614093542099,0.29230767488479614,0.5,0.4193548262119293,0.6282342076301575,1.0,1.0,0.9666666984558104,0.9760919809341432,0.2239691466093063,0.5069055557250977,0.4615384340286255,0.3846153914928436,0.3571428656578064,1.2214419841766355,20220,1500,1753599575.9110763,300,3.1471622649714703e-10,2100,256.0,64.0,,,,,,,,,
7246407781.81430-b78f0750-cae2,brainmvp_pretrained_t1_2025-07-27_05-07-32,finished,2025-07-27T05:07:53Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1/runs/7246407781.81430-b78f0750-cae2,,88b89ee0-364b-4e88-992f-4e5515cd7ce8,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,True,epochwise,True,0.0,0.8501512408256531,0.8153846263885498,0.5,0.4193548262119293,0.5960323214530945,0.8560842275619507,0.8648648858070374,0.7126126289367676,0.7248677015304565,0.4623245894908905,0.5076999664306641,0.4000000059604645,0.5153846144676208,0.3869969248771667,1.959917902946472,11935,1500,1753604808.2043293,300,3.1471622649714703e-10,2100,,,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,cls_token,,,,,,
7246407599.85026-a690be62-abb7,mri_core_frozen_t1_2025-07-27_05-09-27,finished,2025-07-27T05:09:45Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1/runs/7246407599.85026-a690be62-abb7,,1833f286-54bb-4304-a7bf-715e4c2d9317,t-jiachentu,False,0,Classification,300,False,mri_core_frozen,50,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,linear_probing,True,0.1,8,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,False,epochwise,False,0.5,0.5262109041213989,0.4307692050933838,0.42307692766189575,0.3793103396892547,0.6729153394699097,0.5846105217933655,0.6000000238418579,0.4927927851676941,0.4526315927505493,0.6191329956054688,0.4435020089149475,0.307692289352417,0.5,0.4193548262119293,0.6373757719993591,17842,1500,1753610828.3998115,300,3.1471622649714703e-10,1200,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,224.0,mean,,,,
7246407430.70608-92141211-c0dc,mri_core_pretrained_t1_2025-07-27_05-13-12,finished,2025-07-27T05:13:30Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1/runs/7246407430.70608-92141211-c0dc,,19a6b41b-9794-44cf-a7f1-b29c34ad697e,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,1,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,False,epochwise,False,0.5,0.4725503325462342,0.3384615182876587,0.446153849363327,0.446153849363327,1.1830620765686035,1.0,1.0,1.0,1.0,0.20241832733154297,0.49926817417144775,0.44615381956100464,0.4846153855323791,0.4814814627170563,1.2131314277648926,37026,1500,1753630235.1430285,300,3.1471622649714703e-10,7800,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,224.0,mean,,,,
7246406896.73846-9a8dba69-5159,brainiac_scratch_t1_2025-07-27_05-16-05,finished,2025-07-27T05:16:25Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1/runs/7246406896.73846-9a8dba69-5159,,c0ca94fb-32a2-4457-80cc-77a7c892187a,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,2,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,True,epochwise,True,0.0,0.49768880009651184,0.3999999761581421,0.5,0.21739129722118375,0.6932875514030457,0.7786927223205566,0.7837837934494019,0.6864864826202393,0.7117516994476318,0.539114236831665,0.47994863986968994,0.3692307472229004,0.3692307770252228,0.375,0.976020097732544,13474,1500,1753606858.889316,300,3.1471622649714703e-10,3900,,,0.2,,cls_token,,,,,,
7246407077.21714-da2774ad-147e,brainiac_pretrained_t1_2025-07-27_05-18-10,finished,2025-07-27T05:18:29Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1/runs/7246407077.21714-da2774ad-147e,,d021220a-c62d-4e1f-8d0c-efc123022d40,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,2,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,True,epochwise,True,0.0,0.6319369077682495,0.5384615659713745,0.5,0.21739129722118375,0.7371662259101868,0.6999947428703308,0.7531530857086182,0.5063062906265259,0.4625322818756103,0.5677953958511353,0.4811541438102722,0.3692307472229004,0.5076923370361328,0.5,1.2281339168548584,13831,1500,1753607340.7727098,300,3.1471622649714703e-10,3900,,,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,,,,,,
7246393539.63559-3734a3b1-0a58,dinov2_frozen_t1_2025-07-27_08-58-38,finished,2025-07-27T08:58:57Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1/runs/7246393539.63559-3734a3b1-0a58,,c62986a6-70dd-444b-b213-c8417b5dbf5b,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,True,0.1,8,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,False,epochwise,True,0.5,0.5998122096061707,0.5846153497695923,0.5,0.4193548262119293,0.6022447943687439,0.6576153039932251,0.6918919086456299,0.6126126050949097,0.6208333373069763,0.6085561513900757,0.5830800533294678,0.5692307949066162,0.5,0.4193548262119293,0.6117351055145264,15562,1500,1753622298.7131915,300,3.1471622649714703e-10,1200,,,,,mean,,mean,facebook/dinov2-base,,,
