run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_chpt_path,config_image_size,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size,config_freeze_encoder,config_pretrained_encoder_path,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7246593917.93198-bde977e5-76f5,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-25_01-21-09,finished,2025-07-25T01:21:37Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246593917.93198-bde977e5-76f5,,22669476-1161-4b04-bbb7-12587e80e7eb,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4.0,False,0.0,True,False,full,True,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,age_group,False,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.8823075294494629,0.8768371343612671,0.6904761791229248,0.6898901462554932,0.6146207451820374,0.8599802255630493,0.853906512260437,0.731562614440918,0.7322258949279785,0.7625370025634766,0.8655198812484741,0.8700764179229736,0.773809552192688,0.7692307829856873,0.5743492245674133,25317.0,500.0,1753431811.1488252,100.0,3.854818796385499e-07,35100.0,,,,,,,,,,,,,,,
7246593209.54385-7d34aac4-20d1,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-37-02,finished,2025-07-25T01:37:23Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246593209.54385-7d34aac4-20d1,,32d09b75-c614-4388-aed2-a7f78bf4bf84,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,age_group,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.7051008939743042,0.7145796418190002,0.6494709253311157,0.6486486196517944,0.6648019552230835,0.8617678284645081,0.8606734275817871,0.7740927934646606,0.7736870050430298,0.5568894743919373,0.7044157981872559,0.7101705074310303,0.6481481790542603,0.6235690116882324,0.739869236946106,18304.0,500.0,1753425748.769942,100.0,3.854818796385494e-08,8800.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,,,,,,,
7246593232.21674-5a8fcaad-3d2e,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-25_01-38-37,finished,2025-07-25T01:39:04Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246593232.21674-5a8fcaad-3d2e,,4dc0cb3d-27ed-46df-b969-8b1508444796,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,age_group,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.5948001146316528,0.6024397611618042,0.5,0.3499999940395355,0.7099620699882507,0.8158141374588013,0.8189440965652466,0.7267735004425049,0.7270762920379639,0.5869351029396057,0.5530981421470642,0.5223398208618164,0.5092592835426331,0.37013712525367737,0.8645678162574768,37536.0,500.0,1753445080.4380598,100.0,3.854818796385494e-08,35100.0,0.2,,,,,,,,,,,,,,
7246593196.40493-e70f1839-65e8,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-25_01-41-11,finished,2025-07-25T01:41:29Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246593196.40493-e70f1839-65e8,,663bc2c4-9282-4af1-b949-e8b8d5c86958,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4.0,False,0.0,True,False,full,True,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,age_group,False,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.8863284587860107,0.8818342089653015,0.7169312238693237,0.717391312122345,0.5872095227241516,0.8529880046844482,0.8463386297225952,0.7444589734077454,0.7445728182792664,0.7703859210014343,0.8637315034866333,0.8677248954772949,0.7698413133621216,0.7686222791671753,0.5711071491241455,32756.0,500.0,1753440447.137234,100.0,3.854818796385499e-07,35100.0,,,,,,,,,,,,,,,
7246593168.90086-33e500f1-60b7,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-41-18,crashed,2025-07-25T01:41:49Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246593168.90086-33e500f1-60b7,,c2b5deaa-9e4c-4d0e-a371-4b611d977ef9,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246593244.85980-69824686-7a18,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-42-39,finished,2025-07-25T01:43:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246593244.85980-69824686-7a18,,f5dd2535-c9ee-478d-b86e-6caaa873d3ae,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,age_group,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.6514183282852173,0.6452087163925171,0.5,0.3499999940395355,0.7076337933540344,0.7805891036987305,0.7861883044242859,0.7122425436973572,0.7132353186607361,0.6209000945091248,0.4967691302299499,0.44562023878097534,0.4404761791229248,0.4164371490478515,1.7654078006744385,37578.0,500.0,1753445361.25125,100.0,1.927409398192747e-08,35100.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,
7246593154.97324-9b6a92c8-0e74,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-45-58,crashed,2025-07-25T01:46:22Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246593154.97324-9b6a92c8-0e74,,ddc8d030-b7a0-4d85-8fb8-a9ec1a50d4cd,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246593182.91367-a092bd7c-f90d,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-46-18,crashed,2025-07-25T01:46:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246593182.91367-a092bd7c-f90d,,b8eb0131-8f9e-44ba-81f8-ee9bf60cb412,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246580560.82595-44b59130-16b8,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_05-07-35,finished,2025-07-25T05:08:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246580560.82595-44b59130-16b8,,dad94c40-6e44-45af-9171-b1518229d893,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,age_group,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.6432780027389526,0.6828336119651794,0.579365074634552,0.5612383484840393,0.6741445064544678,0.7391762137413025,0.7458646297454834,0.6816116571426392,0.6822745203971863,0.6308824419975281,0.6973978281021118,0.6898882985115051,0.6481481790542603,0.64673912525177,0.6710744500160217,10180.0,500.0,1753430262.5411344,100.0,3.854818796385494e-08,4400.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
7246579787.01011-59e36d51-6d09,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-26_05-48-59,finished,2025-07-26T01:13:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246579787.01011-59e36d51-6d09,,8bc37053-f115-449f-a4c7-fe6098f0f21c,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,age_group,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.8019272089004517,0.8148148059844971,0.7328042387962341,0.7263157963752747,0.6299200057983398,0.8025143146514893,0.8148741722106934,0.7387218475341797,0.7388328313827515,0.6192243099212646,0.6958866119384766,0.7144327163696289,0.6838624477386475,0.6829268336296082,0.6409687399864197,11752.0,596.0,1753516817.392477,100.0,3.854818796385494e-08,4400.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,
