run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_learned_sinusoidal_dim,config_image_size,config_pretrained_path,config_slice_aggregation,config_token_aggregation_method,config_dropout_prob,config_use_brainiac_preprocessing,config_dinov2_model_name,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246421972.57885-4ddaaa97-7475,resenc_pretrained_t1_2025-07-27_01-04-33,finished,2025-07-27T01:05:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t1/runs/7246421972.57885-4ddaaa97-7475,,670fc029-382d-4c5f-99f8-5b8ac44fa525,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,0.2,0.8092390298843384,0.8411228656768799,0.7751322984695435,0.7757959961891174,0.577526330947876,0.98774653673172,0.9880679845809937,0.9796829223632812,0.9799102544784546,0.3593463897705078,0.7610923051834106,0.7741034626960754,0.6865079402923584,0.6871657967567444,0.7624372839927673,29064.0,1500,1753607364.8043575,300.0,3.1471622649714703e-10,13200,,,,,,,,,,,,
7246421525.98527-286129dc-10cb,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-07-27_01-11-59,finished,2025-07-27T01:12:21Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t1/runs/7246421525.98527-286129dc-10cb,,81e97b7d-8297-4cd2-9ab2-80dbeb38ac76,t-jiachentu,False,0,Classification,300,False,ResEncoderMultiModal_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,0.2,0.8603453636169434,0.8671369552612305,0.7791005373001099,0.7811447381973267,0.5589765906333923,0.9946677684783936,0.994573414325714,0.9682085514068604,0.9684303402900696,0.36715975403785706,0.7012583017349243,0.7305996417999268,0.7037037014961243,0.7045454978942871,0.8049390912055969,39314.0,1500,1753618054.9289725,300.0,3.1471622649714703e-10,13200,,,,,,,,,,,,
7246421327.33516-25cb9dc0-8b86,resenc_tc_time_conditioned_pretrained_t1_2025-07-27_01-15-10,finished,2025-07-27T01:15:32Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t1/runs/7246421327.33516-25cb9dc0-8b86,,d7e8b0c4-54fc-4679-9217-296f48c28996,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,0.2,0.8865734338760376,0.8912404179573059,0.8253968358039856,0.8205128312110901,0.5395684242248535,0.9976369142532348,0.9975645542144777,0.969892144203186,0.9712238311767578,0.35698455572128296,0.7464714050292969,0.7630805969238281,0.6759259700775146,0.6760942935943604,0.804309070110321,35458.0,1500,1753614388.2199996,300.0,3.1471622649714703e-10,13200,256.0,64.0,,,,,,,,,,
7246421732.46582-fd9cf6b7-3712,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-27_01-18-41,failed,2025-07-27T01:19:44Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t1/runs/7246421732.46582-fd9cf6b7-3712,,ab89ea0d-7988-4f23-a5fd-3d41dc5d28ef,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,0.2,,,,,,,,,,,,,,,,412.0,0,1753579562.6060898,,4.761904761904763e-07,0,,,,,,,,,,,,
7246408773.58091-d20837a9-fa4e,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-27_14-55-11,finished,2025-07-27T04:47:41Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t1/runs/7246408773.58091-d20837a9-fa4e,,db057e6e-a827-4f32-94e2-16052299dbe0,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,16,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,0.2,0.7073297500610352,0.7028218507766724,0.6547619104385376,0.6101511120796204,0.6929089426994324,0.99137544631958,0.99169659614563,0.9655770063400269,0.9655770063400269,0.3750024437904358,0.7264610528945923,0.7451499700546265,0.6547619104385376,0.6550707817077637,0.8268415927886963,52541.0,3485,1753647473.5919712,300.0,3.1471622649714703e-10,6600,,,,,,,,,,,,
7246407674.04430-76d5e721-e9b4,mri_core_frozen_t1_2025-07-27_05-03-02,finished,2025-07-27T05:03:20Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t1/runs/7246407674.04430-76d5e721-e9b4,,1f63927d-5b6d-48c5-8679-ad03af1039f1,t-jiachentu,False,0,Classification,300,False,mri_core_frozen,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,linear_probing,True,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,False,epochwise,0.5,0.7215754985809326,0.7476484775543213,0.5264550447463989,0.4610205590724945,0.6784350275993347,0.5176167488098145,0.5218372344970703,0.5281791687011719,0.5250417590141296,0.7126889228820801,0.7552640438079834,0.7494121193885803,0.6124338507652283,0.5646704435348511,0.6741962432861328,53221.0,1500,1753645820.5136938,300.0,3.1471622649714703e-10,13200,,,224.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,mean,,,,,,
7246407851.47907-4f89ea0a-2c07,brainmvp_pretrained_t1_2025-07-27_05-06-17,finished,2025-07-27T05:06:36Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t1/runs/7246407851.47907-4f89ea0a-2c07,,823c3659-4871-4ec6-9ed4-fa9ba2f8aa62,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,0.0,0.6123776435852051,0.6353615522384644,0.6296296119689941,0.6236841678619385,0.7291356921195984,0.7904534935951233,0.7997875213623047,0.7456685304641724,0.74647057056427,0.6016725897789001,0.6534940600395203,0.6507936716079712,0.6296296119689941,0.6236841678619385,0.7204832434654236,23811.0,1500,1753616608.1395998,300.0,3.1471622649714703e-10,26400,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,cls_token,0.2,True,,,,
7246407499.44799-46cc879a-ebbc,mri_core_pretrained_t1_2025-07-27_05-11-34,finished,2025-07-27T05:11:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t1/runs/7246407499.44799-46cc879a-ebbc,,b7e97936-c2f1-4295-a6ed-e660f8a78e46,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,False,epochwise,0.5,0.8663861155509949,0.8827160596847534,0.8346561193466187,0.8290473222732544,0.5470349192619324,0.9997044801712036,0.9997057914733888,0.991631269454956,0.9913982152938844,0.3426057696342468,0.7817612290382385,0.7754262089729309,0.6891534328460693,0.6877144575119019,0.6644792556762695,101901.0,1500,1753695007.9808972,300.0,3.1471622649714703e-10,105300,,,224.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,mean,,,,,,
7246407147.71459-7a4c8331-eb42,brainiac_pretrained_t1_2025-07-27_05-18-04,finished,2025-07-27T05:18:23Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t1/runs/7246407147.71459-7a4c8331-eb42,,7677c3bf-6c5b-4648-b42a-53a15e3c4890,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,0.0,0.8313841819763184,0.8359788656234741,0.7526454925537109,0.7514832019805908,0.6100953817367554,0.8629300594329834,0.8634194135665894,0.7894083261489868,0.7900528907775879,0.5567375421524048,0.7358227372169495,0.7366255521774292,0.6547619104385376,0.6550707817077637,0.693795382976532,57555.0,1500,1753651057.5416684,300.0,3.1471622649714703e-10,26400,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,cls_token,0.2,True,,,,
7246406967.34689-be17f7d5-e19c,brainiac_scratch_t1_2025-07-27_05-21-14,finished,2025-07-27T05:21:34Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t1/runs/7246406967.34689-be17f7d5-e19c,,7e315b21-0445-481b-ab57-423cd76ab73d,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,0.0,0.7789501547813416,0.7730746269226074,0.7169312238693237,0.717391312122345,0.6201009750366211,0.8053598999977112,0.8084667921066284,0.7444589734077454,0.7445728182792664,0.5961045622825623,0.6592864990234375,0.6663727164268494,0.579365074634552,0.5760869979858398,0.9518968462944032,57172.0,1500,1753650863.999897,300.0,3.1471622649714703e-10,26400,,,,,,cls_token,0.2,True,,,,
