run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246389316.22974-8b4964c3-5106,dinov2_pretrained_flair_2025-07-27_12-52-02,finished,2025-07-27T10:15:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_flair/runs/7246389316.22974-8b4964c3-5106,,c8fc2f67-ec26-4684-a9f3-b0a3b2b1e622,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,gender,True,power,3,False,1,False,epochwise,mean,True,0.5,0.8694028854370117,0.8702127933502197,0.5,0.3743315637111664,0.6794928908348083,0.998882293701172,0.9989530444145204,0.9810030460357666,0.9793260097503662,0.361933708190918,0.8220605254173279,0.8331307172775269,0.7050151824951172,0.7085927724838257,0.5749930739402771,26345.0,1501,1753646633.6800437,300,3.1471622649714703e-10,105300,,,,,,,,,
7246388595.31937-59dbc1d1-01f9,brainiac_pretrained_flair_2025-07-27_11-45-27,finished,2025-07-27T11:26:23Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_flair/runs/7246388595.31937-59dbc1d1-01f9,,a306a66f-5133-4aba-b0ee-9a30cc22c93a,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.73163241147995,0.7571429014205933,0.5990881323814392,0.5764411091804504,0.7436210513114929,0.9337575435638428,0.9367105960845948,0.8637284636497498,0.8658313751220703,0.48583945631980896,0.7224496006965637,0.735714316368103,0.6691489219665527,0.6664165258407593,0.6752924919128418,16836.0,1500,1753633365.2733493,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246388226.61542-9563066d-28af,brainiac_scratch_flair_2025-07-27_19-08-16,finished,2025-07-27T11:34:01Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_flair/runs/7246388226.61542-9563066d-28af,,ce4cf174-4367-4e89-9a88-37fac884258f,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6980307102203369,0.7253799438476562,0.5,0.3743315637111664,0.6795272827148438,0.9259423017501832,0.9224586486816406,0.8566869497299194,0.8615740537643433,0.4968735575675965,0.6585413217544556,0.6790273785591125,0.6132218837738037,0.5990259647369385,0.7492201924324036,39876.0,3122,1753662537.5386832,300,3.1471622649714703e-10,26400,0.2,,,,,,,,
7246387866.09731-e3c81597-24ef,mri_core_pretrained_flair_2025-07-28_17-00-35,finished,2025-07-27T11:34:11Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_flair/runs/7246387866.09731-e3c81597-24ef,,e6276eb5-059b-49d8-90f7-a7a25b23875d,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,gender,True,power,3,False,1,False,epochwise,mean,,0.5,0.8873559236526489,0.8969604969024658,0.7373859882354736,0.7466688752174377,0.5738642811775208,0.9998553991317748,0.999864935874939,0.9929077625274658,0.9940589070320128,0.33957329392433167,0.885799765586853,0.8955926895141602,0.8117021322250366,0.8178704977035522,0.5243144035339355,139974.0,2680,1753797626.987147,300,3.1471622649714703e-10,105300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246388949.50040-06b5797e-9e29,brainmvp_pretrained_flair_2025-07-27_11-45-04,finished,2025-07-27T11:45:26Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_flair/runs/7246388949.50040-06b5797e-9e29,,0ae3b217-9d52-4b5a-bebe-814595b6b566,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.4427482485771179,0.38176292181015015,0.5,0.3743315637111664,0.6889265179634094,0.6378456354141235,0.6470955610275269,0.5763931274414062,0.56028813123703,0.6604233980178833,0.47027039527893066,0.4329787492752075,0.5,0.3743315637111664,0.8123239874839783,12190.0,1500,1753628917.107592,300,3.1471622649714703e-10,13200,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246387506.72603-161f0c12-6275,resenc_pretrained_flair_2025-07-28_16-44-31,finished,2025-07-27T12:23:29Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_flair/runs/7246387506.72603-161f0c12-6275,,bec4a07f-41fd-4586-96c1-a100f0468c5f,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,True,epochwise,,,0.2,0.8907253742218018,0.9048632383346558,0.8328267335891724,0.8316546678543091,0.5175939798355103,0.9998216032981871,0.9998311400413512,0.9916920065879822,0.9911197423934937,0.33504700660705566,0.9168683886528016,0.9174771904945374,0.8112462162971497,0.8005632162094116,0.5792158246040344,64707.0,4879,1753738758.2585137,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
7246386784.68781-2a3cec4c-1bdb,resenc_tc_time_conditioned_pretrained_flair_2025-07-27_13-59-29,finished,2025-07-27T12:35:22Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_flair/runs/7246386784.68781-2a3cec4c-1bdb,,2ffc939b-04f1-4461-a873-f63dcd78a8d6,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,True,epochwise,,,0.2,0.9242107272148132,0.9240121841430664,0.7764437198638916,0.7884615659713745,0.5335342288017273,0.994020938873291,0.993752121925354,0.9775075912475586,0.9791809320449828,0.359421044588089,0.835602879524231,0.8630698919296265,0.7936170101165771,0.7893157005310059,0.6038685441017151,22557.0,1500,1753644347.1455684,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,64.0,,,
7246387148.78035-a92a9086-4bd6,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-27_19-15-12,crashed,2025-07-27T12:49:35Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_flair/runs/7246387148.78035-a92a9086-4bd6,,31fd7637-bd13-4140-b942-0c5650b419b7,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,True,epochwise,,,0.2,,,,,,0.6212123036384583,0.6145220994949341,0.557953417301178,0.5582486391067505,0.6964467763900757,0.8554114699363708,0.8705167770385742,0.6452887654304504,0.6343749761581421,0.603272557258606,15056.76675703,1208,1753637943.2505946,6,3.80952380952381e-06,308,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246221494.25893-27a9ba18-6413,resenc_time_conditioned_pretrained_flair_2025-07-29_08-58-53,finished,2025-07-29T08:59:30Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_flair/runs/7246221494.25893-27a9ba18-6413,,b91f132c-f9ce-4e41-883e-b836f39f0f81,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.904144048690796,0.8957237005233765,0.8335525989532471,0.823609471321106,0.523733913898468,0.9919787645339966,0.9918807744979858,0.9643149375915528,0.9651666283607484,0.3674464821815491,0.9071715474128724,0.9185570478439332,0.8442028760910034,0.8454422950744629,0.5097149610519409,37183.0,1500,1753816752.652654,300,3.1471622649714703e-10,26700,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246150655.59829-ff064698-7959,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-30_04-28-12,finished,2025-07-30T04:28:49Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_flair/runs/7246150655.59829-ff064698-7959,,9e6920d2-d4c5-45a8-baf5-5ce3d48bb349,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,False,epochwise,,,0.2,0.8386112451553345,0.8371710777282715,0.8032894730567932,0.8068598508834839,0.548949658870697,0.9936012625694276,0.9936814308166504,0.9548698663711548,0.9511156678199768,0.38385358452796936,0.9125704765319824,0.9215500950813292,0.8224637508392334,0.8258825540542603,0.5318156480789185,23906.0,1000,1753873635.302645,200,3.8076210902182607e-10,70800,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
