run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246390393.94394-199f32ab-1c6e,dinov2_pretrained_t1gd_2025-07-27_09-57-21,finished,2025-07-27T09:57:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t1gd/runs/7246390393.94394-199f32ab-1c6e,,a76eb2f8-23d5-4991-887b-b4efade08062,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,gender,True,power,3,False,1,False,epochwise,mean,True,0.5,0.7948143482208252,0.8009119033813477,0.5,0.3743315637111664,0.6819637417793274,0.5091292858123779,0.5,0.5,0.28658536076545715,NaN,0.5188876390457153,0.5,0.5,0.28658536076545715,NaN,41601.0,1500,1753651871.076972,300,3.1471622649714703e-10,105300,,,,,,,,,
7246390014.90617-174cecda-ec85,brainmvp_pretrained_t1gd_2025-07-27_09-59-39,finished,2025-07-27T09:59:59Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t1gd/runs/7246390014.90617-174cecda-ec85,,1261d5ed-51d1-4f3b-92c6-6dfd9f19d0cc,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5626295804977417,0.584194540977478,0.5,0.3743315637111664,0.6799446940422058,0.7593141794204712,0.7735224962234497,0.6788753271102905,0.6810184717178345,0.6123114824295044,0.5457944273948669,0.5162613987922668,0.5,0.3743315637111664,0.912778615951538,21492.0,1500,1753631890.4965105,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246389599.62481-8f38c5ee-e3a4,brainiac_pretrained_t1gd_2025-07-27_10-03-56,finished,2025-07-27T10:04:15Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t1gd/runs/7246389599.62481-8f38c5ee-e3a4,,99be82af-5a29-4770-8782-bc3692184e4b,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.8288763761520386,0.8486322164535522,0.7975683808326721,0.806000828742981,0.6126444935798645,0.9615806341171264,0.9614994525909424,0.8862208724021912,0.8871191740036011,0.45064419507980347,0.8339731693267822,0.8468085527420044,0.7972644567489624,0.7962135672569275,0.6149225234985352,57369.0,1500,1753668023.1998718,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246388879.56374-412bf9aa-6c81,mri_core_pretrained_t1gd_2025-07-27_10-39-47,finished,2025-07-27T10:25:04Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t1gd/runs/7246388879.56374-412bf9aa-6c81,,6fa6cd07-ad67-4d11-95cc-b09512d125c7,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,gender,True,power,3,False,1,False,epochwise,mean,,0.5,0.936593234539032,0.9294832944869996,0.7127659320831299,0.7176691293716431,0.5729642510414124,1.0,1.0,0.9929077625274658,0.9940589070320128,0.33816781640052795,0.9213194847106934,0.9261398315429688,0.8472644090652466,0.8542963862419128,0.49649083614349365,101118.0,1511,1753713030.0675223,300,3.1471622649714703e-10,105300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246388524.27429-3a76171d-eca6,resenc_pretrained_t1gd_2025-07-27_10-26-06,finished,2025-07-27T10:26:35Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t1gd/runs/7246388524.27429-3a76171d-eca6,,2f6cddc2-3e63-4619-a509-ada616404b0d,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,True,epochwise,,,0.2,0.9324620366096495,0.929787278175354,0.7659574747085571,0.7793209552764893,0.5792002081871033,0.999783992767334,0.9997973442077636,0.990526795387268,0.9910989999771118,0.3360383212566376,0.9650942087173462,0.9642857313156128,0.9074468016624452,0.9031529426574708,0.4515284895896912,35418.0,1500,1753647413.390612,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
7246388165.88722-f4af1bdd-4439,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-07-27_10-35-44,finished,2025-07-27T10:36:17Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t1gd/runs/7246388165.88722-f4af1bdd-4439,,be8841ff-dd3c-4e58-8902-c60be0a877b6,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,True,epochwise,,,0.2,0.9114841222763062,0.9185410737991332,0.7691489458084106,0.7771428823471069,0.563319742679596,0.995736002922058,0.9954575896263124,0.9775075912475586,0.9791809320449828,0.36141225695610046,0.9355528354644777,0.9458966255187988,0.9145896434783936,0.91168475151062,0.4518277049064636,37525.0,1500,1753650101.2265873,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246334493.54515-549a2a55-dcd0,dinov2_pretrained_t1gd_2025-07-28_01-22-47,finished,2025-07-28T01:23:12Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t1gd/runs/7246334493.54515-549a2a55-dcd0,,5f0bead4-e6ce-4f71-8a5f-1dd3f8cfe50e,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,gender,True,power,3,False,1,False,epochwise,mean,True,0.5,0.8290340900421143,0.8270516395568848,0.6344984769821167,0.6268603801727295,0.5839890241622925,1.0,1.0,0.9964538812637328,0.9970329999923706,0.33329617977142334,0.863961398601532,0.8629179000854492,0.7902735471725464,0.7932068109512329,0.5484970808029175,42530.0,1500,1753708315.6595883,300,3.1471622649714703e-10,105300,,,,,,,,,
7246334121.00141-d464ebb4-6395,brainmvp_pretrained_t1gd_2025-07-28_01-29-32,finished,2025-07-28T01:29:51Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t1gd/runs/7246334121.00141-d464ebb4-6395,,4b3fac7b-b92e-4d7d-951c-a00c6db796f5,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5582980513572693,0.5788754224777222,0.5,0.3743315637111664,0.6799754500389099,0.7648938894271851,0.7791455388069153,0.6754305958747864,0.678787112236023,0.6090708374977112,0.5463210344314575,0.5306990742683411,0.48571428656578064,0.3675675690174103,0.9701938033103944,23539.0,1500,1753689730.2637885,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246333009.62704-701df649-b12a,mri_core_pretrained_t1gd_2025-07-28_01-48-00,finished,2025-07-28T01:48:21Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t1gd/runs/7246333009.62704-701df649-b12a,,1c74cf66-b2f4-4742-ae42-fd3af18992fd,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,gender,True,power,3,False,1,False,epochwise,mean,,0.5,0.9060546159744264,0.9036474227905272,0.7907294631004333,0.805129885673523,0.5352392196655273,1.0,1.0,1.0,1.0,0.335799902677536,0.9187769889831544,0.9264438152313232,0.8366261124610901,0.8444757461547852,0.4946981370449066,84353.0,1500,1753751648.9743152,300,3.1471622649714703e-10,105300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246332642.67468-c9dc5c4c-9fcd,resenc_pretrained_t1gd_2025-07-28_01-53-37,finished,2025-07-28T01:54:07Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t1gd/runs/7246332642.67468-c9dc5c4c-9fcd,,5f08acb3-71c7-46f7-8f81-3644fb6bcf48,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,gender,True,power,3,False,1,True,epochwise,,,0.2,0.9324620366096495,0.929787278175354,0.7659574747085571,0.7793209552764893,0.5792002081871033,0.999783992767334,0.9997973442077636,0.990526795387268,0.9910989999771118,0.3360383212566376,0.9650942087173462,0.9642857313156128,0.9074468016624452,0.9031529426574708,0.4515284895896912,35638.0,1500,1753703286.9053988,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
