run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_image_size,config_slice_aggregation,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path,config_dinov2_model_name
7246389020.21567-16bde786-4c35,brainmvp_pretrained_t2_2025-07-27_10-20-07,finished,2025-07-27T10:20:26Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t2/runs/7246389020.21567-16bde786-4c35,,2455baf6-052f-4fc2-96b0-fe3f39b956b6,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.525571882724762,0.517325222492218,0.5,0.28658536076545715,0.767851710319519,0.74666428565979,0.7538669109344482,0.6568388938903809,0.6574324369430542,0.6204410791397095,0.5704521536827087,0.5556230545043945,0.5565349459648132,0.5127360820770264,0.7637591361999512,22344.0,1500.0,1753633969.1687608,300.0,3.1471622649714703e-10,26400.0,,,,,,,,,
7246388655.07431-e4fc1d30-a796,brainiac_pretrained_t2_2025-07-27_10-40-08,finished,2025-07-27T10:23:55Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t2/runs/7246388655.07431-e4fc1d30-a796,,a075d07d-c016-4747-aee4-906f14952c3e,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.7450266480445862,0.7486321926116943,0.6481763124465942,0.6506913900375366,0.6299843192100525,0.9322719573974608,0.930699110031128,0.8506585359573364,0.8514726161956787,0.4882530868053436,0.6713073253631592,0.6781154870986938,0.6161094307899475,0.6175280213356018,0.7662131190299988,59409.0,1511.0,1753671261.5023255,300.0,3.1471622649714703e-10,26400.0,,,,,,,,,
7246387215.69342-84dcab42-8441,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-27_10-44-00,finished,2025-07-27T10:44:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t2/runs/7246387215.69342-84dcab42-8441,,aa40da65-38e4-4ab8-a31f-4c8e16848ef0,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,,,0.2,0.8441305160522461,0.8597264289855957,0.7548632025718689,0.760999321937561,0.6316187381744385,0.9986004829406738,0.9986828565597534,0.9691995978355408,0.9702945351600648,0.35645872354507446,0.8901265859603882,0.9252279996871948,0.8574467897415161,0.8442307710647583,0.5312580466270447,40747.0,1500.0,1753653818.5277314,300.0,3.1471622649714703e-10,13200.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,
7246386850.58259-36c960b5-262d,resenc_tc_time_conditioned_pretrained_t2_2025-07-27_10-58-58,finished,2025-07-27T10:59:20Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t2/runs/7246386850.58259-36c960b5-262d,,b9bc322b-e2fd-4447-bbf0-1f740c3f95bd,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,,,0.2,0.8942512273788452,0.8972644805908203,0.7759878635406494,0.7769389152526855,0.5440473556518555,0.9990301132202148,0.999088168144226,0.9762917757034302,0.9762917757034302,0.3493794798851013,0.8950773477554321,0.9066869020462036,0.8433130979537964,0.8345119953155518,0.5601712465286255,35920.0,1500.0,1753649879.8141434,300.0,3.1471622649714703e-10,13200.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,64.0,,,,,,
7246337397.34048-4baa5a5d-e07a,mri_core_pretrained_t2_2025-07-28_00-35-31,finished,2025-07-28T00:35:58Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t2/runs/7246337397.34048-4baa5a5d-e07a,,db5b4e2f-9962-4e92-8f24-aa3c2b5fb9e1,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,False,epochwise,mean,,0.5,0.9256904125213624,0.9234042167663574,0.8255319595336914,0.81709223985672,0.5104908347129822,0.9997867345809937,0.9997973442077636,0.9893617033958436,0.9910775423049928,0.3417263329029083,0.9277780055999756,0.9373860359191896,0.8612462282180786,0.8586956262588501,0.4879814088344574,73558.0,1500.0,1753736514.8528595,300.0,3.1471622649714703e-10,105300.0,,,,224.0,mean,,,,
7246221507.36951-0ebd7c61-e515,resenc_time_conditioned_pretrained_t2_2025-07-29_08-53-35,finished,2025-07-29T08:54:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t2/runs/7246221507.36951-0ebd7c61-e515,,eb7f1137-81e5-4638-b4d5-b0db99626b25,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.8745440244674683,0.878947377204895,0.8026316165924072,0.8008339405059814,0.5556384921073914,0.9949880242347716,0.9951874613761902,0.9600425958633424,0.9621530771255492,0.3696929514408112,0.9284491539001464,0.9269061088562012,0.8442028760910034,0.8454422950744629,0.5136064291000366,37006.0,1500.0,1753816258.526662,300.0,3.1471622649714703e-10,26700.0,,256.0,64.0,,,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,
7246150687.14794-45b557b0-c6a4,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-30_04-34-34,finished,2025-07-30T04:35:09Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t2/runs/7246150687.14794-45b557b0-c6a4,,900a9fb9-ace7-4486-9bbf-480ed9a6d42b,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,False,epochwise,,,0.2,0.8367341160774231,0.845230221748352,0.7986842393875122,0.8158730268478394,0.5508170127868652,0.994187355041504,0.9944016933441162,0.9646259546279908,0.962498426437378,0.3770449459552765,0.8613373041152954,0.9018588066101074,0.8007246255874634,0.8058837652206421,0.5866618752479553,23862.0,1000.0,1753873971.0342257,200.0,3.8076210902182607e-10,70800.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,
7246148727.84712-af2fa99b-957e,resenc_time_conditioned_pretrained_t2_2025-07-30_05-06-38,crashed,2025-07-30T05:07:15Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t2/runs/7246148727.84712-af2fa99b-957e,,dd51bc97-8d23-4299-b09f-033f678c5778,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,False,epochwise,cls_token,,0.5,,,,,,0.9771634340286256,0.9770994186401368,0.9261908531188964,0.927360773086548,0.4195983409881592,0.8692639470100403,0.8799622058868408,0.760869562625885,0.7626984119415283,0.5631572604179382,19112.420519532,690.0,1753871150.9501452,137.0,1.3263210930352743e-06,48852.0,,256.0,64.0,,,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,
7246127874.10215-b41ced0c-0514,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-30_10-47-04,finished,2025-07-30T10:47:40Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t2/runs/7246127874.10215-b41ced0c-0514,,dc48d24b-60ad-48f9-af1e-08d86a6459bb,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,False,epochwise,,,0.2,0.8812463283538818,0.8861842155456543,0.8105263113975525,0.8214163780212402,0.5402346849441528,0.9959288835525512,0.9960386753082277,0.9597479104995728,0.9567993879318236,0.3751915097236634,0.8656217455863953,0.8976055383682251,0.8369565010070801,0.8428583145141602,0.5414903163909912,24349.0,1000.0,1753896806.1543608,200.0,3.8076210902182607e-10,70800.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,
7246126799.03401-75fe34e2-1e78,resenc_time_conditioned_pretrained_t2_2025-07-30_11-11-17,finished,2025-07-30T11:11:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gender_single_t2/runs/7246126799.03401-75fe34e2-1e78,,2d69300e-8950-4d60-ac31-a64696f99950,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,False,epochwise,cls_token,,0.5,0.8608081340789795,0.8583881855010986,0.7782894372940063,0.7847503423690796,0.540865421295166,0.980957329273224,0.9804550409317015,0.9133737087249756,0.9178736209869384,0.4123382568359375,0.891292929649353,0.8928796648979187,0.760869562625885,0.7626984119415283,0.5642876029014587,26362.0,1000.0,1753900270.2880394,200.0,3.8076210902182607e-10,70800.0,,256.0,64.0,,,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,
