run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_learned_sinusoidal_dim,config_dropout_prob,config_pretrained_path,config_token_aggregation_method,config_use_brainiac_preprocessing,config_image_size,config_slice_aggregation,config_dinov2_model_name,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246479002.57495-448a3ae4-e029,resenc_pretrained_t1_2025-07-26_11-10-48,finished,2025-07-26T09:17:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1/runs/7246479002.57495-448a3ae4-e029,,7e721f0b-823a-41e8-ac84-a8cb7a167c47,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,True,power,3,False,1,True,epochwise,0.2,0.533417820930481,0.5237016677856445,0.5,0.3709677457809448,0.682858407497406,0.5911123156547546,0.6108565330505371,0.5,0.3732142746448517,0.6729320883750916,0.54976886510849,0.5341184139251709,0.5,0.3709677457809448,0.6838939189910889,12362.0,1001,1753534751.0422158,100,3.854818796385494e-08,4400,,,,,,,,,,,,
7246478724.41796-e6f9b1db-7a44,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-07-26_09-24-09,finished,2025-07-26T09:24:34Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1/runs/7246478724.41796-e6f9b1db-7a44,,7b279d52-2e3d-4512-bc47-e52e9554bd16,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,True,power,3,False,1,True,epochwise,0.2,0.5071683526039124,0.5102657079696655,0.5,0.3709677457809448,0.6830804347991943,0.5061473846435547,0.4941033720970154,0.4980625510215759,0.4256081283092499,0.6879765391349792,0.6456233859062195,0.6358695030212402,0.5,0.3709677457809448,0.6822366118431091,6175.0,500,1753528049.5077448,100,3.854818796385494e-08,4400,,,,,,,,,,,,
7246478864.39953-bbcc7c4e-7af1,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-26_09-33-12,finished,2025-07-26T09:33:46Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1/runs/7246478864.39953-bbcc7c4e-7af1,,f25975c6-3475-4a82-aacc-81f7b2320228,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,True,power,3,False,1,True,epochwise,0.2,0.5071683526039124,0.5102657079696655,0.5,0.3709677457809448,0.6830804347991943,0.5061473846435547,0.4941033720970154,0.4980625510215759,0.4256081283092499,0.6879765391349792,0.6456233859062195,0.6358695030212402,0.5,0.3709677457809448,0.6822366118431091,6322.0,500,1753528748.396665,100,3.854818796385494e-08,4400,,,,,,,,,,,,
7246478583.01227-3923fdd0-9688,resenc_tc_time_conditioned_pretrained_t1_2025-07-26_09-44-06,finished,2025-07-26T09:44:30Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1/runs/7246478583.01227-3923fdd0-9688,,a1ec9e50-cb3e-4cf3-a330-249ca6d28985,t-jiachentu,False,0,Classification,100,False,TimeConditionedResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,True,power,3,False,1,True,epochwise,0.2,0.5361555218696594,0.5356279611587524,0.4882246255874634,0.3616816401481629,0.7018922567367554,0.4936612844467163,0.49016112089157104,0.50311678647995,0.41195085644721985,0.6872288584709167,0.49330103397369385,0.4624094367027282,0.5,0.3709677457809448,0.6853035688400269,6366.0,500,1753529437.413977,100,3.854818796385494e-08,4400,256.0,64.0,,,,,,,,,,
7246421490.54455-6bdd1485-8c50,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-07-27_01-13-39,finished,2025-07-27T01:14:07Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1/runs/7246421490.54455-6bdd1485-8c50,,db27fc1c-2e4d-4e7f-814b-ab35d640431c,t-jiachentu,False,0,Classification,300,False,ResEncoderMultiModal_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,True,power,3,False,1,True,epochwise,0.2,0.5186759233474731,0.5129830837249756,0.5339673757553101,0.5192452669143677,0.69422447681427,0.9519716501235962,0.9496597051620485,0.8503099679946899,0.857545018196106,0.4619936048984528,0.5632803440093994,0.5659722089767456,0.5375906229019165,0.5376899838447571,0.9038717150688172,37680.0,1500,1753616526.483212,300,3.1471622649714703e-10,13200,,,,,,,,,,,,
7246421699.24984-b378c835-7749,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-27_01-20-21,finished,2025-07-27T01:21:25Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1/runs/7246421699.24984-b378c835-7749,,1225fdf9-210c-42aa-9800-aa5facd93721,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,True,power,3,False,1,True,epochwise,0.2,0.4780859649181366,0.4414251446723938,0.5,0.3709677457809448,0.6859866976737976,0.945489227771759,0.94544780254364,0.8525675535202026,0.8583669066429138,0.47210320830345154,0.5534679293632507,0.5422705411911011,0.5113224983215332,0.505226194858551,0.9926957488059998,28539.0,1500,1753607822.6151068,300,3.1471622649714703e-10,13200,,,,,,,,,,,,
7246421295.49559-01301abd-26e7,resenc_tc_time_conditioned_pretrained_t1_2025-07-27_01-22-37,finished,2025-07-27T01:22:59Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1/runs/7246421295.49559-01301abd-26e7,,59526b41-306e-497d-9248-2a9bbbda88b7,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,True,power,3,False,1,True,epochwise,0.2,0.5306079983711243,0.5412137508392334,0.5280796885490417,0.4920156002044678,0.7010520696640015,0.946704924106598,0.9503335952758788,0.8620021343231201,0.8675925731658936,0.4601400792598725,0.5309513807296753,0.5240036249160767,0.5176630616188049,0.5151301622390747,0.9551247358322144,35907.0,1500,1753615284.32382,300,3.1471622649714703e-10,13200,256.0,64.0,,,,,,,,,,
7246408725.23342-4736b8fa-b1a4,resenc_pretrained_t1_2025-07-27_04-45-13,finished,2025-07-27T04:45:49Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1/runs/7246408725.23342-4736b8fa-b1a4,,27a79230-0325-4695-a62d-3e5bfba20f73,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,True,power,3,False,1,True,epochwise,0.2,0.5291294455528259,0.5285326242446899,0.5054348111152649,0.4317573606967926,0.6832565665245056,0.7672216296195984,0.7985208034515381,0.7404811382293701,0.7460888624191284,0.6015267372131348,0.5403199195861816,0.54347825050354,0.5466485619544983,0.5425676107406616,0.7037940621376038,19720.0,1500,1753611269.197628,300,3.1471622649714703e-10,13200,,,,,,,,,,,,
7246407828.30412-1dd37b1a-d4f1,brainmvp_pretrained_t1_2025-07-27_05-00-42,finished,2025-07-27T05:01:03Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1/runs/7246407828.30412-1dd37b1a-d4f1,,3977512a-9528-481e-8959-a803363efba4,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,True,power,3,False,1,True,epochwise,0.0,0.6018519401550293,0.5973731875419617,0.5031703114509583,0.3895652294158935,0.6904059052467346,0.5871018767356873,0.6013376712799072,0.5138149261474609,0.42307692766189575,0.6730378866195679,0.4469294846057892,0.4180253744125366,0.4442934989929199,0.3665065169334411,0.7333837747573853,24406.0,1500,1753616869.8753624,300,3.1471622649714703e-10,26400,,,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,cls_token,True,,,,,,
7246407646.97258-ea4e64c5-3acf,mri_core_frozen_t1_2025-07-27_05-03-09,finished,2025-07-27T05:03:27Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1/runs/7246407646.97258-ea4e64c5-3acf,,528f9419-5016-4772-ac3b-168395c41c88,t-jiachentu,False,0,Classification,300,False,mri_core_frozen,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,linear_probing,True,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gtr_status,True,power,3,False,1,False,epochwise,0.5,0.5932038426399231,0.6026570200920105,0.5,0.3709677457809448,0.6787663102149963,0.5095410346984863,0.5109509229660034,0.492519736289978,0.48489511013031006,0.7057057619094849,0.6241009831428528,0.6388888359069824,0.5,0.3709677457809448,0.6764979958534241,51245.0,1500,1753643850.8513875,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,,224.0,mean,,,,
