run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246390320.73932-e3c53caa-113c,dinov2_pretrained_t1gd_2025-07-27_09-58-56,finished,2025-07-27T09:59:27Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1gd/runs/7246390320.73932-e3c53caa-113c,,b0c78323-5853-46b8-b6e1-35ca95b4682f,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,gtr_status,True,power,3,False,1,False,epochwise,mean,True,0.5,0.5607375502586365,0.5600845813751221,0.5,0.3709677457809448,0.6819460391998291,0.5085382461547852,0.5,0.5,0.2880324423313141,NaN,0.5190973281860352,0.5,0.5,0.290909081697464,NaN,41811.0,1500,1753652175.7799056,300,3.1471622649714703e-10,105300,,,,,,,,,
7246389905.50771-a3b2be92-e76b,brainmvp_pretrained_t1gd_2025-07-27_09-59-39,finished,2025-07-27T09:59:59Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1gd/runs/7246389905.50771-a3b2be92-e76b,,f81eae59-4da1-40b2-b2fe-108c1aed235e,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.502485990524292,0.4846014380455017,0.45606881380081177,0.44428205490112305,0.7377371788024902,0.718885064125061,0.7246276140213013,0.6097951531410217,0.6082482933998108,0.6305775046348572,0.5902891159057617,0.580314040184021,0.5258151888847351,0.503947377204895,0.7063944935798645,21579.0,1500,1753631976.9055417,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246389526.57909-1933baaa-62f2,brainiac_pretrained_t1gd_2025-07-27_10-11-15,finished,2025-07-27T10:11:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1gd/runs/7246389526.57909-1933baaa-62f2,,e82f0838-8620-4130-8707-c811b95b2d6b,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5619503855705261,0.5492149591445923,0.5135869383811951,0.4108003973960877,0.6788734793663025,0.8471949100494385,0.8446323871612549,0.7756924629211426,0.7800166606903076,0.5619711875915527,0.5862802863121033,0.5893720388412476,0.54347825050354,0.5374001264572144,0.8524637222290039,57679.0,1500,1753668773.7297404,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246388808.56510-22a40cc5-7a5b,mri_core_pretrained_t1gd_2025-07-27_10-23-40,finished,2025-07-27T10:23:57Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1gd/runs/7246388808.56510-22a40cc5-7a5b,,cc169cc6-7b41-43f8-a4e6-7b475fa96971,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,gtr_status,True,power,3,False,1,False,epochwise,mean,,0.5,0.5603008270263672,0.5679347515106201,0.5674818754196167,0.565811276435852,0.6872327327728271,0.6301878690719604,0.651492714881897,0.5735898613929749,0.56307053565979,0.6599451303482056,0.5082392692565918,0.4960748553276062,0.4682970941066742,0.42488157749176025,0.7043468356132507,95476.0,1500,1753707313.654539,300,3.1471622649714703e-10,105300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246388459.18839-a6d75b5e-ce90,resenc_pretrained_t1gd_2025-07-27_10-29-30,finished,2025-07-27T10:29:58Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1gd/runs/7246388459.18839-a6d75b5e-ce90,,de437857-ec95-403b-8fc9-f5124859bfa7,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,,,0.2,0.5696130394935608,0.57472825050354,0.585597813129425,0.5828877091407776,0.7107027769088745,0.9779444336891174,0.9814846515655518,0.9421288967132568,0.9436268210411072,0.40464621782302856,0.6574668884277344,0.6654589176177979,0.6195652484893799,0.6208333373069763,0.7451914548873901,35019.0,1500,1753647216.3469374,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
7246388094.01682-738a6164-18a5,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-07-27_10-36-45,finished,2025-07-27T10:37:16Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1gd/runs/7246388094.01682-738a6164-18a5,,f08f615b-8874-40c3-b2f4-df603e8c0901,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,,,0.2,0.505325198173523,0.4969806671142578,0.54076087474823,0.54076087474823,0.7913457155227661,0.9852564334869384,0.9858144521713256,0.9314306974411012,0.931917667388916,0.402432918548584,0.6073795557022095,0.6286232471466064,0.60597825050354,0.6066150665283203,0.8264261484146118,38123.0,1500,1753650759.7272537,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246334421.02086-6e1dcf17-4cfe,dinov2_pretrained_t1gd_2025-07-28_01-24-20,finished,2025-07-28T01:24:43Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1gd/runs/7246334421.02086-6e1dcf17-4cfe,,eaeb7574-2881-4eaf-833f-31e0620cb7a4,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,gtr_status,True,power,3,False,1,False,epochwise,mean,True,0.5,0.5659298896789551,0.5744262933731079,0.5,0.3709677457809448,0.6808027029037476,0.5070728063583374,0.5150448083877563,0.5022575259208679,0.386000782251358,0.6833736300468445,0.5424207448959351,0.5018116235733032,0.5,0.3709677457809448,0.6832460761070251,42366.0,1500,1753708243.4336977,300,3.1471622649714703e-10,105300,,,,,,,,,
7246334047.96560-8b6adade-b8ce,brainmvp_pretrained_t1gd_2025-07-28_01-29-57,finished,2025-07-28T01:30:17Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1gd/runs/7246334047.96560-8b6adade-b8ce,,dc653771-c159-4fe9-bf47-e626f41cc74b,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.509772539138794,0.49335747957229614,0.4692028760910034,0.4075393974781037,0.700461208820343,0.7348709106445312,0.7370948791503906,0.6402217149734497,0.6421447396278381,0.6249600648880005,0.5733315348625183,0.5564613342285156,0.5258151888847351,0.503947377204895,0.717801570892334,23501.0,1500,1753689718.432545,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246333676.85016-f40dd12e-63e4,brainiac_pretrained_t1gd_2025-07-28_01-37-57,finished,2025-07-28T01:38:16Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1gd/runs/7246333676.85016-f40dd12e-63e4,,6a176f4a-a20e-4ed9-8013-ed0fb908ed12,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5334739685058594,0.5253623127937317,0.4886775314807892,0.3818681538105011,0.6823812127113342,0.8205286264419556,0.8223936557769775,0.7672518491744995,0.7698360681533813,0.5803787112236023,0.530280351638794,0.5176630616188049,0.5797101259231567,0.5712858438491821,0.9027124643325806,51192.0,1500,1753717889.418766,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246333302.92944-c854529f-8503,brainiac_scratch_t1gd_2025-07-28_01-42-10,finished,2025-07-28T01:42:31Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_t1gd/runs/7246333302.92944-c854529f-8503,,27313d49-96de-4baa-8e25-1053cc27b793,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5542957782745361,0.5724637508392334,0.5,0.3709677457809448,0.681975245475769,0.6628018617630005,0.6701596975326538,0.6028876304626465,0.5990788340568542,0.653889536857605,0.5058061480522156,0.5075483322143555,0.52173912525177,0.5171428322792053,0.8082168698310852,49388.0,1500,1753716339.715946,300,3.1471622649714703e-10,26400,0.2,,,,,,,,
