run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_chpt_path,config_image_size,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246389365.90191-715ac7f5-f6e9,dinov2_pretrained_flair_2025-07-27_12-51-34,finished,2025-07-27T10:13:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_flair/runs/7246389365.90191-715ac7f5-f6e9,,f18a4764-7b1c-463e-aac0-7dbec9d05454,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,survival_18month,True,power,3,False,1,False,epochwise,mean,True,0.5,0.6307365298271179,0.6548967361450195,0.5856096148490906,0.49439680576324463,0.6914958953857422,0.5107768774032593,0.5,0.5,0.40102389454841614,NaN,0.5149654150009155,0.5,0.5,0.4030612111091614,NaN,26680.0,1516,1753646836.053068,300,3.1471622649714703e-10,105300,,,,,,,,,
7246388274.32582-fc35e7fe-6c32,brainiac_scratch_flair_2025-07-27_13-12-00,finished,2025-07-27T10:56:57Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_flair/runs/7246388274.32582-fc35e7fe-6c32,,bf7745d9-fd16-431e-9fed-643f73ea4a3e,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5731488466262817,0.5852764844894409,0.60493004322052,0.5985797643661499,0.7191191911697388,0.8558390736579895,0.8747615218162537,0.795946478843689,0.8023648262023926,0.5349553227424622,0.6496716141700745,0.6712192296981812,0.6162558794021606,0.5547423362731934,0.8395321369171143,22839.0,1911,1753638347.1141844,300,3.1471622649714703e-10,26400,0.2,,,,,,,,
7246388643.40444-cc660f09-9c7c,brainiac_pretrained_flair_2025-07-27_13-59-56,finished,2025-07-27T11:25:55Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_flair/runs/7246388643.40444-cc660f09-9c7c,,d355e715-7eba-4ba1-8cf5-9b79092c8553,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5499833822250366,0.5196535587310791,0.5294803380966187,0.5084033608436584,1.0876482725143433,0.9060105085372924,0.906382977962494,0.828081488609314,0.8374032378196716,0.4999831020832062,0.5660291910171509,0.6002664566040039,0.633244514465332,0.6038076877593994,0.9631783366203308,27494.0,1831,1753647175.8992417,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246389004.35664-f8e66a3b-07a2,brainmvp_pretrained_flair_2025-07-27_12-30-23,failed,2025-07-27T11:53:04Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_flair/runs/7246389004.35664-f8e66a3b-07a2,,2df4160b-5b67-4cc4-86fc-64275b5218d6,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,True,epochwise,cls_token,True,0.0,,,,,,0.5551737546920776,0.5772743821144104,0.4980374276638031,0.4196428656578064,0.6547684669494629,0.47253721952438354,0.45036643743515015,0.5,0.4030612111091614,0.6585276126861572,2230.0,131,1753619895.517598,25,4.761904761904763e-07,0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246387554.97213-02d285d7-43ac,resenc_pretrained_flair_2025-07-27_12-20-14,finished,2025-07-27T12:20:46Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_flair/runs/7246387554.97213-02d285d7-43ac,,cc3f364b-edae-4de2-9c02-03d70026728a,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,True,epochwise,,,0.2,0.5729573965072632,0.582611620426178,0.5,0.4030612111091614,0.6511675119400024,0.9586660861968994,0.9630961418151855,0.931199550628662,0.9378616213798524,0.4109865427017212,0.6028074026107788,0.5694537162780762,0.5488008260726929,0.5415360331535339,0.7314521074295044,16646.0,1500,1753635491.617689,300,3.1471622649714703e-10,13200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,
7246387912.99771-2d41b374-de90,mri_core_pretrained_flair_2025-07-28_15-32-23,finished,2025-07-27T12:23:13Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_flair/runs/7246387912.99771-2d41b374-de90,,f03dd573-d9c0-4bc1-86e4-13d9bec3e116,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,survival_18month,True,power,3,False,1,False,epochwise,mean,,0.5,0.6649903655052185,0.6868754625320435,0.628247857093811,0.6340155601501465,0.6849734783172607,0.9998180866241456,0.999853253364563,0.9870689511299132,0.9902785420417786,0.344245046377182,0.6460477113723755,0.6375749111175537,0.5756162405014038,0.5764411091804504,0.6727784276008606,151570.0,3033,1753793426.5559115,300,3.1471622649714703e-10,105300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,224.0,,,,,
7246387196.81330-2d6c2409-044f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-27_19-07-48,finished,2025-07-27T12:34:12Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_flair/runs/7246387196.81330-2d6c2409-044f,,85ed4f61-7297-4ce3-87ed-0473bf479820,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,True,epochwise,,,0.2,0.6271817684173584,0.6489007472991943,0.5687874555587769,0.5676110982894897,0.6391138434410095,0.9955143928527832,0.9963315725326538,0.9591892957687378,0.9612011909484864,0.3700711131095886,0.6263698935508728,0.6409060955047607,0.6034310460090637,0.6047297120094299,0.7990869879722595,30083.0,2566,1753660836.6789885,300,3.1471622649714703e-10,13200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,
7246386832.70743-ab965ff6-058e,resenc_tc_time_conditioned_pretrained_flair_2025-07-27_13-59-49,finished,2025-07-27T12:35:23Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_flair/runs/7246386832.70743-ab965ff6-058e,,f4a5dfec-4745-427f-86c2-c67971e08c9e,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,True,epochwise,,,0.2,0.6449122428894043,0.6818787455558777,0.6340773105621338,0.6416040062904358,0.6323829293251038,0.9906972050666808,0.9918562173843384,0.9420028924942015,0.9449117183685304,0.3813962936401367,0.5974253416061401,0.6254163980484009,0.5912724733352661,0.5891384482383728,0.8569406867027283,24317.0,1681,1753645929.767855,300,3.1471622649714703e-10,13200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,256.0,64.0,,,
7246150280.28429-569a2c3d-950a,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-30_04-40-06,finished,2025-07-30T04:40:43Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_flair/runs/7246150280.28429-569a2c3d-950a,,71fbcd04-5752-489f-89b8-5859c509899a,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,False,epochwise,,,0.2,0.5983973741531372,0.6050616502761841,0.5318015217781067,0.4848060011863709,0.6866920590400696,0.9240266680717468,0.9333592653274536,0.845456600189209,0.8548446893692017,0.4743015170097351,0.6890871524810791,0.736790657043457,0.6746575236320496,0.6812196969985962,0.6786030530929565,23953.0,1000,1753874394.7621856,200,3.8076210902182607e-10,70800,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,
7246148323.64621-171fcd10-a6c6,resenc_time_conditioned_pretrained_flair_2025-07-30_05-13-28,crashed,2025-07-30T05:14:05Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_flair/runs/7246148323.64621-171fcd10-a6c6,,eff7f2ce-5b02-4bc5-b89d-36a535bc6da1,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,False,epochwise,cls_token,,0.5,,,,,,0.5371168255805969,0.5471397638320923,0.5,0.4070351719856262,0.6469414830207825,0.6033916473388672,0.6224722862243652,0.5,0.3882978856563568,0.6735935211181641,18653.648605771,665,1753871100.9187813,132,1.5231721787768166e-06,47082,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
