run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246389432.89971-12c0d56f-6e71,dinov2_pretrained_t2_2025-07-27_10-16-26,finished,2025-07-27T10:16:46Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t2/runs/7246389432.89971-12c0d56f-6e71,,f0072d9e-958d-4541-92b4-56796b4fce4e,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,survival_18month,True,power,3,False,1,False,epochwise,mean,True,0.5,0.6524426341056824,0.6495670080184937,0.5,0.4030612111091614,0.6621321439743042,0.5107768774032593,0.5,0.5,0.40102389454841614,NaN,0.5149654150009155,0.5,0.5,0.4030612111091614,NaN,48188.0,1500,1753659592.6750455,300,3.1471622649714703e-10,105300,,,,,,,,,
7246388702.51355-0911fa39-4e93,brainiac_pretrained_t2_2025-07-27_10-19-47,finished,2025-07-27T10:20:07Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t2/runs/7246388702.51355-0911fa39-4e93,,79314c91-ad79-4300-9b42-92a795c65386,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6372901201248169,0.6625583171844482,0.5981012582778931,0.5940450429916382,0.7551783323287964,0.8999342918395996,0.9005135893821716,0.8000366687774658,0.8136600852012634,0.502260148525238,0.5982127785682678,0.5679546594619751,0.5449700355529785,0.5454391837120056,0.8856414556503296,49702.0,1500,1753661308.8823223,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246389073.73560-3c0bed91-26a1,brainmvp_pretrained_t2_2025-07-27_10-19-52,finished,2025-07-27T10:20:10Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t2/runs/7246389073.73560-3c0bed91-26a1,,1d3a25eb-cb50-46d8-8820-18d542646564,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5705156922340393,0.5689539909362793,0.5131579041481018,0.4307692348957062,0.7142404913902283,0.7143976092338562,0.7337857484817505,0.590847373008728,0.5818718075752258,0.6117640733718872,0.6353510618209839,0.651565670967102,0.5131579041481018,0.4307692348957062,0.6940407752990723,22301.0,1500,1753633910.1375835,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246387975.76792-ef74e132-1ca1,mri_core_pretrained_t2_2025-07-27_10-31-18,finished,2025-07-27T10:31:37Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t2/runs/7246387975.76792-ef74e132-1ca1,,1f6fcde6-dc5d-43f3-94ae-a2b201e45a59,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,survival_18month,True,power,3,False,1,False,epochwise,mean,,0.5,0.624672532081604,0.6352431774139404,0.5371419191360474,0.5357142686843872,0.6981104016304016,0.9951439499855042,0.9960747957229614,0.9483858942985536,0.9543206691741944,0.3678753077983856,0.7328795194625854,0.7498334646224976,0.6457362174987793,0.655358076095581,0.6223340034484863,99645.0,1500,1753711940.8677826,300,3.1471622649714703e-10,105300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246388337.11889-1834da0d-ed7f,brainiac_scratch_t2_2025-07-27_10-31-49,finished,2025-07-27T10:32:08Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t2/runs/7246388337.11889-1834da0d-ed7f,,8a4a92f3-53ff-4f63-9d38-85ff6994ef0a,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6585240364074707,0.6818787455558777,0.6345769166946411,0.6412338018417358,0.6427174210548401,0.7746518850326538,0.798936128616333,0.6731290817260742,0.6840236783027649,0.5793910622596741,0.66267329454422,0.6798800826072693,0.5809460282325745,0.5774478316307068,0.696358323097229,57932.0,1500,1753670261.3094084,300,3.1471622649714703e-10,26400,0.2,,,,,,,,
7246387264.85518-226e2a69-b409,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-27_10-43-18,finished,2025-07-27T10:43:54Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t2/runs/7246387264.85518-226e2a69-b409,,3584ae1e-471b-4e79-9a8c-6c11e7c1ae85,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,True,epochwise,,,0.2,0.6435259580612183,0.6325782537460327,0.5726182460784912,0.5460317730903625,0.6477147936820984,0.9753978252410888,0.9747982621192932,0.939765214920044,0.9475493431091307,0.40306082367897034,0.6657135486602783,0.6577281951904297,0.6540639400482178,0.6623376607894897,0.6935723423957825,40719.0,1500,1753653752.575111,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246386898.53975-4d23c020-f888,resenc_tc_time_conditioned_pretrained_t2_2025-07-27_10-59-13,finished,2025-07-27T11:00:01Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t2/runs/7246386898.53975-4d23c020-f888,,6420b1e1-5119-4a22-9cf0-5be52e8e3357,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,True,epochwise,,,0.2,0.6851091384887695,0.7071952223777771,0.59260493516922,0.5806451439857483,0.6184041500091553,0.9866405725479126,0.9870506525039672,0.9613720178604126,0.9613720178604126,0.3792171776294708,0.6565930247306824,0.6705529689788818,0.6350765824317932,0.6403162479400635,0.7393280267715454,31045.0,1500,1753645041.7546678,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,64.0,,,
7246221348.03353-304092f4-faf0,resenc_time_conditioned_pretrained_t2_2025-07-29_09-00-49,finished,2025-07-29T09:01:28Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t2/runs/7246221348.03353-304092f4-faf0,,90f8289e-3026-44b7-a4c9-fb99fbf8f745,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.5604472160339355,0.5740926265716553,0.5318015217781067,0.4848060011863709,0.6599674820899963,0.870876133441925,0.8817706108093262,0.8114781379699707,0.8268305063247681,0.5096399784088135,0.6136113405227661,0.6307892799377441,0.6288323402404785,0.631443977355957,0.7061886191368103,36619.0,1500,1753816305.828019,300,3.1471622649714703e-10,26700,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246150305.03021-ded2f9c4-f106,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-30_04-39-54,finished,2025-07-30T04:40:30Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t2/runs/7246150305.03021-ded2f9c4-f106,,b00b9851-0f93-43cb-aef9-3212a67c2db1,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,False,epochwise,,,0.2,0.6417217254638672,0.6338661909103394,0.5128205418586731,0.4260416626930237,0.646003007888794,0.9662455916404724,0.9703036546707152,0.8848292827606201,0.8953531980514526,0.43021225929260254,0.6290693879127502,0.6425310373306274,0.5877364873886108,0.5886048078536987,0.8023771047592163,23786.0,1000,1753874216.551695,200,3.8076210902182607e-10,70800,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246148348.72034-471df17a-da24,resenc_time_conditioned_pretrained_t2_2025-07-30_05-06-28,crashed,2025-07-30T05:07:03Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t2/runs/7246148348.72034-471df17a-da24,,663a464c-2e8a-4cda-bc62-d2b3fe318d00,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,survival_18month,True,power,3,False,1,False,epochwise,cls_token,,0.5,,,,,,0.7228939533233643,0.7522892951965332,0.660271406173706,0.67206871509552,0.5956898927688599,0.6345836520195007,0.6562296152114868,0.6169276237487793,0.6175166368484497,0.660163938999176,19028.209142154,700,1753871053.8704212,139,1.2500000000000012e-06,49560,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
