run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_chpt_path,config_image_size,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size,config_freeze_encoder,config_pretrained_encoder_path,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7246593971.24326-c7b29c5d-e049,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-25_01-19-51,finished,2025-07-25T01:20:08Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246593971.24326-c7b29c5d-e049,,f51a0d99-fedf-4110-9511-7d3b6d7ffce3,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4.0,False,0.0,True,False,full,True,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,survival_1year,False,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.6207448244094849,0.6426886320114136,0.5,0.3535911738872528,2.033545970916748,0.6995017528533936,0.7054507732391357,0.6492236852645874,0.6497670412063599,0.8907163143157959,0.6664260625839233,0.6793926954269409,0.5871167182922363,0.5771527290344238,0.7111192345619202,24739.0,500.0,1753431148.1075685,100.0,3.854818796385499e-07,35100.0,,,,,,,,,,,,,,,
7246593631.32047-84fe00bb-aa25,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-27-36,finished,2025-07-25T01:27:58Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246593631.32047-84fe00bb-aa25,,5a9e5a70-5c53-4d3c-a7d1-af4a32e7a9be,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,survival_1year,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.5351898670196533,0.5303655862808228,0.5,0.3535911738872528,0.6932889223098755,0.6110526323318481,0.6160410046577454,0.5854952931404114,0.572857141494751,0.6768622994422913,0.5950795412063599,0.5891804099082947,0.5,0.3535911738872528,0.6896201968193054,35561.0,500.0,1753442436.7514489,100.0,1.927409398192747e-08,35100.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,
7246593617.46776-ecfa614a-e0b9,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-25_01-30-04,finished,2025-07-25T01:30:37Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246593617.46776-ecfa614a-e0b9,,f5eb6b7f-2d7c-44ce-b3e7-768b602c2af0,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,survival_1year,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.5022114515304565,0.45002949237823486,0.5247641801834106,0.4153897166252136,0.7096631526947021,0.5120341777801514,0.4850628972053528,0.5,0.3535911738872528,0.6904020309448242,0.5191194415092468,0.5073702931404114,0.5,0.3535911738872528,0.7346119284629822,37874.0,500.0,1753444910.6766262,100.0,3.854818796385494e-08,35100.0,0.2,,,,,,,,,,,,,,
7246593562.65149-8df126e9-2989,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-36-34,crashed,2025-07-25T01:37:06Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246593562.65149-8df126e9-2989,,5a63800c-77f0-4988-978f-ed56e43afc2e,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246593549.35226-b957142a-dac6,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-36-47,crashed,2025-07-25T01:37:10Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246593549.35226-b957142a-dac6,,40cf3f17-de9f-4a3a-b132-d92fa50607a2,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246593590.65394-de16411d-42ef,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-25_01-37-52,finished,2025-07-25T01:38:12Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246593590.65394-de16411d-42ef,,0ec4c0bf-36a5-4200-a82a-1307f0a20315,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4.0,False,0.0,True,False,full,True,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,survival_1year,False,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.6161508560180664,0.6369398832321167,0.5,0.3535911738872528,2.087411880493164,0.701866090297699,0.7099711894989014,0.6653891801834106,0.6661207675933838,0.887043833732605,0.6795603036880493,0.6939858198165894,0.5871167182922363,0.5771527290344238,0.7026700973510742,33513.0,500.0,1753441003.165412,100.0,3.854818796385499e-07,35100.0,,,,,,,,,,,,,,,
7246593576.42553-8a52cded-3adf,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-40-36,crashed,2025-07-25T01:41:09Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246593576.42553-8a52cded-3adf,,1f43eff1-cf58-451a-bcdd-3ea5d647f17c,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246593604.14486-54cd39a9-fbed,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-47-35,finished,2025-07-25T01:48:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246593604.14486-54cd39a9-fbed,,ae536116-3806-4935-b891-06f298a79509,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,survival_1year,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.5570024251937866,0.5490860939025879,0.5,0.3117647171020508,0.7158136367797852,0.6390945315361023,0.650714099407196,0.6182193160057068,0.6173007488250732,0.6671561002731323,0.591721773147583,0.5751768350601196,0.5247641801834106,0.4153897166252136,0.7764335870742798,18759.0,500.0,1753426842.7245595,100.0,3.854818796385494e-08,8800.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,,,,,,,
7246580613.05617-f5407750-8c94,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_05-07-32,finished,2025-07-25T05:07:58Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246580613.05617-f5407750-8c94,,a3d25e5b-939b-4fc9-92b8-cb5cba866396,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,survival_1year,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.5465666055679321,0.5173938274383545,0.4750884473323822,0.4700467586517334,0.7055000066757202,0.6574947834014893,0.6667813062667847,0.5810239911079407,0.5771514773368835,0.6638104319572449,0.4970293641090393,0.4911556243896485,0.5561615228652954,0.555795431137085,0.728427529335022,10728.0,500.0,1753430806.5832212,100.0,3.854818796385494e-08,4400.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
7246531858.29084-30e0fdd3-180b,mri_core_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_18-39-13,failed,2025-07-25T18:39:41Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair/runs/7246531858.29084-30e0fdd3-180b,,5b7dce37-d330-4dc7-a1d7-f431e859e6fd,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369.0,,,,,,,,,,,,,,,,,,,,
