run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246389389.17088-d1abb889-42c7,dinov2_pretrained_flair_2025-07-27_12-15-39,finished,2025-07-27T10:13:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_flair/runs/7246389389.17088-d1abb889-42c7,,08c5b909-e255-4b35-a935-7f112f24179e,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,survival_1year,True,power,3,False,1,False,epochwise,mean,True,0.5,0.6220027208328247,0.6454894542694092,0.5094339847564697,0.3740740716457367,0.6848071217536926,0.5094631314277649,0.5,0.5,0.3117647171020508,NaN,0.5211724638938904,0.5,0.5,0.3117647171020508,NaN,23301.0,1516,1753641293.54804,300,3.1471622649714703e-10,105300,,,,,,,,,
7246388300.66810-1db26b62-4ffa,brainiac_scratch_flair_2025-07-27_14-30-25,finished,2025-07-27T10:56:37Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_flair/runs/7246388300.66810-1db26b62-4ffa,,2a67c665-cdb9-4723-b542-28ac55f2d45b,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6618856191635132,0.6618514060974121,0.5944870710372925,0.5781146287918091,0.6796228885650635,0.8204116225242615,0.8205090761184692,0.7459709048271179,0.74647057056427,0.5870736241340637,0.6280666589736938,0.614681601524353,0.5616155862808228,0.5421926975250244,0.901355803012848,29066.0,2287,1753645120.2519107,300,3.1471622649714703e-10,26400,0.2,,,,,,,,
7246388666.54848-c44d1fb0-3f09,brainiac_pretrained_flair_2025-07-27_11-08-22,finished,2025-07-27T11:08:46Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_flair/runs/7246388666.54848-c44d1fb0-3f09,,7a7c13ef-c62a-4f0e-bcc1-bd7919fc40d7,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6098789572715759,0.6061320304870605,0.5750294923782349,0.57511305809021,0.7859492301940918,0.9222308397293092,0.9197949171066284,0.84999018907547,0.8503639698028564,0.5057098269462585,0.6364262104034424,0.6322228908538818,0.5623525977134705,0.561074435710907,0.8871132731437683,18859.0,1500,1753633385.1397316,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246389028.34312-621fbb3c-3d7a,brainmvp_pretrained_flair_2025-07-27_15-17-12,finished,2025-07-27T11:40:26Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_flair/runs/7246389028.34312-621fbb3c-3d7a,,d297588a-2b89-474d-a3ff-98cd0c3ca317,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5934740900993347,0.572818398475647,0.5123820900917053,0.3681184649467468,0.8029065132141113,0.7154142260551453,0.71303391456604,0.6428360939025879,0.6430071592330933,0.6419610977172852,0.6347399950027466,0.630011796951294,0.5218160152435303,0.37312251329422,0.898120105266571,22016.0,1842,1753641791.5373025,300,3.1471622649714703e-10,13200,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246387936.10810-722febcf-6e23,mri_core_pretrained_flair_2025-07-30_05-53-23,finished,2025-07-27T12:00:28Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_flair/runs/7246387936.10810-722febcf-6e23,,08254cec-a30a-4228-858f-b27e78ea7f50,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,survival_1year,True,power,3,False,1,False,epochwise,mean,,0.5,0.6799534559249878,0.7009139060974121,0.5601415038108826,0.5256756544113159,0.6658169627189636,0.9998012781143188,0.9998035430908204,0.9973958730697632,0.997127115726471,0.33987417817115784,0.6518557071685791,0.6807193160057068,0.653449296951294,0.6538461446762085,0.7242943644523621,266193.0,5283,1753926477.666256,300,3.1471622649714703e-10,105300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246387578.43913-ce941590-053b,resenc_pretrained_flair_2025-07-27_12-17-54,finished,2025-07-27T12:18:25Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_flair/runs/7246387578.43913-ce941590-053b,,724cf46f-ac35-41f7-a55d-04be80828685,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,True,epochwise,,,0.2,0.6694402694702148,0.6954599022865295,0.6586084961891174,0.6491625905036926,0.7089183926582336,0.9875859618186952,0.9915323853492736,0.9707154035568236,0.9712238311767578,0.364294707775116,0.6800161600112915,0.6823408603668213,0.6173349022865295,0.6176470518112183,0.8177151679992676,17815.0,1500,1753636519.781186,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
7246386857.05628-5178c49b-e7d6,resenc_tc_time_conditioned_pretrained_flair_2025-07-27_15-18-40,finished,2025-07-27T12:30:30Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_flair/runs/7246386857.05628-5178c49b-e7d6,,7ce5fac0-05a2-4010-964f-fc3b6235d6a9,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,True,epochwise,,,0.2,0.6239377856254578,0.6438679695129395,0.6189563274383545,0.6192307472229004,0.6735945343971252,0.9890495538711548,0.9895505905151368,0.963443398475647,0.9626904129981996,0.37888073921203613,0.6551478505134583,0.6285377740859985,0.5688384771347046,0.5688384771347046,0.9290199875831604,20703.0,1661,1753646335.384956,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,64.0,,,
7246387220.22808-3c4ce69c-3abe,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-27_15-00-06,finished,2025-07-27T12:34:04Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_flair/runs/7246387220.22808-3c4ce69c-3abe,,b7418fc1-95d6-43b7-8a1e-6386fee9e00a,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,True,epochwise,,,0.2,0.5945373177528381,0.5863797664642334,0.5936025977134705,0.5910334587097168,0.7008627653121948,0.99305921792984,0.9928590059280396,0.9466391801834106,0.9480769634246826,0.3842943012714386,0.6742448806762695,0.692511796951294,0.6628832817077637,0.6631228923797607,0.8345940113067627,20744.0,1920,1753643071.071418,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246221288.10787-36b5bee7-ab0e,resenc_time_conditioned_pretrained_flair_2025-07-29_08-58-49,finished,2025-07-29T08:59:26Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_flair/runs/7246221288.10787-36b5bee7-ab0e,,616bfd8a-4376-4e51-a92a-69a3679ba444,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.4872538149356842,0.45318180322647095,0.5,0.36263737082481384,0.6903607845306396,0.985651195049286,0.985654354095459,0.945675492286682,0.946100115776062,0.3957887589931488,0.6821603775024414,0.6862561702728271,0.6795709133148193,0.6747190952301025,0.8094592690467834,37011.0,1500,1753816575.4736052,300,3.1471622649714703e-10,26700,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246150151.12612-35b3a5a3-25cc,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-30_04-42-20,finished,2025-07-30T04:42:55Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_flair/runs/7246150151.12612-35b3a5a3-25cc,,b0495b6e-dba5-4cad-9a70-97069c9e6c87,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,False,epochwise,,,0.2,0.6135395765304565,0.6240909099578857,0.5778787732124329,0.5750280618667603,0.8044275641441345,0.967046856880188,0.9663293957710266,0.9143424034118652,0.9148629307746888,0.4426301419734955,0.7127124667167664,0.7310323119163513,0.7094216346740723,0.7073791027069092,0.7482783198356628,23838.0,1000,1753874413.5282142,200,3.8076210902182607e-10,70800,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
