run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_image_size,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size,config_freeze_encoder,config_pretrained_encoder_path,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7246593438.61815-21b7a8db-a8da,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-33-23,finished,2025-07-25T01:33:49Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246593438.61815-21b7a8db-a8da,,37af1d3a-0d8d-4c5b-ae39-c68b952a4c54,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.5274564623832703,0.4883512556552887,0.4865591526031494,0.48589271306991577,0.6370648741722107,0.5212477445602417,0.5486166477203369,0.5,0.4437400996685028,0.5743361115455627,0.5286168456077576,0.51993727684021,0.5,0.44285714626312256,0.5849366188049316,37539.0,500.0,1753444767.5661168,100.0,1.927409398192747e-08,35100.0,,,,,,,,,,,,,,,
7246593351.02890-645f414d-78c0,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-34-42,crashed,2025-07-25T01:35:07Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246593351.02890-645f414d-78c0,,2d0a77de-7768-493a-a0d8-aa6fff5333b1,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246593372.48388-116c2c60-541f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-38-25,crashed,2025-07-25T01:38:56Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246593372.48388-116c2c60-541f,,6eafc4a1-f43c-41e3-90e4-01e3f2a5028c,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246593411.53338-56298d6a-fe03,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-40-20,finished,2025-07-25T01:40:41Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246593411.53338-56298d6a-fe03,,285413d0-99be-41ba-a76a-77f7a772dbf0,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.5542584657669067,0.559587836265564,0.5,0.44285714626312256,0.5768237709999084,0.6659286022186279,0.7065895795822144,0.5157696008682251,0.4821610450744629,0.5462992191314697,0.4793407917022705,0.4487007260322571,0.5,0.44285714626312256,0.674130916595459,18253.0,500.0,1753425894.1602416,100.0,3.854818796385494e-08,8800.0,,,,,,,,,,,,,,,
7246593425.14753-1d64b7f1-ee66,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-25_01-40-32,finished,2025-07-25T01:40:55Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246593425.14753-1d64b7f1-ee66,,e832f33d-b759-4c47-856f-ef18075341b6,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.434289038181305,0.32571685314178467,0.5,0.44285714626312256,0.57916259765625,0.5340137481689453,0.5471579432487488,0.5,0.4437400996685028,0.5739920735359192,0.49167245626449585,0.39247310161590576,0.5,0.44285714626312256,0.5840938091278076,37344.0,500.0,1753444997.2018409,100.0,3.854818796385494e-08,35100.0,,,,,,,,,,,,,,,
7246593398.52310-2f409307-189f,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-25_01-40-40,finished,2025-07-25T01:40:59Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246593398.52310-2f409307-189f,,e9f344ad-a561-463c-a7f4-173a8e5d03ca,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4.0,False,0.0,True,False,full,True,0.2,,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,False,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.5949687957763672,0.6357526779174805,0.586693525314331,0.5185185074806213,0.7447777986526489,0.6410002112388611,0.6819919347763062,0.6203973889350891,0.6203973889350891,0.81587153673172,0.5303833484649658,0.5459229946136475,0.5,0.44285714626312256,1.189622402191162,33296.0,500.0,1753440953.4221983,100.0,3.854818796385499e-07,35100.0,facebook/dinov2-base,mean,,,,,,,,,,,,,
7246593385.28815-0be68222-4b05,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-40-35,crashed,2025-07-25T01:41:05Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246593385.28815-0be68222-4b05,,01b19c3c-304e-4e09-b853-2baa91ecaf42,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246580586.62605-b5a215ab-d05d,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_05-10-23,finished,2025-07-25T05:10:50Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246580586.62605-b5a215ab-d05d,,33a36870-efb4-4fc5-bea6-8aa2682cc722,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.5370091795921326,0.5421147346496582,0.5,0.44285714626312256,0.5773345828056335,0.5146663784980774,0.526810884475708,0.5,0.4437400996685028,0.5800478458404541,0.5602715015411377,0.6211917400360107,0.5,0.44285714626312256,0.5773884057998657,9242.0,500.0,1753429491.991195,100.0,3.854818796385494e-08,4400.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
7246579812.62735-d4baeb15-56b3,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-26_05-53-25,finished,2025-07-25T20:26:42Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246579812.62735-d4baeb15-56b3,,0ab38ff8-3e2e-4199-8533-da02d9e84ce3,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.4640852808952331,0.3474462628364563,0.5,0.44285714626312256,0.5934149026870728,0.6100211143493652,0.661041259765625,0.5,0.4437400996685028,0.5528924465179443,0.5184029936790466,0.5257616639137268,0.5,0.44285714626312256,0.5801631808280945,13657.0,787.0,1753516809.2082293,100.0,3.854818796385494e-08,4400.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,
7246476115.19111-2818fcca-3dd9,mri_core_frozen_multi_t1_t1gd_t2_flair_2025-07-26_11-10-00,crashed,2025-07-26T10:10:34Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246476115.19111-2818fcca-3dd9,,6dbc8486-25e2-4f1e-b733-ff45217dd293,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
