run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_chpt_path,config_image_size,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246389341.07610-b16a2285-21f1,dinov2_pretrained_flair_2025-07-29_03-15-01,finished,2025-07-27T10:15:18Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_flair/runs/7246389341.07610-b16a2285-21f1,,41fced11-2861-41b5-ad25-9e7afc71454a,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,survival_2year,True,power,3,False,1,False,epochwise,mean,True,0.5,0.5446014404296875,0.5703405141830444,0.5,0.44285714626312256,0.6152082085609436,0.5126688480377197,0.5,0.5,0.4437400996685028,NaN,0.539508581161499,0.5,0.5,0.44285714626312256,NaN,133955,7471,1753783356.3421843,300,3.1471622649714703e-10,105300,,,,,,,,,
7246388251.18931-29b846de-4cba,brainiac_scratch_flair_2025-07-27_14-14-23,finished,2025-07-27T11:21:31Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_flair/runs/7246388251.18931-29b846de-4cba,,8b104984-b813-48f1-aa4f-002aae06a533,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5772156119346619,0.5860215425491333,0.5,0.44285714626312256,0.5736372470855713,0.5980208516120911,0.6557344198226929,0.5,0.4437400996685028,0.5621643662452698,0.5664082765579224,0.6301523447036743,0.49462366104125977,0.440191388130188,0.5851114392280579,25175,2072,1753642244.522099,300,3.1471622649714703e-10,26400,0.2,,,,,,,,
7246388618.89306-4fcd7aea-dd67,brainiac_pretrained_flair_2025-07-27_22-33-45,finished,2025-07-27T11:26:03Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_flair/runs/7246388618.89306-4fcd7aea-dd67,,d8b74b36-3c6a-41c9-9cd2-f8255dc72248,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5251933336257935,0.5004479885101318,0.5053763389587402,0.49531131982803345,0.8735735416412354,0.8379652500152588,0.8753520846366882,0.6987676024436951,0.7373737096786499,0.48602330684661865,0.5811624526977539,0.6012544631958008,0.5161290168762207,0.5068965554237366,0.7646608352661133,43201,3151,1753675296.2427194,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246387531.00998-b26d91ac-4374,resenc_pretrained_flair_2025-07-27_21-56-24,finished,2025-07-27T11:30:44Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_flair/runs/7246387531.00998-b26d91ac-4374,,a830ecfc-7544-4d6a-88c6-5eb99fc00d66,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,True,epochwise,,,0.2,0.498799204826355,0.4303315579891205,0.5,0.44285714626312256,0.5787789225578308,0.7801883816719055,0.8085261583328247,0.5352112650871277,0.5130738019943237,0.5053794980049133,0.5349473357200623,0.5510753393173218,0.5,0.44285714626312256,0.5998260378837585,48763,3886,1753670680.4067724,300,3.1471622649714703e-10,13200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,
7246388972.92679-a04dfe5d-a14e,brainmvp_pretrained_flair_2025-07-28_17-00-32,finished,2025-07-27T11:40:37Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_flair/runs/7246388972.92679-a04dfe5d-a14e,,fbff32d0-6568-4042-b61f-199ceae2e223,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5390700697898865,0.5530914068222046,0.49462366104125977,0.440191388130188,0.5975901484489441,0.6515240669250488,0.711368203163147,0.5263832807540894,0.49831849336624146,0.5504228472709656,0.5014693140983582,0.4930555820465088,0.5,0.44285714626312256,0.6094802021980286,73539,7448,1753736610.8542044,300,3.1471622649714703e-10,13200,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246387889.40304-072e443f-f54b,mri_core_pretrained_flair_2025-07-29_08-18-19,finished,2025-07-27T12:05:35Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_flair/runs/7246387889.40304-072e443f-f54b,,8f79fb88-83f6-42c9-9e8a-a3d3fe320d43,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,survival_2year,True,power,3,False,1,False,epochwise,mean,,0.5,0.5125769376754761,0.5109766721725464,0.4838709533214569,0.4347825944423675,0.6758066415786743,0.9961304068565368,0.9966800808906556,0.98591548204422,0.9910777807235718,0.3425750732421875,0.6044718623161316,0.666218638420105,0.5147849321365356,0.4980136752128601,0.5979743003845215,203431,3844,1753857927.0547569,300,3.1471622649714703e-10,105300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,224.0,,,,,
7246386809.04257-79150090-4a2f,resenc_tc_time_conditioned_pretrained_flair_2025-07-27_13-59-33,finished,2025-07-27T12:35:19Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_flair/runs/7246386809.04257-79150090-4a2f,,4781ed98-aad3-4072-9402-055dd347782f,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,True,epochwise,,,0.2,0.635474443435669,0.6200716495513916,0.5,0.44285714626312256,0.5720638632774353,0.9823479056358336,0.9817907810211182,0.9647887349128724,0.977327048778534,0.35942378640174866,0.5205317139625549,0.5134408473968506,0.5127688050270081,0.5129509568214417,0.7659010291099548,23191,1674,1753644770.6457343,300,3.1471622649714703e-10,13200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,256.0,64.0,,,
7246387173.31846-542b88e1-6491,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-27_19-08-44,finished,2025-07-27T13:33:01Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_flair/runs/7246387173.31846-542b88e1-6491,,0d8f838a-f145-4254-85db-dffd83670b5f,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,True,epochwise,,,0.2,0.6090906858444214,0.6111111044883728,0.5,0.44285714626312256,0.5706754922866821,0.9399826526641846,0.9516599178314208,0.8766096830368042,0.8973684310913086,0.4137498140335083,0.5447126626968384,0.5721325874328613,0.5282257795333862,0.5282257795333862,0.764843225479126,31196,2721,1753660097.4195814,300,3.1471622649714703e-10,13200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,
7246221217.04770-5b4fd852-e6d8,resenc_time_conditioned_pretrained_flair_2025-07-29_08-59-20,finished,2025-07-29T09:00:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_flair/runs/7246221217.04770-5b4fd852-e6d8,,4acf588e-6cb5-41d9-969d-5b7fbb7e3fd5,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.4635573625564575,0.4054945111274719,0.5,0.4396135210990906,0.5879224538803101,0.6503685116767883,0.713405430316925,0.5071428418159485,0.4599243998527527,0.546258270740509,0.5892331600189209,0.6401098966598511,0.5,0.4417475759983063,0.5699886679649353,36726,1500,1753816327.176555,300,3.1471622649714703e-10,26700,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246150028.39081-8f35254c-db32,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-30_04-44-43,finished,2025-07-30T04:45:19Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_flair/runs/7246150028.39081-8f35254c-db32,,3f4b5337-0a1a-468f-8072-bc63046906e5,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,False,epochwise,,,0.2,0.5258051156997681,0.5149450302124023,0.5,0.4396135210990906,0.5862553715705872,0.5441117286682129,0.6025905609130859,0.5,0.445141077041626,0.5691663026809692,0.5750693678855896,0.6098901033401489,0.5,0.4417475759983063,0.5745876431465149,23864,1000,1753874583.1493585,200,3.8076210902182607e-10,70800,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,
