run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_learning_rate,config_freeze_backbone,config_pretrained_path,config_token_aggregation_method,metric_lr-SGD,config_dinov2_model_name,config_slice_aggregation
7247349472.40861-141be598-3cf4,resenc_pretrained_2025-07-16_07-35-14,finished,2025-07-16T07:35:46Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_classification_single_t1/runs/7247349472.40861-141be598-3cf4,,42f2afb2-7a87-44d7-b1cf-ca6a85068e1f,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1.0,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,0.8778202533721924,0.8866995573043823,0.8702791929244995,0.875,0.4760114550590515,0.386426717042923,0.22727273404598236,0.4272727370262146,0.4272727370262146,0.8816894292831421,8343,1799,1752659690.7752,299.0,3.147162264971471e-09,1499,,,,,,,,
7247288058.91242-768a32cd-9869,resenc_pretrained_2025-07-17_00-37-28,failed,2025-07-17T00:38:02Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_classification_single_t1/runs/7247288058.91242-768a32cd-9869,,c8f96baa-a98d-4564-ab5b-fcd1846685aa,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1.0,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,,,,,,,,,,,59,0,1752712724.228786,,4.761904761904762e-06,0,,,,,,,,
7247272712.62741-ef8005a2-12f5,resenc_pretrained_2025-07-17_04-46-41,failed,2025-07-17T04:47:12Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_classification_single_t1/runs/7247272712.62741-ef8005a2-12f5,,30591aa1-a037-4189-84ae-216cb824d742,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1.0,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,,,,,,,,,,,46,0,1752727663.0086415,,4.761904761904762e-06,0,,,,,,,,
7247271747.77446-48a5cc7e-76bf,resenc_pretrained_2025-07-17_05-03-00,finished,2025-07-17T05:03:33Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_classification_single_t1/runs/7247271747.77446-48a5cc7e-76bf,,1474a4c5-bb24-4472-9ce8-f717f28408c4,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1.0,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,0.9983430504798888,0.9983580112457277,0.958949089050293,0.958949089050293,0.28556063771247864,0.3946462273597718,0.22727271914482117,0.2772727310657501,0.25882354378700256,1.5329222679138184,8548,1799,1752737160.602555,299.0,3.147162264971471e-09,2099,,,,,,,,
7247102437.39867-509ab149-3eb6,resenc_pretrained_2025-07-19_04-08-09,finished,2025-07-19T04:08:44Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_classification_single_t1/runs/7247102437.39867-509ab149-3eb6,,8f9f2587-07ac-4369-8a15-e984867c1b15,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1.0,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,0.8377962112426758,0.8275861740112305,0.6995074152946472,0.7028862237930298,0.6053047776222229,0.6596612930297852,0.6000000238418579,0.4818181991577149,0.471395879983902,0.827786386013031,8618,1799,1752906742.6101053,299.0,3.147162264971471e-09,2099,,,,,,,,
7247098899.51744-d29ee62f-0f1a,resenc_pretrained_2025-07-19_05-09-57,finished,2025-07-19T05:10:28Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_classification_single_t1/runs/7247098899.51744-d29ee62f-0f1a,,6098136d-20eb-4fa8-8d59-001b098a0951,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1.0,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,0.9983430504798888,0.9983580112457277,0.9523809552192688,0.9583333134651184,0.28751668334007263,0.4603676497936249,0.3727272748947144,0.4227272868156433,0.4166666865348816,1.167995810508728,7905,1799,1752909732.6703408,299.0,3.147162264971471e-09,2099,,,,,,,,
7247079631.33914-95c18b34-088f,brainiac_finetuned_2025-07-19_10-25-38,finished,2025-07-19T10:26:06Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_classification_single_t1/runs/7247079631.33914-95c18b34-088f,,9849d345-6c32-4cff-b9b5-3c7070ca794c,t-jiachentu,0.001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,2,SGD,16-mixed,CosineAnneal,False,0,8,,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,,1,False,False,dss_1year,True,False,1,epochwise,True,0.0,0.8134056925773621,0.7947454452514648,0.6650246381759644,0.6666666865348816,0.5514619946479797,0.4772464334964752,0.3818182051181793,0.38181817531585693,0.380952388048172,0.9241925477981568,5259,1799,1752926024.4504266,299.0,,2099,0.2,0.0001,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,2.7415317243928465e-08,,
7247079603.52576-d9d0632a-523f,brainiac_scratch_2025-07-19_10-25-57,finished,2025-07-19T10:26:31Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_classification_single_t1/runs/7247079603.52576-d9d0632a-523f,,3efd4bbc-6acc-43d3-a165-f01c3eac3885,t-jiachentu,0.001,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,2,SGD,16-mixed,CosineAnneal,False,0,4,,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,,1,False,False,dss_1year,True,False,1,epochwise,True,0.0,0.4966771602630615,0.42200326919555664,0.5541871786117554,0.4933333396911621,0.7100604772567749,0.4492024779319763,0.34545451402664185,0.40909090638160706,0.30000001192092896,1.3704286813735962,1963,599,1752922752.2959387,99.0,,1299,0.2,0.0001,False,,cls_token,2.467198171342e-07,,
7247079373.43579-6f490021-8c28,brainmvp_finetuned_2025-07-19_10-29-14,finished,2025-07-19T10:29:35Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_classification_single_t1/runs/7247079373.43579-6f490021-8c28,,be79e80a-b88f-4e5d-8c40-002028ec7d6f,t-jiachentu,0.001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,2,SGD,16-mixed,CosineAnneal,False,0,6,,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,,1,False,False,dss_1year,True,False,1,epochwise,False,0.0,0.7804388999938965,0.7619047164916992,0.6781609058380127,0.6753246784210205,0.5861339569091797,0.5417701005935669,0.5090909004211426,0.5636363625526428,0.5552940964698792,0.7455443739891052,2948,1799,1752923923.584691,299.0,,2699,0.2,0.0001,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,cls_token,2.7415317243928465e-08,,
7247079124.74576-ff23eb02-668a,dinov2_pretrained_2025-07-19_10-33-17,finished,2025-07-19T10:33:36Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_classification_single_t1/runs/7247079124.74576-ff23eb02-668a,,7c6840f2-bda7-4ae5-8b42-e571fff3599e,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,0,2,False,300,False,True,0,gpu,0.2,2,16,val,False,0,False,0.0001,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,,1,False,False,dss_1year,True,False,2,epochwise,False,0.5,0.5949093103408813,0.6157635450363159,0.48275861144065857,0.3589743673801422,0.6740947961807251,0.6085851788520813,0.5818182229995728,0.5,0.34375,0.7044945359230042,10295,1799,1752931510.8832717,299.0,9.99013364214137e-05,3899,,0.0001,True,,mean,,facebook/dinov2-base,mean
