run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step
7248063649.53226-3ca6ad88-af22,MAE_openmind_dss_1year,finished,2025-07-08T01:09:39Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_classification/runs/7248063649.53226-3ca6ad88-af22,,f9811844-0bed-4f53-a897-d6a9a0f3f45e,t-jiachentu,5e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,0.9616524577140808,0.9632135033607484,0.9287526607513428,0.9276599884033204,0.35386568307876587,0.4138587415218353,0.3235294222831726,0.4035947918891907,0.3920595645904541,1.1467078924179075,25722.0,1799.0,1751962702.8238337,299.0,1.5735811324857356e-09,2999.0
7248062051.37413-96ddb70a-c29f,VF5e5_dss_1year,finished,2025-07-08T01:37:26Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_classification/runs/7248062051.37413-96ddb70a-c29f,,77ae1c4d-2b6c-44e1-821b-6d1ecc8f8821,t-jiachentu,0.0001,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-VF/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,0.9995734691619872,0.9995771646499634,0.9651162624359132,0.9686533808708192,0.2469784915447235,0.6074162125587463,0.6176470518112183,0.5228758454322815,0.4711111187934875,1.0694444179534912,16702.0,1199.0,1751955349.2916028,199.0,7.615242180436517e-09,1999.0
7248062007.48653-67bd67f3-8815,SwinUNETR_dss_1year,finished,2025-07-08T01:38:03Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_classification/runs/7248062007.48653-67bd67f3-8815,,1ce09a30-9a00-4b94-89b3-a15faebbe6f5,t-jiachentu,0.0001,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-SwinUNETR/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,1.0,1.0,1.0,1.0,0.203113317489624,0.44926372170448303,0.370915025472641,0.4035947918891907,0.3920595645904541,1.603913187980652,16915.0,1199.0,1751955599.2087908,199.0,7.615242180436517e-09,1999.0
7248061948.84980-2ade656c-9a30,MaskedC2S0702_dss_1year,finished,2025-07-08T01:41:47Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_classification/runs/7248061948.84980-2ade656c-9a30,,185004e1-bb07-4e60-a6dd-b5e45070e440,t-jiachentu,0.0001,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/c2s/Openmind/0702/Dataset005_OpenMind/BaseMaskedC2STrainer_BS48_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,0.977849543094635,0.9763213396072388,0.9378435611724854,0.9378435611724854,0.32377442717552185,0.46988487243652344,0.38235294818878174,0.31699347496032715,0.30921053886413574,1.5810394287109375,14156.0,1199.0,1751953063.8911278,199.0,7.615242180436517e-09,1999.0
7248062082.01857-c2f0a17a-2a1a,OpenMind-VF_dss_1year,finished,2025-07-08T01:42:39Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_classification/runs/7248062082.01857-c2f0a17a-2a1a,,4db72b0b-fdbb-4dbf-b2b7-1b19b95f2116,t-jiachentu,5e-05,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-VF/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,0.9918896555900574,0.9915433526039124,0.9443974494934082,0.9477555751800536,0.2912324070930481,0.4818648993968963,0.43790850043296814,0.4918300807476044,0.4642857313156128,1.196109175682068,17224.0,1199.0,1751956183.6140974,199.0,3.8076210902182585e-09,1999.0
7248061984.25994-53d0d544-9919,VolDINO_dss_1year,finished,2025-07-08T01:44:17Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_classification/runs/7248061984.25994-53d0d544-9919,,abfea0db-d768-45e3-9c64-d86591d11231,t-jiachentu,0.0001,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/volDINO_test/0629/Dataset001_BrainMVP/VolDINOTrainer_BS8_e300_le4__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,0.943663477897644,0.9492600560188292,0.887315034866333,0.8863228559494019,0.38839730620384216,0.39908987283706665,0.28104573488235474,0.41013073921203613,0.3200739920139313,1.6904277801513672,16895.0,1199.0,1751955951.414834,199.0,7.615242180436517e-09,1999.0
7248046657.20078-e2d69b22-7e24,MDAE_B80_dss_1year,finished,2025-07-08T05:53:18Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_classification/runs/7248046657.20078-e2d69b22-7e24,,422a92a9-2c39-4759-93c9-2fd4ba3f6d4c,t-jiachentu,5e-05,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_BS80_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,0.96034836769104,0.9581394791603088,0.8938689231872559,0.8958333134651184,0.3746207356452942,0.4890097975730896,0.4346405267715454,0.4297385811805725,0.4281045794486999,1.1612967252731323,17305.0,1199.0,1751971304.5545604,199.0,3.8076210902182585e-09,1999.0
7248046703.00923-3764184c-4318,MDAE_b48_lr5e5_dss_1year,finished,2025-07-08T05:55:37Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_classification/runs/7248046703.00923-3764184c-4318,,1ad9ce7f-8a99-48f8-bc68-8b8930907c1a,t-jiachentu,5e-05,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_BS48_1500ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,0.9275542497634888,0.9353065490722656,0.8782241344451904,0.8762626647949219,0.4149591624736786,0.4722028970718384,0.3888888955116272,0.3774510025978088,0.3452380895614624,1.5912843942642212,19367.0,1199.0,1751973506.1836398,199.0,3.8076210902182585e-09,1999.0
7247863471.68514-04d4e69d-5c76,MDAETrainer_BS80_5e5_dss_1year,finished,2025-07-10T08:46:27Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_classification/runs/7247863471.68514-04d4e69d-5c76,,3601679d-44ac-49e1-bab6-0279d39573eb,t-jiachentu,5e-05,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_BS80_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,0.96034836769104,0.9581394791603088,0.8938689231872559,0.8958333134651184,0.3746207356452942,0.4890097975730896,0.4346405267715454,0.4297385811805725,0.4281045794486999,1.1612967252731323,6378.0,1199.0,1752143565.1044004,199.0,3.8076210902182585e-09,1999.0
7247714884.59687-2e9a5bc0-11da,MDAETrainer_Flow90_b48_5e5_dss_1year,finished,2025-07-12T02:06:29Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_classification/runs/7247714884.59687-2e9a5bc0-11da,,a417d708-b478-49c7-a9ca-1e77dec30089,t-jiachentu,5e-05,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_Flow90_b48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,True,False,1,epochwise,False,0.2,0.9810869097709656,0.9797040224075316,0.926215648651123,0.927291989326477,0.32228991389274597,0.4931870102882385,0.4673202633857727,0.4918300807476044,0.4642857313156128,1.3006303310394287,14476.0,1199.0,1752300465.9778032,199.0,3.8076210902182585e-09,1999.0
