run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_learning_rate,config_freeze_backbone,config_pretrained_path,config_token_aggregation_method,config_dinov2_model_name,config_slice_aggregation,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss
7247006305.12597-1f1d89d2-a7a7,resenc_pretrained_2025-07-20_06-56-34,finished,2025-07-20T06:57:07Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7247006305.12597-1f1d89d2-a7a7,,670bec83-0630-47fa-9c0a-c9593b972fa8,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,1,epochwise,False,0.2,0.9888734817504884,0.9888888597488404,0.963071882724762,0.961406946182251,0.2804267108440399,0.5641640424728394,0.5,0.4356060624122619,0.4347825944423675,1.122463345527649,12502,1799,1753007129.9246907,299.0,3.1471622649714703e-10,2399,,,,,,,,,,,,,,,,
7246918755.51689-334ed22b-8f1e,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_07-13-37,failed,2025-07-21T07:14:04Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246918755.51689-334ed22b-8f1e,,92656084-215c-4488-a33e-f0c6b9df8b79,t-jiachentu,,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.0,,,,,,,,,,,129,0,1753082140.796139,,2.380952380952381e-06,0,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,,,,,,,,,,,
7246918731.09622-7893623b-8b52,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_07-14-01,failed,2025-07-21T07:14:29Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246918731.09622-7893623b-8b52,,23cd28f7-c4c3-4844-8e7a-de9da0a33ff6,t-jiachentu,,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,2,False,300,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.0,,,,,,,,,,,110,0,1753082143.92667,,4.761904761904762e-06,0,0.2,0.0001,False,,cls_token,,,,,,,,,,,
7246918110.19044-f9218909-a7a9,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_07-17-18,finished,2025-07-21T07:17:39Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246918110.19044-f9218909-a7a9,,375a3035-d180-4fa2-b880-db16ea587ddb,t-jiachentu,,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.0,0.8645535111427307,0.8535947799682617,0.7493463754653931,0.7516956329345703,0.5150080323219299,0.5560598373413086,0.4848484992980957,0.4886363744735718,0.4523809552192688,0.864215612411499,24207,1799,1753106463.9531007,299.0,3.147162264971471e-09,5999,0.2,0.0001,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,cls_token,,,,,,,,,,,
7246914392.14152-c04b83c9-8631,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_08-19-10,failed,2025-07-21T08:19:31Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246914392.14152-c04b83c9-8631,,bd746524-43fd-476b-ada8-c61228c20ded,t-jiachentu,,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.5,,,,,,,,,,,105,0,1753086056.8699389,,4.761904761904762e-06,0,,0.0001,False,,mean,facebook/dinov2-base,mean,,,,,,,,,
7246912798.20143-4e0a3ceb-2b2d,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_08-46-12,failed,2025-07-21T08:46:39Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246912798.20143-4e0a3ceb-2b2d,,107fe648-023f-4bdc-aa7e-36a63196ebfd,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.0,,,,,,,,,,,103,0,1753087676.003248,,2.380952380952381e-06,0,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,,,,,,,,,,,
7246912770.44291-e135ab11-d745,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_08-46-16,failed,2025-07-21T08:46:43Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246912770.44291-e135ab11-d745,,5dcd0728-6ded-4817-a6d4-7f98f4004706,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.0,,,,,,,,,,,95,0,1753087677.7507288,,4.761904761904762e-06,0,0.2,0.0001,False,,cls_token,,,,,,,,,,,
7246911969.40913-fbfaa362-a666,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-00-34,failed,2025-07-21T09:01:03Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246911969.40913-fbfaa362-a666,,6a34f0d0-58db-4608-bb47-b8a7e63dbda3,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.0,,,,,,,,,,,126,0,1753088551.0960488,,2.380952380952381e-06,0,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,,,,,,,,,,,
7246911937.63785-5e9e35b3-b516,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_09-00-36,failed,2025-07-21T09:01:06Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246911937.63785-5e9e35b3-b516,,79c8999f-a9ea-4f3c-8de0-fd52b98da3b1,t-jiachentu,,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.0,,,,,,,,,,,111,0,1753088550.860082,,4.761904761904762e-06,0,0.2,0.0001,False,,cls_token,,,,,,,,,,,
7246911153.25698-326db1fe-9008,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-14-08,finished,2025-07-21T09:14:33Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246911153.25698-326db1fe-9008,,3f249ac6-11c9-4d5c-b10c-eb569ad07937,t-jiachentu,,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,,3,AdamW,32,CosineAnneal,,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,4,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,dss_1year,False,False,2,epochwise,True,0.0,0.8452513217926025,0.8444443941116333,0.7346405386924744,0.7373670339584351,0.5424109101295471,0.4117153286933899,0.2803030014038086,0.3787878751754761,0.3291666805744171,1.0015199184417725,8342,599,1753097614.5047848,99.0,3.854818796385494e-08,3999,0.2,0.0001,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,cls_token,,,,,,,,,,,
