run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,config_pretrained_path,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_epoch,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss
7246918678.87698-a7f1ef05-2189,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_07-14-07,failed,2025-07-21T07:14:35Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7246918678.87698-a7f1ef05-2189,,f341a0dc-44fb-44cb-a127-71ab211a43ab,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,2,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,4,False,0,True,False,full,False,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,False,False,2,epochwise,cls_token,True,0.0,111,0,1753082149.731772,4.761904761904762e-06,0,,,,,,,,,,,,,,,,,,,,,,,,
7246918706.58911-bf92e1d5-5294,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_07-15-22,failed,2025-07-21T07:15:48Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7246918706.58911-bf92e1d5-5294,,8ba1fb40-30ce-49ae-9e66-e7c7c9855780,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,4,False,0,True,False,full,False,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,False,False,2,epochwise,cls_token,True,0.0,109,0,1753082224.6880467,2.380952380952381e-06,0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,,,,,,,,,,,
7246918086.19039-cc3ecc25-7fc6,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_07-18-13,finished,2025-07-21T07:18:35Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7246918086.19039-cc3ecc25-7fc6,,4f66d1cb-c4e8-4cfe-86e6-da89e2ad88b3,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,4,False,0,True,False,full,False,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,False,False,2,epochwise,cls_token,True,0.0,22658,1799,1753104970.146484,3.147162264971471e-09,5999,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.8439916968345642,0.8452950716018677,0.7464115023612976,0.7706053256988525,0.4864969253540039,0.48293402791023254,0.261904776096344,0.5,0.4772727191448212,0.46218568086624146,299.0,,,,,,,,,,,,
7246912741.67957-41bdf22a-811b,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_08-46-47,failed,2025-07-21T08:47:14Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7246912741.67957-41bdf22a-811b,,4e74ba66-6ad5-4e02-9fca-5916fad06998,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,4,False,0,True,False,full,False,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,False,False,2,epochwise,cls_token,True,0.0,102,0,1753087710.5258398,2.380952380952381e-06,0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,,,,,,,,,,,
7246912712.58413-e6dbcb42-8e7b,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_08-47-30,failed,2025-07-21T08:47:57Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7246912712.58413-e6dbcb42-8e7b,,a255aeee-b008-4c1a-a7df-46b7247ac1c0,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,4,False,0,True,False,full,False,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,False,False,2,epochwise,cls_token,True,0.0,98,0,1753087756.1842017,4.761904761904762e-06,0,,,,,,,,,,,,,,,,,,,,,,,,
7246911876.26011-c9f3dc01-9b21,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_09-01-53,failed,2025-07-21T09:02:24Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7246911876.26011-c9f3dc01-9b21,,de516784-d48c-4594-96dc-2111c6bc2af4,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,4,False,0,True,False,full,False,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,False,False,2,epochwise,cls_token,True,0.0,111,0,1753088630.7749178,4.761904761904762e-06,0,,,,,,,,,,,,,,,,,,,,,,,,
7246911907.05271-794d94a3-ecfb,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-02-02,failed,2025-07-21T09:02:33Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7246911907.05271-794d94a3-ecfb,,d612411d-61b2-4e62-ad45-3145aec20d85,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,4,False,0,True,False,full,False,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,False,False,2,epochwise,cls_token,True,0.0,121,0,1753088640.0629604,2.380952380952381e-06,0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,,,,,,,,,,,
7246911123.10987-51071ed0-0a99,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-13-33,finished,2025-07-21T09:13:55Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7246911123.10987-51071ed0-0a99,,ce6e0b58-a559-485d-9182-acf5b4d16529,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,4,False,0,True,False,full,False,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,False,False,2,epochwise,cls_token,True,0.0,8167,599,1753097401.819368,3.854818796385494e-08,3999,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.7274597883224487,0.7304625511169434,0.5,0.419117659330368,0.678402304649353,0.550960898399353,0.5952380895614624,0.5,0.4772727191448212,0.3979622721672058,99.0,,,,,,,,,,,,
7246910453.28888-8ebad64f-4e20,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-21_09-24-42,finished,2025-07-21T09:25:00Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7246910453.28888-8ebad64f-4e20,,20a7ab40-a8eb-427c-b1cf-33263a7dc190,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.001,4,False,0,True,False,full,True,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,False,False,2,epochwise,mean,True,0.5,19775,599,1753109675.1797469,3.854818796385499e-07,3999,,0.6408587694168091,0.6642743349075317,0.6483253836631775,0.6541588306427002,0.94269597530365,0.5290637016296387,0.476190447807312,0.5,0.4772727191448212,0.44273796677589417,99.0,facebook/dinov2-base,mean,,,,,,,,,,
7246910422.22540-a1c6511b-2c2a,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-24-53,failed,2025-07-21T09:25:12Z,https://microsoft-research.wandb.io/t-jiachentu/tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7246910422.22540-a1c6511b-2c2a,,e9bcea47-d742-43dd-88a6-7696d2e7cbf6,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,0.0001,4,False,0,True,False,full,False,0.1,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,False,False,2,epochwise,mean,True,0.5,113,0,1753090002.1607273,4.761904761904762e-06,0,,,,,,,,,,,,,facebook/dinov2-base,mean,,,,,,,,,,
