run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_epoch,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss
7246918605.29464-2ce106cf-265b,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_07-09-18,failed,2025-07-21T07:09:46Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246918605.29464-2ce106cf-265b,,ffdab8d8-3fd4-45a1-a718-b0c1bb770c75,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,age_group,False,False,1,epochwise,cls_token,True,0.0,466.0,0.0,1753082219.0972326,2.380952380952381e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,
7246918580.98530-99133da8-98f5,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_07-16-55,failed,2025-07-21T07:17:22Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246918580.98530-99133da8-98f5,,2f66de51-bf39-4096-a649-ec46617a9787,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,age_group,False,False,1,epochwise,cls_token,True,0.0,457.0,0.0,1753082667.60553,4.761904761904762e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,
7246918034.09260-5086f615-2215,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_07-18-25,crashed,2025-07-21T07:18:46Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246918034.09260-5086f615-2215,,8e27d3a0-4510-4357-8e65-b193f6c39305,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,10,False,False,age_group,False,False,1,epochwise,cls_token,True,0.0,39261.135171233,1314.0,1753121587.8683891,1.926606936417615e-05,38763.0,0.8863624334335327,0.8855555057525635,0.8058009147644043,0.8063269853591919,0.5350213050842285,0.7828748226165771,0.8028571605682373,0.7047619223594666,0.6695402264595032,0.6547163724899292,218.0,,,,,,,,,,,,
7246912625.89092-511c2f93-56d7,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_08-48-40,finished,2025-07-21T08:49:07Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246912625.89092-511c2f93-56d7,,fb0bf214-5d08-4920-9e5e-d4930e9f8286,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,age_group,False,False,1,epochwise,cls_token,True,0.0,33016.0,599.0,1753120767.8556154,1.927409398192747e-08,35399.0,0.8807109594345093,0.8869045972824097,0.8158224821090698,0.8171015381813049,0.5412428975105286,0.6584173440933228,0.6660317182540894,0.5523809790611267,0.4973883330821991,0.828036904335022,99.0,,,,,,,,,,,,
7246912598.06221-c05a7788-dfe0,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_08-49-10,failed,2025-07-21T08:49:38Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246912598.06221-c05a7788-dfe0,,53a22ce9-646f-41a1-99d3-85a91bc571a3,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,age_group,False,False,1,epochwise,cls_token,True,0.0,3487.0,50.0,1753091105.9907591,4.285714285714286e-05,8.0,0.4846956431865692,0.4807278513908386,0.5048180818557739,0.4681480824947357,0.6949675679206848,0.5932576656341553,0.5863492488861084,0.5,0.37837839126586914,0.6822426915168762,7.0,,,,,,,,,,,,
7246911782.17144-6a449eaa-d5ce,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-02-36,crashed,2025-07-21T09:03:01Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246911782.17144-6a449eaa-d5ce,,17c57501-076f-4de7-8990-b13a5bc054b8,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,age_group,False,False,1,epochwise,cls_token,True,0.0,32788.198013064,594.0,1753121371.7788837,1.927409398192747e-08,35046.0,0.8786389827728271,0.8851379752159119,0.7987666130065918,0.7999547719955444,0.5427839159965515,0.6227311491966248,0.6441270112991333,0.541269838809967,0.5350537300109863,0.7589662671089172,98.0,,,,,,,,,,,,
7246911749.83225-a41150d2-fa17,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_09-02-54,finished,2025-07-21T09:03:20Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246911749.83225-a41150d2-fa17,,e26836b7-93c6-4aa0-ba8a-0e71b9ca2460,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,age_group,False,False,1,epochwise,cls_token,True,0.0,32826.0,599.0,1753121427.7389488,3.854818796385494e-08,35399.0,0.6344995498657227,0.63565993309021,0.5955738425254822,0.5880666375160217,0.6804279685020447,0.48475298285484314,0.4711111187934875,0.5,0.37837839126586914,0.6878387928009033,99.0,,,,,,,,,,,,
7246911063.13676-315a8c0f-a55a,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-14-50,finished,2025-07-21T09:15:12Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246911063.13676-315a8c0f-a55a,,282df905-9ef7-4c3f-a25a-874ac85d9ef4,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,10,False,False,age_group,False,False,1,epochwise,cls_token,True,0.0,18116.0,599.0,1753107425.991666,3.854818796385494e-08,35399.0,0.7829319834709167,0.7892429828643799,0.7063726186752319,0.7070952653884888,0.6102854609489441,0.7719212770462036,0.7774603366851807,0.5992063283920288,0.4959757924079895,0.8171335458755493,99.0,,,,,,,,,,,,
7246910320.21848-a4dadeda-ac53,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-21_09-26-33,crashed,2025-07-21T09:26:53Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246910320.21848-a4dadeda-ac53,,7aba0b4d-86f9-44d6-9492-c6866f0a5ceb,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4,False,0,True,False,full,True,0.2,,False,batchgenerators.get_training_transforms,10,False,False,age_group,False,False,1,epochwise,mean,True,0.5,31565.03799863,528.0,1753121580.0092304,5.449673790581613e-05,31152.0,0.8493584394454956,0.8489705324172974,0.7664536237716675,0.766685962677002,0.800700306892395,0.8394737243652344,0.8361904621124268,0.6111111044883728,0.5818182229995728,0.8490347862243652,87.0,facebook/dinov2-base,mean,,,,,,,,,,
7246910289.76551-fbe76ce2-e469,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-28-04,failed,2025-07-21T09:28:23Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_age_group_multi_t1_t1gd_t2_flair/runs/7246910289.76551-fbe76ce2-e469,,b9c3a0cd-ced3-41e6-92ba-65e965198d3b,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,age_group,False,False,1,epochwise,mean,True,0.5,483.0,0.0,1753090561.4794934,4.761904761904762e-06,0.0,,,,,,,,,,,,facebook/dinov2-base,mean,,,,,,,,,,
