run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_epoch,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss
7246918556.93562-1d5ab0a9-ca6f,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_07-10-10,failed,2025-07-21T07:10:35Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7246918556.93562-1d5ab0a9-ca6f,,e4ae2eb9-389a-4ed2-896f-8b33a7b62622,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,gender,False,False,1,epochwise,cls_token,True,0.0,441.0,0.0,1753082241.6542034,2.380952380952381e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,
7246918532.62819-a580f2d4-99c7,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_07-10-17,failed,2025-07-21T07:10:45Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7246918532.62819-a580f2d4-99c7,,674418e5-4d75-43a8-9934-76ec6bac308d,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,gender,False,False,1,epochwise,cls_token,True,0.0,456.0,0.0,1753082267.9564798,4.761904761904762e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,
7246918010.14211-59a9dfcc-8f3e,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_07-18-54,crashed,2025-07-21T07:19:17Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7246918010.14211-59a9dfcc-8f3e,,41f296c5-ba1e-46cc-a601-68ba6a0c2744,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,10,False,False,gender,False,False,1,epochwise,cls_token,True,0.0,39269.797119526,1326.0,1753121627.0859742,1.838887489710453e-05,39117.0,0.7220122814178467,0.7282533645629883,0.6657063364982605,0.667792797088623,0.634490430355072,0.6049454212188721,0.564429759979248,0.5579710006713867,0.5158380270004272,0.709162175655365,220.0,,,,,,,,,,,,
7246912570.55178-42f1ccf1-8756,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_08-50-04,finished,2025-07-21T08:50:32Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7246912570.55178-42f1ccf1-8756,,f64efa35-831c-46e9-8406-7c2b7cf3c6c3,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,gender,False,False,1,epochwise,cls_token,True,0.0,33159.0,599.0,1753120995.334644,1.927409398192747e-08,35399.0,0.8896008729934692,0.8875429630279541,0.8127353191375732,0.8138617873191833,0.5306990146636963,0.5703669190406799,0.5820730924606323,0.5072463750839233,0.3017857074737549,0.942344844341278,99.0,,,,,,,,,,,,
7246912542.96457-de1b87f5-fc01,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_08-50-12,crashed,2025-07-21T08:50:38Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7246912542.96457-de1b87f5-fc01,,2a3b2317-7406-4ca8-9d8e-1e024cb7d9e8,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,gender,False,False,1,epochwise,cls_token,True,0.0,33557.615603496,594.0,1753121396.1614428,3.854818796385494e-08,35046.0,0.8266218304634094,0.8296611905097961,0.7316091060638428,0.7324262857437134,0.5770854949951172,0.6207370758056641,0.652646541595459,0.5072463750839233,0.3017857074737549,0.7054881453514099,98.0,,,,,,,,,,,,
7246911687.83069-719afaeb-c825,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_09-05-09,finished,2025-07-21T09:05:35Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7246911687.83069-719afaeb-c825,,80ac2f3b-e335-4bf5-bdd3-b203a17e7730,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,gender,False,False,1,epochwise,cls_token,True,0.0,32805.0,599.0,1753121542.14817,3.854818796385494e-08,35399.0,0.8577722311019897,0.8689147233963013,0.8032738566398621,0.8064163327217102,0.5481751561164856,0.6215443015098572,0.5966446399688721,0.5181159377098083,0.3733758330345154,3.871344327926636,99.0,,,,,,,,,,,,
7246911718.96372-d7329859-ebf4,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-05-11,crashed,2025-07-21T09:05:37Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7246911718.96372-d7329859-ebf4,,5b4ec455-3ebb-4ab5-a8ac-aa8151a1dd59,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,gender,False,False,1,epochwise,cls_token,True,0.0,32783.27219348,594.0,1753121522.778964,1.927409398192747e-08,35046.0,0.9007996916770936,0.8990341424942017,0.7941234111785889,0.7973871231079102,0.5219358205795288,0.5531458854675293,0.5267801284790039,0.5,0.2857142984867096,1.0156927108764648,98.0,,,,,,,,,,,,
7246911032.42901-3047a4f0-3dae,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-15-16,finished,2025-07-21T09:15:37Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7246911032.42901-3047a4f0-3dae,,a70982c5-4c07-4957-921c-2c8dca01471d,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,10,False,False,gender,False,False,1,epochwise,cls_token,True,0.0,18103.0,599.0,1753107438.4258633,3.854818796385494e-08,35399.0,0.6549351811408997,0.6722540259361267,0.62543785572052,0.6241645812988281,0.6572425961494446,0.6082267761230469,0.6045998334884644,0.5760869979858398,0.5518487095832825,0.6667945384979248,99.0,,,,,,,,,,,,
7246910259.07036-b31e937c-6b46,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-21_09-27-49,crashed,2025-07-21T09:28:08Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7246910259.07036-b31e937c-6b46,,6fc70662-34a3-4409-92d9-2aa1c176cc7b,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4,False,0,True,False,full,True,0.2,,False,batchgenerators.get_training_transforms,10,False,False,gender,False,False,1,epochwise,mean,True,0.5,31499.0,522.0,1753121280.27347,6.375199646360155e-05,30798.0,0.7760311365127563,0.7869536876678467,0.7145359516143799,0.7139265537261963,0.9191439151763916,0.800715446472168,0.8119093179702759,0.510869562625885,0.3983257710933686,1.8242719173431396,86.0,facebook/dinov2-base,mean,,,,,,,,,,
7246910228.11923-88693f08-4685,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-29-00,failed,2025-07-21T09:29:20Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7246910228.11923-88693f08-4685,,a8bd33ba-b95f-41a2-bddb-b95ecdc53ede,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,gender,False,False,1,epochwise,mean,True,0.5,467.0,0.0,1753090600.9221327,4.761904761904762e-06,0.0,,,,,,,,,,,,facebook/dinov2-base,mean,,,,,,,,,,
