run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss
7246918290.67752-fd6f7137-a951,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_07-15-11,crashed,2025-07-21T07:15:39Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246918290.67752-fd6f7137-a951,,648fece4-b3c2-4e31-bd6c-da8dc2716ac3,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,False,False,1,epochwise,cls_token,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246911396.81572-31acf5ef-36b2,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-09-00,crashed,2025-07-21T09:09:24Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246911396.81572-31acf5ef-36b2,,d6446ec6-371a-4490-80ee-16b45ee62a37,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,False,False,1,epochwise,cls_token,True,0.0,0.5384206771850586,0.5721328258514404,0.5,0.445141077041626,0.5694580674171448,0.4976210594177246,0.47069597244262695,0.5,0.4417475759983063,0.5833638906478882,32876.0,588.0,1753121526.5812013,97.0,7.706665667180088e-08,34692.0,,,,,,,,,,,,
7246911366.15782-c3fa1031-297b,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-21_09-10-00,failed,2025-07-21T09:10:27Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246911366.15782-c3fa1031-297b,,2789eb45-6cf7-45d7-8005-65b799091039,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,False,False,1,epochwise,cls_token,True,0.0,0.4865033030509949,0.4730382561683655,0.5,0.445141077041626,0.5767531991004944,0.4751597046852112,0.42570969462394714,0.5,0.4417475759983063,10.617857933044434,3160.0,44.0,1753092027.8187644,6.0,3.80952380952381e-05,7.0,,,,,,,,,,,,
7246910861.58000-9e824816-92be,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-17-42,finished,2025-07-21T09:18:02Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246910861.58000-9e824816-92be,,6d751cc0-5ebe-48c0-8c9a-7e4459490f21,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,False,False,1,epochwise,cls_token,True,0.0,0.60004723072052,0.6424547433853149,0.5,0.445141077041626,0.5597735047340393,0.6212807297706604,0.6082875728607178,0.5,0.4417475759983063,0.6325221657752991,18416.0,599.0,1753107898.0146432,99.0,3.854818796385494e-08,35399.0,,,,,,,,,,,,
7246909935.90365-a5b9ae2d-117b,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-21_09-34-03,crashed,2025-07-21T09:34:22Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246909935.90365-a5b9ae2d-117b,,e6c77284-80c0-44ee-8fff-9da9f4e7ae8c,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4,False,0,True,False,full,True,0.2,,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,False,False,1,epochwise,mean,True,0.5,0.6017963886260986,0.6489185094833374,0.5941649675369263,0.5899614095687866,0.9401015639305116,0.5555443167686462,0.5439560413360596,0.5224359035491943,0.45462584495544434,0.7795050144195557,30835.581796379,504.0,1753121299.1821687,83.0,9.549150281252638e-05,29736.0,facebook/dinov2-base,mean,,,,,,,,,,
7246909904.88872-cf8fa28f-a648,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-39-15,failed,2025-07-21T09:39:34Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246909904.88872-cf8fa28f-a648,,4754b490-e2fe-4da1-96ed-f768ed6b96d0,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,False,False,1,epochwise,mean,True,0.5,,,,,,,,,,,517.0,0.0,1753091264.2915938,,4.761904761904762e-06,0.0,facebook/dinov2-base,mean,,,,,,,,,,
7246908962.41189-2a3b8342-05c9,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-21_09-48-48,finished,2025-07-21T09:49:19Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246908962.41189-2a3b8342-05c9,,74cb3e45-9ff3-4830-b8e7-0ca285d44423,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,False,False,1,epochwise,,,0.2,0.6351413130760193,0.7339285612106323,0.5,0.445141077041626,0.5393834114074707,0.5808537602424622,0.6080585718154907,0.5,0.4417475759983063,0.5731361508369446,21947.0,599.0,1753113307.321524,99.0,3.854818796385494e-08,35399.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,
7246908932.00719-68514c01-de0b,resenc_scratch_multi_t1_t1gd_t2_flair_2025-07-21_09-49-19,finished,2025-07-21T09:49:39Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246908932.00719-68514c01-de0b,,e8485a9f-66ba-4062-89a1-930278ebe204,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,False,False,1,epochwise,,,0.2,0.6812000274658203,0.7856639623641968,0.5,0.445141077041626,0.5311158299446106,0.5056177377700806,0.49542123079299927,0.5,0.4417475759983063,0.6089394092559814,22007.0,599.0,1753113387.457976,99.0,3.854818796385494e-08,35399.0,,,,,,,,,,,,
7246842776.28460-8b646d67-c934,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-22_04-28-48,failed,2025-07-22T04:13:33Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246842776.28460-8b646d67-c934,,a06e4ea6-dcbf-4933-9d96-68f425cab535,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,False,False,1,epochwise,cls_token,True,0.0,0.4998846054077149,0.4803319573402405,0.5,0.445141077041626,0.5765538215637207,0.48269814252853394,0.42960166931152344,0.5,0.4417475759983063,7.983415603637695,2096.0,38.0,1753160461.572362,5.0,3.3333333333333335e-05,6.0,,,,,,,,,,,,
7246841200.61936-79de41fa-aa57,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-07-22_04-43-29,finished,2025-07-22T04:43:59Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246841200.61936-79de41fa-aa57,,d9d12366-c8df-49d3-ada7-24cfba3c77d9,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,False,False,1,epochwise,mean,True,0.5,0.5640976428985596,0.6024396419525146,0.5,0.445141077041626,0.5659098625183105,0.5845779180526733,0.624770998954773,0.5,0.4417475759983063,0.5789024233818054,23805.0,599.0,1753183246.6942697,99.0,3.854818796385494e-08,35399.0,facebook/dinov2-base,mean,,,,,,,,,,
7246841271.51671-135638e9-52c9,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-22_04-43-54,finished,2025-07-22T04:44:21Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246841271.51671-135638e9-52c9,,c237516c-c514-4c7b-b85c-4b0c0e21b55f,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,False,False,1,epochwise,cls_token,True,0.0,0.49065130949020386,0.4639335870742798,0.5,0.445141077041626,0.5734522342681885,0.48566311597824097,0.43612635135650635,0.5,0.4417475759983063,0.6548826098442078,19004.0,599.0,1753178466.611909,99.0,1.927409398192747e-08,35399.0,,,,,,,,,,,,
