run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_squeeze_excitation,config_zero_init_residual,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_epoch,config_log_every_n_steps
08v0ljfs,2025-06-13_19-55-20,failed,2025-06-13T19:55:26Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/08v0ljfs,,e4b8fcd4-8952-4a84-a618-b1c2cdc5310c,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,,,,,,,,,,,,,,,,,
ctvwoqwa,2025-06-13_20-02-29,failed,2025-06-13T20:02:36Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/ctvwoqwa,,42693599-67bf-4003-9161-0ea450c52c8a,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,,,,,,,,,,,,,,,,,
uodwlipb,2025-06-13_20-03-16,failed,2025-06-13T20:03:22Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/uodwlipb,,031b7837-2cc3-47ca-aa37-4cacbed42413,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,2.8014020200000003,0.0,1749845003.9037552,4.761904761904762e-06,0.0,,,,,,,,,,,,
4llqmxey,2025-06-13_20-04-43,failed,2025-06-13T20:04:49Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/4llqmxey,,494fe6c8-8f92-4b6a-a941-a70f00e0a74a,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,2.7176524,0.0,1749845091.4781091,4.761904761904762e-06,0.0,,,,,,,,,,,,
pvt0260v,2025-06-13_20-05-33,failed,2025-06-13T20:05:39Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/pvt0260v,,5f722cf3-e847-4cfb-ab73-fc84806f4f8b,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,2.623102084,0.0,1749845140.5922277,4.761904761904762e-06,0.0,,,,,,,,,,,,
yikn6p5y,2025-06-13_20-06-48,failed,2025-06-13T20:06:54Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/yikn6p5y,,b900f67f-e8f6-4c2f-ab08-6edadbef3414,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,2.733028633,0.0,1749845216.287864,4.761904761904762e-06,0.0,,,,,,,,,,,,
k63ky6cw,2025-06-13_20-07-39,failed,2025-06-13T20:07:45Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/k63ky6cw,,92fc4074-7b05-48d8-8199-d1dec65bf6d2,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,2.697661327,0.0,1749845267.3413763,4.761904761904762e-06,0.0,,,,,,,,,,,,
9fnun9y7,2025-06-13_20-08-35,failed,2025-06-13T20:08:41Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/9fnun9y7,,1c1bf6cf-8db1-4676-a7c6-ced060dc02ec,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,2.620051966,0.0,1749845323.1336088,4.761904761904762e-06,0.0,,,,,,,,,,,,
bnrtklwv,2025-06-13_20-10-19,failed,2025-06-13T20:10:25Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/bnrtklwv,,ceb311db-9eb1-48d1-b3c0-7afdcaf0f965,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,2.565273309,0.0,1749845427.2096794,4.761904761904762e-06,0.0,,,,,,,,,,,,
rrjnoxii,2025-06-13_20-10-45,failed,2025-06-13T20:10:51Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/rrjnoxii,,a59a9407-747c-4a5b-8412-5578164acaad,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,2.548067902,0.0,1749845453.33579,4.761904761904762e-06,0.0,,,,,,,,,,,,
9qm2hmh7,2025-06-13_20-23-07,failed,2025-06-13T20:23:14Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/9qm2hmh7,,6d70eae1-893c-44ac-a2ba-5a5eb0916e09,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,2.683354409,0.0,1749846195.5260885,4.761904761904762e-06,0.0,,,,,,,,,,,,
r2y491li,2025-06-13_20-26-45,finished,2025-06-13T20:26:52Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/r2y491li,,c0b9520d-ce5d-4162-aa74-5e37128997b8,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,1004.396549951,186.0,1749847415.191847,9.97933865447057e-05,155.0,0.6683945655822754,0.7109497785568237,0.5,0.424855500459671,0.6036363840103149,0.7519137859344482,0.8328444957733154,0.5,0.4246575236320496,0.6034417748451233,30.0,
p06md7f5,2025-06-13_20-46-57,crashed,2025-06-13T20:47:03Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/p06md7f5,,8827a6c0-b081-455b-8150-49b3011163c8,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,230.709145069,42.0,1749847853.2588508,3.80952380952381e-05,35.0,0.5080190896987915,0.4892726540565491,0.5,0.424855500459671,0.6393134593963623,0.5601441860198975,0.5703812837600708,0.5,0.4246575236320496,0.6368302702903748,6.0,
y57atc4r,2025-06-13_20-51-46,finished,2025-06-13T20:51:52Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/y57atc4r,,3ba04de1-9341-4a11-aecd-00436b77e917,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,181.655150903,30.0,1749848093.3454046,2.8571428571428578e-05,25.0,0.5417637825012207,0.5642333626747131,0.5,0.424855500459671,0.6540728211402893,0.5689048171043396,0.47653961181640625,0.5,0.4246575236320496,0.6485897898674011,4.0,
3j2wft5a,2025-06-13_20-54-01,crashed,2025-06-13T20:54:24Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/3j2wft5a,,c89640d4-2532-4b84-a356-793f4ca233c1,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,,,,,,,,,,,,,,,,,
mbahes0w,2025-06-13_20-57-27,crashed,2025-06-13T20:57:34Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_classification/runs/mbahes0w,,e1cb98fd-9e77-468a-b578-5678cda89973,t-jiachentu,0.0001,False,0,Classification,400,False,ResEncoder_Classifier,400,False,1,multiclass,False,ddp_find_unused_parameters_true,True,/home/t-jiachentu/repos/benchmarking/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,400,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/home/t-jiachentu/repos/BrainMVP/data/downstream/brats2018_dataset,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,False,False,True,False,48,epochwise,0.2,9194.507388786,822.0,1749857448.071862,7.83770627681382e-05,685.0,0.7891241312026978,0.8411825895309448,0.7340397834777832,0.7427891492843628,0.5371644496917725,0.8679754734039307,0.9032257795333862,0.6950146555900574,0.7171717286109924,0.5237886309623718,136.0,
