run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_epoch
7247479204.29144-8be6a74d-1038,resenc_multimodal_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-14_19-25-10,failed,2025-07-14T19:25:42Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met/runs/7247479204.29144-8be6a74d-1038,,6a642d05-e4d4-479b-ab31-ea5e086cc4b2,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,0.2,163.0,0,1752521257.2106986,4.761904761904763e-07,0,,,,,,,,,,,
n928dzrf,resenc_multimodal_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-14_20-31-23,failed,2025-07-14T20:31:41Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met/runs/n928dzrf,,71ae8350-a295-4d32-bf02-febb718b3284,t-jiachentu,1e-05,False,0,Classification,5,False,ResEncoder_Classifier,5,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,True,20,2,False,5,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,0.2,4.901768579,0,1752525105.3418145,4.761904761904763e-07,0,,,,,,,,,,,
2v93eoqs,resenc_multimodal_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-14_20-32-17,failed,2025-07-14T20:32:36Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met/runs/2v93eoqs,,a018252d-63ad-4203-b2a6-9c4b05e62626,t-jiachentu,1e-05,False,0,Classification,5,False,ResEncoder_Classifier,5,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,True,20,2,False,5,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,0.2,4.656644152,0,1752525160.1094043,4.761904761904763e-07,0,,,,,,,,,,,
0754qizr,resenc_multimodal_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-14_20-33-03,failed,2025-07-14T20:33:21Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met/runs/0754qizr,,f041dd6f-450e-4359-9551-5b33edd88173,t-jiachentu,1e-05,False,0,Classification,5,False,ResEncoder_Classifier,5,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,True,20,2,False,5,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,0.2,4.341093373,0,1752525204.3131094,4.761904761904763e-07,0,,,,,,,,,,,
odx77i79,resenc_multimodal_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-14_20-34-24,failed,2025-07-14T20:34:42Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met/runs/odx77i79,,1134ec8b-312a-4b9d-a17e-de41c3642c61,t-jiachentu,1e-05,False,0,Classification,5,False,ResEncoder_Classifier,5,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,True,20,2,False,5,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,0.2,4.860385805,0,1752525286.3268404,4.761904761904763e-07,0,,,,,,,,,,,
u2ndyj1k,resenc_multimodal_scratch_multi_t1n_t1c_t2w_t2f_2025-07-14_20-43-07,failed,2025-07-14T20:43:18Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met/runs/u2ndyj1k,,6476654d-c0ce-422c-a707-0d3457380f1f,t-jiachentu,0.001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,0.2,20.549353863,0,1752525817.8529463,4.761904761904762e-05,0,,,,,,,,,,,
v47qvetf,resenc_multimodal_scratch_multi_t1n_t1c_t2w_t2f_2025-07-14_20-50-47,failed,2025-07-14T20:50:59Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met/runs/v47qvetf,,87cc1892-21f2-47b0-af9c-eeb40a584afc,t-jiachentu,0.001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,0.2,15.077488375,0,1752526273.1549506,4.761904761904762e-05,0,,,,,,,,,,,
vtvbdtn5,resenc_multimodal_scratch_multi_t1n_t1c_t2w_t2f_2025-07-14_20-53-13,crashed,2025-07-14T20:53:24Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met/runs/vtvbdtn5,,9c583214-80db-43af-9da9-613f6ce8039b,t-jiachentu,0.001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,0.2,14.963712167,0,1752526418.4541082,4.761904761904762e-05,0,,,,,,,,,,,
7247473459.59829-e7740682-9b91,resenc_multimodal_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-14_21-01-06,finished,2025-07-14T21:01:46Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met/runs/7247473459.59829-e7740682-9b91,,91f0db58-8ba8-478a-b8a6-da9923b20130,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,0.2,29583.0,1799,1752556490.9804792,3.1471622649714703e-10,8699,1.0,1.0,1.0,1.0,0.3255535364151001,0.9993239045143129,0.9993070363998412,0.9615384340286256,0.9605194330215454,0.38326898217201233,299.0
7247393938.26239-7b8bba6c-1f49,2025-07-15_19-12-51_men_vs_met,finished,2025-07-15T19:13:14Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met/runs/7247393938.26239-7b8bba6c-1f49,,8cbc185e-43df-48ac-b12e-5e3c39ea96e3,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,False,1,epochwise,0.2,18422.0,1799,1752625217.3642817,3.1471622649714703e-10,8699,1.0,1.0,1.0,1.0,0.32548269629478455,1.0,1.0,1.0,1.0,0.32627639174461365,299.0
