run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_epoch,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss
7246918861.38930-7844f6da-5146,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_07-05-06,failed,2025-07-21T07:05:30Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246918861.38930-7844f6da-5146,,183835ac-b5e9-40f5-b5e9-dfff30ed612f,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,cls_token,True,0.0,84,0,1753081582.5028093,2.380952380952381e-06,0,,,,,,,,,,,,,,,,,,,,,,,
7246918837.42570-32a7dd24-0c0a,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-07-21_07-11-15,failed,2025-07-21T07:11:42Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246918837.42570-32a7dd24-0c0a,,04c9c950-e1df-4a2d-a440-3b1339f59bc0,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,cls_token,True,0.0,78,0,1753081945.8423717,4.761904761904762e-06,0,,,,,,,,,,,,,,,,,,,,,,,
7246918159.09104-ad102ff6-3d7b,brainmvp_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_07-23-45,finished,2025-07-21T07:24:06Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246918159.09104-ad102ff6-3d7b,,89bd8985-232f-4b04-abff-951a8fd09a45,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,cls_token,True,0.0,29882,1799,1753112526.1841326,3.147162264971471e-09,33899,0.9989978075027466,0.9989806413650512,0.9780051708221436,0.97785484790802,0.3467418849468231,0.8191895484924316,0.8201663494110107,0.7151767015457153,0.703125,0.6429400444030762,299.0,,,,,,,,,,,,
7246912919.63608-3d888cfa-3710,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_08-44-04,finished,2025-07-21T08:44:31Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246912919.63608-3d888cfa-3710,,402829a5-2d4e-4201-b5fb-0579aff45fd1,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,cls_token,True,0.0,24749,599,1753112219.5140529,1.927409398192747e-08,22599,0.9984596967697144,0.99843168258667,0.9868658781051636,0.98671293258667,0.356251060962677,0.5628836154937744,0.49965351819992065,0.3908523917198181,0.3792613744735718,1.748315930366516,99.0,,,,,,,,,,,,
7246912890.96016-48a0a145-4dbd,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-07-21_08-44-07,failed,2025-07-21T08:44:34Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246912890.96016-48a0a145-4dbd,,a7457d39-3cc5-4c0d-a872-262f63aa7f80,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,cls_token,True,0.0,4636,104,1753091950.594793,8.571428571428573e-05,17,0.4551122486591339,0.4215478599071502,0.43405473232269287,0.428645372390747,0.6988274455070496,0.6162452697753906,0.6008316278457642,0.5367290377616882,0.5329236388206482,0.6920667290687561,16.0,,,,,,,,,,,,
7246912103.66829-c0ae1c77-8054,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_08-57-17,finished,2025-07-21T08:57:43Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246912103.66829-c0ae1c77-8054,,fa0d02bc-fc0a-49d8-bb65-a18f7ccdf411,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,cls_token,True,0.0,21227,599,1753109491.2212896,1.927409398192747e-08,22599,0.9992268085479736,0.999215841293335,0.9822787046432496,0.9822787046432496,0.3529947102069855,0.6821548938751221,0.6659736633300781,0.5907831192016602,0.5903321504592896,0.9036129117012024,99.0,,,,,,,,,,,,
7246912071.78351-6b6c7d05-a275,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-07-21_08-57-44,finished,2025-07-21T08:58:10Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246912071.78351-6b6c7d05-a275,,b28a2023-4228-4ae2-b666-975b7090779d,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,cls_token,True,0.0,21184,599,1753109475.2905517,3.854818796385494e-08,22599,0.9846358299255372,0.9840037822723388,0.9428762197494508,0.942449688911438,0.4161311388015747,0.3769236207008362,0.2633402645587921,0.3316008448600769,0.3232058584690094,2.7791953086853027,99.0,,,,,,,,,,,,
7246911214.39519-15d725ef-4023,brainmvp_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_09-13-01,finished,2025-07-21T09:13:25Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246911214.39519-15d725ef-4023,,50718466-be93-4007-8ab3-9b8397709745,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,cls_token,True,0.0,12098,599,1753101302.7291715,3.854818796385494e-08,22599,0.9623113870620728,0.9620481729507446,0.8973182439804077,0.8978922367095947,0.4423141181468963,0.7229054570198059,0.7221066951751709,0.49514898657798767,0.4351058006286621,0.7365276217460632,99.0,,,,,,,,,,,,
7246910607.63175-a325d089-16aa,dinov2_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-21_09-22-01,failed,2025-07-21T09:22:20Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246910607.63175-a325d089-16aa,,0d311eb7-2862-44af-bf2a-35d4db8abb79,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,mean,True,0.5,73,0,1753089790.0110564,4.761904761904762e-06,0,,,,,,,,,,,,facebook/dinov2-base,mean,,,,,,,,,,
7246910637.50680-fbe85c07-58bd,dinov2_frozen_multi_t1n_t1c_t2w_t2f_2025-07-21_09-22-32,finished,2025-07-21T09:22:52Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246910637.50680-fbe85c07-58bd,,08e465ca-a862-4038-8aac-b1834f93f0a7,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.001,4,False,0,True,False,full,True,0.2,,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,False,False,1,epochwise,mean,True,0.5,17662,599,1753107436.888358,3.854818796385499e-07,22599,0.9815624952316284,0.9809457063674928,0.920567750930786,0.9202978014945984,0.6107839941978455,0.9933196306228638,0.9930700063705444,0.5384615659713745,0.40779221057891846,1.3672199249267578,99.0,facebook/dinov2-base,mean,,,,,,,,,,
