run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7245191876.49333-f449c4f4-8f9e,brainiac_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_06-44-29,finished,2025-08-10T06:44:50Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245191876.49333-f449c4f4-8f9e,,68d49d58-66d9-4792-99b5-5ab99f3da0bc,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.6065446734428406,0.6015872955322266,0.561904788017273,0.5644943714141846,0.6547350883483887,1.0,1.0,1.0,1.0,0.33868473768234253,0.6310054659843445,0.6396825313568115,0.49761903285980225,0.4631578922271729,0.6588234901428223,61281.0,1000.0,1754869569.7412524,200.0,4.5691453082619125e-09,34200.0,,,,,,,,,,,,,
7245191850.02639-736dd1a0-af85,brainiac_scratch_multi_flair_t1_t1ce_t2_2025-08-10_06-51-28,finished,2025-08-10T06:51:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245191850.02639-736dd1a0-af85,,c744d01e-1be5-4c2b-8da3-783358b3e14d,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,cls_token,,True,0.0,0.6867483854293823,0.7317460179328918,0.5,0.42424243688583374,0.9407139420509338,0.9953807592391968,0.9970017075538636,0.9547618627548218,0.9547618627548218,0.3673754930496216,0.5418731570243835,0.5111110806465149,0.5214285850524902,0.4815039336681366,5.2756171226501465,61051.0,1000.0,1754869764.4341729,200.0,4.5691453082619125e-09,34200.0,,,,,,,,,,,,,
7245191105.20592-22c735a6-d92a,brainmvp_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_07-03-25,finished,2025-08-10T07:03:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245191105.20592-22c735a6-d92a,,2500f004-8225-4593-8ece-814f1091e524,t-jiachentu,False,0,Classification,200.0,False,brainmvp,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.8361515998840332,0.8523809909820557,0.7523809671401978,0.7632890343666077,0.5146957635879517,0.983473777770996,0.98430335521698,0.9515873193740844,0.9614604711532592,0.3737627863883972,0.720134437084198,0.7976190447807312,0.7785714268684387,0.7143334150314331,0.602451741695404,16992.0,1000.0,1754826417.5383673,200.0,4.5691453082619125e-09,8600.0,,,,,,,,,,,,,
7245190694.83084-47e082a3-3351,dinov2_frozen_multi_flair_t1_t1ce_t2_2025-08-10_07-04-16,failed,2025-08-10T07:04:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245190694.83084-47e082a3-3351,,bf7bcd5d-7dba-4209-bc9f-bbdef8ea2497,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,4.0,False,0.0,True,False,full,True,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,mean,,True,0.5,,,,,,,,,,,,,,,,637.0,,,,,,facebook/dinov2-base,mean,,,,,,,,,,,
7245190665.61954-c0925638-ce09,dinov2_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_07-04-41,failed,2025-08-10T07:05:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245190665.61954-c0925638-ce09,,37a2276a-1119-48a8-a6d1-9c37c602611d,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,
7245189895.22308-344591af-73cc,mri_core_frozen_multi_flair_t1_t1ce_t2_2025-08-10_07-17-18,failed,2025-08-10T07:18:19Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245189895.22308-344591af-73cc,,123a09a3-b109-4613-b15b-3848f88a7bff,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,4.0,False,0.0,True,False,full,,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,,,,,,,,,,,,,,,,636.0,,,,,,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,
7245189869.22432-c498f1c7-a112,mri_core_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_07-17-48,failed,2025-08-10T07:18:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245189869.22432-c498f1c7-a112,,5bd0a92d-2987-43f7-a496-1e2970a75ea6,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,
7245189115.75042-21bd73c9-5c8e,resenc_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_07-36-22,finished,2025-08-10T07:36:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245189115.75042-21bd73c9-5c8e,,0766af7a-dba2-486c-9394-7c0bcdacac84,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.8279103636741638,0.8063491582870483,0.7309523820877075,0.7508741617202759,0.5358428359031677,1.0,1.0,1.0,1.0,0.3282271921634674,0.7092618942260742,0.7246031761169434,0.6428571939468384,0.6000668406486511,0.8655077219009399,16975.0,900.0,1754828393.5101032,180.0,6.746583127731344e-09,3960.0,,,,,,,,,,,,,
7245188728.66569-6ecaea2f-7bf2,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_07-36-57,finished,2025-08-10T07:37:31Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245188728.66569-6ecaea2f-7bf2,,9f90e785-9dd9-4657-ab5a-321080c26ef1,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.7324542999267578,0.7825396656990051,0.6380952596664429,0.6380952596664429,0.6285294890403748,0.9968637228012084,0.9980599880218506,0.9920635223388672,0.9851304292678832,0.35490527749061584,0.5923997163772583,0.6563491821289062,0.5904762148857117,0.5808823704719543,0.8071326613426208,19879.0,900.0,1754831328.3821447,180.0,6.746583127731344e-09,3960.0,,,,,,,,,,,,,
7245188245.39772-68f57b50-eb1b,resenc_time_conditioned_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_07-45-05,finished,2025-08-10T07:47:33Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245188245.39772-68f57b50-eb1b,,34c563e3-b99b-4442-bd2f-8ed4435da0da,t-jiachentu,False,0,Classification,180.0,False,ResEncTimeConditioned,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.7847371101379395,0.8507936596870422,0.6428571343421936,0.6620553135871887,0.5444973707199097,0.994943618774414,0.9962962865829468,0.947619080543518,0.954098105430603,0.36045077443122864,0.6739907264709473,0.7190476655960083,0.6214286088943481,0.5907692313194275,0.8105940818786621,19697.0,900.0,1754831749.1162398,180.0,6.746583127731344e-09,7740.0,,,,,,,,,,False,256.0,0.5,64.0
7245182353.66114-94de096d-a505,resenc_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-23-42,finished,2025-08-10T09:24:17Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245182353.66114-94de096d-a505,,b9cbc291-4bc5-47b3-aca7-385443b1f7ae,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,30.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.8844053745269775,0.9007936716079712,0.7214285731315613,0.7548972368240356,0.5291032791137695,0.9979279041290284,0.998589038848877,0.9777777791023254,0.9846993684768676,0.34720391035079956,0.6314535140991211,0.6992063522338867,0.688095211982727,0.6381556987762451,0.8324761390686035,24634.0,900.0,1754842489.864624,180.0,6.746583127731344e-09,3960.0,,,,,,,,,,,,,
7245181983.64334-c7496e30-9247,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-29-15,finished,2025-08-10T09:29:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245181983.64334-c7496e30-9247,,49879665-47e0-4f17-99a8-1a7464ef6399,t-jiachentu,False,0,Classification,180.0,False,ResEncoderMultiModal_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,30.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.8950235247612,0.920634925365448,0.8523809909820557,0.8449280858039856,0.5132445096969604,1.0,1.0,1.0,1.0,0.3392738401889801,0.6972763538360596,0.7888888716697693,0.8023809194564819,0.746666669845581,0.6651831269264221,18315.0,900.0,1754836494.4927728,180.0,6.746583127731344e-09,3960.0,,,,,,,,,,,,,
7245182165.89456-9735d1ac-358d,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-32-25,finished,2025-08-10T09:33:02Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245182165.89456-9735d1ac-358d,,47914ba4-b069-4ead-8c89-18d960a12b11,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,30.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.9181393384933472,0.92380952835083,0.8071428537368774,0.8006218671798706,0.46235156059265137,1.0,1.0,1.0,1.0,0.3355062007904053,0.7809751033782959,0.8301587104797363,0.6499999761581421,0.6531440019607544,0.5983383655548096,24853.0,1000.0,1754843235.4067037,200.0,3.8076210902182585e-09,4400.0,,,,,,,,,,,,,
