run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_slice_aggregation,config_dinov2_model_name,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch,config_dinov2_model_variant
7246052527.14728-2951945e-ef85,brainiac_pretrained_t1c_2025-07-31_07-42-32,finished,2025-07-31T07:42:54Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t1c/runs/7246052527.14728-2951945e-ef85,,7004e874-8866-4309-ad3c-4b0e8446f654,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.8242872953414917,0.903937578201294,0.8068124055862427,0.7442495226860046,0.5641207098960876,0.9951511025428772,0.998415470123291,0.9357798099517822,0.9613438248634338,0.3581928014755249,0.9572004675865172,0.9666225910186768,0.921154260635376,0.9163088798522948,0.41859814524650574,23305.0,500.0,1753971078.2559783,100.0,7.709637592770997e-09,22700.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7246052462.25819-03b3c5d3-4e33,brainiac_scratch_t1c_2025-07-31_07-46-09,finished,2025-07-31T07:46:45Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t1c/runs/7246052462.25819-03b3c5d3-4e33,,6c4a99b3-6655-48b1-955d-b08e3ed349b7,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,,True,0.0,0.6880998611450195,0.8848061561584473,0.7737625241279602,0.7342657446861267,0.6981073617935181,0.949853241443634,0.9731602668762208,0.8146364092826843,0.868065595626831,0.39155083894729614,0.7242985367774963,0.9102824926376344,0.8531294465065002,0.7602154016494751,0.598647952079773,22945.0,500.0,1753970948.8997114,100.0,7.709637592770997e-09,22700.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7246052390.20529-09360d82-bfe3,brainmvp_pretrained_t1c_2025-07-31_07-46-15,finished,2025-07-31T07:46:50Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t1c/runs/7246052390.20529-09360d82-bfe3,,1f809e69-3744-4c52-b0a8-027f6404addd,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.6829854249954224,0.7509869337081909,0.5908492803573608,0.623704195022583,0.4810817539691925,0.8145625591278076,0.8671332597732544,0.7020415663719177,0.7580529451370239,0.4297613501548767,0.7533136606216431,0.7925218343734741,0.5675675868988037,0.5906788110733032,0.4771656394004822,15570.0,500.0,1753963580.7414186,100.0,7.709637592770997e-09,22700.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7246052137.36734-38d82877-4ef2,mri_core_frozen_t1c_2025-07-31_07-49-22,finished,2025-07-31T07:49:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t1c/runs/7246052137.36734-38d82877-4ef2,,da391b13-01aa-4d28-838d-642090f1f46a,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.5321460366249084,0.6246583461761475,0.5,0.4676007032394409,0.4968853890895843,0.4954966604709625,0.48037683963775635,0.5,0.46807265281677246,0.49569132924079895,0.4911945462226868,0.45437920093536377,0.5,0.46748682856559753,0.49714815616607666,22282.0,500.0,1753970474.5270505,100.0,7.709637592770997e-09,22700.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,mean,,,,,,,,,,,,,,,,,
7246052213.16170-83754418-594c,dinov2_pretrained_t1c_2025-07-31_07-53-49,finished,2025-07-31T07:54:10Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t1c/runs/7246052213.16170-83754418-594c,,0e72f88c-dcd4-42bb-85dc-16a57aaf4935,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,mean,,True,0.5,0.9920156598091124,0.9982791543006896,0.8629921674728394,0.9052556753158568,0.3680570125579834,0.5331766605377197,0.597667932510376,0.5,0.46807265281677246,0.4929032325744629,0.5295882225036621,0.5638589859008789,0.5,0.46748682856559753,0.4977811872959137,30585.0,500.0,1753979032.9923615,100.0,7.709637592770997e-09,45400.0,,,,,,,,,mean,facebook/dinov2-base,,,,,,,,,,,,,,,,
7246051864.91888-1915e892-a334,resenc_multimodal_mm_mdae_pretrained_pretrained_t1c_2025-07-31_07-54-52,finished,2025-07-31T07:55:20Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t1c/runs/7246051864.91888-1915e892-a334,,95ccf8ee-b243-4d9e-8475-5b3521e7f0cc,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.9396957755088806,0.962091326713562,0.9253467321395874,0.8931758999824524,0.3921037018299103,0.9944252967834472,0.9970719814300536,0.9660125970840454,0.973514437675476,0.3427524268627167,0.9454493522644044,0.9696199893951416,0.8806136846542358,0.8896691799163818,0.38315629959106445,24532.0,500.0,1753973049.1060207,100.0,7.709637592770997e-09,11400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7246051800.12196-83b66ee2-339d,resenc_time_conditioned_pretrained_t1c_2025-07-31_07-55-11,finished,2025-07-31T07:55:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t1c/runs/7246051800.12196-83b66ee2-339d,,d9ac4491-5502-42c2-8062-72bcbf20c9c3,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.9334496259689332,0.953841507434845,0.867547333240509,0.8472398519515991,0.39851152896881104,0.9967880249023438,0.9980881810188292,0.9862385392189026,0.9920862913131714,0.3336123824119568,0.9424250721931458,0.9744970202445984,0.8866084218025208,0.873542308807373,0.40511590242385864,58762.0,1000.0,1754007316.0034494,200.0,1.5230484360873043e-09,90800.0,,,,,,,,False,,,256.0,0.5,64.0,,,,,,,,,,,,,
7246052288.42411-2bc8a49f-9184,dinov2_frozen_t1c_2025-07-31_07-58-32,finished,2025-07-31T07:58:54Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t1c/runs/7246052288.42411-2bc8a49f-9184,,12615aec-142c-4ab7-8c4a-ead024ca8e04,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,True,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,,True,0.5,0.8004620671272278,0.9020143747329712,0.5270270109176636,0.5205263495445251,0.5098514556884766,0.6392976641654968,0.7575582265853882,0.5323168039321899,0.5326012372970581,0.4786275029182434,0.7848635911941528,0.8769558668136597,0.5270270109176636,0.5204178690910339,0.5367802381515503,15612.0,500.0,1753964345.9724765,100.0,7.709637592770997e-09,22700.0,,,,,,,,,mean,facebook/dinov2-base,,,,,,,,,,,,,,,,
7246051932.98710-f766ccd7-9668,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-07-31_07-58-31,finished,2025-07-31T07:59:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t1c/runs/7246051932.98710-f766ccd7-9668,,f76276e3-b370-47c0-9e10-b1431a29b31b,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.9254902005195618,0.9588015079498292,0.7665249109268188,0.821678876876831,0.403237909078598,0.9995005130767822,0.9998621940612792,0.9856127500534058,0.9894907474517822,0.333355575799942,0.925383985042572,0.9586974382400512,0.8652204871177673,0.8739076256752014,0.3968970775604248,43038.0,1000.0,1753991783.667107,200.0,1.5230484360873043e-09,22800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7245996051.07331-a1071804-c3c1,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-07-31_23-31-40,finished,2025-07-31T23:32:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_single_t1c/runs/7245996051.07331-a1071804-c3c1,,612756d0-209a-40b5-8447-92bc9f642d37,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.953762412071228,0.973124861717224,0.8727604150772095,0.900653600692749,0.37571755051612854,0.9944967031478882,0.9966471791267396,0.990825653076172,0.9947453737258912,0.3321649432182312,0.947295606136322,0.9753099083900452,0.8941272497177124,0.8987637758255005,0.38416802883148193,42169.0,1000.0,1754046912.527143,200.0,3.8076210902182585e-09,22800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
