run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7245191774.55674-a8447952-c886,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_06-52-58,finished,2025-08-10T06:53:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245191774.55674-a8447952-c886,,9904c943-34e3-47d9-b787-5af2895aba0a,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.8806602954864502,0.8898648619651794,0.8864865303039551,0.8828005790710449,0.6105341911315918,1.0,1.0,0.995726466178894,0.9955710172653198,0.33554694056510925,0.6601405143737793,0.6347886323928833,0.6881496906280518,0.6786469221115112,0.7381113171577454,79493.0,1000.0,1754888288.821689,200.0,4.5691453082619125e-09,45200.0,,,,,,,,,,,,,
7245191688.99956-f7db44f6-6d78,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-08-10_06-53-37,finished,2025-08-10T06:53:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245191688.99956-f7db44f6-6d78,,d998b4a1-830f-472e-b7e8-227ecee059ac,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,,True,0.0,0.865450382232666,0.8817567825317383,0.5,0.3245614171028137,0.6807945966720581,0.9995351433753968,0.9995294809341432,0.9865521788597108,0.9867045879364014,0.3628741502761841,0.6977746486663818,0.7027027606964111,0.6413721442222595,0.6371352672576904,0.802958071231842,79682.0,1000.0,1754888515.5781293,200.0,4.5691453082619125e-09,45200.0,,,,,,,,,,,,,
7245191029.96193-a2b72494-f452,brainmvp_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-04-38,finished,2025-08-10T07:04:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245191029.96193-a2b72494-f452,,5caed5cf-4658-44e8-a29d-4179231a82c0,t-jiachentu,False,0,Classification,200.0,False,brainmvp,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.4887416958808899,0.4621621966361999,0.5314189195632935,0.4767676591873169,1.0501338243484497,0.9934480786323548,0.9933348894119264,0.9602838754653932,0.960138738155365,0.37173184752464294,0.8055751323699951,0.8069993257522583,0.7051281929016113,0.6723523736000061,0.7284204959869385,19063.0,1000.0,1754828560.7100987,200.0,4.5691453082619125e-09,11400.0,,,,,,,,,,,,,
7245190590.53004-b4a81527-78b2,dinov2_frozen_multi_t1n_t1c_t2w_t2f_2025-08-10_07-11-49,crashed,2025-08-10T07:12:09Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245190590.53004-b4a81527-78b2,,d2ec5a91-cac0-478d-a2e6-6aba34a461c1,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,True,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,mean,,True,0.5,,,,,,,,,,,,,,,,,,,,,,facebook/dinov2-base,mean,,,,,,,,,,,
7245190515.32685-2378e0dc-2bc4,dinov2_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-11-56,failed,2025-08-10T07:12:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245190515.32685-2378e0dc-2bc4,,f237caf4-c95a-4889-914a-c7eb183ffe88,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,,,
7245189789.92374-d49f8cab-d5ac,mri_core_frozen_multi_t1n_t1c_t2w_t2f_2025-08-10_07-19-02,crashed,2025-08-10T07:19:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245189789.92374-d49f8cab-d5ac,,2a8b343d-73b0-4c3e-8183-ba138ec81c78,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,,,,,,,,,,,,,,,,,,,,,,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,
7245189712.43926-0ac6e250-986b,mri_core_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-20-28,failed,2025-08-10T07:21:07Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245189712.43926-0ac6e250-986b,,ef2d3fa0-fe62-4619-8b1f-0d21c3eb531f,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,
7245189038.30814-82e7880c-a572,resenc_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-31-25,finished,2025-08-10T07:31:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245189038.30814-82e7880c-a572,,54e08de6-a84c-4c4f-a9aa-3fb3275a62e0,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.5911111235618591,0.5760135650634766,0.5989865064620972,0.5261538624763489,0.7627977728843689,1.0,1.0,1.0,1.0,0.32577791810035706,0.999323844909668,0.9993070363998412,0.9615384340286256,0.9605194330215454,0.3873603343963623,23705.0,900.0,1754834823.4366918,180.0,6.746583127731344e-09,5220.0,,,,,,,,,,,,,
7245188650.66889-5b5d31ab-80d2,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-38-26,finished,2025-08-10T07:38:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245188650.66889-5b5d31ab-80d2,,dd30327c-74b4-46a1-9282-6d120d5db667,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.9710310697555542,0.9695945978164672,0.5,0.3245614171028137,0.7069340944290161,0.9936414957046508,0.994354248046875,0.9819650650024414,0.9822661876678468,0.35085853934288025,1.0,1.0,1.0,1.0,0.3270946443080902,25588.0,900.0,1754837125.4932694,180.0,6.746583127731344e-09,5220.0,,,,,,,,,,,,,
7245188168.84922-499e6dee-33c5,resenc_time_conditioned_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-46-07,finished,2025-08-10T07:47:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245188168.84922-499e6dee-33c5,,f8910b20-6bbb-4042-bb96-b1233ba6d9fd,t-jiachentu,False,0,Classification,180.0,False,ResEncTimeConditioned,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.8884589672088623,0.8905404806137085,0.6239864826202393,0.564479649066925,0.6356561183929443,1.0,1.0,1.0,1.0,0.3297567069530487,0.991995632648468,0.9916839599609376,0.9615384340286256,0.9605194330215454,0.390941858291626,20323.0,900.0,1754832347.8876717,180.0,6.746583127731344e-09,10260.0,,,,,,,,,,False,256.0,0.5,64.0
