run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_depth,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_embed_dim,config_input_dim,config_mlp_ratio,config_num_heads,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_hidden_dim,config_image_size,config_max_epochs,config_patch_size,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_freeze_encoder,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_freeze_backbone,config_use_brainiac_preprocessing,config_dinov2_model_name,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch,config_dinov2_model_variant
7246051286.26499-8e81cba3-644f,mri_core_frozen_t2f_2025-07-31_08-04-52,finished,2025-07-31T08:05:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2f/runs/7246051286.26499-8e81cba3-644f,,c86022df-a175-4f04-ad52-22ef057f2c3a,t-jiachentu,False,0,Classification,100,12.0,False,MRICore,100,False,1,multiclass,False,auto,False,768.0,3,4.0,12.0,AdamW,16-mixed,CosineAnneal,20,4,False,512.0,224.0,100,16.0,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,True,1,False,0,True,False,full,0.2,4,False,batchgenerators.get_training_transforms,10,mean,False,False,men_vs_met,True,power,3,False,1,False,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.4908382296562195,0.4560810923576355,0.5,0.34188035130500793,0.6926454901695251,0.5350143909454346,0.5244648456573486,0.4884341061115265,0.3646586239337921,0.692310094833374,0.6312108039855957,0.6379071474075317,0.5,0.3391304314136505,0.692784309387207,6939.0,500,1753956063.3813822,100,7.709637592770997e-09,5700,,,,,,,,,,,,,,,,,,,,
7246051619.72276-3d0a8388-b6e5,brainiac_scratch_t2f_2025-07-31_08-05-05,finished,2025-07-31T08:05:30Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2f/runs/7246051619.72276-3d0a8388-b6e5,,17a09094-f673-45a6-bd39-9403571d30d2,t-jiachentu,False,0,Classification,100,,False,brainiac,100,False,1,multiclass,False,auto,False,,3,,,AdamW,16-mixed,CosineAnneal,20,4,False,,,100,,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,,1,False,0,True,False,full,0.2,4,False,batchgenerators.get_training_transforms,10,,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,,0.0,0.554668664932251,0.5540540218353271,0.5074324607849121,0.42832666635513306,0.8294759392738342,0.9149682521820068,0.9248020052909852,0.8460361957550049,0.8451297283172607,0.4917285740375519,0.9012376070022584,0.8905059099197388,0.755024254322052,0.7424647808074951,0.663015604019165,8044.0,500,1753957173.8912296,100,7.709637592770997e-09,5700,0.2,False,True,,,,,,,,,,,,,,,,,
7246051548.34931-d8813092-8b15,brainmvp_pretrained_t2f_2025-07-31_08-05-40,finished,2025-07-31T08:06:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2f/runs/7246051548.34931-d8813092-8b15,,8b50b242-0f33-4ff6-84ff-2cf88b222760,t-jiachentu,False,0,Classification,100,,False,brainmvp,100,False,1,multiclass,False,auto,False,,3,,,AdamW,16-mixed,CosineAnneal,20,4,False,,,100,,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,,1,False,0,True,False,full,0.2,4,False,batchgenerators.get_training_transforms,10,,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.6135133504867554,0.6277027130126953,0.4584459364414215,0.32497450709342957,0.8369325995445251,0.7354032397270203,0.7453148365020752,0.6786246299743652,0.6768329739570618,0.63247150182724,0.7775130271911621,0.7671517133712769,0.6483021974563599,0.6396839618682861,0.6545646786689758,5791.0,500,1753954956.736997,100,7.709637592770997e-09,5700,0.2,False,True,,,,,,,,,,,,,,,,,
7246051152.26599-58372608-b091,resenc_pretrained_t2f_2025-07-31_08-05-59,finished,2025-07-31T08:06:33Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2f/runs/7246051152.26599-58372608-b091,,e985aa9b-7cad-4739-8162-63f4c57aceb4,t-jiachentu,False,0,Classification,100,,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,,3,,,AdamW,16-mixed,CosineAnneal,20,4,False,,,100,,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,,1,False,0,True,False,full,0.2,8,False,batchgenerators.get_training_transforms,10,,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.5197683572769165,0.43885135650634766,0.6114864945411682,0.5455930233001709,0.7374644875526428,1.0,1.0,0.995726466178894,0.9955710172653198,0.3354301452636719,0.999323844909668,0.9993069767951964,0.9871795177459716,0.9868398308753968,0.347108393907547,8566.0,500,1753957758.6770382,100,7.709637592770997e-09,2900,,False,,,,,,,,,,,,,,,,,,
7246051080.81741-86472881-5893,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-07-31_08-07-04,finished,2025-07-31T08:07:39Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2f/runs/7246051080.81741-86472881-5893,,2c5642e0-17bf-4cd6-96f8-9bffd4cc543f,t-jiachentu,False,0,Classification,200,,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,,3,,,AdamW,16-mixed,CosineAnneal,20,1,False,,,200,,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,,1,False,0,True,False,full,0.2,8,False,batchgenerators.get_training_transforms,10,,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.9549023509025574,0.9540539979934692,0.574999988079071,0.473027378320694,0.6322937607765198,1.0,1.0,0.995412826538086,0.9955682158470154,0.3385179042816162,0.9827193021774292,0.9819819927215576,0.92099791765213,0.92099791765213,0.3998679518699646,17248.0,1000,1753966507.3390098,200,1.5230484360873043e-09,5800,,False,,,,,,,,,,,,,,,,,,
7246051472.40858-e1e439d2-0497,dinov2_frozen_t2f_2025-07-31_08-07-37,finished,2025-07-31T08:08:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2f/runs/7246051472.40858-e1e439d2-0497,,8cf464dc-0f19-4df4-b597-da5b9633deac,t-jiachentu,False,0,Classification,100,,False,dinov2,50,False,1,multiclass,False,auto,False,,3,,,AdamW,16-mixed,CosineAnneal,20,4,False,,,100,,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,,1,False,0,True,False,full,0.2,4,False,batchgenerators.get_training_transforms,10,mean,False,False,men_vs_met,True,power,3,False,1,False,epochwise,mean,,0.5,,,,,,0.7586122155189514,0.7671527862548828,0.6990512013435364,0.6989028453826904,0.6356052160263062,0.9179229140281676,0.9099099040031432,0.6538461446762085,0.6016307473182678,0.6334774494171143,7349.0,499,1753956630.998778,99,7.709637592770997e-09,5699,,True,True,facebook/dinov2-base,,,,,,,,,,,,,,,,
7246051015.51451-e85d46f6-55c8,resenc_multimodal_mm_mdae_pretrained_pretrained_t2f_2025-07-31_08-08-18,finished,2025-07-31T08:08:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2f/runs/7246051015.51451-e85d46f6-55c8,,e40dbc40-dba8-42a1-8ef7-e2c6e9e75f5e,t-jiachentu,False,0,Classification,100,,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,,3,,,AdamW,16-mixed,CosineAnneal,20,4,False,,,100,,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,,1,False,0,True,False,full,0.2,8,False,batchgenerators.get_training_transforms,10,,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.9630898237228394,0.9635134935379028,0.5,0.34188035130500793,0.6571105122566223,0.9797983765602112,0.9861209392547609,0.9868658781051636,0.98671293258667,0.3750708103179931,0.9764211177825928,0.975051999092102,0.9223839044570924,0.92099791765213,0.4353042542934418,8657.0,500,1753957982.2722888,100,7.709637592770997e-09,2900,,False,,,,,,,,,,,,,,,,,,
7246051360.11542-d097dec4-7cd3,dinov2_pretrained_t2f_2025-07-31_08-09-23,finished,2025-07-31T08:09:47Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2f/runs/7246051360.11542-d097dec4-7cd3,,870b332c-e172-4c0a-9367-4bd84f9944b8,t-jiachentu,False,0,Classification,100,,False,dinov2,50,False,1,multiclass,False,auto,False,,3,,,AdamW,16-mixed,CosineAnneal,20,1,False,,,100,,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,,1,False,0,True,False,full,0.2,2,False,batchgenerators.get_training_transforms,10,mean,False,False,men_vs_met,True,power,3,False,1,True,epochwise,mean,,0.5,0.6687957048416138,0.6402027010917664,0.574999988079071,0.473027378320694,0.8761228919029236,0.8473864197731018,0.8474868535995483,0.7720144391059875,0.7723708748817444,0.5677647590637207,0.8987618088722229,0.8877338767051697,0.7865557670593262,0.7857645750045776,0.551630437374115,10365.0,500,1753959752.0887363,100,7.709637592770997e-09,11300,,False,True,facebook/dinov2-base,,,,,,,,,,,,,,,,
7246050904.13153-48dd3e0e-7620,resenc_time_conditioned_pretrained_t2f_2025-07-31_08-10-14,finished,2025-07-31T08:11:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2f/runs/7246050904.13153-48dd3e0e-7620,,0e03e354-716a-4ac2-a5ca-c78070403e4d,t-jiachentu,False,0,Classification,200,,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,,3,,,AdamW,16-mixed,CosineAnneal,20,1,False,,,200,,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,False,1,False,0,True,False,full,0.2,4,False,batchgenerators.get_training_transforms,10,,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.6384992599487305,0.6101351976394653,0.6114864945411682,0.5455930233001709,1.0340813398361206,0.9998443722724916,0.9998431205749512,0.9865521788597108,0.9867045879364014,0.33785152435302734,1.0,1.0,1.0,1.0,0.33010274171829224,17012.0,1000,1753966469.7988975,200,1.5230484360873043e-09,11400,,False,,,256.0,0.5,64.0,,,,,,,,,,,,,
7246051217.57609-aef9f38b-5b78,mri_core_pretrained_t2f_2025-07-31_08-11-55,finished,2025-07-31T08:12:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_men_vs_met_single_t2f/runs/7246051217.57609-aef9f38b-5b78,,c73fc2be-81e6-44e7-ac72-a5411feb16ce,t-jiachentu,False,0,Classification,100,12.0,False,MRICore,100,False,1,multiclass,False,auto,False,768.0,3,4.0,12.0,AdamW,16-mixed,CosineAnneal,20,1,False,512.0,224.0,100,16.0,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,False,1,False,0,True,False,full,0.2,2,False,batchgenerators.get_training_transforms,10,mean,False,False,men_vs_met,True,power,3,False,1,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.5183635950088501,0.5233107805252075,0.5,0.34188035130500793,0.6926941871643066,0.5013325214385986,0.4872578978538513,0.48823806643486023,0.43040037155151367,0.6934168338775635,0.6340798139572144,0.6209286451339722,0.5,0.3391304314136505,0.6929874420166016,12801.0,500,1753962348.3092356,100,7.709637592770997e-09,11300,,False,,,,,,,,,,,,,,,,,,
