run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_pretrained_checkpoint_path,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_slice_aggregation,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_dinov2_model_name,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245993134.99814-5364389b-137d,brainiac_scratch_flair_2025-08-01_00-13-28,finished,2025-08-01T00:13:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_flair/runs/7245993134.99814-5364389b-137d,,e51bc1e2-677c-44a3-afe8-bdbb2c0fec0d,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,False,epochwise,cls_token,True,0.0,0.6043206453323364,0.6189217567443848,0.5779598355293274,0.5396825671195984,0.6902818083763123,0.5706475377082825,0.5763099193572998,0.5470399260520935,0.5438963174819946,0.6870015263557434,0.5165082216262817,0.5008640289306641,0.515841007232666,0.4545760154724121,0.6957955956459045,12238.0,500.0,1754019475.1201477,100.0,1.927409398192747e-08,11700.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7245992953.52245-5398e6de-bbaa,brainmvp_pretrained_flair_2025-08-01_00-18-59,finished,2025-08-01T00:19:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_flair/runs/7245992953.52245-5398e6de-bbaa,,f6e3a4e4-18f8-4e1b-abfa-3ff18b2c89d8,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.5520038604736328,0.533298134803772,0.5,0.3358778655529022,0.7560549378395081,0.5687308311462402,0.5598363876342773,0.5453484058380127,0.5389321446418762,0.6868345737457275,0.490131676197052,0.48473501205444336,0.5,0.3444444537162781,0.7321861386299133,9322.0,500.0,1754016886.3380845,100.0,1.927409398192747e-08,11700.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,,,,,,,,,,,,,,,,,,,
7245993075.53331-8931daaf-e06a,mri_core_pretrained_flair_2025-08-01_02-08-52,finished,2025-08-01T00:21:47Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_flair/runs/7245993075.53331-8931daaf-e06a,,c253b7ae-01d2-4a2f-8245-396f8117b307,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,True,epochwise,mean,,0.5,0.5324364304542542,0.543868899345398,0.5,0.3358778655529022,0.6931259036064148,0.5090176463127136,0.5063431262969971,0.5373138785362244,0.4962503910064697,0.692939043045044,0.5127198696136475,0.4886232614517212,0.5,0.3444444537162781,0.6924048066139221,26637.0,621.0,1754035010.4463842,100.0,1.927409398192747e-08,23400.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,mean,,,,,,,,,,,,,,,,
7245992836.42048-5c8718c8-06d4,resenc_time_conditioned_pretrained_flair_2025-08-01_02-14-07,finished,2025-08-01T00:22:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_flair/runs/7245992836.42048-5c8718c8-06d4,,0f657b14-3a6b-4e78-bca9-0c5126b7260a,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,True,epochwise,cls_token,,0.5,0.5014313459396362,0.4431818127632141,0.5,0.33076924085617065,0.7072467803955078,0.6179381608963013,0.639887809753418,0.6099650859832764,0.6097612380981445,0.6746351718902588,0.5532394647598267,0.5709965229034424,0.5262097120285034,0.5186530947685242,0.6964322328567505,32329.0,1221.0,1754040615.3611217,200.0,3.8076210902182585e-09,23400.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,False,,256.0,0.5,64.0,,,,,,,,,,,,,
7245992900.79645-abb93361-4ea4,resenc_multimodal_mm_mdae_pretrained_pretrained_flair_2025-08-01_02-16-00,finished,2025-08-01T00:22:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_flair/runs/7245992900.79645-abb93361-4ea4,,92d5a4e9-afb8-4fb2-be26-387ce9596d85,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,False,epochwise,,,0.2,0.5274590253829956,0.5,0.5,0.33076924085617065,0.7529075741767883,0.6777662038803101,0.6776612997055054,0.6109486818313599,0.6110213994979858,0.659157931804657,0.5166053771972656,0.4945276379585266,0.4625576138496399,0.4614214301109314,0.7453458905220032,17891.0,741.0,1754026286.3862913,100.0,1.927409398192747e-08,11700.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,,,,,,,,,,
7245993017.81057-9ad0b16d-f1a7,mri_core_frozen_flair_2025-08-01_00-22-22,finished,2025-08-01T00:22:58Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_flair/runs/7245993017.81057-9ad0b16d-f1a7,,aad16866-f72f-4f45-a08d-ca6dbc613add,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,False,epochwise,mean,,0.5,0.5378071069717407,0.543868899345398,0.5,0.33076924085617065,0.694184422492981,0.5247807502746582,0.5121989250183105,0.5199944972991943,0.4387176036834717,0.6920197606086731,0.5156292915344238,0.5027362108230591,0.5,0.3444444537162781,0.6923227906227112,10320.0,500.0,1754018098.2820106,100.0,1.927409398192747e-08,11700.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,mean,,,,,,,,,,,,,,,,
7245993194.91949-51042b65-71f6,brainiac_pretrained_flair_2025-08-01_00-22-37,finished,2025-08-01T00:23:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_flair/runs/7245993194.91949-51042b65-71f6,,67c9f132-6b3c-493f-b4f8-7c893f567099,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,False,epochwise,cls_token,True,0.0,0.5248490571975708,0.5100423097610474,0.5042283535003662,0.4961616098880768,0.7020959258079529,0.5777981281280518,0.582478404045105,0.562667727470398,0.5624131560325623,0.6866357326507568,0.5560116767883301,0.5547235012054443,0.4982718825340271,0.49823421239852905,0.9332954287528992,12527.0,500.0,1754020306.973304,100.0,1.927409398192747e-08,11700.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,,,,,,,,,,,,,
7245992784.09419-0ab90353-d6c6,resenc_pretrained_flair_2025-08-01_00-25-44,finished,2025-08-01T00:26:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_flair/runs/7245992784.09419-0ab90353-d6c6,,4c7c072c-3bce-4358-a857-e84eb234150b,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.555956244468689,0.5264270305633545,0.5,0.33076924085617065,0.6940014958381653,0.5382692813873291,0.5215296745300293,0.5,0.3441011309623718,0.6920239329338074,0.5218685865402222,0.5230414867401123,0.5,0.3444444537162781,0.6925103664398193,12115.0,500.0,1754020099.733071,100.0,1.927409398192747e-08,5900.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,,,,,,,,,,,,,,
7245992611.87913-85a3b906-533e,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_00-29-10,finished,2025-08-01T00:29:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_flair/runs/7245992611.87913-85a3b906-533e,,268df34d-906d-41d3-833c-be0d8a6904ca,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.4754812121391296,0.4656448364257813,0.518498957157135,0.5120192170143127,0.7417449951171875,0.9077054262161256,0.911463499069214,0.8529784679412842,0.8536590337753296,0.5125439763069153,0.5407273769378662,0.5443547964096069,0.5411866307258606,0.5411866307258606,0.8439604043960571,23400.0,1000.0,1754031592.4419177,200.0,3.8076210902182585e-09,11800.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,,,,,,,,,,
7245992665.63458-712c01e9-5a46,dinov2_frozen_flair_2025-08-01_00-32-27,finished,2025-08-01T00:32:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_flair/runs/7245992665.63458-712c01e9-5a46,,02fffda5-228e-4c29-957d-e4623ea35749,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,True,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.5172234177589417,0.4698731303215027,0.4482029676437378,0.4482029676437378,0.702426552772522,0.5511541366577148,0.5670251846313477,0.5505607724189758,0.5492278337478638,0.7118393778800964,0.541989803314209,0.5270737409591675,0.4611175060272217,0.42326492071151733,0.6987979412078857,9882.0,500.0,1754018255.5827715,100.0,1.927409398192747e-08,11700.0,,,,,,,,,,mean,,,,facebook/dinov2-base,,,,,,,,,,,,
