run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_slice_aggregation,config_dinov2_model_name,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245992966.51717-b87a5d4a-931a,brainmvp_pretrained_t2w_2025-08-01_00-18-59,finished,2025-08-01T00:19:25Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7245992966.51717-b87a5d4a-931a,,b30e804c-5e91-49b8-9574-3f7305760c1d,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.4889124929904938,0.4783298075199127,0.5,0.3358778655529022,0.7005362510681152,0.5991845726966858,0.6070902943611145,0.5438045263290405,0.5341881513595581,0.6825308799743652,0.534911036491394,0.5371087789535522,0.4773472547531128,0.3703799545764923,0.7080093026161194,9010.0,500.0,1754016574.5495336,100.0,1.927409398192747e-08,11600.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245993091.78056-d2b4b43b-9389,mri_core_pretrained_t2w_2025-08-01_00-18-58,finished,2025-08-01T00:20:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7245993091.78056-d2b4b43b-9389,,86d23ea3-2e79-4a20-853e-b65830558c85,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.4960060715675354,0.4907505512237549,0.5,0.33076924085617065,0.694184422492981,0.5310161709785461,0.5221618413925171,0.5023218989372253,0.4471912086009979,0.6915515661239624,0.46556052565574646,0.4183308482170105,0.5,0.3446327745914459,0.6922830939292908,20616.0,500.0,1754028223.1712203,100.0,1.927409398192747e-08,23100.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,mean,,,,,,,,,,,,,,,,
7245993030.48935-e0fa60dc-e384,mri_core_frozen_t2w_2025-08-01_00-18-59,finished,2025-08-01T00:20:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7245993030.48935-e0fa60dc-e384,,65bf1036-77a4-4bcf-a22d-93addb813461,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,False,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.5015707612037659,0.48705071210861206,0.5,0.3358778655529022,0.6929962038993835,0.5224382281303406,0.5255125164985657,0.5028315782546997,0.3892926573753357,0.6916890740394592,0.47916164994239807,0.41236957907676697,0.5,0.3446327745914459,0.6922944188117981,10043.0,500.0,1754017656.8370228,100.0,1.927409398192747e-08,11600.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,mean,,,,,,,,,,,,,,,,
7245992913.48605-47283630-0c92,resenc_multimodal_mm_mdae_pretrained_pretrained_t2w_2025-08-01_02-09-15,finished,2025-08-01T00:21:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7245992913.48605-47283630-0c92,,d6814f9c-b363-404e-8466-bfed955ae515,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.4691842198371887,0.4532241225242615,0.5,0.33076924085617065,0.7316650152206421,0.5485919713973999,0.5453618764877319,0.524408221244812,0.519402265548706,0.6912967562675476,0.555469274520874,0.5527570843696594,0.5378539562225342,0.5353336930274963,0.6900507807731628,17713.0,721.0,1754026055.5732088,100.0,1.927409398192747e-08,11600.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245992681.48580-b8f407b7-5653,dinov2_frozen_t2w_2025-08-01_02-13-38,finished,2025-08-01T00:22:02Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7245992681.48580-b8f407b7-5653,,61284404-2780-44d7-acfc-61d2d880a8a9,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,True,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,False,epochwise,mean,,True,0.5,0.5163906812667847,0.4976215660572052,0.5116279125213623,0.3611888289451599,0.71915203332901,0.5653274655342102,0.5720258951187134,0.5420111417770386,0.5417473316192627,0.7026820778846741,0.5593602061271667,0.5499254465103149,0.5,0.32163742184638977,0.7266660928726196,16508.0,766.0,1754024723.6803403,100.0,1.927409398192747e-08,11600.0,,,,,,,,,mean,facebook/dinov2-base,,,,,,,,,,,,,,,
7245993147.55022-9adbd973-87f5,brainiac_scratch_t2w_2025-08-01_00-22-17,finished,2025-08-01T00:22:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7245993147.55022-9adbd973-87f5,,c0b89716-9965-40bc-a176-24b18907a3e1,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,False,epochwise,cls_token,,True,0.0,0.4944818913936615,0.4571881592273712,0.44899576902389526,0.446447491645813,0.7816874980926514,0.5730796456336975,0.578934907913208,0.5412749648094177,0.5306214690208435,0.6860998868942261,0.487781286239624,0.450372576713562,0.45961248874664307,0.4551514983177185,0.7170395851135254,12270.0,500.0,1754020031.030268,100.0,1.927409398192747e-08,11600.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245993208.00035-007e4719-db3b,brainiac_pretrained_t2w_2025-08-01_00-22-28,finished,2025-08-01T00:22:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7245993208.00035-007e4719-db3b,,338327b1-5b34-454f-833e-a80168ffb2d8,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,False,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.5212154984474182,0.5121564865112305,0.5541754961013794,0.5316770076751709,0.8204270005226135,0.6267484426498413,0.634584903717041,0.5913938879966736,0.5912829637527466,0.6739177703857422,0.5246449708938599,0.5174366235733032,0.5225037336349487,0.5011149644851685,0.7700653672218323,12349.0,500.0,1754020120.2303216,100.0,1.927409398192747e-08,11600.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245992851.81742-f9353224-5f56,resenc_time_conditioned_pretrained_t2w_2025-08-01_00-23-51,finished,2025-08-01T00:24:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7245992851.81742-f9353224-5f56,,34610745-e0ef-4907-a89e-8ceee490bc1a,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.4753072261810303,0.44450318813323975,0.5,0.33076924085617065,0.6963344812393188,0.5735122561454773,0.578717827796936,0.5300147533416748,0.4748510420322418,0.6886457204818726,0.4645748734474182,0.39821162819862366,0.482563316822052,0.42456379532814026,0.6965727210044861,24421.0,1000.0,1754032292.80768,200.0,3.8076210902182585e-09,23200.0,,,,,,,,False,,,256.0,0.5,64.0,,,,,,,,,,,,
7245992797.56598-14d7738c-becd,resenc_pretrained_t2w_2025-08-01_00-23-58,finished,2025-08-01T00:24:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7245992797.56598-14d7738c-becd,,31a176e9-b9c6-4e63-98e6-8cee17597f47,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.5469192862510681,0.5417547225952148,0.5,0.33076924085617065,0.6947417259216309,0.637299120426178,0.645561933517456,0.5808038115501404,0.5794780254364014,0.6778910160064697,0.567440390586853,0.55409836769104,0.5506706237792969,0.5389291644096375,0.6894872784614563,11653.0,500.0,1754019526.942302,100.0,1.927409398192747e-08,5800.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245992743.47041-19184121-e994,dinov2_pretrained_t2w_2025-08-01_00-32-26,finished,2025-08-01T00:32:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7245992743.47041-19184121-e994,,1fc9ca26-6097-4e06-8c0b-5b86010c55e0,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,2.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,True,power,3.0,False,1.0,True,epochwise,mean,,True,0.5,0.5019779205322266,0.48705071210861206,0.5,0.3358778655529022,0.6955493688583374,0.5059681534767151,0.49826329946517944,0.5045776963233948,0.4859258830547333,0.6946757435798645,0.5350760221481323,0.5333830118179321,0.5,0.3446327745914459,0.6924775242805481,14884.0,500.0,1754023255.9384642,100.0,1.927409398192747e-08,23100.0,,,,,,,,,mean,facebook/dinov2-base,,,,,,,,,,,,,,,
