run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_token_aggregation_method,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_slice_aggregation,config_dinov2_model_name,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7245999981.77825-9b129d3c-6c75,resenc_pretrained_mixed_contrasts_2025-07-31_22-20-13,finished,2025-07-31T22:20:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts/runs/7245999981.77825-9b129d3c-6c75,,27366b46-6abd-4026-9ce6-f1d765d2c5e2,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,10.0,False,False,dss_1year,True,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,False,0.2,0.6026248931884766,0.5779221057891846,0.5,0.3589743673801422,0.6868445873260498,0.7361892461776733,0.738788366317749,0.5,0.36283186078071594,0.6679275631904602,0.4727819859981537,0.4285714030265808,0.5,0.3589743673801422,0.6946582198143005,7426.0,500.0,1754007872.4949932,100.0,1.927409398192747e-08,900.0,,,,,,,,,,,,,,,
7245998277.49402-b0f8e05b-738a,brainiac_pretrained_mixed_contrasts_2025-07-31_22-46-56,failed,2025-07-31T22:47:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts/runs/7245998277.49402-b0f8e05b-738a,,946ff771-ef81-4b3d-945f-860aa1b353f3,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,10.0,False,False,dss_1year,True,power,3.0,False,2.0,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,,,,,,,,,,,,,,,,32.0,0.0,1754002060.6106565,,2.380952380952381e-06,0.0,0.2,cls_token,,,,,,,,,,,,,
7245998262.97001-436e65c5-fafe,brainiac_scratch_mixed_contrasts_2025-07-31_22-48-17,failed,2025-07-31T22:48:50Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts/runs/7245998262.97001-436e65c5-fafe,,99accee9-a957-47ab-b0a8-835168382ae5,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,10.0,False,False,dss_1year,True,power,3.0,False,2.0,False,epochwise,,True,0.0,,,,,,,,,,,,,,,,31.0,0.0,1754002149.1330278,,2.380952380952381e-06,0.0,0.2,cls_token,,,,,,,,,,,,,
7245998249.64639-e130d302-e9bb,brainmvp_pretrained_mixed_contrasts_2025-07-31_22-48-42,finished,2025-07-31T22:49:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts/runs/7245998249.64639-e130d302-e9bb,,90bf38a8-e0f7-441a-963f-d6950cee8484,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,10.0,False,False,dss_1year,True,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.444543719291687,0.33766233921051025,0.5,0.3055555522441864,0.7868235111236572,0.7386910915374756,0.7143981456756592,0.6042486429214478,0.59375,0.6116868257522583,0.5003071427345276,0.4285714030265808,0.5616883039474487,0.4791666865348816,0.7601422667503357,4948.0,500.0,1754007104.7010202,100.0,1.927409398192747e-08,900.0,0.2,cls_token,,,,,,,,,,,,,
7245998155.37007-6caecadd-6f02,mri_core_frozen_mixed_contrasts_2025-07-31_22-50-05,finished,2025-07-31T22:50:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts/runs/7245998155.37007-6caecadd-6f02,,abeb8451-3651-41c3-afd0-01bf76e807d0,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1.0,False,0.0,True,False,full,,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,10.0,False,False,dss_1year,True,power,3.0,False,2.0,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,False,0.5,0.5050615668296814,0.43668830394744873,0.5,0.3589743673801422,0.6876175403594971,0.565933346748352,0.492525577545166,0.5,0.36283186078071594,0.6839082837104797,0.4601321518421173,0.3636363744735718,0.5,0.3589743673801422,0.6874675154685974,6197.0,500.0,1754008438.1215377,100.0,1.927409398192747e-08,900.0,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,mean,,,,
7245998209.12932-97871ccf-4172,resenc_pretrained_mixed_contrasts_2025-07-31_22-55-47,finished,2025-07-31T22:56:23Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts/runs/7245998209.12932-97871ccf-4172,,ba5afe9c-444b-4d97-b59d-2566f8ed3b82,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,10.0,False,False,dss_1year,True,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,False,0.2,0.5405209064483643,0.4675324559211731,0.5,0.3589743673801422,0.6895235180854797,0.8247094750404358,0.810385525226593,0.7132179737091064,0.7163591384887695,0.632292628288269,0.5510206818580627,0.551948070526123,0.4935064911842346,0.4791666865348816,0.6820439100265503,7385.0,500.0,1754009968.173237,100.0,1.927409398192747e-08,900.0,,,,,,,,,,,,,,,
7245998195.37593-6cdbf817-b8c3,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-07-31_22-55-51,finished,2025-07-31T22:56:27Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts/runs/7245998195.37593-6cdbf817-b8c3,,e3459e4c-8156-4b54-88aa-4d4fe74a2599,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,10.0,False,False,dss_1year,True,power,3.0,False,2.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.2,0.6485655903816223,0.649350643157959,0.5,0.3589743673801422,0.6811965703964233,0.9661566615104676,0.9669551849365234,0.9028323888778688,0.9012345671653748,0.34386274218559265,0.4350402653217316,0.34415584802627563,0.3863636255264282,0.3842364549636841,1.454355001449585,15179.0,1000.0,1754017766.5207713,200.0,3.8076210902182585e-09,1800.0,,,,,,,,,,,,,,,
7245998181.67333-6261cf5b-bb24,resenc_multimodal_mm_mdae_pretrained_pretrained_mixed_contrasts_2025-07-31_22-56-49,finished,2025-07-31T22:57:19Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts/runs/7245998181.67333-6261cf5b-bb24,,f29dd5e3-e8ea-4dad-8ab8-f6d6ce077258,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,1.0,10.0,False,False,dss_1year,True,power,3.0,False,2.0,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.2,0.4037986993789673,0.2792207598686218,0.4220779538154602,0.4166666865348816,1.283226728439331,0.9578653573989868,0.955153465270996,0.8705743551254272,0.8720126152038574,0.38001903891563416,0.641409695148468,0.6233766078948975,0.6038961410522461,0.5993589758872986,0.9861724376678468,8854.0,500.0,1754011492.9022918,100.0,1.927409398192747e-08,900.0,,,,,,,,,,,,,,,
7245998168.85272-721f7035-ca4a,resenc_time_conditioned_pretrained_mixed_contrasts_2025-07-31_22-56-50,crashed,2025-07-31T22:57:35Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts/runs/7245998168.85272-721f7035-ca4a,,6661a5dc-7db3-499d-be56-c1dc4973b877,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245998222.74665-5998ec87-7eef,dinov2_pretrained_mixed_contrasts_2025-07-31_23-00-21,finished,2025-07-31T23:00:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts/runs/7245998222.74665-5998ec87-7eef,,f762de49-f5c0-49d6-9883-5ec112c8abe9,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1.0,False,0.0,True,False,full,False,0.1,2.0,False,batchgenerators.get_training_transforms,1.0,10.0,False,False,dss_1year,True,power,3.0,False,2.0,True,epochwise,,True,0.5,0.4304258227348328,0.2467532455921173,0.5,0.3589743673801422,1.217615246772766,0.6391483545303345,0.6467348337173462,0.6081825494766235,0.601702094078064,0.6628531813621521,0.5096161961555481,0.40909090638160706,0.5,0.3589743673801422,0.7216495275497437,9903.0,500.0,1754012755.439728,100.0,1.927409398192747e-08,1800.0,,mean,,,,,,,,,mean,facebook/dinov2-base,,,
