run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_token_aggregation_method,config_dinov2_model_name,config_slice_aggregation,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size
7245999969.66310-6ac2e558-6e33,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-07-31_22-20-08,finished,2025-07-31T22:20:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts/runs/7245999969.66310-6ac2e558-6e33,,73d7a021-1877-41f8-85e3-e980ac484781,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.2,0.46232539415359497,0.3308270573616028,0.5,0.42222222685813904,0.677608847618103,0.9900118112564088,0.991769552230835,0.9629629850387572,0.9629629850387572,0.25835371017456055,0.4426417946815491,0.3055555820465088,0.4444444477558136,0.4444444477558136,1.1443456411361694,15003.0,1000.0,1754015446.2519865,200.0,3.8076210902182585e-09,1800.0,,,,,,,,,,,,,,,
7245998094.40706-cf3c44a9-6258,brainmvp_pretrained_mixed_contrasts_2025-07-31_22-56-57,finished,2025-07-31T22:57:19Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts/runs/7245998094.40706-cf3c44a9-6258,,89e42d3c-072e-48d5-8691-0871cf84f336,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.4202312231063843,0.2706766724586487,0.5,0.42222222685813904,0.6145862936973572,0.6798878908157349,0.6502057313919067,0.5277777910232544,0.48463159799575806,0.552230954170227,0.5616494417190552,0.5925925970077515,0.5,0.4285714328289032,0.6034054160118103,4626.0,500.0,1754007265.5000136,100.0,1.927409398192747e-08,900.0,0.2,cls_token,,,,,,,,,,,,,
7245998081.38803-b4cc871d-277b,dinov2_frozen_mixed_contrasts_2025-07-31_22-57-04,finished,2025-07-31T22:57:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts/runs/7245998081.38803-b4cc871d-277b,,02b7289b-ed38-4a28-b316-5618ccb8044e,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1,False,0,True,False,full,True,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,False,epochwise,,True,0.5,0.6273503303527832,0.6616541147232056,0.5263158082962036,0.26875001192092896,0.8246597647666931,0.5872762203216553,0.6337448358535767,0.5185185074806213,0.5123152732849121,0.6191250085830688,0.5725977420806885,0.546296238899231,0.5,0.4285714328289032,0.5925726294517517,5036.0,500.0,1754007682.3372126,100.0,1.927409398192747e-08,900.0,,mean,facebook/dinov2-base,mean,,,,,,,,,,,
7245998068.29477-0c8e2fc4-a6ae,dinov2_pretrained_mixed_contrasts_2025-07-31_22-57-04,finished,2025-07-31T22:57:27Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts/runs/7245998068.29477-0c8e2fc4-a6ae,,0a92aaaf-8849-439c-9c72-9836a8c6f022,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1,False,0,True,False,full,False,0.1,2,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,True,epochwise,,True,0.5,0.7019551992416382,0.7218044996261597,0.5,0.42222222685813904,0.61527419090271,0.5040969252586365,0.49176955223083496,0.5,0.4285714328289032,0.6206077337265015,0.5991207361221313,0.555555522441864,0.5,0.4285714328289032,0.5953473448753357,10005.0,500.0,1754012651.6483598,100.0,1.927409398192747e-08,1800.0,,mean,facebook/dinov2-base,mean,,,,,,,,,,,
7245998016.39191-94f38190-0258,resenc_time_conditioned_pretrained_mixed_contrasts_2025-07-31_22-57-00,finished,2025-07-31T22:57:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts/runs/7245998016.39191-94f38190-0258,,6a584bbc-f5ea-413f-8e25-dc5777e4ea68,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1,False,0,True,False,full,False,0.1,2,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.5,0.5662295818328857,0.5263158082962036,0.5,0.42222222685813904,0.662136435508728,0.8882478475570679,0.9074074029922484,0.7962962985038757,0.8074866533279419,0.4294832646846771,0.5425142049789429,0.49074071645736694,0.4166666567325592,0.3846153914928436,1.0456762313842771,16902.0,1000.0,1754019556.6496956,200.0,3.8076210902182585e-09,3600.0,,cls_token,,,256.0,0.5,False,64.0,,,,,,,
7245998029.62045-0870499b-bee6,resenc_multimodal_mm_mdae_pretrained_pretrained_mixed_contrasts_2025-07-31_22-57-18,finished,2025-07-31T22:57:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts/runs/7245998029.62045-0870499b-bee6,,7aee882d-1fc9-46c8-8d1b-7df5738f7080,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.2,0.6025000810623169,0.6165413856506348,0.5,0.42222222685813904,0.6369656324386597,0.9123060703277588,0.9403291940689088,0.7962962985038757,0.8074866533279419,0.39531469345092773,0.4582604765892029,0.3240740895271301,0.5277777910232544,0.5213675498962402,0.9427319169044496,7097.0,500.0,1754009761.3499827,100.0,1.927409398192747e-08,900.0,,,,,,,,,,,,,,,
7245998055.47095-f467f3d7-20b4,resenc_pretrained_mixed_contrasts_2025-07-31_22-57-17,finished,2025-07-31T22:57:50Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts/runs/7245998055.47095-f467f3d7-20b4,,7d15d29d-9933-42f0-9e48-1912cd393929,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,False,0.2,0.45101621747016907,0.31578946113586426,0.5,0.42222222685813904,0.6081785559654236,0.9299805164337158,0.9228395223617554,0.75,0.7948718070983887,0.4574524462223053,0.6040267944335938,0.6018518209457397,0.4722222089767456,0.4146341383457184,0.5926540493965149,7293.0,500.0,1754009963.9457452,100.0,1.927409398192747e-08,900.0,,,,,,,,,,,,,,,
7245998042.43607-218179c8-daa1,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-07-31_22-57-18,finished,2025-07-31T22:57:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts/runs/7245998042.43607-218179c8-daa1,,4ae262b9-ee75-42bb-a347-c84e3a1e7f0d,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,False,0.2,0.6281400322914124,0.6616541147232056,0.5,0.42222222685813904,0.6571371555328369,0.926190972328186,0.9475308656692504,0.8611111044883728,0.8678898811340332,0.3629734218120575,0.5965827703475952,0.5,0.5277777910232544,0.5213675498962402,0.7370525002479553,15112.0,1000.0,1754017785.466453,200.0,3.8076210902182585e-09,1800.0,,,,,,,,,,,,,,,
7245998107.29500-0093c1a0-7a94,brainiac_scratch_mixed_contrasts_2025-07-31_23-01-34,failed,2025-07-31T23:02:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts/runs/7245998107.29500-0093c1a0-7a94,,866af48f-538c-45f6-b7cc-a0820dadaf42,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,False,epochwise,,True,0.0,,,,,,,,,,,,,,,,34.0,0.0,1754002950.0828772,,2.380952380952381e-06,0.0,0.2,cls_token,,,,,,,,,,,,,
7245998121.01628-d48850ac-bd2c,brainiac_pretrained_mixed_contrasts_2025-07-31_23-01-34,failed,2025-07-31T23:02:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts/runs/7245998121.01628-d48850ac-bd2c,,a6e1ad6d-1901-4dcc-99fb-2da5605013d3,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,1,10,False,False,pfi_1year,True,power,3,False,2,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,,,,,,,,,,,,,,,,33.0,0.0,1754002949.3725946,,2.380952380952381e-06,0.0,0.2,cls_token,,,,,,,,,,,,,
