run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7246062603.02537-8800e96a-6f10,brainiac_pretrained_swi_2025-07-31_04-55-43,finished,2025-07-31T04:56:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246062603.02537-8800e96a-6f10,,b761782a-4127-4482-93be-189f52cb65d3,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,4,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.7078701257705688,0.7411477565765381,0.5,0.4406779706478119,0.5845517516136169,0.579250693321228,0.5858182907104492,0.5220110416412354,0.49706533551216125,0.5814501643180847,0.6282271146774292,0.6691403388977051,0.5,0.4399999976158142,0.6392412185668945,8434.0,500.0,1753946199.144863,100.0,7.709637592770997e-09,7400.0,,,,,,,,,,,,,,,,,,,,,,,,,
7246062109.98892-25929039-447f,dinov2_frozen_swi_2025-07-31_05-08-57,failed,2025-07-31T05:09:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246062109.98892-25929039-447f,,25914e9b-0138-488a-82bd-258aa93423e7,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,4,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,True,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,mean,,True,0.5,,,,,,,,,,,,,,,,541.0,,,,,,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,
7246062448.68732-cc255684-8f9d,brainiac_scratch_swi_2025-07-31_05-09-48,finished,2025-07-31T05:10:23Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246062448.68732-cc255684-8f9d,,e2ebc319-08fd-45f6-9244-d8d64af7dbe1,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,4,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,,True,0.0,0.5978374481201172,0.6382783651351929,0.5,0.4406779706478119,0.5714536309242249,0.676766037940979,0.7032575011253357,0.5,0.441904753446579,0.5603494644165039,0.5661921501159668,0.6144094467163086,0.551948070526123,0.5527930855751038,1.0537327527999878,8375.0,500.0,1753946997.9386394,100.0,7.709637592770997e-09,7400.0,,,,,,,,,,,,,,,,,,,,,,,,,
7246061821.06173-c798679f-1006,mri_core_frozen_swi_2025-07-31_05-10-02,failed,2025-07-31T05:10:36Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246061821.06173-c798679f-1006,,0a78c385-a6b7-47a2-9c18-f8b7ba995ff0,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,8,False,100,False,True,0,gpu,0.2,2,16,val,False,,4,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,,,,,,,,,,,,,,,,975.0,,,,,,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,,,,,,,,,,,,,
7246061516.28691-638cb581-de83,resenc_pretrained_swi_2025-07-31_05-13-25,finished,2025-07-31T05:14:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246061516.28691-638cb581-de83,,dfee5c3b-b567-4644-a740-7950c2ce6bde,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,4,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.5062591433525085,0.5170940160751343,0.5,0.4406779706478119,0.5829323530197144,0.7081624269485474,0.757702112197876,0.5,0.441904753446579,0.5512848496437073,0.563403844833374,0.5411255359649658,0.5,0.4399999976158142,0.5844652056694031,10837.0,500.0,1753949675.319332,100.0,7.709637592770997e-09,3700.0,,,,,,,,,,,,,,,,,,,,,,,,,
7246061665.64172-225ccda6-386d,mri_core_pretrained_swi_2025-07-31_05-15-45,finished,2025-07-31T05:16:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246061665.64172-225ccda6-386d,,26f6b050-48cd-4db3-86af-a06f413ba889,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,,4,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.4877011775970459,0.45970696210861206,0.5,0.4406779706478119,0.5830262899398804,0.5141189694404602,0.5003533363342285,0.5,0.441904753446579,0.5801880955696106,0.4927065968513489,0.4724798798561096,0.5,0.4399999976158142,0.5848080515861511,15754.0,500.0,1753954728.322972,100.0,7.709637592770997e-09,14700.0,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,,,,,,,,,,,,,,,
7246061370.23325-6c84d76a-6ad0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_swi_2025-07-31_11-02-32,finished,2025-07-31T05:22:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246061370.23325-6c84d76a-6ad0,,4b37dd7d-cc53-40b8-a2a7-7c84abd26a39,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,4,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-06,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.7159714102745056,0.7698413133621216,0.75,0.7250000238418579,0.5860700011253357,0.971506118774414,0.9703929424285888,0.954706072807312,0.9630935788154602,0.3792197108268738,0.7351019382476807,0.7816945314407349,0.7164502143859863,0.7279111742973328,0.5653592944145203,40969.0,1876.0,1753981450.8192914,200.0,3.8076210902182607e-10,7400.0,,,,,,,,,,,,,,,,,,,,,,,,,
7246061219.98367-b7b204d4-9a9a,resenc_multimodal_mm_mdae_pretrained_pretrained_swi_2025-07-31_05-32-37,finished,2025-07-31T05:33:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246061219.98367-b7b204d4-9a9a,,81300e5a-fc85-4505-a705-91d348d587ca,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,4,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.6806666851043701,0.7231379747390747,0.5393772721290588,0.535400927066803,0.6105327606201172,0.919361650943756,0.9318118095397948,0.8291760683059692,0.8545072078704834,0.4386061429977417,0.711634635925293,0.737786054611206,0.6060606241226196,0.625,0.5591232776641846,11310.0,500.0,1753951298.4210846,100.0,7.709637592770997e-09,3700.0,,,,,,,,,,,,,,,,,,,,,,,,,
7246061070.23812-12676e2a-9661,resenc_time_conditioned_pretrained_swi_2025-07-31_05-32-29,finished,2025-07-31T05:33:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246061070.23812-12676e2a-9661,,68976803-efea-4963-836c-e6e6a5b09800,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,4,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-06,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.6836928129196167,0.7313797473907471,0.6611721515655518,0.6583645939826965,0.5686368942260742,0.9936851859092712,0.99639630317688,0.9383126497268676,0.951943576335907,0.3586806356906891,0.6729623079299927,0.7149041891098022,0.6515151262283325,0.6695652008056641,0.6170981526374817,22241.0,1000.0,1753962237.2920065,200.0,3.8076210902182607e-10,29400.0,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,
7246055712.03786-59f64c70-8e57,brainmvp_pretrained_swi_2025-07-31_06-56-15,finished,2025-07-31T06:56:38Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246055712.03786-59f64c70-8e57,,469791ad-782b-4289-8ebe-c27477143eb8,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,4,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.6422845125198364,0.6852869987487793,0.5,0.4406779706478119,0.5860470533370972,0.5064213275909424,0.49378180503845215,0.5,0.441904753446579,0.5813678503036499,0.5101795196533203,0.4638218879699707,0.5,0.4399999976158142,0.5865263938903809,5867.0,500.0,1753950866.2169251,100.0,7.709637592770997e-09,7400.0,,,,,,,,,,,,,,,,,,,,,,,,,
