run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_token_aggregation_method,config_dropout_prob,config_use_brainiac_preprocessing,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_slice_aggregation,config_dinov2_model_name,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245977318.52443-979d87ee-31fb,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_04-41-18,finished,2025-08-01T04:41:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_flair/runs/7245977318.52443-979d87ee-31fb,,c90b42eb-3eca-4aae-9ba4-6ebcb7474bbc,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.8501815795898438,0.8543113470077515,0.7508680820465088,0.7524722814559937,0.6013364791870117,0.995924949645996,0.9958592653274536,0.9645732641220092,0.9654252529144288,0.3721388876438141,0.7635033130645752,0.7713110446929932,0.7248677015304565,0.7248677015304565,0.7067376375198364,22377.0,1000,1754045690.4691784,200,1.5230484360873043e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245976507.24300-efb21b2b-df06,resenc_time_conditioned_pretrained_flair_2025-08-01_06-12-52,finished,2025-08-01T04:54:36Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_flair/runs/7245976507.24300-efb21b2b-df06,,7e917840-503d-494f-9ce2-1a622d6500fd,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.811316967010498,0.8070023059844971,0.7181712985038757,0.7190476655960083,0.6082313656806946,0.9750142097473145,0.976141095161438,0.9291465282440186,0.9306953549385072,0.4038107395172119,0.746745228767395,0.7670488357543945,0.7076719999313354,0.7076719999313354,0.7246431112289429,25282.0,1156,1754049951.3007689,200,1.5230484360873043e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245974716.56167-1860a2a6-246f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_06-02-40,finished,2025-08-01T05:27:33Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_flair/runs/7245974716.56167-1860a2a6-246f,,4cbcd456-0525-4262-94cb-019226905d59,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.843720018863678,0.8509837985038757,0.7682291269302368,0.7627118825912476,0.5950863361358643,0.9478310346603394,0.9468927383422852,0.8645042777061462,0.866651177406311,0.46586084365844727,0.802777886390686,0.8130511045455933,0.7222222089767456,0.7230769395828247,0.6615440249443054,22849.0,1036,1754049918.1833222,200,1.5230484360873043e-09,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245973876.22361-e4dec159-54af,resenc_time_conditioned_pretrained_flair_2025-08-01_05-37-11,finished,2025-08-01T05:38:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_flair/runs/7245973876.22361-e4dec159-54af,,a335d287-ceec-41e6-9e4f-7698b2608318,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.7395986318588257,0.7829861044883728,0.7242476940155029,0.7097800970077515,0.6374351978302002,0.8892359137535095,0.8931282758712769,0.8106740117073059,0.8103821873664856,0.5256843566894531,0.7528978586196899,0.7574955821037292,0.7089947462081909,0.7083578109741211,0.6538029909133911,24665.0,1000,1754051383.4098368,200,1.5230484360873043e-09,70000,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245973013.64244-6b0d2992-71c6,brainiac_pretrained_flair_2025-08-01_05-53-28,finished,2025-08-01T05:53:50Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_flair/runs/7245973013.64244-6b0d2992-71c6,,90663fdd-aec8-4a4f-a45e-7e514ec8dc40,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,0.0,0.6230734586715698,0.6310763359069824,0.5815972089767456,0.5785714387893677,0.9899815917015076,0.8498437404632568,0.8470702171325684,0.7273982167243958,0.7282249927520752,0.5656935572624207,0.6277419328689575,0.643151044845581,0.6507936716079712,0.6507462859153748,1.152969241142273,9613.0,500,1754037242.2018597,100,3.854818796385494e-08,35000,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245972182.91353-3f956e25-e7c8,mri_core_pretrained_flair_2025-08-01_06-13-56,finished,2025-08-01T06:14:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_flair/runs/7245972182.91353-3f956e25-e7c8,,0cf8afbd-870d-4c4f-ada9-8881b09d737b,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.5427106618881226,0.5688657164573669,0.5,0.3139534890651703,0.7008323073387146,0.47822171449661255,0.4594794511795044,0.4543363153934479,0.3700000047683716,0.6955735683441162,0.4613763689994812,0.4216637313365936,0.5,0.3499999940395355,0.6921600103378296,18497.0,500,1754047362.8146448,100,3.854818796385494e-08,17500,,,False,,mean,,,12.0,768.0,4.0,12.0,512.0,224.0,16.0,mean,,,,,,,,,,,,,
7245971367.40792-dadbf6fb-d2df,brainmvp_pretrained_flair_2025-08-01_06-27-49,finished,2025-08-01T06:28:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_flair/runs/7245971367.40792-dadbf6fb-d2df,,7600aa62-754f-429c-b018-4d20816531b9,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.498084008693695,0.45818865299224854,0.5,0.3139534890651703,0.7501672506332397,0.55340975522995,0.5446777939796448,0.5178284049034119,0.40796321630477905,0.6879596710205078,0.45719629526138306,0.434303343296051,0.5,0.3499999940395355,0.7248117923736572,8418.0,500,1754038111.2371783,100,3.854818796385494e-08,8800,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245970577.56594-11e7419f-65ed,resenc_time_conditioned_pretrained_flair_2025-08-01_06-37-20,finished,2025-08-01T06:38:02Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_flair/runs/7245970577.56594-11e7419f-65ed,,a19047f7-6017-4c27-af50-7d1b0bb7b840,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.77472323179245,0.7916666865348816,0.5,0.35164836049079895,0.6894854307174683,0.6836190223693848,0.6905912160873413,0.6226133108139038,0.6227548122406006,0.6528325080871582,0.6600250005722046,0.6507936716079712,0.6216931343078613,0.5983582139015198,0.6583878993988037,25663.0,1000,1754055934.5771732,200,7.615242180436517e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245969744.63374-0d3acc31-f761,dinov2_pretrained_flair_2025-08-01_06-44-04,finished,2025-08-01T06:44:30Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_flair/runs/7245969744.63374-0d3acc31-f761,,a98feabc-b789-4888-b153-e28cf508a511,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,,0.5,0.8628159761428833,0.8605324029922485,0.5940393209457397,0.5372549295425415,0.6282688975334167,0.5043453574180603,0.492211401462555,0.531976044178009,0.492397665977478,0.6929634809494019,0.5656695365905762,0.5423280000686646,0.5,0.3499999940395355,0.6913145184516907,15888.0,500,1754046550.671858,100,3.854818796385494e-08,17500,,,,,mean,,True,,,,,,,,mean,facebook/dinov2-base,,,,,,,,,,,,
7245968930.82271-a499f453-c4bf,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_07-55-35,finished,2025-08-01T07:56:47Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_flair/runs/7245968930.82271-a499f453-c4bf,,bca7f988-e2c1-4199-ab74-20b10ae41078,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.8448978662490845,0.8417245149612427,0.7248263955116272,0.7203189134597778,0.593604564666748,0.9770768880844116,0.9763712882995604,0.931331992149353,0.9334595203399658,0.4157514274120331,0.7703714966773987,0.7639623880386353,0.6878306865692139,0.6884615421295166,0.7516373991966248,19326.0,1000,1754054330.9214523,200,7.615242180436517e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
