run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_token_aggregation_method,config_dropout_prob,config_use_brainiac_preprocessing,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_slice_aggregation,config_dinov2_model_name,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245977345.26604-18346909-f3b3,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_04-41-32,finished,2025-08-01T04:42:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1gd/runs/7245977345.26604-18346909-f3b3,,10e393e7-9de4-4350-b531-ebc2d775a9ee,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.8069839477539062,0.8107638359069824,0.7445023059844971,0.7461988925933838,0.6285964250564575,0.9951122999191284,0.9950376749038696,0.9637681245803832,0.9626960754394532,0.3731555044651031,0.6660459041595459,0.6910641193389893,0.6309523582458496,0.6307523250579834,0.8050562143325806,22478.0,1000,1754045806.383375,200,1.5230484360873043e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245976537.60637-48f53452-0bc4,resenc_time_conditioned_pretrained_t1gd_2025-08-01_04-50-23,crashed,2025-08-01T04:51:04Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1gd/runs/7245976537.60637-48f53452-0bc4,,6b5b2fd0-65f7-4d17-b066-6f96ec35dc0e,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,,,,,,0.5663350820541382,0.568076491355896,0.5489993095397949,0.5475358366966248,0.7090733647346497,0.6559609770774841,0.6694591045379639,0.5820105671882629,0.5454391837120056,0.6811824440956116,3276.0,85,1754027019.307646,16,1.7142857142857145e-05,1496,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245974747.20507-8fb6ab68-65a8,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_06-03-09,finished,2025-08-01T05:26:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1gd/runs/7245974747.20507-8fb6ab68-65a8,,fb7ebdca-e889-4c26-a243-994a75b5eedf,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.7780478000640869,0.7712674140930176,0.6533564925193787,0.6482458114624023,0.6573107242584229,0.9048773646354676,0.9064708352088928,0.817690372467041,0.8183854818344116,0.5147002935409546,0.7525615692138672,0.7586714029312134,0.6402116417884827,0.6397360563278198,0.6627986431121826,23342.0,1031,1754050399.4303992,200,1.5230484360873043e-09,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245973903.32577-7887b411-dcb3,resenc_time_conditioned_pretrained_t1gd_2025-08-01_06-03-10,finished,2025-08-01T05:38:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1gd/runs/7245973903.32577-7887b411-dcb3,,34ab0488-942b-4be2-9087-7c305faa8479,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.7585922479629517,0.7644675970077515,0.6996527910232544,0.6994305849075317,0.6335988640785217,0.8484396934509277,0.864471435546875,0.7996319532394409,0.7990550994873047,0.5537468791007996,0.7117592096328735,0.7239859104156494,0.6772487163543701,0.675000011920929,0.6528249979019165,24200.0,1001,1754051991.8497295,200,1.5230484360873043e-09,70000,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245973040.47839-81b37c3b-1992,brainiac_pretrained_t1gd_2025-08-01_05-53-30,finished,2025-08-01T05:53:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1gd/runs/7245973040.47839-81b37c3b-1992,,81df1ac9-331f-4f06-ac02-b51a95cc8bc4,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,0.0,0.6184176206588745,0.6304976940155029,0.48726850748062134,0.3742424249649048,0.7029539346694946,0.7745803594589233,0.7851719856262207,0.7122153043746948,0.7085334062576294,0.6126813888549805,0.5028575658798218,0.44811874628067017,0.5224867463111877,0.4294823408126831,0.6946634650230408,9602.0,500,1754037233.356819,100,3.854818796385494e-08,35000,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245972210.06661-5add29c5-dcfe,mri_core_pretrained_t1gd_2025-08-01_06-15-47,finished,2025-08-01T06:16:21Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1gd/runs/7245972210.06661-5add29c5-dcfe,,55f3c790-c878-4386-8f6f-355d81c18b54,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.5180556774139404,0.5309606790542603,0.5,0.35164836049079895,0.6909260153770447,0.4461560845375061,0.4147523641586304,0.4513457715511322,0.3842793107032776,0.6998498439788818,0.48813596367836,0.4682539701461792,0.5,0.3499999940395355,0.691256046295166,18557.0,500,1754047537.5456457,100,3.854818796385494e-08,17500,,,False,,mean,,,12.0,768.0,4.0,12.0,512.0,224.0,16.0,mean,,,,,,,,,,,,,
7245971401.43921-e074a9e7-e6cc,brainmvp_pretrained_t1gd_2025-08-01_06-20-19,finished,2025-08-01T06:20:45Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1gd/runs/7245971401.43921-e074a9e7-e6cc,,0f8ee8c6-57a2-4958-9adc-0dcb1125a2ba,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.5507814884185791,0.5144675970077515,0.5214120149612427,0.4189393818378449,0.6896803975105286,0.6734300851821899,0.6764928102493286,0.6195076704025269,0.6196779608726501,0.6605436205863953,0.5474594235420227,0.5298353433609009,0.5158730149269104,0.5153846144676208,0.7017351984977722,8288.0,500,1754037533.4763174,100,3.854818796385494e-08,8800,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245970605.91937-3f3f8a4b-9beb,resenc_time_conditioned_pretrained_t1gd_2025-08-01_06-33-16,finished,2025-08-01T06:34:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1gd/runs/7245970605.91937-3f3f8a4b-9beb,,9c8418b6-eb71-4a98-9940-e6095ef54422,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.7061336040496826,0.7239583730697632,0.5,0.3139534890651703,0.7144404649734497,0.7568912506103516,0.7657333612442017,0.7073844075202942,0.7028571367263794,0.6192306280136108,0.6677350997924805,0.6762198805809021,0.6375661492347717,0.632371187210083,0.6807858943939209,24487.0,1000,1754054526.7821906,200,7.615242180436517e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245968958.41048-f0267c54-e300,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_07-51-36,finished,2025-08-01T07:52:11Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1gd/runs/7245968958.41048-f0267c54-e300,,49ba49c6-5815-4b0d-ac5d-bd4f135208af,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.793813943862915,0.8172743320465088,0.7511574029922485,0.7457627058029175,0.6186057925224304,0.9210188984870912,0.9228203296661376,0.8447204828262329,0.8447204828262329,0.49708056449890137,0.7428853511810303,0.742504358291626,0.6838624477386475,0.6829268336296082,0.6958197355270386,18933.0,1000,1754053664.5260377,200,7.615242180436517e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245918572.46482-a170f84f-b128,resenc_pretrained_t1gd_2025-08-01_21-08-15,finished,2025-08-01T21:09:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1gd/runs/7245918572.46482-a170f84f-b128,,07b65834-36ee-4fce-b453-c6193ff39478,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.8002045154571533,0.8127893209457397,0.6825810074806213,0.6817500591278076,0.6332802772521973,0.8696545362472534,0.8844194412231445,0.820335865020752,0.8211696147918701,0.5397116541862488,0.7130168080329895,0.7357436418533325,0.6812169551849365,0.675000011920929,0.644513726234436,18966.0,1000,1754101529.4965358,200,4.5691453082619125e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
