run_id,run_name,state,created_at,url,tags,group,user,metric__runtime,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim
7245378463.61504-8b9a2019-1dcf,dinov2_fb_pretrained_multi_t1_t1gd_t2_flair_2025-08-08_02-54-21,failed,2025-08-08T02:54:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245378463.61504-8b9a2019-1dcf,,d1223d87-3d0f-4260-ada8-d89817c62b95,t-jiachentu,1124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245191407.93311-2893ecea-34e9,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_06-57-44,finished,2025-08-10T06:58:03Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245191407.93311-2893ecea-34e9,,948c17e4-b0be-4b87-a8d7-cd9cdeede22f,t-jiachentu,122939.0,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,gtr_status,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.5167770385742188,0.4997023940086365,0.5,0.3723404109477997,0.682164192199707,0.6160692572593689,0.6140642166137695,0.5,0.3727598488330841,0.6776115894317627,0.5400511026382446,0.5314009785652161,0.5,0.3709677457809448,1.105675458908081,1000.0,1754932016.4429045,200.0,4.5691453082619125e-09,70000.0,,,,
7245191230.20246-b1106ce7-8d26,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-08-10_07-00-53,finished,2025-08-10T07:01:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245191230.20246-b1106ce7-8d26,,ff8ea48d-d40b-4457-9979-dfe20fdc1e36,t-jiachentu,122684.0,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,gtr_status,False,power,3.0,False,1.0,True,epochwise,cls_token,,True,0.0,0.4954568147659302,0.44776785373687744,0.5,0.3723404109477997,0.8841454386711121,0.6056638956069946,0.6150460243225098,0.5,0.3727598488330841,0.6720031499862671,0.5617045164108276,0.5495169162750244,0.5,0.3709677457809448,0.7930341362953186,1000.0,1754931954.743883,200.0,4.5691453082619125e-09,70000.0,,,,
7245190851.44906-3649727c-2cfa,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-06-34,finished,2025-08-10T07:06:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245190851.44906-3649727c-2cfa,,43288c2c-2a8d-43c7-9555-b534887d9c87,t-jiachentu,29042.0,False,0,Classification,200.0,False,brainmvp,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,gtr_status,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.5234494805335999,0.5345237851142883,0.5,0.3723404109477997,0.7319498062133789,0.7804300785064697,0.7885292768478394,0.7084574699401855,0.7137777805328369,0.6013513803482056,0.574348509311676,0.5597826242446899,0.5534420609474182,0.5207100510597229,0.7212427854537964,1000.0,1754838655.722951,200.0,4.5691453082619125e-09,17600.0,,,,
7245190236.93355-d77a716e-24f9,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-17-25,crashed,2025-08-10T07:17:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245190236.93355-d77a716e-24f9,,16c04ae7-4c53-4380-857f-40213ef48f67,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245190028.73160-21c626af-8e6e,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-20-47,failed,2025-08-10T07:21:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245190028.73160-21c626af-8e6e,,d3c67159-509d-446d-ac9c-7989ab86527a,t-jiachentu,1137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245189427.30998-45390783-87e1,mri_core_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-25-29,crashed,2025-08-10T07:26:20Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245189427.30998-45390783-87e1,,a5095d12-1043-47ab-94fa-d7c7bd2ca11b,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245189244.86604-d898b6af-745f,mri_core_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-28-20,failed,2025-08-10T07:29:23Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245189244.86604-d898b6af-745f,,04c5b97b-31b2-420b-89bb-1f8fbb8ebc07,t-jiachentu,1015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245188857.73933-8b29a33e-b688,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-41-03,finished,2025-08-10T07:41:40Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245188857.73933-8b29a33e-b688,,137a6727-0cd1-4e35-a4e3-e1271c320d17,t-jiachentu,34931.0,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,gtr_status,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.5642803907394409,0.5486607551574707,0.5,0.3723404109477997,0.681110143661499,0.6380271911621094,0.6851977109909058,0.63908451795578,0.6407593488693237,0.6514497399330139,0.5110708475112915,0.5143418312072754,0.5018115639686584,0.487142026424408,0.6941054463386536,900.0,1754846629.2537074,180.0,6.746583127731344e-09,7920.0,,,,
7245188373.18497-44ee758a-b8f3,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-42-37,finished,2025-08-10T07:43:12Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7245188373.18497-44ee758a-b8f3,,ddb03ffd-7da7-4092-bbbe-25b4c73c3255,t-jiachentu,39210.0,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,gtr_status,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.5280988812446594,0.5104166269302368,0.5104166865348816,0.39473971724510193,0.6959530711174011,0.7415421009063721,0.7548584938049316,0.6586538553237915,0.6614876985549927,0.6194807887077332,0.6044942140579224,0.6114130020141602,0.5987318754196167,0.5993150472640991,0.6818951964378357,900.0,1754851001.3082964,180.0,6.746583127731344e-09,7920.0,,,,
