run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_slice_aggregation,config_dinov2_model_name,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245992552.85006-706a66dc-b12e,brainiac_pretrained_flair_2025-08-01_00-27-57,finished,2025-08-01T00:28:20Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_flair/runs/7245992552.85006-706a66dc-b12e,,e5b07c2a-9da7-4758-b916-4dd72785f7c2,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.4426096379756927,0.418154776096344,0.48571428656578064,0.3655914068222046,2.328500986099243,0.6458656787872314,0.6481751203536987,0.589687168598175,0.5821229219436646,0.6584591865539551,0.474139541387558,0.4459540843963623,0.5153985619544983,0.5061688423156738,0.9567710757255554,9654.0,500.0,1754017752.8951206,100.0,1.927409398192747e-08,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245992502.24417-c85fc940-0f40,brainiac_scratch_flair_2025-08-01_00-28-10,finished,2025-08-01T00:28:35Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_flair/runs/7245992502.24417-c85fc940-0f40,,17d573f5-ba0b-4faa-82f1-94b8d51c4397,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,cls_token,,True,0.0,0.47765564918518066,0.45550596714019775,0.5,0.3723404109477997,0.7230820059776306,0.6476069688796997,0.6613285541534424,0.5322995781898499,0.4674185514450073,0.6569847464561462,0.5636320114135742,0.5606883764266968,0.5,0.3709677457809448,0.687379777431488,9634.0,500.0,1754017747.7324865,100.0,1.927409398192747e-08,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245992445.24078-1c05927a-f754,mri_core_pretrained_flair_2025-08-01_00-28-16,finished,2025-08-01T00:29:29Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_flair/runs/7245992445.24078-1c05927a-f754,,1dfaa716-9e91-46a0-b1a3-1368bb63ff23,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.4779507517814636,0.45744046568870544,0.5,0.3723404109477997,0.6820113062858582,0.4891908764839173,0.4703920483589173,0.5,0.3727598488330841,0.6843045949935913,0.5315766334533691,0.5303442478179932,0.5,0.3709677457809448,0.6827300786972046,17231.0,500.0,1754025399.5739765,100.0,1.927409398192747e-08,17500.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,mean,,,,,,,,,,,,,,,,
7245992166.16135-c595f0b2-abee,resenc_pretrained_flair_2025-08-01_00-29-07,finished,2025-08-01T00:29:44Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_flair/runs/7245992166.16135-c595f0b2-abee,,a03603d7-43a1-4adc-b52d-940659c059b5,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.5139731168746948,0.48839282989501953,0.5,0.3723404109477997,0.6821835041046143,0.581263542175293,0.5930390357971191,0.5,0.3727598488330841,0.6756871938705444,0.5369333028793335,0.49637681245803833,0.5,0.3709677457809448,0.6864153146743774,11238.0,500.0,1754019421.5097363,100.0,1.927409398192747e-08,4400.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245992106.19787-af07305e-3099,dinov2_pretrained_flair_2025-08-01_02-13-54,finished,2025-08-01T00:31:44Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_flair/runs/7245992106.19787-af07305e-3099,,152ecc04-5b28-44e3-86cb-ba2f5e7be9a4,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,mean,,True,0.5,0.4953263700008392,0.46339285373687744,0.5,0.28915661573410034,0.7194731831550598,0.5353348851203918,0.5254096388816833,0.5020653009414673,0.3962532579898834,0.6810977458953857,0.5203874111175537,0.50951087474823,0.5,0.3709677457809448,0.6828120350837708,19008.0,686.0,1754027806.991298,100.0,1.927409398192747e-08,17500.0,,,,,,,,,mean,facebook/dinov2-base,,,,,,,,,,,,,,,
7245992053.16482-2e2a3664-6947,dinov2_frozen_flair_2025-08-01_00-31-28,finished,2025-08-01T00:31:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_flair/runs/7245992053.16482-2e2a3664-6947,,16d0c6e2-bed2-49c2-998f-53e8320f74cd,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,True,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,mean,,True,0.5,0.5526909828186035,0.5205357074737549,0.5136904716491699,0.41218864917755127,0.6804125905036926,0.5625984072685242,0.5777525901794434,0.5512256026268005,0.5457392334938049,0.6945589184761047,0.6198488473892212,0.5999395847320557,0.5271739363670349,0.4462962746620178,0.6753243207931519,8302.0,500.0,1754016614.1643648,100.0,1.927409398192747e-08,8800.0,,,,,,,,,mean,facebook/dinov2-base,,,,,,,,,,,,,,,
7245992330.13942-793f9530-3091,brainmvp_pretrained_flair_2025-08-01_00-32-22,finished,2025-08-01T00:32:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_flair/runs/7245992330.13942-793f9530-3091,,601e1b1d-acef-49b8-83b0-408d536b060c,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.5349145531654358,0.5339285731315613,0.5,0.3723404109477997,0.6800066828727722,0.5645628571510315,0.5680694580078125,0.4974268674850464,0.3830787241458893,0.6763918995857239,0.45543140172958374,0.4172705411911011,0.5004528760910034,0.45680472254753113,0.7108035087585449,7726.0,500.0,1754016094.8917563,100.0,1.927409398192747e-08,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245992383.76269-40372c04-aeb9,mri_core_frozen_flair_2025-08-01_00-32-27,finished,2025-08-01T00:33:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_flair/runs/7245992383.76269-40372c04-aeb9,,8887fb4d-82fb-4d1c-bdbd-ed949f0e3238,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.5162348747253418,0.5252975821495056,0.5,0.3723404109477997,0.681933581829071,0.5059196949005127,0.49180662631988525,0.5,0.3727598488330841,0.6824703216552734,0.445290744304657,0.3780193328857422,0.5,0.3709677457809448,0.6828864216804504,8875.0,500.0,1754017260.6213276,100.0,1.927409398192747e-08,8800.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,mean,,,,,,,,,,,,,,,,
7245991987.06816-1be17461-7020,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_00-33-22,finished,2025-08-01T00:34:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_flair/runs/7245991987.06816-1be17461-7020,,043e7c32-c771-4c02-9964-ba38f292c9d2,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.4809291958808899,0.4386904835700989,0.4392857253551483,0.4328682124614715,0.6997253894805908,0.9545570611953736,0.9552749395370485,0.8850216865539551,0.8845909833908081,0.46096155047416687,0.608223557472229,0.6056763529777527,0.5262681245803833,0.525960385799408,0.8002280592918396,20366.0,1000.0,1754028810.8815782,200.0,3.8076210902182585e-09,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245992269.96722-a230516c-e5a2,resenc_multimodal_mm_mdae_pretrained_pretrained_flair_2025-08-01_00-33-59,finished,2025-08-01T00:34:29Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_flair/runs/7245992269.96722-a230516c-e5a2,,824559b7-0344-4376-b8b0-d88c104a2f11,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.511356770992279,0.5062500238418579,0.5,0.3723404109477997,0.7216055989265442,0.5557504892349243,0.5698639154434204,0.5260360240936279,0.4726419746875763,0.6786078214645386,0.5963690876960754,0.5984299182891846,0.5,0.3709677457809448,0.6757838726043701,11044.0,500.0,1754019510.9056702,100.0,1.927409398192747e-08,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,
