run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_slice_aggregation,config_pretrained_checkpoint_path,config_dinov2_model_name,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245992540.41159-8eb62056-1d3a,brainiac_scratch_t1_2025-08-01_00-28-10,finished,2025-08-01T00:28:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t1/runs/7245992540.41159-8eb62056-1d3a,,c2ce7b62-a101-42f8-927a-cd6f4ae19fb7,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,cls_token,True,0.0,0.4997764825820923,0.49464285373687744,0.5,0.3723404109477997,0.6845589280128479,0.5655011534690857,0.5777864456176758,0.5,0.3727598488330841,0.6800678968429565,0.5190833806991577,0.4805253744125366,0.5,0.3709677457809448,0.6844469904899597,9624.0,500.0,1754017736.3481047,100.0,1.927409398192747e-08,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7245992489.34554-bfb089ef-0a02,mri_core_pretrained_t1_2025-08-01_00-28-04,finished,2025-08-01T00:29:10Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t1/runs/7245992489.34554-bfb089ef-0a02,,1c4ba7a3-c1c9-48a5-bcdb-f550197ca22e,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,mean,,0.5,0.5137822031974792,0.518750011920929,0.5,0.3723404109477997,0.6823755502700806,0.5042071342468262,0.48637256026268005,0.5,0.3727598488330841,0.6828457713127136,0.5329846143722534,0.5265700817108154,0.5,0.3709677457809448,0.6828951239585876,17327.0,500.0,1754025475.6359897,100.0,1.927409398192747e-08,17500.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,,,,,,,,,,,,,,,
7245992424.14217-36403017-84e8,mri_core_frozen_t1_2025-08-01_00-28-07,finished,2025-08-01T00:29:20Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t1/runs/7245992424.14217-36403017-84e8,,398aeb01-b19c-4b84-bede-120bfa9b40b6,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,mean,,0.5,0.5053389668464661,0.5107142925262451,0.5,0.3723404109477997,0.681888997554779,0.5059057474136353,0.4918743371963501,0.5,0.3727598488330841,0.6824813485145569,0.48835641145706177,0.46210747957229614,0.5,0.3709677457809448,0.68284672498703,9696.0,500.0,1754017855.6470945,100.0,1.927409398192747e-08,8800.0,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,,,,,,,,,,,,,,,
7245992205.20869-27741207-6ea6,resenc_pretrained_t1_2025-08-01_00-28-57,finished,2025-08-01T00:29:33Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t1/runs/7245992205.20869-27741207-6ea6,,da96b227-2fe0-4382-8897-ddf0a4cc7cae,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.5239985585212708,0.5300595164299011,0.5,0.3723404109477997,0.689833402633667,0.6601262092590332,0.7035989761352539,0.4998307228088379,0.38431069254875183,0.6565523147583008,0.5863426923751831,0.5487620830535889,0.5,0.3709677457809448,0.6884293556213379,11184.0,500.0,1754019356.2204416,100.0,1.927409398192747e-08,4400.0,,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,,,,,
7245992145.27348-0442a420-5288,dinov2_pretrained_t1_2025-08-01_00-29-42,finished,2025-08-01T00:30:04Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t1/runs/7245992145.27348-0442a420-5288,,23706e50-35cf-4dbc-b881-98d28977778f,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,mean,True,0.5,0.4967470467090606,0.49211305379867554,0.5,0.3723404109477997,0.6855101585388184,0.532956600189209,0.5232597589492798,0.5009480118751526,0.3903701603412628,0.6813493371009827,0.48522093892097473,0.42798912525177,0.5,0.3709677457809448,0.6828406453132629,13538.0,500.0,1754021741.5455024,100.0,1.927409398192747e-08,17500.0,,,,,,,,,mean,,facebook/dinov2-base,,,,,,,,,,,,,,,
7245992093.21434-d5d7c650-8877,dinov2_frozen_t1_2025-08-01_02-15-17,finished,2025-08-01T00:31:47Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t1/runs/7245992093.21434-d5d7c650-8877,,8224c762-54c4-4ab0-b0c0-5c3d416f6ac1,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,True,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.5677164793014526,0.5627975463867188,0.5351190567016602,0.5298123359680176,0.6886395812034607,0.5309980511665344,0.5354482531547546,0.5456392168998718,0.5359682440757751,0.7068300247192383,0.5830889940261841,0.5828803777694702,0.5588768124580383,0.5464784502983093,0.6893559694290161,14730.0,761.0,1754023633.9011772,100.0,1.927409398192747e-08,8800.0,,,,,,,,,mean,,facebook/dinov2-base,,,,,,,,,,,,,,,
7245992598.87611-096b8943-685c,brainiac_pretrained_t1_2025-08-01_00-32-23,finished,2025-08-01T00:32:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t1/runs/7245992598.87611-096b8943-685c,,a5192151-0f1c-45ac-9b1e-9401b587f4c4,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,cls_token,True,0.0,0.519682765007019,0.5165178775787354,0.5,0.3723404109477997,2.277392864227295,0.5340878963470459,0.5272040963172913,0.5,0.3727598488330841,0.68106609582901,0.523642361164093,0.5237016677856445,0.5,0.3709677457809448,0.6847682595252991,9522.0,500.0,1754017890.6188586,100.0,1.927409398192747e-08,35000.0,,,,,,,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,,,,
7245992040.05506-51f7b934-dd93,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_02-14-00,finished,2025-08-01T00:33:14Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t1/runs/7245992040.05506-51f7b934-dd93,,9dc4ef19-ee2e-4294-875c-def509ed0674,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.4771062433719635,0.4624999761581421,0.48571428656578064,0.3655914068222046,0.695081353187561,0.6544200778007507,0.6612608432769775,0.6089179515838623,0.6005753874778748,0.6562742590904236,0.5494496822357178,0.54347825050354,0.4886775016784668,0.487512469291687,0.6895796060562134,26554.0,1216.0,1754035468.0575578,200.0,3.8076210902182585e-09,8800.0,,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,
7245992317.15316-bfd5c4e1-862e,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-08-01_00-33-51,finished,2025-08-01T00:34:19Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t1/runs/7245992317.15316-bfd5c4e1-862e,,461f3d9e-81b7-4818-82e9-a93b2eec2185,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,False,epochwise,,,0.2,0.5149757862091064,0.4803571105003357,0.5252976417541504,0.3595394492149353,0.7113227844238281,0.6027289628982544,0.6158416867256165,0.5396126508712769,0.5090371370315552,0.6688907146453857,0.5187731385231018,0.5181159377098083,0.5403079986572266,0.5318089127540588,0.687233567237854,11014.0,500.0,1754019471.3592882,100.0,1.927409398192747e-08,35000.0,,,,,,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,
7245992256.88751-4358a6bf-0ac1,resenc_time_conditioned_pretrained_t1_2025-08-01_00-33-57,finished,2025-08-01T00:35:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gtr_status_single_t1/runs/7245992256.88751-4358a6bf-0ac1,,bb17e8d9-90b2-48e3-856a-d4cbd025af9f,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,gtr_status,True,power,3.0,False,1.0,True,epochwise,cls_token,,0.5,0.4746857881546021,0.41532737016677856,0.5,0.3723404109477997,0.6820945143699646,0.5300871133804321,0.5205342769622803,0.4975961446762085,0.37163373827934265,0.6811749339103699,0.47534817457199097,0.46150362491607666,0.5,0.3709677457809448,0.6834446787834167,20792.0,1000.0,1754029303.0407343,200.0,3.8076210902182585e-09,17600.0,,,,,,,,False,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,256.0,0.5,64.0,,,,,,,,,,,,
