run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_token_aggregation_method,config_dropout_prob,config_use_brainiac_preprocessing,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_slice_aggregation,config_dinov2_model_name,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245977115.27734-9a88a1b2-19b4,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_06-25-43,finished,2025-08-01T04:44:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1gd/runs/7245977115.27734-9a88a1b2-19b4,,dd101912-2d1b-48a9-82e9-1ca1a7bfef3b,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_18month,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.4996598362922669,0.49237260222435,0.5136319398880005,0.4903063774108886,0.7442414164543152,0.9373252391815186,0.9393525123596193,0.8444033265113831,0.8490021228790283,0.4652141034603119,0.6835843324661255,0.6905395984649658,0.6229180693626404,0.6244932413101196,0.6963293552398682,29029.0,1196.0,1754053055.1047883,200.0,1.5230484360873043e-09,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245976308.36928-9d041662-e119,resenc_time_conditioned_pretrained_t1gd_2025-08-01_04-53-50,finished,2025-08-01T04:55:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1gd/runs/7245976308.36928-9d041662-e119,,24435591-9fce-4213-b0a4-1de81f6a8ed5,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_18month,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.4703816771507263,0.44466084241867065,0.5,0.4010152220726013,0.6825790405273438,0.629039466381073,0.6583904027938843,0.5130434632301331,0.4292038083076477,0.6364281177520752,0.6758335828781128,0.6762158870697021,0.5,0.4030612111091614,0.6336675882339478,20486.0,1000.0,1754044591.4028127,200.0,1.5230484360873043e-09,17600.0,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245974518.73938-c71205c0-85f0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_05-26-56,finished,2025-08-01T05:27:50Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1gd/runs/7245974518.73938-c71205c0-85f0,,b60ee040-590b-4b42-9b7f-6af65ea2f387,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_18month,True,power,3.0,False,1.0,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5235872268676758,0.5034079551696777,0.5,0.4010152220726013,0.6666039824485779,0.6438107490539551,0.6973727941513062,0.6036077737808228,0.6069272756576538,0.6270028352737427,0.6195510029792786,0.6538974046707153,0.5224850177764893,0.507022500038147,0.6323310732841492,22069.0,1000.0,1754048135.8007903,200.0,1.5230484360873043e-09,70000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245973674.84549-b4af3ca7-397d,resenc_time_conditioned_pretrained_t1gd_2025-08-01_06-03-03,finished,2025-08-01T05:43:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1gd/runs/7245973674.84549-b4af3ca7-397d,,7b6bcdca-154c-42f4-8cff-7026065a390f,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_18month,True,power,3.0,False,1.0,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.44794148206710815,0.3956507444381714,0.5,0.4010152220726013,0.6567825078964233,0.5074253678321838,0.5010360479354858,0.5,0.4017094075679779,0.6568362712860107,0.5428742170333862,0.5489673614501953,0.5,0.4030612111091614,0.6519084572792053,24928.0,1000.0,1754053038.8456235,200.0,1.5230484360873043e-09,70000.0,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245972809.09764-b9a2a5bd-5cc3,brainiac_pretrained_t1gd_2025-08-01_06-03-25,finished,2025-08-01T06:03:48Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1gd/runs/7245972809.09764-b9a2a5bd-5cc3,,da64c706-3bd9-4b8f-a9c0-8deda8abceb2,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_18month,True,power,3.0,False,1.0,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,0.0,0.5345715880393982,0.5225576162338257,0.5,0.4010152220726013,0.6557265520095825,0.5385345816612244,0.5394449234008789,0.5,0.4017094075679779,0.6537023782730103,0.5542041063308716,0.5699533224105835,0.5,0.4030612111091614,0.6554615497589111,10278.0,500.0,1754038504.492226,100.0,3.854818796385494e-08,35000.0,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245971984.78222-b781ec8e-4185,mri_core_pretrained_t1gd_2025-08-01_06-17-20,finished,2025-08-01T06:17:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1gd/runs/7245971984.78222-b781ec8e-4185,,03aff195-2b6a-414a-8918-2c4e80cb1a94,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_18month,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.4710558652877808,0.4211295247077942,0.5,0.4010152220726013,0.6578206419944763,0.47981515526771545,0.4432007372379303,0.5,0.4017094075679779,0.6609119772911072,0.48409196734428406,0.4380412995815277,0.5,0.4030612111091614,0.6533175110816956,18598.0,500.0,1754047667.264937,100.0,3.854818796385494e-08,17500.0,,,False,,mean,,,12.0,768.0,4.0,12.0,512.0,224.0,16.0,mean,,,,,,,,,,,,,
7245971165.81083-25d3039d-33a6,brainmvp_pretrained_t1gd_2025-08-01_06-21-08,finished,2025-08-01T06:21:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1gd/runs/7245971165.81083-25d3039d-33a6,,47ee3292-90cd-464b-b92b-183c28891e03,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_18month,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.4691881537437439,0.3988964557647705,0.5,0.4010152220726013,0.6620253324508667,0.5925436019897461,0.6032562255859375,0.5043478012084961,0.4110179543495178,0.644956111907959,0.507644534111023,0.4776815474033356,0.5,0.4030612111091614,0.6692169904708862,6772.0,500.0,1754036075.6839757,100.0,3.854818796385494e-08,8800.0,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245970372.76725-0e7b41a9-aaee,resenc_time_conditioned_pretrained_t1gd_2025-08-01_06-33-29,finished,2025-08-01T06:34:10Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1gd/runs/7245970372.76725-0e7b41a9-aaee,,b3d7f95a-5004-4ab6-b6d3-be472f210de2,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_18month,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5302271246910095,0.4878286123275757,0.5,0.4010152220726013,0.6560354828834534,0.5113385319709778,0.5133395195007324,0.5,0.4017094075679779,0.6555191278457642,0.5365561246871948,0.5329780578613281,0.5,0.4030612111091614,0.6533583402633667,26989.0,1000.0,1754057035.9673524,200.0,7.615242180436517e-09,17600.0,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245969543.29626-420ae545-66e2,dinov2_pretrained_t1gd_2025-08-01_06-46-28,finished,2025-08-01T06:46:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1gd/runs/7245969543.29626-420ae545-66e2,,2999d7df-8621-4637-923f-536a3bedd715,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_18month,True,power,3.0,False,1.0,True,epochwise,,0.5,0.4898708760738373,0.4790652394294739,0.5,0.4010152220726013,0.6681243777275085,0.5273405313491821,0.5195930004119873,0.5,0.4017094075679779,0.6549697518348694,0.5498886108398438,0.5428048372268677,0.5,0.4030612111091614,0.6532762050628662,14555.0,500.0,1754045366.8452666,100.0,3.854818796385494e-08,17500.0,,,,,mean,,True,,,,,,,,mean,facebook/dinov2-base,,,,,,,,,,,,
7245918331.27799-fd9b1a62-2d7b,resenc_pretrained_t1gd_2025-08-01_20-59-23,finished,2025-08-01T20:59:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1gd/runs/7245918331.27799-fd9b1a62-2d7b,,dcc4719a-4f56-4ea8-bbf4-1fc1b1441d4c,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_18month,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.5484947562217712,0.5715676546096802,0.5,0.4010152220726013,0.6557474732398987,0.7091580629348755,0.7229046821594238,0.5,0.4017094075679779,0.6215323805809021,0.5498511791229248,0.523317813873291,0.5,0.4030612111091614,0.6616705060005188,23579.0,1000.0,1754105575.6035798,200.0,4.5691453082619125e-09,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
