run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_token_aggregation_method,config_dropout_prob,config_use_brainiac_preprocessing,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_slice_aggregation,config_dinov2_model_name,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245977031.38441-f992aeeb-785c,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_06-25-04,finished,2025-08-01T04:44:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_flair/runs/7245977031.38441-f992aeeb-785c,,a770eba9-9dca-4183-b085-332683b27df5,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_1year,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5644408464431763,0.541863203048706,0.5154775977134705,0.5153846144676208,0.7510260343551636,0.9770748615264891,0.9760547876358032,0.911605715751648,0.913347601890564,0.42522627115249634,0.6561652421951294,0.661556601524353,0.6111438274383545,0.6112957000732422,0.8497564792633057,25330.0,1211.0,1754049272.603417,200.0,1.5230484360873043e-09,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245976221.42013-4a59fc5d-acc8,resenc_time_conditioned_pretrained_flair_2025-08-01_04-56-04,finished,2025-08-01T04:57:14Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_flair/runs/7245976221.42013-4a59fc5d-acc8,,a16fa524-ee44-4e07-b798-f8b450655b8f,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_1year,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.607032060623169,0.6096698045730591,0.606574296951294,0.605425238609314,0.7698776125907898,0.8730214238166809,0.8887742757797241,0.7970715165138245,0.7993471622467041,0.534875214099884,0.7206749320030212,0.7172759771347046,0.637824296951294,0.637824296951294,0.6921840310096741,21544.0,1000.0,1754045775.1064155,200.0,1.5230484360873043e-09,17600.0,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245974437.63400-972344e3-a884,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_05-29-03,finished,2025-08-01T05:29:39Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_flair/runs/7245974437.63400-972344e3-a884,,2568739d-d754-4596-82f3-ecad953628c4,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_1year,True,power,3.0,False,1.0,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.6016682386398315,0.6173349022865295,0.5785672068595886,0.5726183652877808,0.7377796769142151,0.8095952272415161,0.8117793798446655,0.744349479675293,0.7454677820205688,0.5906364917755127,0.7075145244598389,0.7102005481719971,0.6723172068595886,0.6723172068595886,0.6975603103637695,22052.0,1000.0,1754048224.157984,200.0,1.5230484360873043e-09,70200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245973557.26244-8b4bb79e-8736,resenc_time_conditioned_pretrained_flair_2025-08-01_05-39-05,finished,2025-08-01T05:39:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_flair/runs/7245973557.26244-8b4bb79e-8736,,e8b772d4-c4e6-4631-808f-90b3fb68a5eb,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_1year,True,power,3.0,False,1.0,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5618404150009155,0.5554245114326477,0.5,0.3535911738872528,0.6899688839912415,0.7187512516975403,0.7464950084686279,0.7074488997459412,0.7055968642234802,0.6331469416618347,0.6327334642410278,0.6496167182922363,0.6127653121948242,0.6125542521476746,0.671485960483551,24708.0,1000.0,1754051494.8510113,200.0,1.5230484360873043e-09,70200.0,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245972725.72522-0eb024de-6859,brainiac_pretrained_flair_2025-08-01_06-04-22,finished,2025-08-01T06:04:45Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_flair/runs/7245972725.72522-0eb024de-6859,,536a41c7-16c4-4fec-ade5-02f512a0340c,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_1year,True,power,3.0,False,1.0,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,0.0,0.5389273166656494,0.5144457817077637,0.5,0.3535911738872528,0.6937602758407593,0.7225868701934814,0.7297890186309814,0.6667158007621765,0.6656460762023926,0.6398847699165344,0.5566552877426147,0.5722287893295288,0.4960200488567352,0.4681818187236786,0.6887212991714478,10364.0,500.0,1754038647.058317,100.0,3.854818796385494e-08,35100.0,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245971897.40817-bce87563-1df2,mri_core_pretrained_flair_2025-08-01_06-11-41,finished,2025-08-01T06:12:17Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_flair/runs/7245971897.40817-bce87563-1df2,,80ee7e93-7379-4778-8de4-8b1b9eff90da,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_1year,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.5306624174118042,0.5026532411575317,0.5,0.3535911738872528,0.6903104186058044,0.5483759641647339,0.5513954162597656,0.5091882944107056,0.43189430236816406,0.687745213508606,0.4898289740085602,0.4697818160057068,0.5,0.3535911738872528,0.6904167532920837,19607.0,500.0,1754048344.6188636,100.0,3.854818796385494e-08,17600.0,,,False,,mean,,,12.0,768.0,4.0,12.0,512.0,224.0,16.0,mean,,,,,,,,,,,,,
7245971078.03957-18419739-0c35,brainmvp_pretrained_flair_2025-08-01_06-27-18,finished,2025-08-01T06:27:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_flair/runs/7245971078.03957-18419739-0c35,,c4104e0d-0d65-47b2-8398-80fa7df31d97,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_1year,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.5300962924957275,0.5094339847564697,0.484375,0.3463687002658844,0.6904239058494568,0.6335489749908447,0.6490598917007446,0.5458431839942932,0.4876217842102051,0.6755608916282654,0.5211825966835022,0.48275354504585266,0.4970518946647644,0.3948276042938232,0.6989222764968872,8366.0,500.0,1754038028.1624303,100.0,3.854818796385494e-08,8800.0,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245970294.44772-d2f01cc8-de2e,resenc_time_conditioned_pretrained_flair_2025-08-01_06-35-01,finished,2025-08-01T06:35:40Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_flair/runs/7245970294.44772-d2f01cc8-de2e,,e519551c-4e4a-47f8-a0cb-a1f5914f001d,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_1year,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5874001979827881,0.6058372259140015,0.5,0.3535911738872528,0.6902911067008972,0.680164635181427,0.6849285364151001,0.5873624086380005,0.5605379343032837,0.6686227321624756,0.6354361772537231,0.6325176954269409,0.557193398475647,0.5374001264572144,0.6796453595161438,25618.0,1000.0,1754055755.4608724,200.0,7.615242180436517e-09,17600.0,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245969452.01410-f033c69f-4726,dinov2_pretrained_flair_2025-08-01_06-49-46,finished,2025-08-01T06:50:12Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_flair/runs/7245969452.01410-f033c69f-4726,,3d46e246-eaf2-4fef-9c99-e16ca821b99a,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_1year,True,power,3.0,False,1.0,True,epochwise,,0.5,0.4943804144859314,0.4814268946647644,0.5,0.3535911738872528,0.6922516226768494,0.5293445587158203,0.5185075998306274,0.5176395177841187,0.4559858739376068,0.6901965737342834,0.5886325836181641,0.6115860939025879,0.5,0.3535911738872528,0.6902660727500916,15199.0,500.0,1754046209.0820544,100.0,3.854818796385494e-08,17600.0,,,,,mean,,True,,,,,,,,mean,facebook/dinov2-base,,,,,,,,,,,,
7245968637.67936-2bc8fff9-f518,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_08-27-38,finished,2025-08-01T08:28:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_flair/runs/7245968637.67936-2bc8fff9-f518,,dbedb87c-146b-4299-b567-b25f86393ecf,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_1year,True,power,3.0,False,1.0,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.6194887161254883,0.6123230457305908,0.5672169923782349,0.567307710647583,0.680298924446106,0.8421922922134399,0.8509892821311951,0.7703911066055298,0.7725929021835327,0.5631468892097473,0.6671682596206665,0.661556601524353,0.6205778121948242,0.6205778121948242,0.7291035652160645,18933.0,1000.0,1754055865.0922766,200.0,7.615242180436517e-09,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
