run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_token_aggregation_method,config_dropout_prob,config_use_brainiac_preprocessing,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_slice_aggregation,config_dinov2_model_name,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245977044.28510-831140a9-4715,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_06-25-46,finished,2025-08-01T04:44:55Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t2/runs/7245977044.28510-831140a9-4715,,0aa3c9d6-3f23-484d-aaee-e5cca82989c5,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5978125333786011,0.6073113083839417,0.5604363083839417,0.5473352074623108,0.734318733215332,0.9872190356254578,0.9866352081298828,0.9366647005081176,0.9392157793045044,0.40468329191207886,0.6094554662704468,0.6017098426818848,0.5437794923782349,0.5436750650405884,0.8903495669364929,25529.0,1199,1754049551.9735892,200,1.5230484360873043e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245976234.65484-4802d6f8-bee7,resenc_time_conditioned_pretrained_t2_2025-08-01_04-54-40,finished,2025-08-01T04:55:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t2/runs/7245976234.65484-4802d6f8-bee7,,e9192491-7d69-4a55-9833-f08976e6231b,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5858039855957031,0.5896226167678833,0.6046580076217651,0.6038076877593994,0.7307286262512207,0.9125066995620728,0.9131289720535278,0.8463050127029419,0.8472120761871338,0.504900336265564,0.693313717842102,0.6872051954269409,0.6736438274383545,0.674241840839386,0.7402161955833435,20642.0,1000,1754044762.171468,200,1.5230484360873043e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245974451.66958-9a9ec615-ab1f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_05-29-16,finished,2025-08-01T05:29:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t2/runs/7245974451.66958-9a9ec615-ab1f,,f876e230-8ddb-4809-a1f0-0fd78116fe4d,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5553300380706787,0.5620577335357666,0.4921875,0.3499999940395355,0.6912104487419128,0.8278920650482178,0.8385088443756104,0.7803655862808228,0.7822526693344116,0.5705526471138,0.5743408203125,0.5893278121948242,0.5610259771347046,0.5608948469161987,0.7691255211830139,21990.0,1000,1754048177.204086,200,1.5230484360873043e-09,70200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245973587.21782-75cc4dd6-adb4,resenc_time_conditioned_pretrained_t2_2025-08-01_05-41-05,finished,2025-08-01T05:42:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t2/runs/7245973587.21782-75cc4dd6-adb4,,636cac1c-6801-4146-8554-830805248480,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.6008704900741577,0.6207252740859985,0.5,0.3535911738872528,0.6885446906089783,0.823758602142334,0.831335186958313,0.7427279949188232,0.7443046569824219,0.5777769088745117,0.5855841040611267,0.588738203048706,0.5405365228652954,0.5404283404350281,0.7478758692741394,24852.0,1000,1754051775.1229606,200,1.5230484360873043e-09,70200,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245972738.78300-8606f0b4-0f24,brainiac_pretrained_t2_2025-08-01_06-06-24,finished,2025-08-01T06:06:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t2/runs/7245972738.78300-8606f0b4-0f24,,31ea6f5f-be63-4505-b015-dc3b6c064ae3,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,0.0,0.5084023475646973,0.4917452931404114,0.4799528419971466,0.4681818187236786,0.7443938255310059,0.7276399731636047,0.7434158325195312,0.6773290634155273,0.6781212091445923,0.6388934254646301,0.5206443071365356,0.4902712106704712,0.4921875,0.3499999940395355,0.7935848236083984,10652.0,500,1754039059.670143,100,3.854818796385494e-08,35100,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245971910.85406-12f0f25b-a55b,mri_core_pretrained_t2_2025-08-01_06-19-03,finished,2025-08-01T06:19:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t2/runs/7245971910.85406-12f0f25b-a55b,,97b2adfe-5cc6-4ef3-af93-6f1b96a7920b,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.4924323558807373,0.48422759771347046,0.5,0.3535911738872528,0.6901821494102478,0.5438747406005859,0.5484800934791565,0.5097287893295288,0.43550294637680054,0.6880398988723755,0.4772644639015198,0.44590210914611816,0.5,0.3535911738872528,0.6903989315032959,22699.0,500,1754051879.4526649,100,3.854818796385494e-08,17600,,,False,,mean,,,12.0,768.0,4.0,12.0,512.0,224.0,16.0,mean,,,,,,,,,,,,,
7245971091.44714-eebda853-3a8e,brainmvp_pretrained_t2_2025-08-01_06-21-01,finished,2025-08-01T06:21:35Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t2/runs/7245971091.44714-eebda853-3a8e,,448e0a21-d7c7-460d-8596-760ae27839c8,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.5058258175849915,0.5061910152435303,0.5,0.3535911738872528,0.7594879269599915,0.6913084983825684,0.7113633155822754,0.6552181839942932,0.653704822063446,0.6440892219543457,0.5652434229850769,0.5350825786590576,0.5061910152435303,0.34122800827026367,0.8688485622406006,6874.0,500,1754036169.0077662,100,3.854818796385494e-08,8800,,,,,cls_token,0.2,True,,,,,,,,,,,,,,,,,,,,,
7245970307.30607-2e739ad3-d55a,resenc_time_conditioned_pretrained_t2_2025-08-01_06-35-12,finished,2025-08-01T06:35:58Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t2/runs/7245970307.30607-2e739ad3-d55a,,b9c433d8-84f4-4659-8411-237598be2d22,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.585860013961792,0.5741450786590576,0.5,0.3535911738872528,0.6902410387992859,0.7318674921989441,0.7493939399719238,0.7044516801834106,0.7056159377098083,0.6261566877365112,0.6129680275917053,0.6223466396331787,0.567511796951294,0.5639751553535461,0.6977517604827881,28025.0,1000,1754058181.2014666,200,7.615242180436517e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245969465.35838-44b1c25e-9343,dinov2_pretrained_t2_2025-08-01_06-53-22,finished,2025-08-01T06:53:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t2/runs/7245969465.35838-44b1c25e-9343,,e0340de3-bf5e-4a81-a5ca-cf6aa46293f5,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,,0.5,0.5612722039222717,0.5442216992378235,0.5,0.3535911738872528,0.7086755633354187,0.5335301160812378,0.5189006328582764,0.5244693756103516,0.469038188457489,0.6898466944694519,0.5755365490913391,0.5989091992378235,0.5,0.3535911738872528,0.6903369426727295,15198.0,500,1754046425.7286646,100,3.854818796385494e-08,17600,,,,,mean,,True,,,,,,,,mean,facebook/dinov2-base,,,,,,,,,,,,
7245968650.39416-49623d25-a760,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_08-28-12,finished,2025-08-01T08:29:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_1year_single_t2/runs/7245968650.39416-49623d25-a760,,4aad33f7-7170-4887-9222-1654a6edb215,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_1year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.632075846195221,0.6465212106704712,0.5857900977134705,0.5835667848587036,0.6959527134895325,0.9186294674873352,0.9162408709526062,0.8441430330276489,0.8463641405105591,0.4999329745769501,0.6385514736175537,0.6415094137191772,0.5906544923782349,0.5906350016593933,0.7546342611312866,18955.0,1000,1754055917.769503,200,7.615242180436517e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
