run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7246044526.03734-bce93ac2-ed06,brainiac_pretrained_flair_2025-07-31_10-02-21,finished,2025-07-31T10:02:47Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_flair/runs/7246044526.03734-bce93ac2-ed06,,d2561fef-a110-4c21-8d7a-15b360e5d954,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.5442463755607605,0.5682624578475952,0.4893617033958435,0.43809524178504944,0.598336935043335,0.5440858602523804,0.576783299446106,0.5052501559257507,0.45707982778549194,0.5749369859695435,0.4834643006324768,0.46684587001800537,0.4838709533214569,0.4347825944423675,0.6462482810020447,11819.0,500.0,1753967984.7106998,100.0,7.709637592770997e-09,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,
7246044367.84108-89dbf57c-547a,dinov2_frozen_flair_2025-07-31_10-04-41,finished,2025-07-31T10:05:09Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_flair/runs/7246044367.84108-89dbf57c-547a,,b2520227-a3ac-493d-acf3-687358510c73,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,True,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,False,epochwise,mean,,True,0.5,0.5512285828590393,0.587544322013855,0.5,0.4433962404727936,0.5790903568267822,0.5207333564758301,0.5368519425392151,0.4834923446178436,0.4580252468585968,0.6162379384040833,0.5156390070915222,0.5031362175941467,0.5,0.44285714626312256,0.5823779106140137,10700.0,500.0,1753967007.8481672,100.0,7.709637592770997e-09,8800.0,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,
7246044421.47760-2b2c4eb9-2fb7,brainmvp_pretrained_flair_2025-07-31_10-06-06,finished,2025-07-31T10:06:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_flair/runs/7246044421.47760-2b2c4eb9-2fb7,,eee83d25-7c0d-45ed-94b4-293bbbf5a352,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.5514920353889465,0.5680407881736755,0.5,0.4433962404727936,0.5788083672523499,0.5848202705383301,0.6072744727134705,0.5,0.4435611963272095,0.5677685737609863,0.5772610902786255,0.593861997127533,0.5,0.44285714626312256,0.5797544717788696,8481.0,500.0,1753964872.945342,100.0,7.709637592770997e-09,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,
7246044472.57000-087573e4-8048,brainiac_scratch_flair_2025-07-31_10-06-24,finished,2025-07-31T10:06:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_flair/runs/7246044472.57000-087573e4-8048,,e1654981-fa2a-41a1-983f-b54ac51fd809,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,,True,0.0,0.5518463253974915,0.5921986103057861,0.5,0.4433962404727936,0.58082115650177,0.5724096298217773,0.6477611064910889,0.5,0.4435611963272095,0.5663216710090637,0.4935448169708252,0.4592294096946716,0.5,0.44285714626312256,0.589545726776123,11181.0,500.0,1753967588.4867256,100.0,7.709637592770997e-09,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,
7246044313.78955-5ae51178-e2cb,dinov2_pretrained_flair_2025-07-31_10-06-35,finished,2025-07-31T10:07:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_flair/runs/7246044313.78955-5ae51178-e2cb,,5f037991-8d86-4e03-9c3c-7777d4791e91,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,mean,,True,0.5,0.555994987487793,0.6110372543334961,0.5,0.4433962404727936,0.5919815301895142,0.5163024663925171,0.533217191696167,0.5,0.4435611963272095,0.5768964290618896,0.5230572819709778,0.5378584265708923,0.5,0.44285714626312256,0.5773780941963196,14778.0,500.0,1753971197.4715607,100.0,7.709637592770997e-09,17500.0,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,
7246044260.99412-060ef382-3e74,mri_core_frozen_flair_2025-07-31_10-55-38,finished,2025-07-31T10:07:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_flair/runs/7246044260.99412-060ef382-3e74,,dd65521d-372e-40f2-960c-08e95663acc3,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,False,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.5027707815170288,0.5084220170974731,0.5,0.4433962404727936,0.5759406089782715,0.5165788531303406,0.516482412815094,0.5,0.4435611963272095,0.575410783290863,0.4967165887355805,0.4791666567325592,0.5,0.44285714626312256,0.5772780776023865,12880.0,601.0,1753970060.7363212,100.0,7.709637592770997e-09,8800.0,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,,,,,,,,,,,,,
7246044091.40982-621b1ee3-71b7,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-31_10-08-38,finished,2025-07-31T10:09:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_flair/runs/7246044091.40982-621b1ee3-71b7,,50355801-d3ae-4962-a72a-fc1ad1dd208b,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.5362299084663391,0.5441046357154846,0.5,0.4433962404727936,0.6084285378456116,0.9635361433029176,0.9718562364578248,0.9258670806884766,0.9326741695404052,0.39459699392318726,0.5578527450561523,0.5542114973068237,0.522849440574646,0.5224490165710449,0.710277795791626,23831.0,1000.0,1753980385.973159,200.0,1.5230484360873043e-09,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,
7246007422.48847-ede22ba7-2d76,resenc_time_conditioned_pretrained_flair_2025-07-31_20-26-24,finished,2025-07-31T20:27:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_flair/runs/7246007422.48847-ede22ba7-2d76,,a12c3d33-eb88-46bf-a41f-0f7bc3881ae4,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.4987666010856629,0.4603280127048493,0.5,0.4433962404727936,0.5786747932434082,0.8355143070220947,0.8607450723648071,0.7285577058792114,0.7623405456542969,0.4825626015663147,0.5188791751861572,0.5067204236984253,0.4771505296230316,0.4658969044685364,0.6653849482536316,21444.0,1000.0,1754015100.3758168,200.0,1.5230484360873043e-09,17600.0,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,
7245976964.08609-a57cca92-962a,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_06-03-06,finished,2025-08-01T04:50:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_flair/runs/7245976964.08609-a57cca92-962a,,a0552d0e-7185-47f5-bee6-c48f123f6546,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.4984439015388489,0.4773936271667481,0.48404255509376526,0.4354066848754883,0.6251047253608704,0.901279628276825,0.9295269250869752,0.82535719871521,0.8450475335121155,0.4431288838386536,0.6016055941581726,0.649417519569397,0.6075268983840942,0.6153658628463745,0.6224368214607239,23191.0,1086.0,1754048075.3366776,200.0,1.5230484360873043e-09,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245976167.71502-c618007f-3ad5,resenc_time_conditioned_pretrained_flair_2025-08-01_06-12-44,finished,2025-08-01T04:57:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_flair/runs/7245976167.71502-c618007f-3ad5,,eb9f1479-6110-4b7b-8a77-240c2c6655a2,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.4837590157985687,0.43218082189559937,0.5,0.4433962404727936,0.5776870250701904,0.5706931352615356,0.6395830512046814,0.5,0.4435611963272095,0.5659134984016418,0.5258668661117554,0.5085124969482422,0.5,0.44285714626312256,0.5862306952476501,25010.0,1156.0,1754049767.242041,200.0,1.5230484360873043e-09,17600.0,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,
