run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_token_aggregation_method,config_use_brainiac_preprocessing,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7246063892.97771-d221e0ea-fdd4,resenc_pretrained_t1_2025-07-31_04-33-19,finished,2025-07-31T04:33:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246063892.97771-d221e0ea-fdd4,,880b4d2a-a977-4bfe-a61e-45570334b1c4,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.5272085666656494,0.5613918304443359,0.5,0.4433962404727936,0.5759158730506897,0.5949132442474365,0.6436972618103027,0.5,0.4435611963272095,0.569966197013855,0.5520840287208557,0.5586917400360107,0.5,0.44285714626312256,0.5770058631896973,9764.0,500,1753946195.9358556,100,7.709637592770997e-09,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246044459.59485-ab9e923f-69dc,brainmvp_pretrained_t1_2025-07-31_10-03-12,finished,2025-07-31T10:03:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246044459.59485-ab9e923f-69dc,,32fc48ed-f726-43e4-97ee-b548c04d5278,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.5254074335098267,0.5480939745903015,0.5,0.4433962404727936,0.6175256371498108,0.5846562385559082,0.6117925643920898,0.5,0.4435611963272095,0.5696182250976562,0.5390328764915466,0.538082480430603,0.5,0.44285714626312256,0.578823447227478,8560.0,500,1753964781.6635864,100,7.709637592770997e-09,8800,0.2,cls_token,True,,,,,,,,,,,,,,,,,,,,,,,,,
7246044408.15930-eaa0f6e4-4534,dinov2_frozen_t1_2025-07-31_10-04-35,finished,2025-07-31T10:05:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246044408.15930-eaa0f6e4-4534,,4b96a3fe-33b8-41d2-8e0f-f8f41ee3119d,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,True,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,False,epochwise,,0.5,0.5223138332366943,0.5046542882919312,0.5,0.4433962404727936,0.5794382095336914,0.5127554535865784,0.5011358261108398,0.48182645440101624,0.450549453496933,0.6227378845214844,0.4895225167274475,0.44802868366241455,0.5,0.44285714626312256,0.5823255181312561,11279.0,500,1753967579.4387105,100,7.709637592770997e-09,8800,,mean,True,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,
7246044354.77523-115ac0bd-6c5b,dinov2_pretrained_t1_2025-07-31_10-04-47,finished,2025-07-31T10:05:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246044354.77523-115ac0bd-6c5b,,62ffe956-0e3c-4a7c-8a3c-724e5489d3af,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,,0.5,0.5434560775756836,0.5735815763473511,0.5,0.4433962404727936,0.5763483047485352,0.5120141506195068,0.5251400470733643,0.5,0.4435611963272095,0.577475905418396,0.5481858253479004,0.5784050226211548,0.5,0.44285714626312256,0.5774232149124146,16086.0,500,1753972399.092009,100,7.709637592770997e-09,17500,,mean,True,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,
7246044137.09457-01051992-a05d,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-31_10-08-27,finished,2025-07-31T10:09:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246044137.09457-01051992-a05d,,372a63bb-22c9-4feb-ab35-24c3bcf6b98b,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5350210070610046,0.547429084777832,0.5044326186180115,0.4891774952411651,0.6214224696159363,0.9208264350891112,0.9415417313575744,0.829067587852478,0.8627911806106567,0.43582236766815186,0.5548317432403564,0.5909498929977417,0.48723119497299194,0.4824971556663513,0.6431781649589539,23610.0,1000,1753980153.858699,200,1.5230484360873043e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246044300.37853-e61c01c0-5c70,mri_core_frozen_t1_2025-07-31_10-08-53,finished,2025-07-31T10:09:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246044300.37853-e61c01c0-5c70,,92e844da-96d1-46e2-ad09-cad442c8a37c,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.5014671087265015,0.4997783601284027,0.5,0.4433962404727936,0.5759055614471436,0.5169419646263123,0.5170377492904663,0.5,0.4435611963272095,0.5754046440124512,0.5039893984794617,0.5107526779174805,0.5,0.44285714626312256,0.5772759914398193,10091.0,500,1753966658.11038,100,7.709637592770997e-09,8800,,mean,,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,,,,,,,,,,,,,
7246007441.08017-84c28596-7721,resenc_time_conditioned_pretrained_t1_2025-07-31_20-20-29,finished,2025-07-31T20:21:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246007441.08017-84c28596-7721,,6c51dc4d-a695-4dd1-97bd-d1bbe0aeecaf,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5700856447219849,0.591312050819397,0.5,0.4433962404727936,0.5822024345397949,0.5667135119438171,0.5994244813919067,0.5,0.4435611963272095,0.5696713924407959,0.49001654982566833,0.4583333134651184,0.5,0.44285714626312256,0.5830944180488586,21129.0,1000,1754014393.2187796,200,1.5230484360873043e-09,17600,,cls_token,,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,
7245977009.51497-10b018dd-694b,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_06-30-39,finished,2025-08-01T04:44:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7245977009.51497-10b018dd-694b,,f1fc8ab8-6a88-430a-8da8-469819ec413c,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5453504920005798,0.5498670339584351,0.5,0.4433962404727936,0.5902509689331055,0.723874568939209,0.7912060022354126,0.5650461912155151,0.5670995712280273,0.5295429825782776,0.5811195373535156,0.5073924660682678,0.5,0.44285714626312256,0.6139056086540222,24655.0,1201,1754048941.6870728,200,1.5230484360873043e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245976207.61241-b0d57af3-3c31,resenc_time_conditioned_pretrained_t1_2025-08-01_06-12-54,finished,2025-08-01T04:55:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7245976207.61241-b0d57af3-3c31,,719c119c-1640-4f9a-aa1a-0a0993141a33,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5907291173934937,0.627437949180603,0.5,0.4433962404727936,0.5760428309440613,0.5868901610374451,0.6480892896652222,0.5,0.4435611963272095,0.5643966794013977,0.4978904128074646,0.45698922872543335,0.5,0.44285714626312256,0.5907579064369202,26074.0,1156,1754050815.3862543,200,1.5230484360873043e-09,17600,,cls_token,,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,
7245974415.05016-1bff3c3b-5de0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_05-29-05,finished,2025-08-01T05:29:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7245974415.05016-1bff3c3b-5de0,,aafda33a-e8ce-4f19-9c19-0dccf30625f5,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.4633296132087707,0.3858599066734314,0.5,0.4433962404727936,0.5807310938835144,0.5724700689315796,0.6333737373352051,0.5052501559257507,0.45707982778549194,0.569068968296051,0.5552383065223694,0.5952061414718628,0.5,0.44285714626312256,0.5785090327262878,21982.0,1000,1754048156.5996084,200,1.5230484360873043e-09,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
